"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","28.29","28.24","28.38","27.89","8.38M","0.11%"
"Oct 22, 2019","28.26","28.66","28.66","27.82","8.09M","-1.26%"
"Oct 21, 2019","28.62","28.51","28.90","28.46","6.79M","1.42%"
"Oct 18, 2019","28.22","27.78","28.32","27.72","5.69M","1.04%"
"Oct 17, 2019","27.93","28.25","28.44","27.85","6.71M","-0.43%"
"Oct 16, 2019","28.05","28.47","28.81","28.04","6.37M","-0.78%"
"Oct 15, 2019","28.27","27.38","28.37","27.36","7.05M","2.39%"
"Oct 14, 2019","27.61","27.37","27.66","27.14","3.19M","0.91%"
"Oct 11, 2019","27.36","27.63","28.02","27.34","7.53M","0.66%"
"Oct 10, 2019","27.18","26.68","27.25","26.50","7.10M","0.41%"
"Oct 09, 2019","27.07","26.78","27.33","26.69","8.19M","3.08%"
"Oct 08, 2019","26.26","25.56","26.80","25.45","9.05M","1.66%"
"Oct 07, 2019","25.83","25.80","26.06","25.52","5.88M","0.00%"
"Oct 04, 2019","25.83","25.33","25.85","25.07","6.52M","2.22%"
"Oct 03, 2019","25.27","25.47","25.51","24.51","8.62M","-0.39%"
"Oct 02, 2019","25.37","26.50","26.51","25.02","14.25M","-5.34%"
"Oct 01, 2019","26.80","27.08","27.66","26.59","6.55M","-0.63%"
"Sep 30, 2019","26.97","27.35","27.41","26.82","5.15M","-0.15%"
"Sep 27, 2019","27.01","27.01","27.80","26.91","5.21M","-0.66%"
"Sep 26, 2019","27.19","27.57","27.60","26.91","4.86M","-0.91%"
"Sep 25, 2019","27.44","27.13","27.83","27.02","6.40M","1.63%"
"Sep 24, 2019","27.00","27.62","27.70","26.77","5.59M","-1.82%"
"Sep 23, 2019","27.50","27.71","27.88","27.36","5.39M","-1.75%"
"Sep 20, 2019","27.99","28.20","28.43","27.96","6.98M","-1.10%"
"Sep 19, 2019","28.30","28.63","28.74","28.16","5.13M","-1.05%"
"Sep 18, 2019","28.60","28.55","28.66","28.07","6.18M","-0.14%"
"Sep 17, 2019","28.64","28.02","29.25","27.92","12.74M","3.13%"
"Sep 16, 2019","27.77","28.56","28.79","27.70","15.51M","-7.28%"
"Sep 13, 2019","29.95","30.20","30.34","29.87","7.13M","0.03%"
"Sep 12, 2019","29.94","29.67","30.22","29.64","5.81M","0.60%"
"Sep 11, 2019","29.76","29.16","29.93","28.73","10.84M","2.20%"
"Sep 10, 2019","29.12","28.28","29.18","28.20","6.38M","2.39%"
"Sep 09, 2019","28.44","27.79","28.75","27.71","8.56M","2.34%"
"Sep 06, 2019","27.79","28.16","28.23","27.73","5.79M","0.36%"
"Sep 05, 2019","27.69","27.45","28.11","27.44","6.26M","2.56%"
"Sep 04, 2019","27.00","26.66","27.22","26.52","5.66M","1.85%"
"Sep 03, 2019","26.51","26.16","26.66","25.95","6.73M","0.76%"
"Aug 30, 2019","26.31","26.40","26.83","26.16","5.08M","-0.04%"
"Aug 29, 2019","26.32","25.79","26.61","25.70","7.21M","3.91%"
"Aug 28, 2019","25.33","24.41","25.51","24.23","9.08M","3.60%"
"Aug 27, 2019","24.45","25.27","25.34","24.32","7.50M","-2.94%"
"Aug 26, 2019","25.19","25.90","25.91","25.03","6.73M","-0.90%"
"Aug 23, 2019","25.42","26.27","26.51","25.35","8.91M","-4.18%"
"Aug 22, 2019","26.53","26.46","26.98","26.34","5.96M","0.42%"
"Aug 21, 2019","26.42","26.06","26.60","26.01","6.23M","2.28%"
"Aug 20, 2019","25.83","26.08","26.08","25.56","7.66M","-1.03%"
"Aug 19, 2019","26.10","26.20","26.69","26.08","9.04M","1.20%"
"Aug 16, 2019","25.79","25.62","26.05","25.39","8.89M","1.50%"
"Aug 15, 2019","25.41","26.20","26.31","25.14","10.11M","-2.64%"
"Aug 14, 2019","26.10","27.05","27.07","26.09","10.10M","-5.13%"
"Aug 13, 2019","27.51","27.62","28.37","27.33","13.00M","-0.47%"
"Aug 12, 2019","27.64","28.50","28.51","27.52","8.01M","-3.96%"
"Aug 09, 2019","28.78","28.85","29.07","28.55","4.03M","-1.03%"
"Aug 08, 2019","29.08","28.81","29.39","28.76","5.03M","1.57%"
"Aug 07, 2019","28.63","28.00","28.76","27.82","6.77M","0.95%"
"Aug 06, 2019","28.36","28.85","29.06","28.02","6.01M","-0.60%"
"Aug 05, 2019","28.53","28.97","28.97","28.00","8.95M","-3.12%"
"Aug 02, 2019","29.45","29.70","29.81","29.07","6.48M","-1.31%"
"Aug 01, 2019","29.84","30.43","30.57","29.43","8.01M","-2.20%"
"Jul 31, 2019","30.51","30.68","31.14","30.27","6.27M","-0.65%"
"Jul 30, 2019","30.71","30.45","30.81","30.21","5.29M","-0.10%"
"Jul 29, 2019","30.74","30.97","31.19","30.54","6.96M","-1.60%"
"Jul 26, 2019","31.24","32.00","32.25","31.16","7.88M","-1.36%"
"Jul 25, 2019","31.67","34.55","34.82","31.58","13.15M","-8.44%"
"Jul 24, 2019","34.59","33.62","34.99","33.62","7.32M","2.55%"
"Jul 23, 2019","33.73","33.02","33.79","32.57","4.52M","2.52%"
"Jul 22, 2019","32.90","33.22","33.42","32.85","4.01M","-0.54%"
"Jul 19, 2019","33.08","33.82","34.02","33.06","4.25M","-1.96%"
"Jul 18, 2019","33.74","33.41","33.82","33.11","3.05M","1.44%"
"Jul 17, 2019","33.26","34.34","34.42","33.11","5.88M","-2.81%"
"Jul 16, 2019","34.22","33.70","34.67","33.70","6.35M","1.81%"
"Jul 15, 2019","33.61","33.67","33.95","33.42","3.48M","-0.50%"
"Jul 12, 2019","33.78","33.12","33.90","33.00","5.01M","2.27%"
"Jul 11, 2019","33.03","33.06","33.30","32.82","6.84M","0.27%"
"Jul 10, 2019","32.94","32.93","33.69","32.59","8.87M","1.79%"
"Jul 09, 2019","32.36","32.40","32.75","31.93","5.45M","-1.31%"
"Jul 08, 2019","32.79","31.99","32.91","31.98","5.33M","1.02%"
"Jul 05, 2019","32.46","32.54","32.83","31.95","2.58M","-0.79%"
"Jul 03, 2019","32.72","32.40","32.85","32.35","2.75M","1.65%"
"Jul 02, 2019","32.19","33.09","33.21","32.03","4.77M","-2.10%"
"Jul 01, 2019","32.88","33.14","33.66","32.53","9.00M","0.83%"
"Jun 28, 2019","32.61","32.23","32.73","32.16","5.24M","1.43%"
"Jun 27, 2019","32.15","31.56","32.55","31.42","4.27M","2.19%"
"Jun 26, 2019","31.46","31.48","31.71","31.07","4.09M","0.64%"
"Jun 25, 2019","31.26","31.83","32.11","31.24","6.52M","-1.76%"
"Jun 24, 2019","31.82","31.57","31.89","31.31","8.43M","0.79%"
"Jun 21, 2019","31.57","32.03","32.39","31.51","7.48M","-1.80%"
"Jun 20, 2019","32.15","33.66","33.81","31.90","8.97M","-3.19%"
"Jun 19, 2019","33.21","32.72","33.30","32.51","5.54M","2.12%"
"Jun 18, 2019","32.52","32.78","33.30","32.42","3.79M","-0.12%"
"Jun 17, 2019","32.56","32.10","32.91","32.10","3.42M","-0.37%"
"Jun 14, 2019","32.68","32.97","33.20","32.22","6.13M","-1.24%"
