"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","243.18","242.10","243.24","241.22","18.94M","1.34%"
"Oct 22, 2019","239.96","241.16","242.20","239.62","22.68M","-0.23%"
"Oct 21, 2019","240.51","237.52","240.99","237.32","22.37M","1.73%"
"Oct 18, 2019","236.41","234.59","237.58","234.29","24.38M","0.48%"
"Oct 17, 2019","235.28","235.09","236.15","233.52","17.27M","0.39%"
"Oct 16, 2019","234.37","233.37","235.24","233.20","19.29M","-0.40%"
"Oct 15, 2019","235.32","236.39","237.65","234.88","23.04M","-0.23%"
"Oct 14, 2019","235.87","234.90","238.13","234.67","24.41M","-0.14%"
"Oct 11, 2019","236.21","232.95","237.64","232.31","41.99M","2.66%"
"Oct 10, 2019","230.09","227.93","230.44","227.30","28.96M","1.35%"
"Oct 09, 2019","227.03","227.03","227.79","225.64","19.03M","1.17%"
"Oct 08, 2019","224.40","225.82","228.06","224.33","29.28M","-1.17%"
"Oct 07, 2019","227.06","226.27","229.93","225.84","30.89M","0.02%"
"Oct 04, 2019","227.01","225.64","227.49","223.89","34.76M","2.80%"
"Oct 03, 2019","220.82","218.43","220.96","215.13","30.35M","0.85%"
"Oct 02, 2019","218.96","223.06","223.58","217.93","35.77M","-2.51%"
"Oct 01, 2019","224.59","225.07","228.22","224.20","36.19M","0.28%"
"Sep 30, 2019","223.97","220.90","224.58","220.79","26.32M","2.35%"
"Sep 27, 2019","218.82","220.54","220.96","217.28","25.36M","-0.49%"
"Sep 26, 2019","219.89","220.00","220.94","218.83","19.09M","-0.52%"
"Sep 25, 2019","221.03","218.55","221.50","217.14","22.48M","1.54%"
"Sep 24, 2019","217.68","221.03","222.49","217.19","31.43M","-0.48%"
"Sep 23, 2019","218.72","218.95","219.84","217.65","19.42M","0.45%"
"Sep 20, 2019","217.73","221.38","222.56","217.47","57.98M","-1.46%"
"Sep 19, 2019","220.96","222.01","223.76","220.37","22.19M","-0.81%"
"Sep 18, 2019","222.77","221.06","222.85","219.44","25.64M","0.94%"
"Sep 17, 2019","220.70","219.96","220.82","219.12","18.39M","0.36%"
"Sep 16, 2019","219.90","217.73","220.13","217.56","21.16M","0.53%"
"Sep 13, 2019","218.75","220.00","220.79","217.02","39.76M","-1.95%"
"Sep 12, 2019","223.09","224.80","226.42","222.86","32.23M","-0.22%"
"Sep 11, 2019","223.59","218.07","223.71","217.73","44.29M","3.18%"
"Sep 10, 2019","216.70","213.86","216.78","211.71","31.78M","1.18%"
"Sep 09, 2019","214.17","214.84","216.44","211.07","27.31M","0.43%"
"Sep 06, 2019","213.26","214.05","214.42","212.51","19.36M","-0.01%"
"Sep 05, 2019","213.28","212.00","213.97","211.51","23.95M","1.96%"
"Sep 04, 2019","209.19","208.39","209.48","207.32","19.22M","1.70%"
"Sep 03, 2019","205.70","206.43","206.98","204.22","20.06M","-1.46%"
"Aug 30, 2019","208.74","210.16","210.45","207.20","21.16M","-0.13%"
"Aug 29, 2019","209.01","208.50","209.32","206.66","21.01M","1.69%"
"Aug 28, 2019","205.53","204.10","205.72","203.32","15.96M","0.67%"
"Aug 27, 2019","204.16","207.86","208.55","203.53","25.90M","-1.13%"
"Aug 26, 2019","206.49","205.86","207.19","205.06","26.07M","1.90%"
"Aug 23, 2019","202.64","209.43","212.05","201.00","46.88M","-4.62%"
"Aug 22, 2019","212.46","213.19","214.44","210.75","22.27M","-0.08%"
"Aug 21, 2019","212.64","212.99","213.65","211.60","21.56M","1.08%"
"Aug 20, 2019","210.36","210.88","213.35","210.32","26.92M","0.00%"
"Aug 19, 2019","210.35","210.62","212.73","210.03","24.43M","1.86%"
"Aug 16, 2019","206.50","204.28","207.16","203.84","28.81M","2.36%"
"Aug 15, 2019","201.74","203.46","205.14","199.67","27.88M","-0.50%"
"Aug 14, 2019","202.75","203.16","206.44","202.59","36.55M","-2.98%"
"Aug 13, 2019","208.97","201.02","212.14","200.83","47.54M","4.23%"
"Aug 12, 2019","200.48","199.62","202.05","199.15","22.48M","-0.25%"
"Aug 09, 2019","200.99","201.30","202.76","199.29","24.62M","-1.20%"
"Aug 08, 2019","203.43","200.20","203.53","199.39","27.01M","2.21%"
"Aug 07, 2019","199.04","195.41","199.56","193.82","33.36M","1.04%"
"Aug 06, 2019","197.00","196.31","198.07","194.04","35.82M","1.89%"
"Aug 05, 2019","193.34","197.99","198.65","192.58","52.39M","-5.23%"
"Aug 02, 2019","204.02","205.53","206.43","201.63","40.86M","-2.12%"
"Aug 01, 2019","208.43","213.90","218.03","206.74","54.02M","-2.16%"
"Jul 31, 2019","213.04","216.42","221.37","211.30","69.28M","2.04%"
"Jul 30, 2019","208.78","208.76","210.16","207.31","33.94M","-0.43%"
"Jul 29, 2019","209.68","208.46","210.64","208.44","21.67M","0.93%"
"Jul 26, 2019","207.74","207.48","209.73","207.14","17.62M","0.35%"
"Jul 25, 2019","207.02","208.89","209.24","206.73","13.91M","-0.79%"
"Jul 24, 2019","208.67","207.67","209.15","207.17","14.99M","-0.08%"
"Jul 23, 2019","208.84","208.46","208.91","207.29","18.36M","0.78%"
"Jul 22, 2019","207.22","203.65","207.23","203.61","22.28M","2.29%"
"Jul 19, 2019","202.59","205.79","206.50","202.36","20.93M","-1.49%"
"Jul 18, 2019","205.66","204.00","205.88","203.70","18.58M","1.14%"
"Jul 17, 2019","203.35","204.05","205.09","203.27","14.11M","-0.56%"
"Jul 16, 2019","204.50","204.59","206.11","203.50","16.87M","-0.35%"
"Jul 15, 2019","205.21","204.09","205.87","204.00","16.95M","0.94%"
"Jul 12, 2019","203.30","202.45","204.00","202.20","17.60M","0.77%"
"Jul 11, 2019","201.75","203.31","204.39","201.71","20.19M","-0.73%"
"Jul 10, 2019","203.23","201.85","203.73","201.56","17.90M","0.99%"
"Jul 09, 2019","201.24","199.20","201.51","198.81","20.58M","0.61%"
"Jul 08, 2019","200.02","200.81","201.40","198.41","25.34M","-2.06%"
"Jul 05, 2019","204.23","203.35","205.08","202.90","17.27M","-0.09%"
"Jul 03, 2019","204.41","203.28","204.44","202.69","11.36M","0.83%"
"Jul 02, 2019","202.73","201.41","203.13","201.36","16.94M","0.59%"
"Jul 01, 2019","201.55","203.17","204.49","200.65","27.32M","1.83%"
"Jun 28, 2019","197.92","198.68","199.50","197.05","31.11M","-0.91%"
"Jun 27, 2019","199.74","200.29","201.57","199.57","20.90M","-0.03%"
"Jun 26, 2019","199.80","197.77","200.99","197.35","26.07M","2.16%"
"Jun 25, 2019","195.57","198.43","199.26","195.29","21.07M","-1.52%"
"Jun 24, 2019","198.58","198.54","200.16","198.17","18.22M","-0.10%"
"Jun 21, 2019","198.78","198.80","200.85","198.15","47.80M","-0.34%"
"Jun 20, 2019","199.46","200.37","200.61","198.03","21.51M","0.80%"
"Jun 19, 2019","197.87","199.68","199.88","197.31","21.12M","-0.29%"
"Jun 18, 2019","198.45","196.05","200.29","195.21","26.55M","2.35%"
"Jun 17, 2019","193.89","192.90","194.96","192.17","14.67M","0.60%"
"Jun 14, 2019","192.74","191.54","193.59","190.30","18.76M","-0.73%"
"Jun 13, 2019","194.15","194.70","196.79","193.60","21.67M","-0.02%"
"Jun 12, 2019","194.19","193.95","195.97","193.38","18.25M","-0.32%"
"Jun 11, 2019","194.81","194.86","196.00","193.60","26.93M","1.16%"
"Jun 10, 2019","192.58","191.81","195.37","191.62","26.22M","1.28%"
"Jun 07, 2019","190.15","186.51","191.92","185.77","30.68M","2.66%"
"Jun 06, 2019","185.22","183.08","185.47","182.15","22.53M","1.47%"
"Jun 05, 2019","182.54","184.28","184.99","181.14","29.77M","1.61%"
"Jun 04, 2019","179.64","175.44","179.83","174.52","30.97M","3.66%"
"Jun 03, 2019","173.30","175.60","177.92","170.27","40.40M","-1.01%"
"May 31, 2019","175.07","176.23","177.99","174.99","27.04M","-1.81%"
"May 30, 2019","178.30","177.95","179.23","176.67","21.22M","0.52%"
"May 29, 2019","177.38","176.42","179.35","176.00","28.48M","-0.48%"
"May 28, 2019","178.23","178.92","180.59","177.91","27.95M","-0.41%"
"May 24, 2019","178.97","180.20","182.14","178.62","23.71M","-0.38%"
"May 23, 2019","179.66","179.80","180.54","177.81","36.53M","-1.71%"
"May 22, 2019","182.78","184.66","185.71","182.55","29.75M","-2.05%"
"May 21, 2019","186.60","185.22","188.00","184.70","28.36M","1.92%"
"May 20, 2019","183.09","183.52","184.35","180.28","38.61M","-3.13%"
"May 17, 2019","189.00","186.93","190.90","186.76","32.88M","-0.57%"
"May 16, 2019","190.08","189.91","192.47","188.84","33.03M","-0.44%"
"May 15, 2019","190.92","186.27","191.75","186.02","26.54M","1.20%"
"May 14, 2019","188.66","186.41","189.70","185.41","36.53M","1.58%"
"May 13, 2019","185.72","187.71","189.48","182.85","57.43M","-5.81%"
"May 10, 2019","197.18","197.42","198.85","192.77","41.21M","-1.76%"
"May 09, 2019","200.72","200.40","201.68","196.66","34.91M","-1.07%"
"May 08, 2019","202.90","201.90","205.34","201.75","26.34M","0.02%"
"May 07, 2019","202.86","205.88","207.42","200.82","38.76M","-2.70%"
"May 06, 2019","208.48","204.29","208.84","203.50","32.44M","-1.54%"
"May 03, 2019","211.75","210.89","211.84","210.23","20.89M","1.24%"
"May 02, 2019","209.15","209.84","212.65","208.13","32.00M","-0.65%"
"May 01, 2019","210.52","209.88","215.31","209.23","64.83M","4.91%"
"Apr 30, 2019","200.67","203.06","203.40","199.11","46.53M","-1.93%"
"Apr 29, 2019","204.61","204.40","205.97","203.86","22.20M","0.15%"
"Apr 26, 2019","204.30","204.90","205.00","202.12","18.65M","-0.48%"
"Apr 25, 2019","205.28","206.83","207.76","205.12","18.54M","-0.91%"
"Apr 24, 2019","207.16","207.36","208.48","207.05","17.54M","-0.15%"
"Apr 23, 2019","207.48","204.43","207.75","203.90","23.32M","1.44%"
"Apr 22, 2019","204.53","202.83","204.94","202.34","19.44M","0.33%"
"Apr 18, 2019","203.86","203.12","204.15","202.52","24.20M","0.36%"
"Apr 17, 2019","203.13","199.54","203.38","198.61","28.91M","1.95%"
"Apr 16, 2019","199.25","199.46","201.37","198.56","25.70M","0.01%"
"Apr 15, 2019","199.23","198.58","199.85","198.01","17.54M","0.18%"
"Apr 12, 2019","198.87","199.20","200.14","196.21","27.76M","-0.04%"
"Apr 11, 2019","198.95","200.85","201.00","198.44","20.90M","-0.83%"
"Apr 10, 2019","200.62","198.68","200.74","198.18","21.70M","0.56%"
"Apr 09, 2019","199.50","200.32","202.85","199.23","35.77M","-0.30%"
"Apr 08, 2019","200.10","196.42","200.23","196.34","25.88M","1.57%"
"Apr 05, 2019","197.00","196.45","197.10","195.93","18.53M","0.67%"
"Apr 04, 2019","195.69","194.79","196.37","193.14","19.11M","0.17%"
"Apr 03, 2019","195.35","193.25","196.50","193.15","23.27M","0.69%"
"Apr 02, 2019","194.02","191.09","194.46","191.05","22.77M","1.45%"
"Apr 01, 2019","191.24","191.64","191.68","188.38","27.86M","0.68%"
"Mar 29, 2019","189.95","189.83","190.08","188.54","23.56M","0.65%"
"Mar 28, 2019","188.72","188.95","189.56","187.53","20.78M","0.13%"
"Mar 27, 2019","188.47","188.75","189.76","186.55","29.85M","0.90%"
"Mar 26, 2019","186.79","191.66","192.88","184.58","49.80M","-1.03%"
"Mar 25, 2019","188.74","191.51","191.98","186.60","43.85M","-1.21%"
"Mar 22, 2019","191.05","195.34","197.69","190.78","42.41M","-2.07%"
"Mar 21, 2019","195.09","190.02","196.33","189.81","51.03M","3.68%"
"Mar 20, 2019","188.16","186.23","189.49","184.73","31.04M","0.87%"
"Mar 19, 2019","186.53","188.35","188.99","185.92","31.65M","-0.79%"
"Mar 18, 2019","188.02","185.80","188.39","185.79","26.22M","1.02%"
"Mar 15, 2019","186.12","184.85","187.33","183.74","39.04M","1.30%"
"Mar 14, 2019","183.73","183.90","184.10","182.56","23.58M","1.11%"
"Mar 13, 2019","181.71","182.25","183.30","180.92","31.03M","0.44%"
"Mar 12, 2019","180.91","180.00","182.67","179.37","32.47M","1.12%"
"Mar 11, 2019","178.90","175.49","179.12","175.35","32.01M","3.46%"
"Mar 08, 2019","172.91","170.32","173.07","169.50","24.00M","0.24%"
"Mar 07, 2019","172.50","173.87","174.44","172.02","24.80M","-1.16%"
"Mar 06, 2019","174.52","174.67","175.49","173.94","20.81M","-0.58%"
"Mar 05, 2019","175.53","175.94","176.00","174.54","19.74M","-0.18%"
"Mar 04, 2019","175.85","175.69","177.75","173.97","27.44M","0.50%"
"Mar 01, 2019","174.97","174.28","175.15","172.89","25.89M","1.05%"
"Feb 28, 2019","173.15","174.32","174.91","172.92","28.22M","-0.98%"
"Feb 27, 2019","174.87","173.21","175.00","172.73","27.84M","0.31%"
"Feb 26, 2019","174.33","173.71","175.30","173.17","17.07M","0.06%"
"Feb 25, 2019","174.23","174.16","175.87","173.95","21.87M","0.73%"
"Feb 22, 2019","172.97","171.58","173.00","171.38","18.91M","1.12%"
"Feb 21, 2019","171.06","171.80","172.37","170.30","17.25M","-0.56%"
"Feb 20, 2019","172.03","171.19","173.32","170.99","26.11M","0.64%"
"Feb 19, 2019","170.93","169.71","171.44","169.49","18.97M","0.30%"
"Feb 15, 2019","170.42","171.25","171.70","169.75","24.63M","-0.22%"
"Feb 14, 2019","170.80","169.71","171.26","169.38","21.84M","0.36%"
"Feb 13, 2019","170.18","171.39","172.48","169.92","22.49M","-0.42%"
"Feb 12, 2019","170.89","170.10","171.00","169.70","22.28M","0.86%"
"Feb 11, 2019","169.43","171.05","171.21","169.25","20.99M","-0.58%"
"Feb 08, 2019","170.41","168.99","170.66","168.42","23.82M","-0.31%"
"Feb 07, 2019","170.94","172.40","173.94","170.34","31.74M","-1.89%"
"Feb 06, 2019","174.24","174.65","175.57","172.85","28.24M","0.03%"
"Feb 05, 2019","174.18","172.86","175.08","172.35","36.10M","1.71%"
"Feb 04, 2019","171.25","167.41","171.66","167.28","31.50M","2.84%"
"Feb 01, 2019","166.52","166.96","168.98","165.93","32.67M","0.05%"
"Jan 31, 2019","166.44","166.11","169.00","164.56","40.74M","0.72%"
"Jan 30, 2019","165.25","163.25","166.15","160.23","61.11M","6.83%"
"Jan 29, 2019","154.68","156.25","158.13","154.11","41.59M","-1.04%"
"Jan 28, 2019","156.30","155.79","156.33","153.66","26.19M","-0.93%"
"Jan 25, 2019","157.76","155.48","158.13","154.32","33.55M","3.31%"
"Jan 24, 2019","152.70","154.11","154.48","151.74","25.44M","-0.79%"
"Jan 23, 2019","153.92","154.15","155.14","151.70","23.13M","0.40%"
"Jan 22, 2019","153.30","156.41","156.73","152.62","30.39M","-2.24%"
"Jan 18, 2019","156.82","157.50","157.88","155.98","33.75M","0.62%"
"Jan 17, 2019","155.86","154.20","157.66","153.26","29.82M","0.59%"
"Jan 16, 2019","154.94","153.08","155.88","153.00","30.57M","1.22%"
"Jan 15, 2019","153.07","150.27","153.39","150.05","28.71M","2.05%"
"Jan 14, 2019","150.00","150.85","151.27","149.22","32.44M","-1.50%"
"Jan 11, 2019","152.29","152.88","153.70","151.51","27.02M","-0.98%"
"Jan 10, 2019","153.80","152.50","153.97","150.86","35.78M","0.32%"
"Jan 09, 2019","153.31","151.29","154.53","149.63","45.10M","1.70%"
"Jan 08, 2019","150.75","149.56","151.82","148.52","41.03M","1.91%"
"Jan 07, 2019","147.93","148.70","148.83","145.90","54.78M","-0.22%"
"Jan 04, 2019","148.26","144.53","148.55","143.80","58.61M","4.27%"
"Jan 03, 2019","142.19","143.98","145.72","142.00","91.31M","-9.96%"
"Jan 02, 2019","157.92","154.89","158.85","154.23","37.04M","0.11%"
"Dec 31, 2018","157.74","158.53","159.36","156.48","35.00M","0.97%"
"Dec 28, 2018","156.23","157.50","158.52","154.55","42.29M","0.05%"
"Dec 27, 2018","156.15","155.84","156.77","150.07","53.12M","-0.65%"
"Dec 26, 2018","157.17","148.30","157.23","146.72","58.58M","7.04%"
"Dec 24, 2018","146.83","148.15","151.55","146.59","37.17M","-2.59%"
"Dec 21, 2018","150.73","156.86","158.16","149.63","95.74M","-3.89%"
"Dec 20, 2018","156.83","160.40","162.11","155.30","64.77M","-2.52%"
"Dec 19, 2018","160.89","166.00","167.45","159.09","49.05M","-3.12%"
"Dec 18, 2018","166.07","165.38","167.53","164.39","33.84M","1.30%"
"Dec 17, 2018","163.94","165.45","168.35","162.73","44.29M","-0.93%"
"Dec 14, 2018","165.48","169.00","169.08","165.28","40.70M","-3.20%"
"Dec 13, 2018","170.95","170.49","172.57","169.55","31.90M","1.09%"
"Dec 12, 2018","169.10","170.40","171.92","169.02","35.63M","0.28%"
"Dec 11, 2018","168.63","171.66","171.79","167.00","47.28M","-0.57%"
"Dec 10, 2018","169.60","165.00","170.09","163.33","62.03M","0.66%"
"Dec 07, 2018","168.49","173.49","174.49","168.30","42.28M","-3.57%"
"Dec 06, 2018","174.72","171.76","174.78","170.42","43.10M","-1.11%"
"Dec 04, 2018","176.69","180.95","182.39","176.27","41.34M","-4.40%"
"Dec 03, 2018","184.82","184.46","184.94","181.21","40.80M","3.49%"
"Nov 30, 2018","178.58","180.29","180.33","177.03","39.53M","-0.54%"
"Nov 29, 2018","179.55","182.66","182.80","177.70","41.77M","-0.77%"
"Nov 28, 2018","180.94","176.73","181.29","174.93","46.06M","3.85%"
"Nov 27, 2018","174.24","171.51","174.77","170.88","41.39M","-0.22%"
"Nov 26, 2018","174.62","174.24","174.95","170.26","45.00M","1.35%"
"Nov 23, 2018","172.29","174.94","176.59","172.10","23.62M","-2.54%"
"Nov 21, 2018","176.78","179.73","180.27","176.55","31.12M","-0.11%"
"Nov 20, 2018","176.98","178.37","181.47","175.51","67.83M","-4.78%"
"Nov 19, 2018","185.86","190.00","190.70","184.99","41.92M","-3.96%"
"Nov 16, 2018","193.53","190.50","194.97","189.46","36.93M","1.11%"
"Nov 15, 2018","191.41","188.39","191.97","186.90","46.48M","2.47%"
"Nov 14, 2018","186.80","193.90","194.48","185.93","60.80M","-2.82%"
"Nov 13, 2018","192.23","191.63","197.18","191.45","46.88M","-1.00%"
"Nov 12, 2018","194.17","199.00","199.85","193.79","51.14M","-5.04%"
"Nov 09, 2018","204.47","205.55","206.01","202.25","34.37M","-1.93%"
"Nov 08, 2018","208.49","209.98","210.12","206.75","25.36M","-0.70%"
"Nov 07, 2018","209.95","205.97","210.06","204.13","33.42M","3.03%"
"Nov 06, 2018","203.77","201.92","204.72","201.69","31.88M","1.08%"
"Nov 05, 2018","201.59","204.30","204.39","198.17","66.16M","-2.84%"
"Nov 02, 2018","207.48","209.55","213.65","205.43","91.33M","-6.63%"
"Nov 01, 2018","222.22","219.05","222.36","216.81","58.32M","1.54%"
"Oct 31, 2018","218.86","216.88","220.45","216.62","38.36M","2.61%"
"Oct 30, 2018","213.30","211.15","215.18","209.27","36.66M","0.50%"
"Oct 29, 2018","212.24","219.19","219.69","206.09","45.94M","-1.88%"
"Oct 26, 2018","216.30","215.90","220.19","212.67","47.26M","-1.59%"
"Oct 25, 2018","219.80","217.71","221.38","216.75","29.86M","2.19%"
"Oct 24, 2018","215.09","222.60","224.23","214.54","40.93M","-3.43%"
"Oct 23, 2018","222.73","215.83","223.25","214.70","38.77M","0.94%"
"Oct 22, 2018","220.65","219.79","223.36","218.94","28.79M","0.61%"
"Oct 19, 2018","219.31","218.06","221.26","217.43","33.08M","1.52%"
"Oct 18, 2018","216.02","217.86","219.74","213.00","32.58M","-2.34%"
"Oct 17, 2018","221.19","222.30","222.64","219.34","22.89M","-0.43%"
"Oct 16, 2018","222.15","218.93","222.99","216.76","29.18M","2.20%"
"Oct 15, 2018","217.36","221.16","221.83","217.27","30.79M","-2.14%"
"Oct 12, 2018","222.11","220.42","222.88","216.84","40.34M","3.57%"
"Oct 11, 2018","214.45","214.52","219.50","212.32","53.12M","-0.88%"
"Oct 10, 2018","216.36","225.46","226.35","216.05","41.99M","-4.63%"
"Oct 09, 2018","226.87","223.64","227.27","222.25","26.89M","1.39%"
"Oct 08, 2018","223.77","222.21","224.80","220.20","29.66M","-0.23%"
"Oct 05, 2018","224.29","227.96","228.41","220.58","33.58M","-1.62%"
"Oct 04, 2018","227.99","230.78","232.35","226.73","32.04M","-1.76%"
"Oct 03, 2018","232.07","230.05","233.47","229.78","28.65M","1.22%"
"Oct 02, 2018","229.28","227.25","230.00","226.63","24.79M","0.89%"
"Oct 01, 2018","227.26","227.95","229.42","226.35","23.60M","0.67%"
"Sep 28, 2018","225.74","224.79","225.84","224.02","22.93M","0.35%"
"Sep 27, 2018","224.95","223.82","226.44","223.54","30.18M","2.06%"
"Sep 26, 2018","220.42","221.00","223.75","219.76","23.98M","-0.80%"
"Sep 25, 2018","222.19","219.75","222.82","219.70","24.55M","0.63%"
"Sep 24, 2018","220.79","216.82","221.26","216.63","27.69M","1.44%"
"Sep 21, 2018","217.66","220.78","221.36","217.29","96.25M","-1.08%"
"Sep 20, 2018","220.03","220.24","222.28","219.15","26.61M","0.76%"
"Sep 19, 2018","218.37","218.50","219.62","215.30","27.12M","0.06%"
"Sep 18, 2018","218.24","217.79","221.85","217.12","31.57M","0.17%"
"Sep 17, 2018","217.88","222.15","222.95","217.27","37.20M","-2.66%"
"Sep 14, 2018","223.84","225.75","226.84","222.52","32.00M","-1.14%"
"Sep 13, 2018","226.41","223.52","228.35","222.57","41.71M","2.42%"
"Sep 12, 2018","221.07","224.94","225.00","219.84","49.28M","-1.24%"
"Sep 11, 2018","223.85","218.01","224.30","216.56","35.75M","2.53%"
"Sep 10, 2018","218.33","220.95","221.85","216.47","39.52M","-1.34%"
"Sep 07, 2018","221.30","221.85","225.37","220.71","37.62M","-0.81%"
"Sep 06, 2018","223.10","226.23","227.35","221.30","34.29M","-1.66%"
