"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","160.04","159.27","160.76","159.09","1.71M","0.34%"
"Oct 22, 2019","159.49","162.35","163.29","159.46","1.34M","-1.57%"
"Oct 21, 2019","162.03","164.08","164.49","161.30","1.73M","-0.92%"
"Oct 18, 2019","163.54","164.33","164.44","162.92","1.66M","-0.18%"
"Oct 17, 2019","163.83","164.54","165.20","163.61","1.09M","-0.20%"
"Oct 16, 2019","164.16","163.74","164.45","162.06","1.67M","0.02%"
"Oct 15, 2019","164.12","162.54","164.45","162.49","1.36M","1.02%"
"Oct 14, 2019","162.46","162.65","163.81","162.12","1.29M","-0.04%"
"Oct 11, 2019","162.52","162.41","163.84","161.00","1.99M","1.12%"
"Oct 10, 2019","160.72","157.93","160.97","157.86","1.60M","1.43%"
"Oct 09, 2019","158.46","157.64","158.94","156.60","1.66M","1.37%"
"Oct 08, 2019","156.32","157.55","158.35","155.84","1.53M","-1.62%"
"Oct 07, 2019","158.89","158.95","159.81","157.98","1.04M","-0.18%"
"Oct 04, 2019","159.17","158.13","159.42","157.90","1.36M","1.03%"
"Oct 03, 2019","157.54","156.36","157.60","153.72","1.67M","0.59%"
"Oct 02, 2019","156.62","158.97","159.24","155.48","2.76M","-2.37%"
"Oct 01, 2019","160.43","162.31","162.94","160.08","1.81M","-0.61%"
"Sep 30, 2019","161.42","160.83","162.10","160.75","1.51M","0.62%"
"Sep 27, 2019","160.43","163.79","163.97","158.94","2.07M","-1.74%"
"Sep 26, 2019","163.27","162.24","163.95","161.70","2.11M","0.98%"
"Sep 25, 2019","161.68","160.08","161.95","158.82","2.37M","1.03%"
"Sep 24, 2019","160.03","160.12","162.44","158.77","2.83M","0.21%"
"Sep 23, 2019","159.70","158.77","160.64","158.50","1.82M","0.25%"
"Sep 20, 2019","159.30","159.22","160.81","158.75","2.67M","-0.03%"
"Sep 19, 2019","159.35","159.27","159.97","158.51","1.86M","1.00%"
"Sep 18, 2019","157.77","158.33","158.86","156.04","1.72M","-0.67%"
"Sep 17, 2019","158.83","158.40","159.24","157.60","2.63M","0.42%"
"Sep 16, 2019","158.17","158.90","159.74","157.75","2.43M","-0.98%"
"Sep 13, 2019","159.74","161.04","161.60","158.95","1.91M","-0.42%"
"Sep 12, 2019","160.41","161.16","162.79","160.15","2.21M","-0.45%"
"Sep 11, 2019","161.14","163.14","164.92","160.40","2.66M","-1.94%"
"Sep 10, 2019","164.33","166.94","168.03","161.61","2.01M","-2.21%"
"Sep 09, 2019","168.05","173.56","173.69","167.13","1.67M","-3.00%"
"Sep 06, 2019","173.25","173.74","174.50","173.02","4.87M","-0.01%"
"Sep 05, 2019","173.27","171.15","173.54","170.80","1.74M","2.10%"
"Sep 04, 2019","169.71","168.53","170.09","168.50","1.36M","1.50%"
"Sep 03, 2019","167.21","167.75","169.50","166.60","1.53M","-1.55%"
"Aug 30, 2019","169.84","170.71","170.92","169.03","1.59M","0.24%"
"Aug 29, 2019","169.44","169.31","170.81","168.76","1.19M","1.33%"
"Aug 28, 2019","167.22","165.95","167.49","164.72","1.53M","0.22%"
"Aug 27, 2019","166.85","168.14","168.14","166.08","1.60M","0.02%"
"Aug 26, 2019","166.81","166.65","166.98","164.99","1.20M","1.22%"
"Aug 23, 2019","164.80","169.06","170.17","164.19","1.69M","-2.79%"
"Aug 22, 2019","169.53","169.55","170.71","167.29","1.17M","-0.09%"
"Aug 21, 2019","169.69","168.89","169.69","168.43","1.24M","1.08%"
"Aug 20, 2019","167.88","168.59","169.79","167.64","1.14M","-0.64%"
"Aug 19, 2019","168.96","169.03","169.38","167.55","1.12M","1.16%"
"Aug 16, 2019","167.02","166.82","168.06","166.42","1.46M","1.18%"
"Aug 15, 2019","165.07","164.18","166.36","162.51","1.68M","0.75%"
"Aug 14, 2019","163.84","166.46","167.61","163.74","2.25M","-2.89%"
"Aug 13, 2019","168.71","165.33","169.18","165.25","1.39M","1.71%"
"Aug 12, 2019","165.87","167.41","167.60","165.12","1.63M","-1.11%"
"Aug 09, 2019","167.73","169.95","169.95","166.42","2.11M","-1.52%"
"Aug 08, 2019","170.32","166.01","170.39","165.54","2.31M","3.56%"
"Aug 07, 2019","164.47","161.89","165.47","160.52","2.14M","0.66%"
"Aug 06, 2019","163.39","160.03","163.90","159.81","2.11M","2.28%"
"Aug 05, 2019","159.75","162.71","163.43","158.73","4.64M","-2.75%"
"Aug 02, 2019","164.27","163.99","165.61","161.79","2.87M","-0.02%"
"Aug 01, 2019","164.30","165.25","166.63","163.70","4.10M","-1.33%"
"Jul 31, 2019","166.52","172.00","172.00","164.95","4.17M","0.92%"
"Jul 30, 2019","165.00","167.33","167.84","164.90","1.94M","-1.73%"
"Jul 29, 2019","167.91","169.13","169.13","167.66","1.07M","-0.80%"
"Jul 26, 2019","169.27","167.61","169.58","167.31","1.04M","1.32%"
"Jul 25, 2019","167.06","166.95","167.97","166.62","1.31M","-0.09%"
"Jul 24, 2019","167.21","167.47","167.47","166.07","2.06M","-0.42%"
"Jul 23, 2019","167.91","168.28","169.00","166.71","934.62K","0.46%"
"Jul 22, 2019","167.14","166.98","168.37","166.26","1.42M","0.41%"
"Jul 19, 2019","166.46","168.67","168.97","166.37","1.43M","-0.78%"
"Jul 18, 2019","167.77","165.33","167.92","164.71","1.50M","1.44%"
"Jul 17, 2019","165.39","164.46","166.15","164.34","1.89M","0.72%"
"Jul 16, 2019","164.20","165.05","165.85","164.03","1.90M","-0.49%"
"Jul 15, 2019","165.01","165.48","166.16","164.69","2.06M","-0.07%"
"Jul 12, 2019","165.13","164.95","165.45","163.98","2.24M","-0.05%"
"Jul 11, 2019","165.21","164.88","165.59","164.11","1.96M","0.41%"
"Jul 10, 2019","164.54","164.28","164.70","162.66","1.73M","0.61%"
"Jul 09, 2019","163.54","163.16","163.74","162.50","1.70M","-0.32%"
"Jul 08, 2019","164.07","164.58","164.70","163.69","1.11M","-0.47%"
"Jul 05, 2019","164.84","162.99","165.10","162.36","2.00M","0.46%"
"Jul 03, 2019","164.09","163.00","164.18","161.53","1.94M","1.32%"
"Jul 02, 2019","161.96","159.68","162.04","158.92","17.11M","-2.66%"
"Jul 01, 2019","166.39","167.62","167.82","165.52","1.63M","0.64%"
"Jun 28, 2019","165.33","164.33","165.71","163.55","1.95M","0.80%"
"Jun 27, 2019","164.01","163.69","164.22","162.10","1.42M","0.73%"
"Jun 26, 2019","162.82","165.74","166.21","162.71","1.27M","-1.63%"
"Jun 25, 2019","165.52","168.06","168.06","165.10","1.56M","-1.34%"
"Jun 24, 2019","167.76","168.76","169.25","167.70","1.51M","-0.24%"
"Jun 21, 2019","168.16","169.40","170.45","168.02","2.44M","-0.85%"
"Jun 20, 2019","169.61","169.97","170.10","168.14","1.19M","0.81%"
"Jun 19, 2019","168.25","168.28","168.87","166.69","1.15M","0.02%"
"Jun 18, 2019","168.22","167.57","169.20","166.79","1.72M","1.37%"
"Jun 17, 2019","165.94","166.09","166.49","165.29","1.21M","0.24%"
"Jun 14, 2019","165.54","164.47","166.36","164.06","1.46M","0.66%"
"Jun 13, 2019","164.45","165.21","165.62","163.33","1.21M","-0.47%"
"Jun 12, 2019","165.22","165.31","166.17","164.57","1.08M","0.07%"
"Jun 11, 2019","165.11","168.53","168.87","164.36","1.36M","-1.54%"
"Jun 10, 2019","167.69","167.31","168.43","166.63","1.28M","0.46%"
"Jun 07, 2019","166.92","165.01","167.87","164.94","1.42M","1.59%"
"Jun 06, 2019","164.30","162.67","164.35","161.65","1.28M","1.01%"
"Jun 05, 2019","162.65","160.11","162.78","160.10","1.45M","2.01%"
"Jun 04, 2019","159.45","157.56","159.66","156.06","1.55M","2.21%"
"Jun 03, 2019","156.00","160.55","161.42","155.26","2.07M","-2.57%"
"May 31, 2019","160.12","159.32","161.08","159.32","1.09M","-0.49%"
"May 30, 2019","160.91","160.47","161.41","159.74","743.90K","0.65%"
"May 29, 2019","159.87","161.09","161.19","158.94","1.05M","-1.15%"
"May 28, 2019","161.73","161.97","163.74","161.57","1.43M","-0.07%"
"May 24, 2019","161.85","162.12","163.04","161.16","911.86K","0.45%"
"May 23, 2019","161.13","161.74","162.30","160.12","1.45M","-1.37%"
"May 22, 2019","163.37","162.68","164.03","162.23","1.10M","0.23%"
"May 21, 2019","163.00","162.44","163.54","161.50","1.17M","1.03%"
"May 20, 2019","161.34","160.10","162.75","160.10","1.59M","-0.23%"
"May 17, 2019","161.72","160.39","162.08","159.85","2.10M","0.12%"
"May 16, 2019","161.53","159.25","162.45","158.73","2.24M","1.36%"
"May 15, 2019","159.37","157.67","159.77","157.10","2.04M","0.54%"
"May 14, 2019","158.51","157.56","159.81","157.35","1.91M","0.79%"
"May 13, 2019","157.26","158.41","159.73","157.00","1.90M","-2.34%"
"May 10, 2019","161.03","159.87","161.40","157.91","1.66M","0.29%"
"May 09, 2019","160.57","158.00","161.02","157.78","1.60M","0.87%"
"May 08, 2019","159.19","158.00","159.98","157.57","1.41M","0.53%"
"May 07, 2019","158.35","158.16","160.95","157.34","2.13M","-1.19%"
"May 06, 2019","160.25","157.38","160.69","157.38","1.33M","0.04%"
"May 03, 2019","160.19","159.69","160.63","158.50","1.43M","1.12%"
"May 02, 2019","158.42","157.46","159.18","155.80","2.18M","0.60%"
"May 01, 2019","157.48","161.00","161.20","154.71","3.33M","-4.20%"
"Apr 30, 2019","164.39","163.28","164.56","161.01","2.01M","0.86%"
"Apr 29, 2019","162.99","163.86","164.25","162.58","1.27M","-0.43%"
"Apr 26, 2019","163.70","164.43","164.43","162.69","911.95K","-0.10%"
"Apr 25, 2019","163.86","162.68","164.17","161.49","1.41M","0.22%"
"Apr 24, 2019","163.50","165.24","165.50","163.48","1.77M","-0.93%"
"Apr 23, 2019","165.04","162.01","165.13","161.81","1.47M","1.93%"
"Apr 22, 2019","161.91","161.65","162.41","161.34","813.87K","-0.33%"
"Apr 18, 2019","162.44","163.73","163.73","162.08","1.42M","-0.25%"
"Apr 17, 2019","162.85","162.53","162.97","161.55","1.15M","0.44%"
"Apr 16, 2019","162.14","164.41","164.41","161.53","1.08M","-0.94%"
"Apr 15, 2019","163.68","163.03","163.86","162.61","987.12K","0.23%"
"Apr 12, 2019","163.31","162.16","163.38","160.94","1.01M","1.01%"
"Apr 11, 2019","161.67","161.03","161.76","160.42","1.53M","0.78%"
"Apr 10, 2019","160.42","160.13","160.82","159.67","998.92K","0.46%"
"Apr 09, 2019","159.68","159.83","160.66","159.13","1.24M","-0.49%"
"Apr 08, 2019","160.46","159.95","160.60","158.88","952.10K","0.07%"
"Apr 05, 2019","160.34","160.07","160.42","159.15","1.50M","0.63%"
"Apr 04, 2019","159.34","161.37","161.37","158.18","1.68M","-1.09%"
"Apr 03, 2019","161.10","162.45","162.45","160.49","1.37M","-0.21%"
"Apr 02, 2019","161.44","162.54","162.71","160.83","987.84K","-0.39%"
"Apr 01, 2019","162.07","161.20","162.32","159.98","2.49M","1.46%"
"Mar 29, 2019","159.74","159.49","159.91","158.61","2.33M","0.87%"
"Mar 28, 2019","158.37","157.03","158.53","156.88","1.41M","1.01%"
"Mar 27, 2019","156.79","156.42","157.26","154.99","1.48M","0.38%"
"Mar 26, 2019","156.20","155.11","156.27","154.24","1.47M","1.59%"
"Mar 25, 2019","153.75","153.48","154.21","152.76","1.24M","-0.04%"
"Mar 22, 2019","153.81","154.93","155.30","153.65","1.66M","-0.98%"
"Mar 21, 2019","155.34","153.44","156.04","153.44","1.85M","0.86%"
"Mar 20, 2019","154.02","154.43","154.99","153.50","1.97M","-0.39%"
"Mar 19, 2019","154.63","155.00","155.18","153.82","1.44M","-0.04%"
"Mar 18, 2019","154.69","155.31","155.80","154.04","1.72M","-0.40%"
"Mar 15, 2019","155.31","153.01","155.36","152.66","5.61M","1.17%"
"Mar 14, 2019","153.51","153.34","153.67","152.27","1.84M","0.44%"
"Mar 13, 2019","152.84","152.71","153.98","152.21","1.54M","0.56%"
"Mar 12, 2019","151.99","151.75","152.81","151.10","1.80M","0.60%"
"Mar 11, 2019","151.09","149.88","151.19","149.03","1.82M","1.24%"
"Mar 08, 2019","149.24","149.01","149.58","148.15","1.93M","-0.78%"
"Mar 07, 2019","150.42","151.35","151.98","150.12","2.92M","-1.38%"
"Mar 06, 2019","152.53","152.47","153.32","152.17","1.64M","-0.09%"
"Mar 05, 2019","152.66","153.45","153.60","152.35","2.91M","-0.39%"
"Mar 04, 2019","153.26","153.89","154.32","151.41","3.97M","-0.42%"
"Mar 01, 2019","153.90","154.25","154.41","153.15","1.77M","0.57%"
"Feb 28, 2019","153.03","152.68","153.56","152.30","2.24M","0.03%"
"Feb 27, 2019","152.98","152.08","153.40","151.66","1.48M","0.07%"
"Feb 26, 2019","152.88","152.54","153.41","152.25","1.40M","0.26%"
"Feb 25, 2019","152.49","154.06","154.55","152.23","1.56M","-0.45%"
"Feb 22, 2019","153.18","151.62","153.21","151.22","1.61M","1.46%"
"Feb 21, 2019","150.98","150.14","151.50","149.61","1.31M","0.28%"
"Feb 20, 2019","150.56","150.66","150.71","149.47","1.62M","0.17%"
"Feb 19, 2019","150.31","149.02","150.55","149.02","1.35M","0.43%"
"Feb 15, 2019","149.67","149.55","150.32","148.44","2.86M","1.03%"
"Feb 14, 2019","148.15","149.62","150.00","148.07","2.66M","-1.54%"
"Feb 13, 2019","150.46","150.00","151.35","149.89","2.14M","0.64%"
"Feb 12, 2019","149.50","148.71","149.93","148.27","2.18M","1.35%"
"Feb 11, 2019","147.51","147.19","147.74","146.79","1.95M","0.48%"
"Feb 08, 2019","146.81","144.32","146.85","144.04","1.71M","0.78%"
"Feb 07, 2019","145.68","144.02","145.89","143.93","2.64M","0.10%"
"Feb 06, 2019","145.54","145.00","146.09","144.60","2.04M","0.17%"
"Feb 05, 2019","145.29","145.02","145.49","144.12","2.80M","1.16%"
"Feb 04, 2019","143.63","141.73","143.69","141.39","2.85M","1.42%"
"Feb 01, 2019","141.62","139.71","141.69","139.71","2.94M","1.27%"
"Jan 31, 2019","139.84","138.83","141.15","138.12","5.84M","0.31%"
"Jan 30, 2019","139.41","137.00","140.79","135.01","3.73M","4.04%"
"Jan 29, 2019","134.00","135.37","135.88","133.76","1.73M","-1.11%"
"Jan 28, 2019","135.50","134.96","135.73","134.29","1.93M","-0.67%"
"Jan 25, 2019","136.41","136.02","136.74","135.26","1.71M","1.23%"
"Jan 24, 2019","134.75","134.66","135.72","133.87","1.90M","0.25%"
"Jan 23, 2019","134.42","133.62","134.63","132.65","1.92M","0.94%"
"Jan 22, 2019","133.17","133.99","134.52","132.04","2.91M","-1.49%"
"Jan 18, 2019","135.18","134.25","135.38","133.04","2.28M","1.68%"
"Jan 17, 2019","132.94","132.13","133.75","132.05","2.19M","0.14%"
"Jan 16, 2019","132.76","132.66","133.55","131.84","2.08M","0.32%"
"Jan 15, 2019","132.33","130.95","133.22","130.95","3.29M","1.09%"
"Jan 14, 2019","130.90","130.16","131.65","130.00","1.79M","-0.57%"
