"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","217.50","213.19","218.17","210.73","1.19M","1.83%"
"Oct 22, 2019","213.60","210.98","215.60","207.03","1.16M","1.69%"
"Oct 21, 2019","210.04","214.88","215.60","209.60","1.40M","-1.80%"
"Oct 18, 2019","213.88","214.68","216.43","210.28","1.03M","-0.02%"
"Oct 17, 2019","213.92","212.23","215.20","209.22","842.52K","1.12%"
"Oct 16, 2019","211.56","208.98","212.65","208.10","843.44K","1.10%"
"Oct 15, 2019","209.25","208.02","209.48","205.06","1.03M","2.00%"
"Oct 14, 2019","205.15","200.16","206.70","199.80","1.08M","2.49%"
"Oct 11, 2019","200.16","195.51","202.52","194.00","1.76M","3.08%"
"Oct 10, 2019","194.17","189.25","194.19","189.16","952.59K","2.62%"
"Oct 09, 2019","189.21","186.08","191.56","185.65","1.23M","2.66%"
"Oct 08, 2019","184.30","183.43","186.07","181.26","1.06M","-0.11%"
"Oct 07, 2019","184.51","177.85","186.49","177.18","853.80K","1.61%"
"Oct 04, 2019","181.59","184.59","187.67","180.12","862.77K","-1.72%"
"Oct 03, 2019","184.77","179.90","184.86","175.52","783.91K","2.79%"
"Oct 02, 2019","179.75","181.44","182.00","176.36","977.26K","-1.40%"
"Oct 01, 2019","182.30","181.22","183.34","179.53","1.11M","0.76%"
"Sep 30, 2019","180.92","176.51","181.85","176.51","961.91K","2.89%"
"Sep 27, 2019","175.84","179.59","181.84","175.18","702.59K","-1.76%"
"Sep 26, 2019","178.99","183.27","185.00","176.63","1.17M","-2.53%"
"Sep 25, 2019","183.63","184.51","184.51","180.37","863.48K","0.32%"
"Sep 24, 2019","183.05","185.18","186.57","182.24","1.82M","-0.46%"
"Sep 23, 2019","183.89","186.37","186.83","182.51","1.24M","-1.42%"
"Sep 20, 2019","186.54","180.80","188.16","179.50","2.80M","3.43%"
"Sep 19, 2019","180.36","176.00","180.89","175.75","1.15M","2.59%"
"Sep 18, 2019","175.80","177.59","178.01","171.85","969.18K","-1.04%"
"Sep 17, 2019","177.65","179.37","180.65","177.39","588.18K","-0.96%"
"Sep 16, 2019","179.37","176.46","179.54","176.16","1.03M","1.07%"
"Sep 13, 2019","177.47","176.01","179.49","175.00","1.21M","1.63%"
"Sep 12, 2019","174.62","181.65","184.55","174.06","1.62M","-2.86%"
"Sep 11, 2019","179.77","177.90","181.85","175.27","1.28M","1.11%"
"Sep 10, 2019","177.80","172.89","179.35","171.32","2.02M","2.68%"
"Sep 09, 2019","173.16","175.93","176.20","169.84","2.01M","-1.09%"
"Sep 06, 2019","175.06","178.65","179.13","174.38","1.55M","-1.16%"
"Sep 05, 2019","177.11","178.73","182.36","176.86","1.22M","0.41%"
"Sep 04, 2019","176.38","180.35","180.72","174.24","1.28M","-0.86%"
"Sep 03, 2019","177.91","182.23","182.50","177.25","1.89M","-2.84%"
"Aug 30, 2019","183.11","182.00","186.21","180.55","1.68M","1.76%"
"Aug 29, 2019","179.95","178.46","181.25","178.30","1.03M","1.49%"
"Aug 28, 2019","177.31","172.50","178.82","172.11","989.54K","2.02%"
"Aug 27, 2019","173.80","175.92","177.24","173.06","874.01K","-0.79%"
"Aug 26, 2019","175.19","177.17","179.07","173.30","784.42K","0.09%"
"Aug 23, 2019","175.04","177.84","179.15","173.80","1.15M","-2.20%"
"Aug 22, 2019","178.97","177.91","181.41","177.45","972.77K","1.46%"
"Aug 21, 2019","176.39","176.07","177.51","175.02","620.27K","1.08%"
"Aug 20, 2019","174.50","177.24","178.16","174.30","774.55K","-1.76%"
"Aug 19, 2019","177.62","180.00","181.33","176.59","1.07M","0.19%"
"Aug 16, 2019","177.29","175.93","178.34","175.46","1.06M","1.67%"
"Aug 15, 2019","174.37","175.61","176.78","172.62","971.49K","0.05%"
"Aug 14, 2019","174.29","179.22","179.86","174.09","1.15M","-4.24%"
"Aug 13, 2019","182.00","178.97","183.80","178.63","872.06K","1.29%"
"Aug 12, 2019","179.68","181.26","182.77","178.60","1.12M","-1.99%"
"Aug 09, 2019","183.33","186.14","189.37","183.06","1.08M","-2.63%"
"Aug 08, 2019","188.28","185.20","189.75","185.20","1.14M","2.38%"
"Aug 07, 2019","183.90","186.13","186.13","181.95","2.03M","-2.41%"
"Aug 06, 2019","188.44","189.07","192.33","186.51","1.22M","0.04%"
"Aug 05, 2019","188.37","194.40","194.40","186.29","2.32M","-5.52%"
"Aug 02, 2019","199.38","201.55","205.40","198.68","1.72M","-1.47%"
"Aug 01, 2019","202.35","209.09","209.99","200.26","1.86M","-3.22%"
"Jul 31, 2019","209.08","208.00","214.50","206.27","2.98M","2.87%"
"Jul 30, 2019","203.25","194.65","204.05","194.02","2.28M","3.67%"
"Jul 29, 2019","196.05","199.18","199.64","189.60","3.15M","-1.40%"
"Jul 26, 2019","198.84","203.26","203.52","195.71","2.95M","-1.03%"
"Jul 25, 2019","200.90","219.28","219.71","197.11","9.53M","-26.99%"
"Jul 24, 2019","275.16","272.00","279.95","270.11","2.41M","0.81%"
"Jul 23, 2019","272.96","274.88","276.14","269.29","900.42K","-0.55%"
"Jul 22, 2019","274.47","281.43","283.26","274.01","799.44K","-2.40%"
"Jul 19, 2019","281.21","284.57","288.36","280.00","952.01K","-0.76%"
"Jul 18, 2019","283.37","283.47","288.81","281.51","1.35M","-0.19%"
"Jul 17, 2019","283.91","281.68","286.28","281.00","525.57K","1.01%"
"Jul 16, 2019","281.07","284.65","284.90","279.99","366.57K","-1.14%"
"Jul 15, 2019","284.30","283.57","286.91","280.56","490.30K","0.14%"
"Jul 12, 2019","283.91","284.02","285.17","278.73","524.15K","0.47%"
"Jul 11, 2019","282.59","290.00","290.78","280.15","610.84K","-1.42%"
"Jul 10, 2019","286.65","278.20","287.95","278.20","1.01M","4.08%"
"Jul 09, 2019","275.41","269.63","275.92","269.63","509.84K","1.16%"
"Jul 08, 2019","272.24","270.50","273.89","268.89","573.38K","-0.38%"
"Jul 05, 2019","273.29","274.11","276.94","268.66","661.45K","-0.62%"
"Jul 03, 2019","275.00","272.33","277.47","271.38","588.04K","1.51%"
"Jul 02, 2019","270.90","272.65","276.22","269.57","897.78K","-0.29%"
"Jul 01, 2019","271.68","280.64","283.33","271.25","1.23M","-0.74%"
"Jun 28, 2019","273.70","270.05","274.17","263.70","1.41M","1.39%"
"Jun 27, 2019","269.95","269.08","273.42","268.29","1.00M","0.70%"
"Jun 26, 2019","268.08","277.24","277.24","267.36","1.56M","-2.88%"
"Jun 25, 2019","276.02","282.27","283.87","274.86","991.27K","-2.18%"
"Jun 24, 2019","282.16","283.50","286.75","279.46","1.07M","-0.49%"
"Jun 21, 2019","283.56","294.91","294.91","283.15","1.50M","-4.10%"
"Jun 20, 2019","295.67","302.03","302.03","294.30","768.78K","-0.39%"
"Jun 19, 2019","296.84","290.30","298.17","287.13","988.79K","2.34%"
"Jun 18, 2019","290.06","293.23","297.05","288.95","1.10M","0.48%"
"Jun 17, 2019","288.68","306.66","306.66","282.40","2.35M","-5.57%"
"Jun 14, 2019","305.70","312.08","312.08","305.02","482.66K","-1.73%"
"Jun 13, 2019","311.07","312.82","313.88","307.26","483.33K","-0.30%"
"Jun 12, 2019","312.00","309.30","312.17","304.65","439.26K","1.01%"
"Jun 11, 2019","308.88","315.41","316.70","304.55","818.12K","-1.95%"
"Jun 10, 2019","315.03","309.34","319.17","309.34","747.10K","2.40%"
"Jun 07, 2019","307.66","309.43","314.00","306.63","780.31K","0.42%"
"Jun 06, 2019","306.36","302.03","308.59","298.48","603.89K","1.25%"
"Jun 05, 2019","302.57","301.92","303.74","295.31","870.23K","1.79%"
"Jun 04, 2019","297.24","288.16","298.08","286.63","1.09M","4.91%"
"Jun 03, 2019","283.32","282.86","285.27","276.05","1.35M","-0.36%"
"May 31, 2019","284.35","277.88","289.61","272.60","2.51M","-4.16%"
"May 30, 2019","296.68","297.89","303.90","293.78","653.57K","-0.25%"
"May 29, 2019","297.41","302.37","302.37","293.82","1.35M","-2.43%"
"May 28, 2019","304.81","311.07","317.34","304.31","964.02K","-2.14%"
"May 24, 2019","311.47","309.59","312.90","306.82","545.17K","1.18%"
"May 23, 2019","307.85","315.13","315.82","305.59","1.15M","-3.44%"
"May 22, 2019","318.82","321.04","323.00","315.89","560.34K","-0.27%"
"May 21, 2019","319.68","322.50","326.21","319.14","575.64K","0.00%"
"May 20, 2019","319.68","319.55","322.69","313.58","716.70K","-0.91%"
"May 17, 2019","322.61","328.20","330.72","321.71","826.16K","-2.50%"
"May 16, 2019","330.87","326.00","334.64","326.00","865.86K","1.58%"
"May 15, 2019","325.71","319.00","328.66","316.01","727.25K","1.76%"
"May 14, 2019","320.09","312.25","323.18","312.07","918.74K","3.20%"
"May 13, 2019","310.15","312.27","317.94","308.15","947.32K","-3.66%"
"May 10, 2019","321.93","322.15","324.77","314.00","704.11K","-0.41%"
"May 09, 2019","323.25","318.55","325.57","313.73","784.93K","0.12%"
"May 08, 2019","322.87","324.27","325.00","318.52","751.46K","-0.81%"
"May 07, 2019","325.51","324.19","328.44","320.68","846.49K","-1.20%"
"May 06, 2019","329.46","320.80","329.58","317.20","1.38M","-0.49%"
"May 03, 2019","331.08","328.86","333.17","327.27","885.61K","1.60%"
"May 02, 2019","325.88","320.70","332.00","318.56","1.13M","1.41%"
"May 01, 2019","321.34","325.26","327.86","320.51","1.01M","-1.03%"
"Apr 30, 2019","324.68","318.52","325.37","318.00","920.68K","2.26%"
"Apr 29, 2019","317.50","318.24","321.35","315.62","1.21M","-0.15%"
"Apr 26, 2019","317.98","298.75","318.19","297.90","1.80M","7.16%"
"Apr 25, 2019","296.74","294.10","316.00","286.61","3.27M","-0.11%"
"Apr 24, 2019","297.08","296.00","298.32","291.73","1.37M","0.34%"
"Apr 23, 2019","296.08","292.10","298.85","289.01","1.57M","1.88%"
"Apr 22, 2019","290.63","279.38","292.33","278.15","1.46M","3.25%"
"Apr 18, 2019","281.49","276.33","281.50","272.36","1.14M","2.85%"
"Apr 17, 2019","273.68","290.09","290.80","271.66","1.82M","-5.10%"
"Apr 16, 2019","288.38","293.59","295.63","285.04","733.34K","-1.43%"
"Apr 15, 2019","292.55","293.83","299.04","291.16","1.06M","-0.18%"
"Apr 12, 2019","293.08","290.62","297.87","290.62","746.50K","1.18%"
"Apr 11, 2019","289.66","290.92","292.20","286.68","498.41K","-0.16%"
"Apr 10, 2019","290.12","286.39","291.82","286.29","831.16K","1.71%"
"Apr 09, 2019","285.25","290.00","290.00","283.01","1.09M","-2.55%"
"Apr 08, 2019","292.71","295.55","295.70","289.75","752.44K","-1.07%"
"Apr 05, 2019","295.88","291.00","301.09","291.00","1.39M","2.75%"
"Apr 04, 2019","287.96","289.92","291.11","283.19","550.38K","-0.45%"
"Apr 03, 2019","289.27","293.44","296.00","288.62","1.27M","-0.95%"
"Apr 02, 2019","292.03","285.75","292.69","284.10","907.70K","2.41%"
"Apr 01, 2019","285.15","287.44","290.89","281.52","966.48K","0.29%"
"Mar 29, 2019","284.33","281.36","284.61","277.79","1.18M","3.80%"
"Mar 28, 2019","273.91","270.24","274.70","266.54","1.07M","1.84%"
"Mar 27, 2019","268.96","274.27","276.04","262.87","1.24M","-1.94%"
"Mar 26, 2019","274.27","275.25","277.45","272.77","629.06K","1.20%"
"Mar 25, 2019","271.02","269.75","274.32","266.00","1.00M","0.52%"
"Mar 22, 2019","269.62","279.64","279.64","269.23","1.24M","-3.96%"
"Mar 21, 2019","280.73","265.45","281.63","265.35","2.02M","5.66%"
"Mar 20, 2019","265.68","258.93","266.06","258.01","1.25M","2.46%"
"Mar 19, 2019","259.29","256.43","260.93","256.03","1.46M","2.19%"
