"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","50.53","51.29","51.45","50.24","8.49M","-2.79%"
"Oct 22, 2019","51.98","52.65","52.71","51.94","4.48M","-1.25%"
"Oct 21, 2019","52.64","52.19","52.70","51.99","5.97M","1.86%"
"Oct 18, 2019","51.68","52.22","52.41","51.04","6.42M","-0.88%"
"Oct 17, 2019","52.14","52.46","53.25","51.84","5.16M","1.12%"
"Oct 16, 2019","51.56","51.88","52.80","51.35","8.46M","-2.55%"
"Oct 15, 2019","52.91","52.07","53.14","51.88","8.06M","1.87%"
"Oct 14, 2019","51.94","51.81","52.12","51.79","3.43M","0.37%"
"Oct 11, 2019","51.75","52.16","52.39","51.71","6.82M","1.45%"
"Oct 10, 2019","51.01","50.67","51.60","50.64","5.37M","0.33%"
"Oct 09, 2019","50.84","50.12","51.17","50.00","6.36M","3.10%"
"Oct 08, 2019","49.31","50.15","50.28","49.08","5.72M","-2.65%"
"Oct 07, 2019","50.65","50.82","51.11","50.58","5.48M","-0.45%"
"Oct 04, 2019","50.88","50.01","50.90","49.89","4.62M","2.50%"
"Oct 03, 2019","49.64","49.42","49.77","48.78","7.08M","0.36%"
"Oct 02, 2019","49.46","49.37","49.88","49.21","6.56M","-1.12%"
"Oct 01, 2019","50.02","50.41","51.00","49.77","7.75M","0.24%"
"Sep 30, 2019","49.90","49.75","50.22","49.26","6.78M","0.95%"
"Sep 27, 2019","49.43","51.12","51.46","49.15","11.21M","-5.22%"
"Sep 26, 2019","52.15","52.17","52.46","51.81","4.91M","0.42%"
"Sep 25, 2019","51.93","50.65","52.12","50.50","5.49M","1.51%"
"Sep 24, 2019","51.16","52.02","52.58","50.87","7.09M","-1.16%"
"Sep 23, 2019","51.76","50.85","51.97","50.80","5.47M","1.57%"
"Sep 20, 2019","50.96","51.90","52.02","50.87","11.65M","-1.39%"
"Sep 19, 2019","51.68","52.49","52.62","51.37","6.05M","-0.79%"
"Sep 18, 2019","52.09","51.26","52.10","51.03","7.92M","1.74%"
"Sep 17, 2019","51.20","50.55","51.26","50.43","5.48M","0.55%"
"Sep 16, 2019","50.92","50.73","51.48","50.28","5.16M","-0.84%"
"Sep 13, 2019","51.35","51.74","51.98","51.04","6.05M","0.20%"
"Sep 12, 2019","51.25","51.65","51.86","51.04","6.25M","-0.60%"
"Sep 11, 2019","51.56","50.43","51.57","50.01","8.10M","2.73%"
"Sep 10, 2019","50.19","50.38","50.49","49.62","7.30M","-0.93%"
"Sep 09, 2019","50.66","50.29","50.80","49.96","6.65M","1.12%"
"Sep 06, 2019","50.10","50.47","50.50","49.80","6.91M","-0.50%"
"Sep 05, 2019","50.35","50.46","51.73","50.27","10.42M","1.70%"
"Sep 04, 2019","49.51","48.57","49.56","48.40","10.23M","3.99%"
"Sep 03, 2019","47.61","47.64","47.77","47.16","7.15M","-0.85%"
"Aug 30, 2019","48.02","47.55","48.09","47.39","7.82M","1.50%"
"Aug 29, 2019","47.31","46.66","47.42","46.63","6.79M","3.07%"
"Aug 28, 2019","45.90","45.40","46.04","44.88","4.81M","0.86%"
"Aug 27, 2019","45.51","46.00","46.24","45.11","5.93M","-0.22%"
"Aug 26, 2019","45.61","46.00","46.17","45.44","5.72M","1.09%"
"Aug 23, 2019","45.12","46.51","46.84","44.81","11.62M","-4.06%"
"Aug 22, 2019","47.03","47.14","47.28","46.44","4.28M","0.43%"
"Aug 21, 2019","46.83","47.20","47.52","46.73","5.20M","0.21%"
"Aug 20, 2019","46.73","46.93","47.14","46.51","7.75M","-0.79%"
"Aug 19, 2019","47.10","47.60","47.93","46.80","8.86M","1.01%"
"Aug 16, 2019","46.63","45.96","46.99","44.62","17.87M","-1.12%"
"Aug 15, 2019","47.16","47.00","47.31","46.50","10.96M","0.96%"
"Aug 14, 2019","46.71","46.95","47.24","46.39","7.21M","-2.81%"
"Aug 13, 2019","48.06","46.43","48.25","46.07","9.16M","3.44%"
"Aug 12, 2019","46.46","46.98","47.09","46.23","7.11M","-1.46%"
"Aug 09, 2019","47.15","47.54","47.54","46.56","5.29M","-1.48%"
"Aug 08, 2019","47.86","47.09","47.95","46.89","6.12M","2.53%"
"Aug 07, 2019","46.68","46.04","46.86","45.75","7.59M","0.76%"
"Aug 06, 2019","46.33","46.42","46.97","45.67","7.43M","1.91%"
"Aug 05, 2019","45.46","46.20","46.20","44.97","12.07M","-4.40%"
"Aug 02, 2019","47.55","48.00","48.40","47.19","8.09M","-1.90%"
"Aug 01, 2019","48.47","49.44","51.05","47.91","11.08M","-1.82%"
"Jul 31, 2019","49.37","50.53","50.59","48.69","8.33M","-2.68%"
"Jul 30, 2019","50.73","50.06","51.05","49.91","4.67M","0.12%"
"Jul 29, 2019","50.67","50.46","50.77","50.06","4.49M","-0.14%"
"Jul 26, 2019","50.74","50.89","51.10","50.46","5.74M","-0.16%"
"Jul 25, 2019","50.82","51.72","51.79","50.67","8.30M","-2.53%"
"Jul 24, 2019","52.14","50.99","52.42","50.76","11.29M","2.18%"
"Jul 23, 2019","51.03","50.64","51.32","50.12","10.06M","0.59%"
"Jul 22, 2019","50.73","49.32","50.80","49.21","21.61M","6.11%"
"Jul 19, 2019","47.81","48.31","48.49","47.66","9.42M","-0.75%"
"Jul 18, 2019","48.17","46.47","48.64","46.38","14.58M","4.22%"
"Jul 17, 2019","46.22","46.26","46.47","45.62","8.46M","0.46%"
"Jul 16, 2019","46.01","46.00","46.23","45.50","6.67M","-0.58%"
"Jul 15, 2019","46.28","46.85","47.43","45.92","6.72M","-0.49%"
"Jul 12, 2019","46.51","45.36","46.55","45.36","9.03M","2.72%"
"Jul 11, 2019","45.28","45.07","45.37","44.37","8.13M","1.25%"
"Jul 10, 2019","44.72","44.50","45.43","44.45","7.18M","1.71%"
"Jul 09, 2019","43.97","43.23","44.06","42.88","12.43M","1.20%"
"Jul 08, 2019","43.45","43.16","43.75","43.06","9.73M","-1.21%"
"Jul 05, 2019","43.98","44.24","44.42","43.56","6.62M","-1.54%"
"Jul 03, 2019","44.67","44.52","44.77","44.36","5.56M","0.02%"
"Jul 02, 2019","44.66","45.11","45.22","44.12","13.87M","-2.23%"
"Jul 01, 2019","45.68","46.63","47.55","45.22","11.48M","1.71%"
"Jun 28, 2019","44.91","45.13","45.39","44.67","15.60M","0.49%"
"Jun 27, 2019","44.69","43.89","44.87","43.79","8.89M","2.55%"
"Jun 26, 2019","43.58","43.00","43.80","42.93","10.02M","3.81%"
"Jun 25, 2019","41.98","42.25","42.70","41.90","9.64M","-0.83%"
"Jun 24, 2019","42.33","42.91","42.93","42.24","11.00M","-1.47%"
"Jun 21, 2019","42.96","42.90","43.20","42.61","12.10M","-0.58%"
"Jun 20, 2019","43.21","43.74","43.99","43.00","8.63M","1.60%"
"Jun 19, 2019","42.53","42.69","42.84","42.24","9.33M","0.52%"
"Jun 18, 2019","42.31","40.93","42.60","40.84","11.29M","4.47%"
"Jun 17, 2019","40.50","41.11","41.20","40.24","12.45M","-1.77%"
"Jun 14, 2019","41.23","40.96","41.49","40.56","7.70M","-1.01%"
"Jun 13, 2019","41.65","41.61","42.02","41.15","6.98M","0.36%"
"Jun 12, 2019","41.50","42.64","42.69","41.36","10.06M","-5.14%"
"Jun 11, 2019","43.75","43.91","44.55","43.63","10.54M","1.41%"
"Jun 10, 2019","43.14","42.00","43.55","41.79","9.65M","3.93%"
"Jun 07, 2019","41.51","41.60","41.88","41.08","6.39M","0.31%"
"Jun 06, 2019","41.38","40.54","41.49","40.49","8.10M","1.95%"
"Jun 05, 2019","40.59","40.80","41.17","40.16","10.14M","0.42%"
"Jun 04, 2019","40.42","39.52","40.65","39.27","14.14M","4.23%"
"Jun 03, 2019","38.78","38.97","39.66","38.54","7.80M","0.23%"
"May 31, 2019","38.69","39.20","39.50","38.68","8.39M","-2.67%"
"May 30, 2019","39.75","39.45","40.40","39.29","7.49M","0.97%"
"May 29, 2019","39.37","38.72","39.55","38.40","10.14M","0.92%"
"May 28, 2019","39.01","39.81","40.03","39.00","10.72M","-1.24%"
"May 24, 2019","39.50","40.27","40.40","39.45","8.54M","-1.10%"
"May 23, 2019","39.94","39.65","40.08","39.15","8.46M","-1.36%"
"May 22, 2019","40.49","40.75","40.88","40.15","5.90M","-1.89%"
"May 21, 2019","41.27","41.18","41.36","40.82","8.95M","2.28%"
"May 20, 2019","40.35","41.80","42.76","40.22","21.37M","-5.50%"
"May 17, 2019","42.70","43.35","44.36","42.56","20.22M","2.50%"
"May 16, 2019","41.66","41.30","42.19","40.96","11.93M","0.39%"
"May 15, 2019","41.50","40.41","41.86","40.11","12.05M","3.72%"
"May 14, 2019","40.01","39.53","40.39","39.40","8.37M","2.35%"
"May 13, 2019","39.09","39.26","39.64","38.67","10.73M","-4.19%"
"May 10, 2019","40.80","40.82","41.19","39.79","9.03M","-0.34%"
"May 09, 2019","40.94","40.77","41.19","39.85","11.58M","-1.54%"
"May 08, 2019","41.58","41.70","42.20","41.26","7.71M","-1.12%"
"May 07, 2019","42.05","42.26","42.42","41.20","9.90M","-2.46%"
"May 06, 2019","43.11","42.41","43.15","41.79","11.82M","-1.93%"
"May 03, 2019","43.96","44.03","44.15","43.61","7.38M","0.59%"
"May 02, 2019","43.70","43.18","44.25","42.86","12.71M","0.74%"
"May 01, 2019","43.38","44.04","44.67","43.38","9.39M","-1.57%"
"Apr 30, 2019","44.07","44.15","44.58","43.72","10.45M","-0.38%"
"Apr 29, 2019","44.24","44.57","44.91","44.20","5.85M","-0.94%"
"Apr 26, 2019","44.66","43.60","44.71","43.33","7.20M","0.47%"
"Apr 25, 2019","44.45","45.16","45.75","44.30","9.55M","-0.02%"
"Apr 24, 2019","44.46","43.91","45.64","43.88","10.61M","1.44%"
"Apr 23, 2019","43.83","43.80","43.99","43.40","6.70M","0.09%"
"Apr 22, 2019","43.79","43.86","43.98","43.27","4.67M","-0.36%"
"Apr 18, 2019","43.95","44.01","44.27","43.79","6.12M","0.14%"
"Apr 17, 2019","43.89","44.35","44.53","43.57","8.29M","0.39%"
"Apr 16, 2019","43.72","43.10","44.15","43.05","9.88M","2.36%"
"Apr 15, 2019","42.71","42.75","43.13","42.33","5.74M","-0.65%"
"Apr 12, 2019","42.99","43.00","43.36","42.77","4.92M","1.22%"
"Apr 11, 2019","42.47","42.43","42.94","42.28","6.58M","0.71%"
"Apr 10, 2019","42.17","41.91","42.34","41.73","5.44M","0.38%"
"Apr 09, 2019","42.01","42.55","42.60","41.66","7.41M","-2.12%"
"Apr 08, 2019","42.92","42.93","43.01","42.11","6.31M","-0.28%"
"Apr 05, 2019","43.04","43.00","43.39","42.69","8.50M","0.99%"
"Apr 04, 2019","42.62","42.07","42.83","42.02","8.47M","0.45%"
"Apr 03, 2019","42.43","41.66","43.01","41.62","13.20M","3.51%"
"Apr 02, 2019","40.99","41.00","41.22","40.61","8.69M","-0.34%"
"Apr 01, 2019","41.13","40.30","41.17","40.21","11.73M","3.71%"
"Mar 29, 2019","39.66","39.06","39.84","39.00","9.22M","2.99%"
"Mar 28, 2019","38.51","38.92","39.20","38.24","8.30M","-1.08%"
"Mar 27, 2019","38.93","39.67","39.91","38.57","7.74M","-1.77%"
"Mar 26, 2019","39.63","39.83","40.48","39.19","8.14M","0.58%"
"Mar 25, 2019","39.40","39.69","40.13","39.06","6.71M","-1.15%"
"Mar 22, 2019","39.86","41.04","41.21","39.81","9.47M","-3.56%"
"Mar 21, 2019","41.33","39.79","41.99","39.78","13.14M","4.45%"
"Mar 20, 2019","39.57","40.38","40.62","39.36","7.77M","-1.98%"
"Mar 19, 2019","40.37","40.20","40.74","40.17","7.13M","0.92%"
"Mar 18, 2019","40.00","40.41","40.71","39.91","7.67M","-0.97%"
"Mar 15, 2019","40.39","39.35","41.03","39.30","23.02M","3.75%"
"Mar 14, 2019","38.93","38.70","39.83","38.70","9.49M","0.85%"
"Mar 13, 2019","38.60","38.94","39.10","38.55","6.40M","-0.28%"
"Mar 12, 2019","38.71","38.70","39.03","38.32","6.27M","0.52%"
"Mar 11, 2019","38.51","37.95","38.89","37.81","7.20M","2.04%"
"Mar 08, 2019","37.74","36.84","37.84","36.80","8.17M","0.45%"
"Mar 07, 2019","37.57","37.95","37.95","37.05","9.83M","-1.31%"
"Mar 06, 2019","38.07","38.88","38.94","37.66","12.56M","-2.21%"
"Mar 05, 2019","38.93","39.18","39.25","38.76","12.45M","-0.38%"
"Mar 04, 2019","39.08","38.97","40.18","38.41","20.81M","1.35%"
"Mar 01, 2019","38.56","38.66","38.94","38.06","7.85M","0.57%"
"Feb 28, 2019","38.34","38.48","38.61","37.92","9.79M","-1.13%"
"Feb 27, 2019","38.78","39.30","39.32","38.30","14.04M","-2.02%"
"Feb 26, 2019","39.58","39.53","39.87","39.48","6.16M","-0.20%"
"Feb 25, 2019","39.66","39.92","40.08","39.62","8.06M","0.58%"
"Feb 22, 2019","39.43","38.89","39.44","38.80","8.15M","1.55%"
"Feb 21, 2019","38.83","39.00","39.26","38.53","7.18M","-0.44%"
"Feb 20, 2019","39.00","39.15","39.36","38.88","9.58M","-0.76%"
"Feb 19, 2019","39.30","39.00","39.71","39.00","12.35M","0.51%"
"Feb 15, 2019","39.10","40.00","40.20","38.59","22.40M","-3.95%"
"Feb 14, 2019","40.71","40.70","41.22","40.51","13.94M","-0.34%"
"Feb 13, 2019","40.85","40.96","41.23","40.72","10.13M","0.39%"
"Feb 12, 2019","40.69","40.38","40.89","40.28","8.91M","1.98%"
"Feb 11, 2019","39.90","39.97","40.19","39.33","9.97M","0.30%"
"Feb 08, 2019","39.78","39.30","39.80","38.73","9.89M","-0.35%"
"Feb 07, 2019","39.92","39.73","40.33","39.56","13.40M","-0.89%"
"Feb 06, 2019","40.28","39.29","40.71","39.20","21.06M","2.97%"
"Feb 05, 2019","39.12","38.88","39.29","38.60","13.24M","0.57%"
"Feb 04, 2019","38.90","39.16","39.31","38.45","12.46M","-1.04%"
"Feb 01, 2019","39.31","39.08","39.97","39.08","11.09M","0.59%"
"Jan 31, 2019","39.08","39.28","39.75","38.72","11.59M","-1.31%"
"Jan 30, 2019","39.60","38.61","40.00","38.49","12.55M","3.66%"
"Jan 29, 2019","38.20","39.27","39.35","37.84","8.75M","-1.29%"
"Jan 28, 2019","38.70","37.62","38.95","37.52","12.46M","-1.25%"
"Jan 25, 2019","39.19","38.53","39.48","38.31","17.55M","3.62%"
"Jan 24, 2019","37.82","36.18","37.91","36.01","21.53M","10.23%"
"Jan 23, 2019","34.31","34.71","34.94","33.70","9.56M","-0.38%"
"Jan 22, 2019","34.44","35.32","35.37","34.12","10.05M","-3.56%"
"Jan 18, 2019","35.71","34.96","36.32","34.63","11.33M","3.39%"
"Jan 17, 2019","34.54","33.50","34.71","33.25","10.26M","2.68%"
"Jan 16, 2019","33.64","33.92","34.27","33.56","6.78M","-0.33%"
"Jan 15, 2019","33.75","34.09","34.33","33.40","6.59M","-0.32%"
"Jan 14, 2019","33.86","34.19","34.30","33.41","9.55M","-2.65%"
"Jan 11, 2019","34.78","34.42","35.31","34.19","6.45M","0.06%"
"Jan 10, 2019","34.76","34.08","34.82","33.89","7.57M","1.34%"
"Jan 09, 2019","34.30","33.32","34.84","33.29","11.76M","4.22%"
"Jan 08, 2019","32.91","34.72","34.72","32.67","12.49M","-4.05%"
