"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","54.80","54.56","55.33","54.35","3.34M","0.51%"
"Oct 22, 2019","54.52","55.67","55.72","54.49","4.49M","-1.78%"
"Oct 21, 2019","55.51","55.25","55.82","54.73","5.95M","1.78%"
"Oct 18, 2019","54.54","55.66","55.69","53.38","8.53M","-1.89%"
"Oct 17, 2019","55.59","56.00","56.46","55.51","6.00M","0.00%"
"Oct 16, 2019","55.59","55.40","55.94","55.14","5.76M","0.05%"
"Oct 15, 2019","55.56","55.15","55.60","54.16","6.88M","1.00%"
"Oct 14, 2019","55.01","54.35","55.20","54.01","5.97M","0.35%"
"Oct 11, 2019","54.82","54.35","55.38","54.15","8.63M","2.10%"
"Oct 10, 2019","53.69","52.93","53.84","51.45","8.79M","0.49%"
"Oct 09, 2019","53.43","53.76","54.75","53.20","9.08M","-1.29%"
"Oct 08, 2019","54.13","54.75","55.30","54.10","7.34M","-2.31%"
"Oct 07, 2019","55.41","55.06","55.89","54.56","6.62M","-0.05%"
"Oct 04, 2019","55.44","54.75","55.49","54.55","8.78M","2.53%"
"Oct 03, 2019","54.07","52.19","54.77","52.07","14.69M","3.48%"
"Oct 02, 2019","52.25","51.90","52.54","50.25","13.59M","-1.23%"
"Oct 01, 2019","52.90","53.34","53.55","52.24","9.25M","-0.04%"
"Sep 30, 2019","52.92","52.60","52.99","52.31","7.44M","1.13%"
"Sep 27, 2019","52.33","54.21","54.72","52.05","7.80M","-3.49%"
"Sep 26, 2019","54.22","54.72","55.07","54.16","6.58M","-1.31%"
"Sep 25, 2019","54.94","53.89","55.04","53.58","5.20M","1.82%"
"Sep 24, 2019","53.96","54.61","54.63","53.41","8.34M","-0.41%"
"Sep 23, 2019","54.18","54.47","54.74","53.67","4.54M","-1.06%"
"Sep 20, 2019","54.76","55.04","55.48","54.52","7.51M","-0.45%"
"Sep 19, 2019","55.01","55.43","55.56","54.71","4.57M","-0.20%"
"Sep 18, 2019","55.12","55.21","55.23","54.13","5.45M","-0.42%"
"Sep 17, 2019","55.35","55.50","55.72","54.77","6.98M","-0.77%"
"Sep 16, 2019","55.78","55.18","55.94","55.17","6.47M","-0.30%"
"Sep 13, 2019","55.95","55.64","56.02","55.31","6.40M","0.90%"
"Sep 12, 2019","55.45","56.46","57.52","55.14","10.92M","0.98%"
"Sep 11, 2019","54.91","56.54","56.77","54.41","9.69M","-2.00%"
"Sep 10, 2019","56.03","54.75","56.15","54.28","8.43M","1.52%"
"Sep 09, 2019","55.19","55.25","55.55","54.20","9.14M","1.12%"
"Sep 06, 2019","54.58","54.67","55.01","54.26","7.03M","0.00%"
"Sep 05, 2019","54.58","55.15","56.60","53.77","11.78M","2.02%"
"Sep 04, 2019","53.50","52.06","53.61","52.01","9.99M","4.78%"
"Sep 03, 2019","51.06","50.48","51.57","50.43","6.27M","0.91%"
"Aug 30, 2019","50.60","51.29","51.41","50.17","5.89M","-0.71%"
"Aug 29, 2019","50.96","51.00","51.43","50.26","6.27M","1.49%"
"Aug 28, 2019","50.21","50.63","50.94","49.54","7.23M","-1.72%"
"Aug 27, 2019","51.09","50.50","52.22","49.96","18.23M","4.93%"
"Aug 26, 2019","48.69","47.99","48.70","47.53","5.20M","2.87%"
"Aug 23, 2019","47.33","48.60","49.38","47.16","7.13M","-3.57%"
"Aug 22, 2019","49.08","49.29","49.29","48.33","4.00M","0.08%"
"Aug 21, 2019","49.04","49.10","49.54","48.71","4.00M","0.49%"
"Aug 20, 2019","48.80","47.67","49.04","47.50","5.86M","1.84%"
"Aug 19, 2019","47.92","47.55","48.30","47.28","5.52M","2.70%"
"Aug 16, 2019","46.66","45.94","47.17","45.79","5.80M","2.53%"
"Aug 15, 2019","45.51","45.53","45.73","44.91","6.01M","0.55%"
"Aug 14, 2019","45.26","47.09","47.27","45.00","9.16M","-5.96%"
"Aug 13, 2019","48.13","46.99","48.37","46.47","5.26M","2.23%"
"Aug 12, 2019","47.08","47.73","48.35","46.95","6.29M","-2.04%"
"Aug 09, 2019","48.06","48.76","49.09","47.11","10.79M","-2.57%"
"Aug 08, 2019","49.33","48.41","49.56","47.91","8.94M","2.56%"
"Aug 07, 2019","48.10","46.11","48.23","46.10","7.47M","3.24%"
"Aug 06, 2019","46.59","47.45","47.59","46.38","7.17M","1.06%"
"Aug 05, 2019","46.10","47.87","47.95","45.52","10.86M","-5.96%"
"Aug 02, 2019","49.02","49.80","51.35","48.65","9.75M","-2.33%"
"Aug 01, 2019","50.19","48.93","51.24","48.81","10.90M","2.97%"
"Jul 31, 2019","48.74","48.79","49.93","48.38","8.71M","0.93%"
"Jul 30, 2019","48.29","48.10","48.36","47.50","4.90M","-0.33%"
"Jul 29, 2019","48.45","48.00","48.52","47.08","4.75M","0.96%"
"Jul 26, 2019","47.99","47.48","48.23","47.16","5.84M","1.70%"
"Jul 25, 2019","47.19","47.36","47.40","46.36","4.35M","0.70%"
"Jul 24, 2019","46.86","45.71","46.99","45.69","3.66M","2.05%"
"Jul 23, 2019","45.92","45.82","45.93","45.29","3.77M","0.77%"
"Jul 22, 2019","45.57","45.33","45.60","44.81","3.77M","0.95%"
"Jul 19, 2019","45.14","46.00","46.11","45.09","5.51M","-1.27%"
