"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","280.32","282.96","283.54","278.76","2.10M","-2.48%"
"Oct 22, 2019","287.46","289.59","290.86","287.24","1.34M","-0.73%"
"Oct 21, 2019","289.57","288.44","291.90","287.06","1.37M","0.99%"
"Oct 18, 2019","286.73","289.50","289.94","284.00","1.70M","-0.93%"
"Oct 17, 2019","289.43","290.14","291.71","288.32","1.36M","0.33%"
"Oct 16, 2019","288.48","289.00","290.10","286.54","2.08M","-0.63%"
"Oct 15, 2019","290.32","282.64","290.62","282.20","2.15M","3.07%"
"Oct 14, 2019","281.66","280.42","282.65","279.88","1.34M","0.27%"
"Oct 11, 2019","280.91","279.49","284.08","279.09","2.39M","2.35%"
"Oct 10, 2019","274.45","274.56","278.78","273.65","1.81M","0.48%"
"Oct 09, 2019","273.15","273.68","274.91","272.02","1.67M","1.04%"
"Oct 08, 2019","270.33","274.06","274.90","268.91","2.31M","-2.08%"
"Oct 07, 2019","276.08","280.01","281.02","275.70","1.91M","-1.90%"
"Oct 04, 2019","281.43","278.49","281.70","275.20","2.59M","2.55%"
"Oct 03, 2019","274.43","270.00","274.50","267.22","1.90M","1.61%"
"Oct 02, 2019","270.07","273.46","273.80","268.32","2.00M","-1.74%"
"Oct 01, 2019","274.85","278.27","279.65","273.38","1.96M","-0.44%"
"Sep 30, 2019","276.07","275.79","276.72","272.50","2.02M","0.70%"
"Sep 27, 2019","274.14","276.63","281.28","272.96","2.89M","-1.00%"
"Sep 26, 2019","276.91","275.26","278.66","272.68","2.77M","0.41%"
"Sep 25, 2019","275.77","271.75","277.21","270.00","5.60M","-2.32%"
"Sep 24, 2019","282.31","287.32","288.90","279.75","2.10M","-1.10%"
"Sep 23, 2019","285.46","283.62","287.16","282.08","1.56M","0.42%"
"Sep 20, 2019","284.26","287.67","288.40","281.82","3.69M","-2.20%"
"Sep 19, 2019","290.64","288.50","291.94","287.23","1.98M","1.01%"
"Sep 18, 2019","287.74","288.49","290.75","283.88","1.74M","-0.38%"
"Sep 17, 2019","288.83","288.02","289.30","283.75","2.20M","0.06%"
"Sep 16, 2019","288.66","286.80","290.27","285.70","2.22M","-0.57%"
"Sep 13, 2019","290.32","297.65","297.99","283.89","6.26M","-3.41%"
"Sep 12, 2019","300.58","301.43","302.33","296.47","3.31M","0.86%"
"Sep 11, 2019","298.01","296.32","298.78","294.55","1.93M","1.21%"
"Sep 10, 2019","294.44","291.35","294.45","288.82","2.09M","0.63%"
"Sep 09, 2019","292.61","295.00","297.20","290.40","2.17M","0.24%"
"Sep 06, 2019","291.91","291.85","293.30","289.30","1.37M","0.31%"
"Sep 05, 2019","291.02","288.36","293.68","288.36","2.09M","2.83%"
"Sep 04, 2019","283.02","278.79","284.35","278.20","1.99M","3.27%"
"Sep 03, 2019","274.05","280.00","280.85","270.93","2.22M","-3.04%"
"Aug 30, 2019","282.64","285.36","285.90","279.90","1.67M","-0.26%"
"Aug 29, 2019","283.37","281.49","285.49","281.05","1.64M","2.65%"
"Aug 28, 2019","276.06","274.33","276.41","270.47","1.72M","0.18%"
"Aug 27, 2019","275.57","279.15","280.22","274.91","1.43M","-0.60%"
"Aug 26, 2019","277.22","276.95","277.95","275.00","1.43M","1.87%"
"Aug 23, 2019","272.13","283.99","285.48","271.05","2.58M","-5.39%"
"Aug 22, 2019","287.62","288.39","289.41","284.55","1.23M","0.04%"
"Aug 21, 2019","287.50","284.64","288.26","284.05","1.94M","2.54%"
"Aug 20, 2019","280.37","278.16","284.95","277.01","1.79M","0.57%"
"Aug 19, 2019","278.78","279.50","280.06","275.61","1.75M","1.83%"
"Aug 16, 2019","273.78","272.15","275.75","271.98","1.82M","1.91%"
"Aug 15, 2019","268.64","272.00","272.78","264.85","2.01M","-1.08%"
"Aug 14, 2019","271.56","278.79","280.15","270.38","2.71M","-4.28%"
"Aug 13, 2019","283.70","275.30","285.50","272.03","2.29M","2.92%"
"Aug 12, 2019","275.64","273.38","278.21","272.54","2.00M","-0.03%"
"Aug 09, 2019","275.73","269.58","280.55","269.58","3.07M","1.75%"
"Aug 08, 2019","270.98","270.38","272.56","262.50","2.92M","0.34%"
"Aug 07, 2019","270.05","264.03","272.72","263.00","2.22M","1.35%"
"Aug 06, 2019","266.44","270.13","272.18","264.56","2.22M","-0.46%"
"Aug 05, 2019","267.66","271.95","272.24","264.08","2.78M","-3.90%"
"Aug 02, 2019","278.53","282.07","283.84","275.91","2.01M","-2.39%"
"Aug 01, 2019","285.34","289.13","297.82","282.32","2.19M","-1.60%"
"Jul 31, 2019","289.99","300.03","300.83","286.67","2.08M","-3.19%"
"Jul 30, 2019","299.56","299.09","300.93","297.10","1.12M","-0.72%"
"Jul 29, 2019","301.74","301.23","302.55","296.96","1.21M","0.27%"
"Jul 26, 2019","300.92","301.59","303.01","300.53","1.50M","0.18%"
"Jul 25, 2019","300.39","302.13","302.13","299.40","1.57M","-1.11%"
"Jul 24, 2019","303.77","301.20","304.88","300.50","1.90M","0.99%"
"Jul 23, 2019","300.78","299.50","302.36","299.21","1.97M","1.56%"
"Jul 22, 2019","296.15","293.00","299.99","292.24","3.39M","2.12%"
"Jul 19, 2019","290.00","291.83","293.16","289.53","2.20M","0.08%"
"Jul 18, 2019","289.78","286.18","290.30","283.80","1.94M","1.65%"
"Jul 17, 2019","285.08","285.56","287.29","283.19","1.55M","0.33%"
"Jul 16, 2019","284.13","286.99","287.79","282.39","1.46M","-1.46%"
"Jul 15, 2019","288.34","291.10","294.49","287.27","3.03M","1.03%"
