"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","278.82","285.24","286.67","275.66","5.52M","-1.08%"
"Oct 22, 2019","281.87","310.00","318.00","279.16","21.91M","26.11%"
"Oct 21, 2019","223.51","222.00","225.78","221.56","2.43M","1.57%"
"Oct 18, 2019","220.06","225.49","225.49","220.01","2.80M","-2.46%"
"Oct 17, 2019","225.60","227.85","228.97","223.48","1.78M","-0.93%"
"Oct 16, 2019","227.72","226.23","229.75","225.96","1.38M","0.73%"
"Oct 15, 2019","226.06","225.41","228.33","225.16","1.98M","0.13%"
"Oct 14, 2019","225.76","222.50","226.38","221.84","3.04M","1.14%"
"Oct 11, 2019","223.21","225.44","227.50","220.51","2.39M","0.09%"
"Oct 10, 2019","223.00","222.14","224.21","221.96","2.10M","0.39%"
"Oct 09, 2019","222.13","223.15","224.15","221.90","1.46M","0.09%"
"Oct 08, 2019","221.94","225.16","226.10","221.56","1.98M","-2.22%"
"Oct 07, 2019","226.99","225.64","229.75","224.00","1.59M","1.33%"
"Oct 04, 2019","224.00","223.10","225.50","222.20","1.22M","0.67%"
"Oct 03, 2019","222.50","221.70","223.48","219.70","1.87M","0.56%"
"Oct 02, 2019","221.26","226.56","228.35","220.61","2.14M","-2.61%"
"Oct 01, 2019","227.20","232.76","234.03","224.67","1.81M","-2.41%"
"Sep 30, 2019","232.82","230.28","235.25","229.42","1.20M","1.13%"
"Sep 27, 2019","230.22","231.28","233.24","228.13","1.34M","0.00%"
"Sep 26, 2019","230.22","236.61","236.86","228.79","1.66M","-2.41%"
"Sep 25, 2019","235.90","236.20","239.19","235.67","1.17M","-0.13%"
"Sep 24, 2019","236.20","240.00","241.47","235.15","1.57M","-1.57%"
"Sep 23, 2019","239.96","238.58","242.71","237.37","1.56M","0.49%"
"Sep 20, 2019","238.79","235.43","242.21","234.30","3.81M","1.35%"
"Sep 19, 2019","235.62","235.11","238.42","234.23","1.26M","0.19%"
"Sep 18, 2019","235.17","239.36","239.52","233.32","1.58M","-1.48%"
"Sep 17, 2019","238.70","234.86","239.50","234.36","1.22M","1.09%"
"Sep 16, 2019","236.12","236.17","240.50","234.82","1.60M","-0.22%"
"Sep 13, 2019","236.63","232.00","237.98","232.00","1.69M","1.86%"
"Sep 12, 2019","232.31","236.31","236.31","226.06","1.95M","-1.55%"
"Sep 11, 2019","235.96","230.23","238.74","229.78","1.82M","1.27%"
"Sep 10, 2019","233.00","230.25","234.80","230.18","1.72M","1.30%"
"Sep 09, 2019","230.00","225.58","231.06","224.39","1.65M","2.42%"
"Sep 06, 2019","224.57","224.46","227.27","222.70","1.20M","0.27%"
"Sep 05, 2019","223.96","220.44","225.43","220.44","1.49M","2.13%"
"Sep 04, 2019","219.29","218.75","219.39","215.78","1.17M","0.85%"
"Sep 03, 2019","217.44","218.15","219.89","216.09","1.38M","-1.05%"
"Aug 30, 2019","219.75","220.73","221.68","217.90","1.23M","-0.19%"
"Aug 29, 2019","220.16","223.10","223.75","219.80","1.18M","-0.41%"
"Aug 28, 2019","221.07","220.55","223.48","219.00","1.41M","0.13%"
"Aug 27, 2019","220.79","225.00","225.64","219.71","1.56M","-1.33%"
"Aug 26, 2019","223.76","227.32","227.99","222.95","983.62K","-0.93%"
"Aug 23, 2019","225.85","231.26","231.87","225.10","1.29M","-2.68%"
"Aug 22, 2019","232.06","233.42","233.60","229.53","732.93K","-0.48%"
"Aug 21, 2019","233.18","232.80","233.78","231.50","807.49K","0.82%"
"Aug 20, 2019","231.28","235.09","235.55","230.75","844.03K","-1.88%"
"Aug 19, 2019","235.72","233.37","236.64","233.18","1.02M","1.74%"
"Aug 16, 2019","231.68","229.39","232.87","227.44","1.11M","1.78%"
"Aug 15, 2019","227.63","227.08","228.66","226.53","1.04M","0.40%"
"Aug 14, 2019","226.72","230.00","230.56","226.00","1.39M","-2.79%"
"Aug 13, 2019","233.23","230.83","234.76","230.20","1.08M","0.98%"
"Aug 12, 2019","230.96","234.09","235.53","229.44","1.23M","-2.05%"
"Aug 09, 2019","235.80","237.84","238.00","234.40","1.04M","-1.02%"
"Aug 08, 2019","238.23","238.16","239.92","235.78","1.65M","0.27%"
"Aug 07, 2019","237.58","237.81","239.15","233.07","1.17M","-1.08%"
"Aug 06, 2019","240.17","236.45","240.99","232.30","1.39M","2.11%"
"Aug 05, 2019","235.21","240.35","240.99","234.15","1.33M","-2.91%"
"Aug 02, 2019","242.27","242.12","242.98","239.33","1.11M","-0.33%"
"Aug 01, 2019","243.06","238.76","245.30","236.42","1.87M","2.20%"
"Jul 31, 2019","237.82","239.76","241.42","235.24","1.07M","-1.53%"
"Jul 30, 2019","241.51","237.33","242.64","236.06","1.22M","1.86%"
"Jul 29, 2019","237.11","238.21","239.30","235.93","883.60K","-0.46%"
"Jul 26, 2019","238.21","233.91","238.45","232.32","1.54M","0.00%"
"Jul 25, 2019","238.21","241.32","241.55","237.30","932.77K","-1.26%"
"Jul 24, 2019","241.24","244.70","245.93","239.15","1.57M","-1.08%"
"Jul 23, 2019","243.88","239.00","246.99","238.21","3.30M","4.90%"
"Jul 22, 2019","232.48","232.52","235.24","231.29","1.28M","0.52%"
"Jul 19, 2019","231.27","232.86","234.13","231.09","1.32M","-0.41%"
"Jul 18, 2019","232.23","229.85","232.34","228.58","1.20M","1.22%"
"Jul 17, 2019","229.44","231.53","231.99","229.35","851.67K","-0.91%"
"Jul 16, 2019","231.55","234.30","235.04","231.06","1.21M","-0.89%"
"Jul 15, 2019","233.62","232.53","234.35","229.89","1.03M","0.95%"
"Jul 12, 2019","231.42","230.89","233.45","230.64","1.25M","-0.08%"
"Jul 11, 2019","231.60","231.80","232.14","227.19","1.42M","-0.36%"
"Jul 10, 2019","232.43","233.88","235.98","229.46","1.28M","-0.76%"
"Jul 09, 2019","234.22","229.49","234.36","228.53","1.24M","1.46%"
"Jul 08, 2019","230.84","234.25","234.25","228.03","1.54M","-1.46%"
"Jul 05, 2019","234.25","236.91","238.91","233.23","1.26M","-1.69%"
"Jul 03, 2019","238.27","237.00","238.74","236.24","680.23K","0.80%"
"Jul 02, 2019","236.37","236.26","236.48","233.40","1.40M","0.37%"
"Jul 01, 2019","235.49","236.59","238.03","234.13","1.87M","0.69%"
"Jun 28, 2019","233.87","235.49","237.29","233.46","3.67M","-2.46%"
"Jun 27, 2019","239.77","237.91","241.14","237.83","2.12M","0.71%"
"Jun 26, 2019","238.07","241.45","242.68","235.92","1.87M","-0.92%"
"Jun 25, 2019","240.29","236.40","245.35","235.99","2.11M","1.86%"
"Jun 24, 2019","235.91","238.70","241.31","235.33","1.44M","-1.33%"
"Jun 21, 2019","239.09","234.67","239.14","232.70","3.07M","1.75%"
"Jun 20, 2019","234.97","236.26","237.00","233.89","1.91M","0.46%"
"Jun 19, 2019","233.89","232.61","234.42","231.86","1.80M","0.38%"
"Jun 18, 2019","233.01","233.95","237.75","232.53","1.65M","0.53%"
"Jun 17, 2019","231.78","228.76","232.96","227.55","1.67M","1.81%"
"Jun 14, 2019","227.67","230.49","231.42","226.96","1.48M","-1.55%"
"Jun 13, 2019","231.26","231.05","233.83","229.70","1.17M","0.36%"
"Jun 12, 2019","230.43","228.29","231.60","228.01","1.24M","0.59%"
"Jun 11, 2019","229.08","229.50","232.81","228.78","1.30M","0.30%"
"Jun 10, 2019","228.40","227.52","230.59","226.50","1.31M","0.51%"
"Jun 07, 2019","227.23","226.05","228.87","224.01","1.43M","1.28%"
"Jun 06, 2019","224.35","225.18","228.17","223.85","1.64M","-0.77%"
"Jun 05, 2019","226.09","227.12","227.57","224.48","1.38M","-0.40%"
"Jun 04, 2019","227.00","224.51","229.25","224.31","1.45M","1.63%"
"Jun 03, 2019","223.37","220.31","226.58","219.51","1.71M","1.86%"
"May 31, 2019","219.29","221.71","223.31","219.20","1.65M","-2.01%"
"May 30, 2019","223.78","223.01","224.97","221.12","1.07M","0.17%"
"May 29, 2019","223.40","223.64","224.49","221.23","1.55M","-0.95%"
"May 28, 2019","225.54","227.79","230.14","225.09","1.88M","-0.67%"
"May 24, 2019","227.06","229.73","230.51","225.82","1.79M","-0.89%"
"May 23, 2019","229.11","232.94","233.22","227.38","2.12M","-2.52%"
"May 22, 2019","235.04","231.92","236.89","230.05","1.48M","0.91%"
"May 21, 2019","232.92","230.07","234.49","228.81","1.53M","0.94%"
"May 20, 2019","230.76","228.18","232.01","226.61","2.00M","0.65%"
"May 17, 2019","229.28","229.50","232.00","228.11","1.89M","-0.69%"
"May 16, 2019","230.87","230.46","232.83","229.80","1.45M","0.12%"
"May 15, 2019","230.59","228.80","232.07","227.05","1.39M","0.62%"
"May 14, 2019","229.18","225.88","230.45","225.41","1.91M","1.56%"
"May 13, 2019","225.66","222.99","226.91","222.12","1.80M","-0.25%"
"May 10, 2019","226.23","227.68","228.50","222.58","1.90M","-0.98%"
"May 09, 2019","228.47","229.17","229.52","224.34","2.11M","-1.09%"
"May 08, 2019","230.98","229.25","232.53","227.59","2.09M","0.86%"
