"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","2,032.23","2,019.66","2,034.68","2,016.21","176.05K","0.45%"
"Oct 22, 2019","2,023.05","2,029.04","2,033.30","2,010.01","188.48K","0.04%"
"Oct 21, 2019","2,022.24","2,022.68","2,035.00","2,017.40","212.61K","0.43%"
"Oct 18, 2019","2,013.53","2,030.86","2,033.92","2,006.95","352.18K","-0.74%"
"Oct 17, 2019","2,028.53","2,033.00","2,044.77","2,021.37","200.96K","0.04%"
"Oct 16, 2019","2,027.63","2,016.80","2,037.09","2,016.80","300.30K","0.56%"
"Oct 15, 2019","2,016.39","1,992.21","2,023.11","1,991.60","276.00K","1.39%"
"Oct 14, 2019","1,988.75","1,964.52","1,994.38","1,964.52","206.87K","0.59%"
"Oct 11, 2019","1,977.18","1,984.30","2,003.79","1,972.94","281.65K","0.73%"
"Oct 10, 2019","1,962.91","1,942.69","1,970.43","1,933.84","233.97K","1.01%"
"Oct 09, 2019","1,943.33","1,953.72","1,954.16","1,926.20","231.55K","0.27%"
"Oct 08, 2019","1,938.19","1,937.05","1,955.73","1,923.56","198.94K","-0.69%"
"Oct 07, 2019","1,951.56","1,971.01","1,980.26","1,949.08","273.95K","-1.60%"
"Oct 04, 2019","1,983.20","1,970.64","1,984.87","1,965.31","164.14K","1.11%"
"Oct 03, 2019","1,961.45","1,936.55","1,964.30","1,918.23","224.22K","1.03%"
"Oct 02, 2019","1,941.44","1,969.00","1,969.00","1,929.90","295.80K","-1.85%"
"Oct 01, 2019","1,978.03","1,977.00","1,987.76","1,964.71","234.82K","0.79%"
"Sep 30, 2019","1,962.61","1,953.00","1,982.71","1,942.34","231.21K","0.94%"
"Sep 27, 2019","1,944.25","1,969.56","1,979.35","1,936.86","308.96K","-1.73%"
"Sep 26, 2019","1,978.45","1,994.08","1,994.08","1,964.00","311.49K","-0.76%"
"Sep 25, 2019","1,993.53","1,991.65","2,000.63","1,962.00","334.59K","0.15%"
"Sep 24, 2019","1,990.64","2,012.82","2,020.99","1,985.92","292.82K","-0.93%"
"Sep 23, 2019","2,009.41","2,016.00","2,030.00","2,007.14","320.50K","-1.09%"
"Sep 20, 2019","2,031.57","2,046.22","2,057.43","2,029.46","525.42K","-1.31%"
"Sep 19, 2019","2,058.57","2,053.74","2,062.70","2,046.73","259.64K","0.01%"
"Sep 18, 2019","2,058.37","2,072.21","2,078.85","2,036.98","187.33K","-0.92%"
"Sep 17, 2019","2,077.44","2,067.60","2,081.24","2,058.17","267.06K","0.22%"
"Sep 16, 2019","2,072.95","2,057.24","2,081.81","2,035.01","393.92K","0.44%"
"Sep 13, 2019","2,063.90","2,047.02","2,071.78","2,039.60","392.80K","1.10%"
"Sep 12, 2019","2,041.41","2,056.00","2,067.07","2,037.30","442.20K","-0.43%"
"Sep 11, 2019","2,050.16","2,013.20","2,054.17","2,001.38","399.58K","1.56%"
"Sep 10, 2019","2,018.76","1,983.34","2,018.76","1,964.03","456.17K","1.33%"
"Sep 09, 2019","1,992.25","1,980.64","1,994.51","1,973.38","369.67K","1.25%"
"Sep 06, 2019","1,967.63","2,006.34","2,006.34","1,962.75","413.01K","-1.34%"
"Sep 05, 2019","1,994.44","1,974.15","2,010.94","1,967.44","440.34K","1.82%"
"Sep 04, 2019","1,958.79","1,960.88","1,963.56","1,935.71","280.03K","0.88%"
"Sep 03, 2019","1,941.78","1,956.56","1,967.90","1,931.42","341.50K","-1.25%"
"Aug 30, 2019","1,966.41","1,971.80","1,973.23","1,953.00","271.03K","0.47%"
"Aug 29, 2019","1,957.14","1,966.43","1,976.76","1,948.00","312.97K","0.78%"
"Aug 28, 2019","1,942.00","1,911.80","1,947.95","1,903.57","228.26K","1.15%"
"Aug 27, 2019","1,919.99","1,921.74","1,931.80","1,912.33","276.24K","0.17%"
"Aug 26, 2019","1,916.81","1,918.24","1,918.50","1,902.21","219.31K","0.96%"
"Aug 23, 2019","1,898.67","1,942.98","1,951.92","1,893.08","303.41K","-2.76%"
"Aug 22, 2019","1,952.47","1,962.45","1,967.52","1,928.30","204.64K","-0.17%"
"Aug 21, 2019","1,955.75","1,945.69","1,957.60","1,939.70","203.04K","1.10%"
"Aug 20, 2019","1,934.40","1,942.51","1,952.12","1,929.21","230.37K","-0.48%"
"Aug 19, 2019","1,943.73","1,944.87","1,959.88","1,931.41","283.40K","1.12%"
"Aug 16, 2019","1,922.19","1,929.00","1,936.46","1,905.01","260.92K","0.92%"
"Aug 15, 2019","1,904.67","1,900.03","1,919.71","1,873.87","294.15K","0.71%"
"Aug 14, 2019","1,891.19","1,908.56","1,926.23","1,889.96","440.75K","-2.68%"
"Aug 13, 2019","1,943.19","1,907.67","1,963.89","1,907.67","386.18K","1.37%"
"Aug 12, 2019","1,916.89","1,900.44","1,926.79","1,891.17","281.14K","-0.04%"
"Aug 09, 2019","1,917.69","1,926.54","1,927.62","1,897.01","402.01K","-1.20%"
"Aug 08, 2019","1,941.01","1,900.00","1,958.81","1,895.00","796.96K","6.56%"
"Aug 07, 2019","1,821.56","1,758.40","1,826.20","1,755.00","542.32K","1.96%"
"Aug 06, 2019","1,786.52","1,799.20","1,815.99","1,767.32","393.96K","-0.12%"
"Aug 05, 2019","1,788.60","1,819.98","1,819.98","1,773.09","431.41K","-3.11%"
"Aug 02, 2019","1,846.08","1,874.11","1,874.98","1,839.39","304.48K","-1.80%"
"Aug 01, 2019","1,879.86","1,885.47","1,917.49","1,867.74","238.50K","-0.36%"
"Jul 31, 2019","1,886.61","1,906.33","1,915.48","1,866.27","270.01K","-1.56%"
"Jul 30, 2019","1,916.59","1,909.86","1,925.29","1,903.59","208.93K","-0.15%"
"Jul 29, 2019","1,919.55","1,958.78","1,962.98","1,908.19","304.85K","-2.40%"
"Jul 26, 2019","1,966.85","1,940.00","1,969.88","1,940.00","381.75K","2.11%"
"Jul 25, 2019","1,926.13","1,911.99","1,928.91","1,905.03","248.11K","0.36%"
"Jul 24, 2019","1,919.25","1,896.26","1,920.83","1,896.26","212.07K","1.00%"
"Jul 23, 2019","1,900.25","1,898.63","1,910.38","1,887.94","219.48K","0.35%"
"Jul 22, 2019","1,893.70","1,883.65","1,906.60","1,882.74","279.59K","0.62%"
"Jul 19, 2019","1,882.09","1,896.03","1,901.59","1,882.09","198.02K","-0.20%"
"Jul 18, 2019","1,885.91","1,861.83","1,895.68","1,861.83","230.57K","0.97%"
"Jul 17, 2019","1,867.74","1,887.75","1,897.09","1,866.53","284.88K","-1.12%"
"Jul 16, 2019","1,888.90","1,879.89","1,897.22","1,875.57","259.11K","0.37%"
"Jul 15, 2019","1,881.91","1,881.89","1,885.24","1,872.29","284.23K","-0.03%"
"Jul 12, 2019","1,882.48","1,878.02","1,884.98","1,869.49","268.35K","0.44%"
"Jul 11, 2019","1,874.17","1,875.45","1,879.10","1,868.73","270.39K","0.26%"
"Jul 10, 2019","1,869.39","1,890.52","1,892.99","1,858.88","319.34K","-0.45%"
"Jul 09, 2019","1,877.87","1,873.00","1,889.74","1,866.01","360.77K","0.11%"
"Jul 08, 2019","1,875.76","1,918.73","1,922.00","1,875.00","343.44K","-2.55%"
"Jul 05, 2019","1,924.75","1,904.76","1,928.61","1,901.41","170.21K","0.27%"
