"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","69.01","67.51","70.36","67.10","3.04M","1.89%"
"Oct 22, 2019","67.73","68.94","69.57","67.51","1.59M","-1.01%"
"Oct 21, 2019","68.42","69.20","69.87","68.24","1.46M","-1.06%"
"Oct 18, 2019","69.15","68.05","70.21","67.74","1.66M","1.84%"
"Oct 17, 2019","67.90","69.90","69.90","67.81","1.21M","-0.06%"
"Oct 16, 2019","67.94","68.35","69.03","67.88","759.27K","-0.83%"
"Oct 15, 2019","68.51","67.24","69.25","67.24","1.09M","1.89%"
"Oct 14, 2019","67.24","67.24","67.97","66.80","865.92K","-0.18%"
"Oct 11, 2019","67.36","67.38","68.21","67.01","1.23M","1.29%"
"Oct 10, 2019","66.50","65.05","66.63","64.75","1.35M","2.23%"
"Oct 09, 2019","65.05","64.92","65.57","64.64","973.81K","0.34%"
"Oct 08, 2019","64.83","65.65","66.42","64.73","1.10M","-1.53%"
"Oct 07, 2019","65.84","65.49","66.29","64.60","1.97M","-0.11%"
"Oct 04, 2019","65.91","65.34","66.14","64.81","1.47M","1.68%"
"Oct 03, 2019","64.82","64.20","65.52","63.08","2.07M","0.86%"
"Oct 02, 2019","64.27","64.44","64.90","62.88","1.43M","-0.76%"
"Oct 01, 2019","64.76","67.40","67.74","64.37","2.37M","-3.92%"
"Sep 30, 2019","67.40","68.85","68.85","67.24","1.76M","-1.33%"
"Sep 27, 2019","68.31","71.40","71.66","67.98","2.07M","-4.09%"
"Sep 26, 2019","71.22","71.63","71.83","70.24","1.37M","-0.78%"
"Sep 25, 2019","71.78","72.08","72.74","71.18","1.18M","-0.47%"
"Sep 24, 2019","72.12","73.85","73.85","71.74","1.45M","-1.93%"
"Sep 23, 2019","73.54","74.91","75.00","73.53","651.21K","-1.88%"
"Sep 20, 2019","74.95","75.86","77.11","74.42","1.73M","-1.38%"
"Sep 19, 2019","76.00","75.34","76.06","74.29","1.09M","0.66%"
"Sep 18, 2019","75.50","74.93","76.26","74.22","2.08M","0.67%"
"Sep 17, 2019","75.00","74.47","75.19","72.70","993.49K","1.06%"
"Sep 16, 2019","74.21","72.29","74.41","72.01","1.03M","2.15%"
"Sep 13, 2019","72.65","73.33","74.49","72.28","1.15M","-0.21%"
"Sep 12, 2019","72.80","72.53","73.24","71.64","1.15M","0.55%"
"Sep 11, 2019","72.40","74.67","74.76","71.88","1.50M","-1.62%"
"Sep 10, 2019","73.59","71.52","74.32","70.82","1.20M","2.31%"
"Sep 09, 2019","71.93","72.22","72.58","71.19","961.87K","-0.28%"
"Sep 06, 2019","72.13","73.23","73.23","71.97","765.34K","-1.33%"
"Sep 05, 2019","73.10","73.39","74.10","72.75","637.61K","0.49%"
"Sep 04, 2019","72.74","73.87","74.49","71.87","899.71K","-0.78%"
"Sep 03, 2019","73.31","74.77","75.00","72.76","1.21M","-2.33%"
"Aug 30, 2019","75.06","74.75","75.23","74.58","527.93K","0.60%"
"Aug 29, 2019","74.61","74.38","75.31","73.94","895.20K","1.25%"
"Aug 28, 2019","73.69","74.29","74.98","73.46","688.32K","-1.33%"
"Aug 27, 2019","74.68","76.06","76.52","74.03","1.04M","-1.18%"
"Aug 26, 2019","75.57","76.52","77.00","75.15","866.23K","-0.25%"
"Aug 23, 2019","75.76","77.28","77.47","75.49","1.22M","-2.12%"
"Aug 22, 2019","77.40","78.47","78.47","76.84","949.76K","-1.05%"
"Aug 21, 2019","78.22","77.07","78.74","76.26","1.28M","2.24%"
"Aug 20, 2019","76.51","77.11","77.32","75.75","1.14M","-1.16%"
"Aug 19, 2019","77.41","77.41","77.83","75.94","1.04M","1.19%"
"Aug 16, 2019","76.50","72.51","76.68","72.13","1.86M","6.65%"
"Aug 15, 2019","71.73","71.78","73.05","71.53","2.36M","0.03%"
"Aug 14, 2019","71.71","72.69","73.07","71.67","1.31M","-2.38%"
"Aug 13, 2019","73.46","72.72","74.97","72.72","1.51M","-0.18%"
"Aug 12, 2019","73.59","76.44","77.07","73.15","2.06M","-4.42%"
"Aug 09, 2019","76.99","76.41","77.16","75.24","962.88K","0.13%"
"Aug 08, 2019","76.89","77.03","77.77","76.08","792.06K","0.26%"
"Aug 07, 2019","76.69","75.31","77.12","75.01","806.44K","0.89%"
"Aug 06, 2019","76.01","76.69","77.68","74.83","869.04K","-0.01%"
"Aug 05, 2019","76.02","76.20","77.06","75.11","1.82M","-2.34%"
"Aug 02, 2019","77.84","78.00","80.92","76.01","2.15M","-3.90%"
"Aug 01, 2019","81.00","79.43","81.73","79.32","1.47M","2.12%"
"Jul 31, 2019","79.32","80.82","81.38","78.77","1.45M","-2.07%"
"Jul 30, 2019","81.00","79.55","81.66","78.81","839.77K","1.48%"
"Jul 29, 2019","79.82","81.13","81.67","79.53","1.19M","-1.59%"
"Jul 26, 2019","81.11","81.05","81.43","80.25","837.24K","0.55%"
"Jul 25, 2019","80.67","81.10","81.14","80.34","755.72K","-0.53%"
"Jul 24, 2019","81.10","80.61","81.64","80.29","699.09K","0.62%"
"Jul 23, 2019","80.60","81.66","81.95","80.50","654.79K","-1.23%"
"Jul 22, 2019","81.60","81.93","82.49","80.99","704.05K","0.04%"
"Jul 19, 2019","81.57","83.71","83.71","81.39","893.88K","-1.95%"
"Jul 18, 2019","83.19","82.16","83.55","82.16","917.76K","0.87%"
"Jul 17, 2019","82.47","82.26","83.39","81.37","703.52K","0.12%"
"Jul 16, 2019","82.37","84.14","84.14","82.14","580.64K","-1.93%"
"Jul 15, 2019","83.99","83.23","84.02","82.66","684.03K","1.25%"
"Jul 12, 2019","82.95","82.94","84.04","82.20","796.34K","0.28%"
"Jul 11, 2019","82.72","84.92","85.24","81.17","1.17M","-2.81%"
"Jul 10, 2019","85.11","83.51","85.79","83.51","1.37M","2.38%"
"Jul 09, 2019","83.13","80.34","83.26","80.07","1.96M","3.41%"
"Jul 08, 2019","80.39","81.63","82.04","79.41","2.03M","-1.96%"
"Jul 05, 2019","82.00","83.66","83.85","81.66","990.26K","-2.55%"
"Jul 03, 2019","84.15","84.06","84.80","83.90","487.90K","0.12%"
"Jul 02, 2019","84.05","84.15","84.49","83.66","973.84K","-0.12%"
"Jul 01, 2019","84.15","86.99","86.99","84.04","1.24M","-1.75%"
"Jun 28, 2019","85.65","84.37","85.92","83.19","1.61M","1.93%"
"Jun 27, 2019","84.03","83.05","84.16","81.67","1.10M","1.30%"
"Jun 26, 2019","82.95","83.74","84.01","82.43","1.13M","-1.04%"
"Jun 25, 2019","83.82","85.68","86.31","83.65","1.20M","-2.42%"
"Jun 24, 2019","85.90","87.71","87.75","85.29","1.06M","-2.29%"
"Jun 21, 2019","87.91","86.11","88.09","85.00","1.36M","1.79%"
"Jun 20, 2019","86.36","85.89","87.83","85.49","988.24K","1.58%"
"Jun 19, 2019","85.02","85.39","86.42","84.58","719.87K","-0.57%"
"Jun 18, 2019","85.51","85.00","86.63","84.37","975.44K","1.59%"
"Jun 17, 2019","84.17","81.08","84.81","81.05","1.38M","4.12%"
"Jun 14, 2019","80.84","82.12","83.03","80.54","773.27K","-1.85%"
"Jun 13, 2019","82.36","82.59","83.15","81.93","838.33K","0.06%"
"Jun 12, 2019","82.31","81.08","82.96","80.97","943.65K","1.50%"
"Jun 11, 2019","81.09","81.42","81.86","80.08","1.36M","-0.02%"
"Jun 10, 2019","81.11","81.09","81.86","80.60","1.74M","0.58%"
"Jun 07, 2019","80.64","81.10","81.25","79.83","3.27M","0.19%"
"Jun 06, 2019","80.49","83.45","83.73","80.20","1.75M","-3.71%"
"Jun 05, 2019","83.59","84.06","84.38","83.04","1.34M","-0.23%"
"Jun 04, 2019","83.78","82.74","84.00","81.70","1.48M","2.08%"
"Jun 03, 2019","82.07","82.50","83.87","81.76","1.55M","-0.21%"
"May 31, 2019","82.24","82.74","83.85","82.13","1.24M","-1.37%"
"May 30, 2019","83.38","83.04","84.17","82.71","1.45M","0.52%"
"May 29, 2019","82.95","83.78","84.36","82.55","2.10M","-1.83%"
"May 28, 2019","84.50","89.84","89.84","84.12","5.08M","-5.13%"
"May 24, 2019","89.07","87.55","89.33","87.45","1.09M","2.41%"
"May 23, 2019","86.97","86.99","87.59","86.41","925.28K","-0.82%"
"May 22, 2019","87.69","87.20","88.28","86.21","1.12M","0.25%"
"May 21, 2019","87.47","87.28","88.58","86.72","884.93K","0.93%"
"May 20, 2019","86.66","87.89","87.89","86.20","974.89K","-2.31%"
"May 17, 2019","88.71","89.23","90.36","88.00","1.59M","-1.07%"
"May 16, 2019","89.67","87.76","90.61","87.75","2.93M","2.88%"
"May 15, 2019","87.16","80.71","87.40","80.50","2.65M","7.54%"
"May 14, 2019","81.05","80.63","81.91","79.87","655.37K","0.87%"
"May 13, 2019","80.35","81.01","81.76","79.79","1.03M","-2.52%"
"May 10, 2019","82.43","82.92","83.05","81.31","1.24M","-1.14%"
"May 09, 2019","83.38","82.10","83.55","81.35","993.66K","0.80%"
"May 08, 2019","82.72","82.50","82.99","81.59","1.30M","0.88%"
"May 07, 2019","82.00","82.49","82.98","81.05","1.92M","-1.76%"
"May 06, 2019","83.47","82.55","84.21","82.32","1.18M","-0.75%"
"May 03, 2019","84.10","83.83","84.57","82.90","934.45K","0.90%"
"May 02, 2019","83.35","84.17","85.45","82.89","1.15M","-0.99%"
"May 01, 2019","84.18","85.62","86.92","84.07","1.52M","-1.58%"
"Apr 30, 2019","85.53","85.98","86.21","83.59","1.08M","-0.23%"
"Apr 29, 2019","85.73","84.98","86.39","84.59","1.22M","0.75%"
"Apr 26, 2019","85.09","84.98","85.50","82.00","2.13M","-0.26%"
"Apr 25, 2019","85.31","85.25","85.49","84.00","1.16M","-0.21%"
"Apr 24, 2019","85.49","86.16","86.16","84.57","937.53K","-0.59%"
"Apr 23, 2019","86.00","83.58","87.19","83.58","1.30M","2.74%"
"Apr 22, 2019","83.71","82.93","84.71","82.72","989.07K","0.66%"
"Apr 18, 2019","83.16","83.46","84.47","81.22","2.07M","0.98%"
"Apr 17, 2019","82.35","88.61","88.62","81.81","3.08M","-6.96%"
"Apr 16, 2019","88.51","92.26","92.81","88.17","1.14M","-3.64%"
"Apr 15, 2019","91.85","90.10","92.00","89.65","1.25M","2.13%"
"Apr 12, 2019","89.93","89.12","89.97","88.73","708.22K","1.24%"
"Apr 11, 2019","88.83","92.29","93.21","88.69","861.75K","-3.76%"
"Apr 10, 2019","92.30","91.70","92.82","90.85","578.58K","1.08%"
"Apr 09, 2019","91.31","91.98","92.90","91.18","540.98K","-1.16%"
"Apr 08, 2019","92.38","93.76","93.76","90.74","579.78K","-1.62%"
"Apr 05, 2019","93.90","93.03","94.00","92.71","799.29K","1.65%"
"Apr 04, 2019","92.38","92.18","93.92","91.84","946.45K","0.53%"
"Apr 03, 2019","91.89","91.83","92.42","91.04","1.41M","0.72%"
"Apr 02, 2019","91.23","89.43","91.83","87.83","1.41M","2.01%"
"Apr 01, 2019","89.43","89.00","90.22","88.39","920.18K","0.68%"
"Mar 29, 2019","88.83","88.72","89.21","87.82","871.13K","1.16%"
"Mar 28, 2019","87.81","88.03","89.27","87.20","860.14K","-0.15%"
"Mar 27, 2019","87.94","89.76","90.00","87.22","652.58K","-1.92%"
"Mar 26, 2019","89.66","89.31","89.95","88.61","932.38K","1.25%"
"Mar 25, 2019","88.55","87.86","88.73","86.62","1.17M","0.57%"
"Mar 22, 2019","88.05","90.25","90.83","87.97","1.01M","-3.01%"
"Mar 21, 2019","90.78","89.48","91.20","88.81","1.11M","0.91%"
"Mar 20, 2019","89.96","91.42","91.81","89.75","956.06K","-1.62%"
"Mar 19, 2019","91.44","93.92","93.92","91.14","1.09M","-2.06%"
"Mar 18, 2019","93.36","94.09","94.64","92.91","651.08K","-1.24%"
"Mar 15, 2019","94.53","94.40","94.79","93.12","1.45M","0.03%"
"Mar 14, 2019","94.50","95.26","95.85","94.42","741.18K","-0.69%"
"Mar 13, 2019","95.16","94.05","95.32","93.08","934.79K","2.28%"
"Mar 12, 2019","93.04","91.45","94.02","91.21","669.51K","1.94%"
"Mar 11, 2019","91.27","89.71","91.41","88.70","633.06K","1.42%"
"Mar 08, 2019","89.99","90.44","91.38","89.60","701.14K","-1.45%"
"Mar 07, 2019","91.31","90.78","92.15","89.21","957.68K","0.29%"
"Mar 06, 2019","91.05","92.51","92.51","90.50","938.31K","-1.76%"
"Mar 05, 2019","92.68","93.14","94.61","92.05","715.89K","-0.49%"
"Mar 04, 2019","93.14","95.00","96.20","91.83","1.09M","-1.71%"
"Mar 01, 2019","94.76","93.85","94.78","93.50","831.59K","1.61%"
"Feb 28, 2019","93.26","93.45","94.39","92.50","851.33K","-0.54%"
"Feb 27, 2019","93.77","91.78","94.24","91.50","938.99K","1.74%"
"Feb 26, 2019","92.17","91.29","93.46","91.00","847.68K","0.89%"
"Feb 25, 2019","91.36","93.38","95.00","90.94","2.54M","3.97%"
"Feb 22, 2019","87.87","86.14","89.30","84.01","2.37M","-1.06%"
"Feb 21, 2019","88.81","90.12","91.33","88.52","1.02M","-2.04%"
"Feb 20, 2019","90.66","92.00","92.79","89.08","1.23M","-1.30%"
"Feb 19, 2019","91.85","93.78","94.49","91.73","974.24K","-2.28%"
"Feb 15, 2019","93.99","94.18","94.60","93.22","1.10M","0.56%"
"Feb 14, 2019","93.47","95.20","95.72","92.79","831.69K","-1.87%"
"Feb 13, 2019","95.25","95.71","96.85","94.74","708.04K","0.02%"
"Feb 12, 2019","95.23","93.47","95.40","93.35","767.32K","2.78%"
"Feb 11, 2019","92.65","94.35","94.69","92.06","789.04K","-1.73%"
"Feb 08, 2019","94.28","93.23","94.69","93.01","603.95K","0.55%"
"Feb 07, 2019","93.76","95.53","95.84","92.95","778.61K","-2.28%"
"Feb 06, 2019","95.95","97.70","97.94","95.61","742.64K","-1.67%"
"Feb 05, 2019","97.58","98.63","100.13","97.28","762.79K","-0.83%"
"Feb 04, 2019","98.40","98.35","98.81","97.29","471.92K","-0.22%"
"Feb 01, 2019","98.62","98.00","98.77","97.22","898.40K","0.46%"
"Jan 31, 2019","98.17","97.19","98.75","96.92","621.94K","1.24%"
"Jan 30, 2019","96.97","94.23","97.14","93.53","707.37K","2.96%"
"Jan 29, 2019","94.18","93.55","94.31","92.33","577.57K","1.06%"
"Jan 28, 2019","93.19","94.37","94.88","91.50","746.06K","-2.36%"
"Jan 25, 2019","95.44","93.00","95.57","92.50","1.24M","2.98%"
"Jan 24, 2019","92.68","93.68","94.16","92.64","823.99K","-0.96%"
"Jan 23, 2019","93.58","95.60","96.42","92.33","1.07M","-2.17%"
"Jan 22, 2019","95.66","96.82","97.71","95.11","1.43M","-2.08%"
"Jan 18, 2019","97.69","98.30","98.52","95.64","1.29M","0.18%"
"Jan 17, 2019","97.51","95.24","98.53","95.24","735.98K","1.88%"
"Jan 16, 2019","95.71","94.84","97.60","94.84","615.02K","0.82%"
"Jan 15, 2019","94.93","93.24","96.28","92.65","867.07K","1.91%"
"Jan 14, 2019","93.15","93.79","94.40","93.00","929.76K","-1.39%"
"Jan 11, 2019","94.46","93.82","95.11","93.09","659.87K","0.55%"
"Jan 10, 2019","93.94","90.55","94.35","90.00","970.96K","3.39%"
"Jan 09, 2019","90.86","92.38","92.58","90.27","1.19M","-1.56%"
"Jan 08, 2019","92.30","90.95","92.81","89.21","1.09M","2.34%"
"Jan 07, 2019","90.19","87.58","91.91","87.07","1.44M","3.55%"
"Jan 04, 2019","87.10","85.45","88.23","85.04","1.38M","3.44%"
"Jan 03, 2019","84.20","86.11","86.99","83.87","1.00M","-0.89%"
"Jan 02, 2019","84.96","82.10","85.36","82.01","624.80K","-0.22%"
"Dec 31, 2018","85.15","83.89","85.50","83.02","897.88K","1.85%"
"Dec 28, 2018","83.60","84.04","85.43","82.02","980.43K","-0.48%"
"Dec 27, 2018","84.00","82.53","84.06","80.52","872.51K","0.26%"
"Dec 26, 2018","83.78","80.50","83.80","79.13","1.17M","4.54%"
"Dec 24, 2018","80.14","80.50","81.97","80.06","812.36K","-0.96%"
"Dec 21, 2018","80.92","85.97","86.96","80.53","2.11M","-5.72%"
"Dec 20, 2018","85.83","86.03","87.60","83.25","1.38M","-0.06%"
"Dec 19, 2018","85.88","89.85","90.75","85.24","973.83K","-4.13%"
"Dec 18, 2018","89.58","92.85","93.24","88.12","1.11M","-3.10%"
"Dec 17, 2018","92.45","92.64","95.70","91.01","896.05K","-0.71%"
"Dec 14, 2018","93.11","92.64","94.60","92.49","954.42K","-0.83%"
"Dec 13, 2018","93.89","94.94","95.43","92.87","697.47K","-0.66%"
"Dec 12, 2018","94.51","93.12","97.62","92.64","1.22M","2.35%"
"Dec 11, 2018","92.34","94.83","95.33","91.88","656.11K","-1.59%"
"Dec 10, 2018","93.83","93.00","94.07","91.57","962.04K","1.22%"
"Dec 07, 2018","92.70","94.44","96.12","91.58","715.31K","-2.97%"
"Dec 06, 2018","95.54","92.30","96.67","91.57","1.09M","1.97%"
"Dec 04, 2018","93.69","97.34","98.86","93.40","1.06M","-4.19%"
"Dec 03, 2018","97.79","96.61","99.89","96.42","1.23M","1.83%"
"Nov 30, 2018","96.03","96.92","97.11","94.20","1.08M","-0.74%"
"Nov 29, 2018","96.75","97.92","98.76","96.38","623.30K","-1.89%"
"Nov 28, 2018","98.61","96.07","98.99","95.00","834.56K","2.32%"
"Nov 27, 2018","96.37","96.33","97.07","94.38","460.66K","-0.66%"
"Nov 26, 2018","97.01","94.75","97.20","94.54","854.09K","3.44%"
"Nov 23, 2018","93.78","92.51","96.04","92.47","262.32K","0.20%"
"Nov 21, 2018","93.59","92.29","94.88","91.94","542.11K","2.32%"
"Nov 20, 2018","91.47","93.26","93.76","90.99","812.53K","-2.39%"
"Nov 19, 2018","93.71","95.59","96.07","92.37","848.29K","-2.08%"
"Nov 16, 2018","95.70","93.95","96.67","92.80","711.89K","1.00%"
"Nov 15, 2018","94.75","91.11","94.75","90.25","1.04M","3.26%"
"Nov 14, 2018","91.76","94.02","94.83","90.86","1.13M","-1.88%"
"Nov 13, 2018","93.52","93.78","95.50","92.78","875.45K","0.48%"
"Nov 12, 2018","93.07","95.36","95.55","92.18","915.24K","-2.72%"
"Nov 09, 2018","95.67","98.13","99.74","94.97","850.27K","-2.91%"
"Nov 08, 2018","98.54","99.01","101.72","98.33","798.86K","-0.52%"
"Nov 07, 2018","99.06","97.06","99.15","95.59","1.10M","2.57%"
"Nov 06, 2018","96.58","97.43","98.84","95.59","779.95K","-1.20%"
"Nov 05, 2018","97.75","98.68","98.87","95.55","640.44K","-0.21%"
"Nov 02, 2018","97.96","97.88","99.49","96.47","930.00K","0.52%"
"Nov 01, 2018","97.45","92.55","98.16","92.17","1.26M","5.73%"
"Oct 31, 2018","92.17","92.79","93.88","92.07","1.12M","0.07%"
"Oct 30, 2018","92.11","93.41","94.74","90.38","1.39M","-1.76%"
"Oct 29, 2018","93.76","99.00","99.09","92.08","1.39M","-3.78%"
"Oct 26, 2018","97.44","90.00","99.98","90.00","2.31M","1.05%"
"Oct 25, 2018","96.43","93.09","97.48","92.17","1.57M","3.82%"
"Oct 24, 2018","92.88","100.45","101.12","92.77","1.68M","-7.34%"
"Oct 23, 2018","100.24","102.27","103.11","98.75","1.46M","-3.18%"
"Oct 22, 2018","103.53","103.55","104.47","101.66","976.20K","0.30%"
"Oct 19, 2018","103.22","104.68","105.45","102.41","929.98K","-0.58%"
"Oct 18, 2018","103.82","106.25","106.70","103.37","1.27M","-2.12%"
"Oct 17, 2018","106.07","106.09","106.74","104.15","1.38M","0.06%"
"Oct 16, 2018","106.01","100.09","106.16","100.00","1.43M","6.60%"
"Oct 15, 2018","99.45","99.40","100.89","98.54","1.15M","-0.06%"
"Oct 12, 2018","99.51","99.07","99.87","97.12","871.36K","2.27%"
"Oct 11, 2018","97.30","97.56","99.21","96.10","1.56M","-1.16%"
"Oct 10, 2018","98.44","103.34","104.74","98.25","2.22M","-5.59%"
"Oct 09, 2018","104.27","101.11","104.98","101.11","1.45M","2.90%"
