"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","63.47","62.42","64.37","62.41","1.88M","0.84%"
"Oct 22, 2019","62.94","69.79","70.50","62.75","3.85M","-5.71%"
"Oct 21, 2019","66.75","66.34","66.87","65.80","1.88M","1.75%"
"Oct 18, 2019","65.60","65.67","66.59","64.88","1.88M","-0.61%"
"Oct 17, 2019","66.00","67.27","67.77","65.91","1.33M","-1.21%"
"Oct 16, 2019","66.81","66.19","67.37","66.14","1.10M","-1.21%"
"Oct 15, 2019","67.63","66.77","67.70","66.48","1.50M","1.68%"
"Oct 14, 2019","66.51","66.01","66.87","65.98","1.15M","0.93%"
"Oct 11, 2019","65.90","66.36","67.00","65.69","1.54M","0.55%"
"Oct 10, 2019","65.54","64.68","65.70","64.60","1.28M","1.06%"
"Oct 09, 2019","64.85","64.41","65.26","64.08","916.87K","1.90%"
"Oct 08, 2019","63.64","64.68","65.09","63.20","1.78M","-2.99%"
"Oct 07, 2019","65.60","65.74","66.32","65.45","1.16M","-0.47%"
"Oct 04, 2019","65.91","65.41","65.93","64.93","2.99M","1.24%"
"Oct 03, 2019","65.10","64.02","65.22","63.22","1.69M","1.69%"
"Oct 02, 2019","64.02","64.70","64.81","63.14","1.86M","-1.95%"
"Oct 01, 2019","65.29","66.35","66.99","65.25","1.23M","-1.20%"
"Sep 30, 2019","66.08","65.42","66.46","65.07","1.60M","1.35%"
"Sep 27, 2019","65.20","66.74","66.85","64.38","1.61M","-2.07%"
"Sep 26, 2019","66.58","66.22","66.83","65.84","1.03M","0.68%"
"Sep 25, 2019","66.13","65.19","66.43","64.21","1.84M","1.49%"
"Sep 24, 2019","65.16","66.64","66.78","64.83","1.96M","-1.23%"
"Sep 23, 2019","65.97","65.49","66.51","65.26","1.08M","-0.06%"
"Sep 20, 2019","66.01","67.32","68.20","66.01","2.86M","-1.36%"
"Sep 19, 2019","66.92","67.56","68.24","66.86","2.03M","-1.28%"
"Sep 18, 2019","67.79","67.06","67.88","66.50","1.91M","0.65%"
"Sep 17, 2019","67.35","66.04","67.47","65.58","2.30M","2.46%"
"Sep 16, 2019","65.73","64.96","65.80","64.26","1.67M","0.29%"
"Sep 13, 2019","65.54","66.09","67.04","65.37","1.59M","-0.92%"
"Sep 12, 2019","66.15","65.81","67.59","65.81","1.80M","1.04%"
"Sep 11, 2019","65.47","65.83","66.38","65.25","1.86M","-0.46%"
"Sep 10, 2019","65.77","67.85","68.30","65.04","2.32M","-3.86%"
"Sep 09, 2019","68.41","70.45","70.45","67.79","1.68M","-2.27%"
"Sep 06, 2019","70.00","70.60","70.94","69.89","1.56M","-0.86%"
"Sep 05, 2019","70.61","69.44","70.90","68.85","1.60M","3.08%"
"Sep 04, 2019","68.50","69.09","69.49","68.21","1.67M","0.53%"
"Sep 03, 2019","68.14","67.82","68.51","67.51","2.14M","-0.50%"
"Aug 30, 2019","68.48","69.51","69.57","68.21","1.67M","-0.78%"
"Aug 29, 2019","69.02","67.76","69.38","67.67","2.10M","3.29%"
"Aug 28, 2019","66.82","66.43","67.29","66.03","1.75M","-0.43%"
"Aug 27, 2019","67.11","68.25","68.33","66.82","2.49M","-1.00%"
"Aug 26, 2019","67.79","67.77","68.04","67.27","2.72M","1.47%"
"Aug 23, 2019","66.81","69.33","69.61","66.55","2.23M","-4.30%"
"Aug 22, 2019","69.81","70.18","71.11","69.10","1.92M","0.17%"
"Aug 21, 2019","69.69","69.48","70.40","68.91","1.60M","1.31%"
"Aug 20, 2019","68.79","69.37","69.66","68.50","1.59M","-1.16%"
"Aug 19, 2019","69.60","70.59","70.70","69.06","1.15M","0.40%"
"Aug 16, 2019","69.32","69.05","69.49","68.50","1.45M","1.73%"
"Aug 15, 2019","68.14","67.92","68.42","67.30","1.66M","0.61%"
"Aug 14, 2019","67.73","69.42","69.87","67.29","1.88M","-4.57%"
"Aug 13, 2019","70.97","68.60","71.13","68.41","2.28M","3.27%"
"Aug 12, 2019","68.72","69.95","70.03","68.39","1.48M","-2.16%"
"Aug 09, 2019","70.24","70.83","71.29","69.04","1.20M","-1.61%"
"Aug 08, 2019","71.39","69.51","71.67","69.50","1.98M","3.57%"
"Aug 07, 2019","68.93","68.25","69.20","67.77","2.12M","-0.32%"
"Aug 06, 2019","69.15","68.15","69.40","68.05","2.13M","2.44%"
"Aug 05, 2019","67.50","69.50","69.59","66.98","2.77M","-5.29%"
"Aug 02, 2019","71.27","72.32","72.99","70.66","1.80M","-2.42%"
"Aug 01, 2019","73.04","73.91","75.34","72.64","2.11M","-1.18%"
"Jul 31, 2019","73.91","75.73","75.83","73.12","1.66M","-2.16%"
"Jul 30, 2019","75.54","75.70","76.27","75.23","1.15M","-1.06%"
"Jul 29, 2019","76.35","76.01","76.44","74.54","1.43M","0.58%"
"Jul 26, 2019","75.91","76.19","76.77","75.76","1.95M","-0.17%"
"Jul 25, 2019","76.04","75.69","77.08","75.38","2.30M","0.33%"
"Jul 24, 2019","75.79","74.01","76.00","73.71","2.23M","2.05%"
"Jul 23, 2019","74.27","71.99","74.43","71.10","3.92M","2.22%"
"Jul 22, 2019","72.66","73.40","73.85","72.49","3.78M","-0.36%"
"Jul 19, 2019","72.92","74.80","74.92","72.87","2.15M","-2.41%"
"Jul 18, 2019","74.72","74.00","75.04","73.62","2.87M","0.50%"
"Jul 17, 2019","74.35","74.75","75.41","74.29","1.78M","-0.46%"
"Jul 16, 2019","74.69","75.05","75.45","74.67","1.92M","-0.68%"
"Jul 15, 2019","75.20","75.53","75.53","74.72","1.48M","0.24%"
"Jul 12, 2019","75.02","75.17","75.51","73.95","1.79M","-0.24%"
"Jul 11, 2019","75.20","75.55","75.56","74.75","1.90M","0.13%"
"Jul 10, 2019","75.10","74.84","75.59","74.58","1.74M","0.82%"
"Jul 09, 2019","74.49","73.85","74.57","73.54","1.92M","0.16%"
"Jul 08, 2019","74.37","74.08","74.46","73.73","1.34M","-0.05%"
"Jul 05, 2019","74.41","74.20","74.43","72.88","1.24M","-0.53%"
"Jul 03, 2019","74.81","74.25","75.02","74.02","1.85M","1.07%"
"Jul 02, 2019","74.02","73.35","74.02","73.29","1.97M","0.91%"
"Jul 01, 2019","73.35","72.56","73.53","72.38","2.04M","3.59%"
"Jun 28, 2019","70.81","70.39","70.93","69.95","3.56M","0.91%"
"Jun 27, 2019","70.17","69.99","70.48","69.95","1.45M","0.47%"
"Jun 26, 2019","69.84","69.98","70.76","69.63","1.80M","0.59%"
"Jun 25, 2019","69.43","71.04","71.66","69.36","2.04M","-2.60%"
"Jun 24, 2019","71.28","71.57","71.88","70.57","1.96M","-0.13%"
"Jun 21, 2019","71.37","72.50","72.87","71.16","2.89M","-1.79%"
"Jun 20, 2019","72.67","72.52","73.09","72.21","3.03M","1.72%"
"Jun 19, 2019","71.44","69.35","71.61","69.22","3.28M","3.22%"
"Jun 18, 2019","69.21","68.33","69.37","68.07","2.23M","2.46%"
"Jun 17, 2019","67.55","67.90","68.41","67.31","2.15M","-0.25%"
"Jun 14, 2019","67.72","68.00","68.00","67.08","2.06M","-0.56%"
"Jun 13, 2019","68.10","69.98","70.08","67.89","2.34M","-1.80%"
"Jun 12, 2019","69.35","68.14","69.51","68.00","2.27M","1.69%"
"Jun 11, 2019","68.20","67.83","68.33","67.38","2.76M","1.53%"
"Jun 10, 2019","67.17","66.20","67.31","65.85","2.04M","2.44%"
"Jun 07, 2019","65.57","64.87","65.94","64.85","1.73M","1.36%"
"Jun 06, 2019","64.69","64.70","64.85","63.66","2.46M","0.29%"
"Jun 05, 2019","64.50","64.07","64.84","63.86","2.57M","2.02%"
"Jun 04, 2019","63.22","62.57","63.55","62.22","4.21M","2.46%"
"Jun 03, 2019","61.70","63.31","63.80","61.32","2.64M","-2.94%"
"May 31, 2019","63.57","63.45","64.27","63.13","2.35M","-1.17%"
"May 30, 2019","64.32","64.01","64.79","63.82","1.36M","0.89%"
"May 29, 2019","63.75","63.44","64.18","62.82","2.70M","-0.27%"
"May 28, 2019","63.92","64.16","65.13","63.46","3.91M","-0.11%"
"May 24, 2019","63.99","63.89","64.33","63.78","2.10M","0.42%"
"May 23, 2019","63.72","64.21","64.30","63.31","2.61M","-1.55%"
"May 22, 2019","64.72","65.02","65.14","64.44","2.70M","-0.96%"
"May 21, 2019","65.35","65.40","65.78","65.17","2.71M","1.13%"
"May 20, 2019","64.62","67.37","67.40","64.38","3.52M","-5.88%"
"May 17, 2019","68.66","69.53","69.93","68.56","2.05M","-1.70%"
