"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","104.99","104.52","104.99","104.06","2.89M","0.28%"
"Oct 22, 2019","104.70","106.23","107.41","104.65","4.35M","1.26%"
"Oct 21, 2019","103.40","103.00","103.50","102.40","3.55M","0.44%"
"Oct 18, 2019","102.95","102.20","103.08","101.69","4.88M","1.13%"
"Oct 17, 2019","101.80","101.11","102.13","101.11","3.34M","0.82%"
"Oct 16, 2019","100.97","100.78","101.22","100.50","3.22M","0.02%"
"Oct 15, 2019","100.95","100.50","101.19","100.40","2.66M","0.56%"
"Oct 14, 2019","100.39","100.53","100.66","100.11","1.84M","-0.18%"
"Oct 11, 2019","100.57","100.25","100.96","99.98","3.70M","0.76%"
"Oct 10, 2019","99.81","99.73","99.90","99.26","3.24M","0.18%"
"Oct 09, 2019","99.63","99.04","99.86","99.03","2.98M","0.76%"
"Oct 08, 2019","98.88","99.25","100.02","98.67","4.21M","-0.82%"
"Oct 07, 2019","99.70","99.63","100.42","99.56","3.63M","-0.17%"
"Oct 04, 2019","99.87","98.51","100.10","98.43","3.47M","1.47%"
"Oct 03, 2019","98.42","97.51","98.43","97.34","3.78M","0.82%"
"Oct 02, 2019","97.62","98.97","98.98","97.30","4.38M","-1.65%"
"Oct 01, 2019","99.26","99.51","100.19","99.05","4.20M","-0.04%"
"Sep 30, 2019","99.30","98.85","99.93","98.53","5.20M","0.46%"
"Sep 27, 2019","98.85","98.68","99.25","98.44","4.64M","0.26%"
"Sep 26, 2019","98.59","98.58","98.88","97.97","3.76M","0.03%"
"Sep 25, 2019","98.56","98.62","99.05","98.37","2.90M","-0.06%"
"Sep 24, 2019","98.62","99.80","99.85","98.48","4.52M","-0.80%"
"Sep 23, 2019","99.42","99.45","99.81","99.31","3.13M","0.05%"
"Sep 20, 2019","99.37","98.65","99.66","98.50","5.39M","0.42%"
"Sep 19, 2019","98.95","98.55","99.33","98.45","2.18M","0.28%"
"Sep 18, 2019","98.67","98.60","98.85","98.17","3.37M","0.07%"
"Sep 17, 2019","98.60","98.26","98.99","98.26","3.41M","0.22%"
"Sep 16, 2019","98.38","98.33","98.69","98.17","2.68M","-0.02%"
"Sep 13, 2019","98.40","98.78","99.36","98.28","3.94M","-0.23%"
"Sep 12, 2019","98.63","98.52","99.06","98.28","2.91M","0.22%"
"Sep 11, 2019","98.41","97.72","98.75","97.69","3.02M","0.78%"
"Sep 10, 2019","97.65","96.68","97.84","96.56","3.63M","0.60%"
"Sep 09, 2019","97.07","97.29","97.34","96.40","2.74M","-0.08%"
"Sep 06, 2019","97.15","97.55","97.75","96.95","2.99M","-0.37%"
"Sep 05, 2019","97.51","97.38","97.56","96.85","2.77M","0.56%"
