"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","67.57","67.44","67.68","66.77","2.18M","0.15%"
"Oct 22, 2019","67.47","67.94","68.38","67.38","1.60M","-1.01%"
"Oct 21, 2019","68.16","67.92","68.40","67.73","1.49M","0.59%"
"Oct 18, 2019","67.76","68.31","68.49","67.71","1.62M","-0.51%"
"Oct 17, 2019","68.11","68.22","68.32","67.42","1.73M","-0.07%"
"Oct 16, 2019","68.16","68.00","68.44","67.72","1.80M","0.10%"
"Oct 15, 2019","68.09","67.98","68.37","67.69","1.27M","0.52%"
"Oct 14, 2019","67.74","67.53","67.98","67.04","1.56M","0.24%"
"Oct 11, 2019","67.58","67.27","68.28","67.03","2.04M","1.11%"
"Oct 10, 2019","66.84","65.46","67.00","65.44","2.88M","1.72%"
"Oct 09, 2019","65.71","65.38","65.94","65.10","1.43M","0.94%"
"Oct 08, 2019","65.10","65.69","66.24","65.02","2.42M","-1.82%"
"Oct 07, 2019","66.31","66.60","66.81","65.86","1.27M","-0.76%"
"Oct 04, 2019","66.82","66.32","66.95","66.15","1.11M","1.03%"
"Oct 03, 2019","66.14","66.36","66.87","65.52","1.86M","-0.60%"
"Oct 02, 2019","66.54","67.16","67.19","65.72","2.11M","-1.36%"
"Oct 01, 2019","67.46","68.37","69.04","67.17","1.95M","-1.04%"
"Sep 30, 2019","68.17","68.37","68.83","68.02","3.21M","-0.29%"
"Sep 27, 2019","68.37","68.52","69.03","67.77","1.75M","0.01%"
"Sep 26, 2019","68.36","68.46","68.97","67.49","1.37M","0.19%"
"Sep 25, 2019","68.23","67.95","68.49","67.74","1.26M","-0.15%"
"Sep 24, 2019","68.33","68.75","69.00","67.82","1.69M","-0.36%"
"Sep 23, 2019","68.58","68.21","68.77","67.71","1.21M","0.20%"
"Sep 20, 2019","68.44","67.45","68.63","67.41","3.98M","1.12%"
"Sep 19, 2019","67.68","67.68","68.51","67.48","1.21M","0.16%"
"Sep 18, 2019","67.57","68.19","68.48","66.91","1.29M","-0.84%"
"Sep 17, 2019","68.14","67.72","68.32","67.66","1.18M","0.56%"
"Sep 16, 2019","67.76","67.45","68.12","67.25","1.00M","-0.13%"
"Sep 13, 2019","67.85","68.25","68.75","67.64","1.27M","-0.24%"
"Sep 12, 2019","68.01","68.55","69.20","67.96","1.65M","-0.47%"
"Sep 11, 2019","68.33","67.19","68.39","66.67","1.43M","1.46%"
"Sep 10, 2019","67.35","66.23","67.36","65.86","2.25M","1.28%"
"Sep 09, 2019","66.50","67.59","67.75","66.05","2.86M","-1.28%"
"Sep 06, 2019","67.36","67.91","67.95","67.22","1.86M","-0.72%"
"Sep 05, 2019","67.85","67.92","68.21","67.38","1.47M","0.85%"
"Sep 04, 2019","67.28","67.95","68.26","66.71","1.40M","-0.16%"
"Sep 03, 2019","67.39","68.30","68.76","66.84","2.28M","-2.21%"
"Aug 30, 2019","68.91","69.55","69.86","68.42","1.97M","-0.13%"
"Aug 29, 2019","69.00","69.08","69.40","68.64","1.14M","0.61%"
"Aug 28, 2019","68.58","67.91","69.08","67.89","1.31M","0.57%"
"Aug 27, 2019","68.19","68.86","69.30","67.96","2.07M","-0.48%"
"Aug 26, 2019","68.52","68.24","68.86","67.98","1.84M","0.87%"
"Aug 23, 2019","67.93","71.25","71.48","67.57","3.78M","-5.23%"
"Aug 22, 2019","71.68","72.84","72.86","71.37","1.36M","-0.14%"
"Aug 21, 2019","71.78","71.97","72.08","71.61","1.33M","0.56%"
"Aug 20, 2019","71.38","71.90","71.98","71.30","1.69M","-0.63%"
"Aug 19, 2019","71.83","71.28","72.22","70.92","1.88M","1.67%"
"Aug 16, 2019","70.65","69.94","70.97","69.53","1.98M","2.02%"
"Aug 15, 2019","69.25","69.45","69.97","69.22","2.30M","-0.24%"
"Aug 14, 2019","69.42","70.18","70.46","69.31","2.27M","-2.06%"
"Aug 13, 2019","70.88","70.33","71.74","70.02","1.71M","0.91%"
"Aug 12, 2019","70.24","71.23","71.48","70.09","1.78M","-1.64%"
"Aug 09, 2019","71.41","71.48","71.78","70.88","1.52M","-0.11%"
"Aug 08, 2019","71.49","70.22","71.63","70.08","1.94M","2.00%"
"Aug 07, 2019","70.09","69.88","70.35","69.10","2.40M","-0.58%"
"Aug 06, 2019","70.50","69.81","70.64","69.36","1.82M","1.19%"
"Aug 05, 2019","69.67","70.20","70.91","69.47","2.78M","-1.83%"
"Aug 02, 2019","70.97","71.99","72.00","70.59","2.21M","-1.33%"
"Aug 01, 2019","71.93","71.75","72.78","71.57","3.23M","0.39%"
"Jul 31, 2019","71.65","73.59","73.78","71.03","2.48M","-2.64%"
"Jul 30, 2019","73.59","73.40","73.98","73.20","1.65M","-0.11%"
"Jul 29, 2019","73.67","73.00","73.82","72.53","1.54M","0.77%"
"Jul 26, 2019","73.11","72.78","73.51","71.96","2.69M","0.26%"
"Jul 25, 2019","72.92","71.49","73.33","70.52","4.07M","0.98%"
"Jul 24, 2019","72.21","71.62","72.40","71.15","2.74M","0.18%"
"Jul 23, 2019","72.08","71.98","72.12","71.06","2.24M","0.11%"
"Jul 22, 2019","72.00","72.96","73.06","71.91","3.29M","-1.14%"
"Jul 19, 2019","72.83","74.47","74.47","72.64","2.23M","-1.58%"
"Jul 18, 2019","74.00","74.51","74.58","73.78","2.42M","-0.58%"
"Jul 17, 2019","74.43","74.39","74.79","74.07","2.11M","-0.07%"
"Jul 16, 2019","74.48","76.03","76.14","74.14","3.06M","-1.78%"
"Jul 15, 2019","75.83","76.19","76.27","75.72","1.28M","-0.38%"
"Jul 12, 2019","76.12","76.31","76.47","75.51","1.41M","-0.04%"
"Jul 11, 2019","76.15","75.85","76.20","75.48","1.41M","0.62%"
"Jul 10, 2019","75.68","75.14","75.73","75.00","1.66M","0.92%"
"Jul 09, 2019","74.99","74.32","75.03","74.20","1.57M","0.58%"
"Jul 08, 2019","74.56","74.24","74.73","73.85","1.67M","0.08%"
"Jul 05, 2019","74.50","74.21","74.50","73.54","1.24M","-0.04%"
"Jul 03, 2019","74.53","75.00","76.00","74.12","1.53M","-0.56%"
"Jul 02, 2019","74.95","74.52","75.08","74.15","2.53M","0.92%"
"Jul 01, 2019","74.27","73.61","74.42","73.50","2.46M","1.32%"
"Jun 28, 2019","73.30","71.85","73.36","71.84","6.53M","2.10%"
"Jun 27, 2019","71.79","71.08","72.01","70.81","1.81M","1.06%"
"Jun 26, 2019","71.04","71.35","71.78","70.67","1.60M","-0.29%"
"Jun 25, 2019","71.25","72.84","72.95","71.00","2.27M","-1.93%"
"Jun 24, 2019","72.65","72.11","72.70","71.56","1.34M","0.78%"
"Jun 21, 2019","72.09","71.90","72.40","71.44","3.30M","0.47%"
"Jun 20, 2019","71.75","71.69","72.00","71.00","3.06M","1.06%"
"Jun 19, 2019","71.00","70.78","71.31","70.56","3.22M","0.47%"
"Jun 18, 2019","70.67","72.00","72.14","70.52","2.81M","-1.13%"
"Jun 17, 2019","71.48","72.15","72.33","71.42","1.81M","-1.04%"
"Jun 14, 2019","72.23","72.54","72.95","72.20","1.68M","-0.34%"
"Jun 13, 2019","72.48","72.46","72.69","72.15","1.91M","0.30%"
"Jun 12, 2019","72.26","71.73","72.42","71.69","2.03M","0.82%"
"Jun 11, 2019","71.67","72.85","73.23","71.24","3.12M","-1.42%"
"Jun 10, 2019","72.70","72.85","73.14","72.23","1.68M","-0.05%"
"Jun 07, 2019","72.74","72.75","73.24","72.45","1.85M","0.68%"
"Jun 06, 2019","72.25","71.54","72.50","71.48","2.55M","1.03%"
"Jun 05, 2019","71.51","71.00","71.79","70.52","3.01M","0.89%"
"Jun 04, 2019","70.88","69.80","70.91","69.64","3.44M","2.61%"
"Jun 03, 2019","69.08","70.00","70.41","68.75","3.55M","-1.27%"
"May 31, 2019","69.97","69.94","70.36","69.35","1.99M","-0.50%"
"May 30, 2019","70.32","69.62","70.70","69.50","2.03M","1.28%"
"May 29, 2019","69.43","70.03","70.25","69.05","2.72M","-1.04%"
"May 28, 2019","70.16","70.63","71.00","70.04","4.10M","-0.61%"
"May 24, 2019","70.59","70.13","70.90","70.00","3.11M","0.93%"
"May 23, 2019","69.94","69.74","70.45","69.41","3.22M","-0.27%"
"May 22, 2019","70.13","69.90","70.45","69.56","2.32M","-0.03%"
"May 21, 2019","70.15","69.85","70.76","69.72","3.62M","0.86%"
"May 20, 2019","69.55","67.91","69.74","67.87","3.26M","1.56%"
"May 17, 2019","68.48","68.39","69.62","68.33","2.26M","-0.62%"
"May 16, 2019","68.91","68.70","69.65","68.63","2.16M","0.41%"
"May 15, 2019","68.63","67.34","69.07","67.09","2.83M","1.18%"
"May 14, 2019","67.83","67.44","68.32","67.28","2.36M","1.00%"
"May 13, 2019","67.16","67.88","68.34","67.06","2.70M","-2.58%"
"May 10, 2019","68.94","68.23","69.28","67.61","2.28M","0.51%"
"May 09, 2019","68.59","67.59","68.69","67.24","2.07M","0.84%"
"May 08, 2019","68.02","67.76","68.37","67.43","1.64M","0.40%"
"May 07, 2019","67.75","67.92","68.36","67.41","2.38M","-1.31%"
"May 06, 2019","68.65","67.34","68.75","67.12","2.24M","0.26%"
"May 03, 2019","68.47","68.45","69.34","68.13","2.17M","0.68%"
"May 02, 2019","68.01","66.77","68.17","66.43","3.01M","1.96%"
"May 01, 2019","66.70","66.65","67.11","66.13","2.55M","0.38%"
"Apr 30, 2019","66.45","65.54","66.56","65.31","2.56M","0.87%"
"Apr 29, 2019","65.88","65.00","66.27","64.84","2.78M","1.23%"
"Apr 26, 2019","65.08","64.50","65.47","62.78","4.82M","0.74%"
"Apr 25, 2019","64.60","63.68","64.96","63.16","2.91M","0.70%"
"Apr 24, 2019","64.15","63.82","64.39","63.78","2.75M","0.50%"
"Apr 23, 2019","63.83","62.93","64.11","62.86","3.85M","1.85%"
"Apr 22, 2019","62.67","62.44","63.00","62.24","2.05M","-0.06%"
"Apr 18, 2019","62.71","62.80","63.01","61.86","2.58M","0.50%"
"Apr 17, 2019","62.40","63.12","63.43","62.23","3.01M","-1.03%"
"Apr 16, 2019","63.05","63.78","63.97","62.64","2.20M","-0.65%"
"Apr 15, 2019","63.46","62.72","63.60","62.48","3.06M","1.05%"
"Apr 12, 2019","62.80","62.39","62.84","62.20","2.59M","0.96%"
"Apr 11, 2019","62.20","63.57","63.76","61.98","3.31M","-2.37%"
"Apr 10, 2019","63.71","63.60","63.77","61.67","5.19M","1.18%"
"Apr 09, 2019","62.97","63.38","66.03","61.89","15.88M","10.30%"
"Apr 08, 2019","57.09","57.41","57.58","56.52","1.40M","-0.40%"
"Apr 05, 2019","57.32","57.03","57.51","57.00","993.07K","0.47%"
"Apr 04, 2019","57.05","57.21","57.54","56.71","858.38K","-0.12%"
"Apr 03, 2019","57.12","57.26","57.49","56.79","1.68M","0.33%"
"Apr 02, 2019","56.93","57.48","57.62","56.68","1.16M","-1.03%"
"Apr 01, 2019","57.52","57.67","57.75","56.66","1.77M","0.54%"
"Mar 29, 2019","57.21","56.87","57.35","56.67","1.44M","1.18%"
"Mar 28, 2019","56.54","56.70","57.00","56.15","1.38M","-0.14%"
"Mar 27, 2019","56.62","56.65","56.96","56.11","999.64K","-0.16%"
"Mar 26, 2019","56.71","56.92","57.39","56.53","1.36M","0.04%"
