"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","435.56","436.25","439.39","434.12","911.66K","-0.38%"
"Oct 22, 2019","437.23","437.04","441.00","435.87","1.09M","-0.21%"
"Oct 21, 2019","438.16","442.22","444.99","437.26","750.99K","-0.43%"
"Oct 18, 2019","440.05","443.79","444.41","439.60","821.67K","-0.43%"
"Oct 17, 2019","441.93","439.55","445.00","437.32","724.85K","0.87%"
"Oct 16, 2019","438.10","432.85","440.27","430.26","907.72K","1.20%"
"Oct 15, 2019","432.92","423.60","435.45","422.79","1.30M","2.35%"
"Oct 14, 2019","422.96","423.89","424.69","421.92","690.36K","-0.05%"
"Oct 11, 2019","423.16","430.22","430.72","422.88","1.24M","-0.88%"
"Oct 10, 2019","426.93","428.97","430.30","424.88","704.01K","-0.55%"
"Oct 09, 2019","429.28","431.23","431.51","427.48","626.75K","0.28%"
"Oct 08, 2019","428.07","426.91","430.94","423.05","1.25M","-0.46%"
"Oct 07, 2019","430.04","425.53","432.16","425.29","996.37K","0.54%"
"Oct 04, 2019","427.72","422.17","429.40","420.90","1.08M","2.65%"
"Oct 03, 2019","416.67","409.01","416.96","406.70","810.06K","1.44%"
"Oct 02, 2019","410.75","409.91","412.92","405.80","1.20M","1.27%"
"Oct 01, 2019","405.60","412.53","415.48","405.02","1.14M","-1.58%"
"Sep 30, 2019","412.12","408.21","413.76","406.89","929.37K","1.45%"
"Sep 27, 2019","406.21","411.83","411.83","401.83","1.27M","-1.17%"
"Sep 26, 2019","411.00","418.45","418.75","406.16","2.12M","-1.36%"
"Sep 25, 2019","416.66","417.20","418.57","414.51","1.84M","-0.21%"
"Sep 24, 2019","417.53","422.54","424.59","416.69","1.31M","-0.94%"
"Sep 23, 2019","421.51","421.69","423.51","420.14","1.15M","0.28%"
"Sep 20, 2019","420.35","426.01","427.29","419.65","3.02M","-1.65%"
"Sep 19, 2019","427.42","426.78","429.88","425.10","833.70K","0.47%"
"Sep 18, 2019","425.42","424.24","425.71","419.07","837.43K","0.06%"
"Sep 17, 2019","425.15","423.31","425.36","419.05","760.67K","0.45%"
"Sep 16, 2019","423.25","425.19","427.00","419.15","908.93K","-0.53%"
"Sep 13, 2019","425.52","425.06","426.65","421.91","890.78K","0.12%"
"Sep 12, 2019","425.00","427.67","431.43","423.55","1.23M","0.00%"
"Sep 11, 2019","425.00","420.18","425.79","420.18","751.40K","0.87%"
"Sep 10, 2019","421.34","418.97","423.92","415.97","1.37M","0.37%"
"Sep 09, 2019","419.78","425.99","427.11","417.66","1.19M","-1.40%"
"Sep 06, 2019","425.72","423.12","427.90","421.02","973.78K","0.87%"
"Sep 05, 2019","422.05","424.75","428.95","420.31","1.11M","0.62%"
"Sep 04, 2019","419.47","415.38","420.26","415.22","1.49M","1.86%"
"Sep 03, 2019","411.81","408.08","413.16","407.25","977.82K","0.54%"
"Aug 30, 2019","409.59","409.12","412.50","407.43","1.14M","0.58%"
"Aug 29, 2019","407.24","404.62","410.09","403.07","892.04K","1.68%"
"Aug 28, 2019","400.50","398.65","403.50","395.67","806.43K","0.50%"
"Aug 27, 2019","398.49","397.43","401.40","395.04","1.01M","0.43%"
"Aug 26, 2019","396.78","387.85","399.07","387.13","1.46M","2.92%"
"Aug 23, 2019","385.51","388.84","395.37","384.43","1.33M","-1.47%"
"Aug 22, 2019","391.25","392.68","393.13","387.43","891.91K","-0.22%"
"Aug 21, 2019","392.13","393.30","393.94","389.52","899.84K","0.15%"
"Aug 20, 2019","391.55","386.95","394.20","386.77","1.10M","0.81%"
"Aug 19, 2019","388.42","388.18","391.56","387.05","1.22M","1.02%"
"Aug 16, 2019","384.51","385.33","386.39","381.94","1.33M","0.94%"
"Aug 15, 2019","380.94","376.19","381.90","375.44","1.32M","1.54%"
"Aug 14, 2019","375.18","375.86","377.88","372.58","1.44M","-1.10%"
"Aug 13, 2019","379.37","376.23","384.08","374.08","1.78M","0.82%"
"Aug 12, 2019","376.28","378.80","379.79","372.90","1.31M","-0.87%"
"Aug 09, 2019","379.57","380.51","382.07","376.60","1.21M","-0.12%"
"Aug 08, 2019","380.03","378.19","382.37","370.78","2.05M","1.33%"
"Aug 07, 2019","375.03","376.40","377.39","371.30","2.55M","-1.82%"
"Aug 06, 2019","381.99","379.77","384.79","377.48","1.17M","0.59%"
"Aug 05, 2019","379.74","380.07","382.80","376.14","1.80M","-1.28%"
"Aug 02, 2019","384.66","383.12","385.75","379.75","1.38M","0.07%"
"Aug 01, 2019","384.38","385.94","392.85","383.98","1.39M","-0.26%"
"Jul 31, 2019","385.38","390.98","390.99","382.00","2.20M","-2.33%"
"Jul 30, 2019","394.56","391.67","398.62","391.22","916.37K","0.23%"
"Jul 29, 2019","393.65","398.78","402.89","390.78","738.03K","-1.29%"
