"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","47.05","47.47","47.70","46.84","15.63M","-1.05%"
"Oct 22, 2019","47.55","47.50","47.88","47.40","15.20M","0.34%"
"Oct 21, 2019","47.39","47.14","47.48","46.97","14.46M","1.46%"
"Oct 18, 2019","46.71","47.10","47.27","46.66","17.23M","-0.68%"
"Oct 17, 2019","47.03","47.15","47.30","46.60","14.39M","0.51%"
"Oct 16, 2019","46.79","46.36","46.88","46.32","16.58M","0.93%"
"Oct 15, 2019","46.36","46.25","46.58","46.03","18.81M","0.67%"
"Oct 14, 2019","46.05","46.55","46.55","46.00","15.97M","-1.10%"
"Oct 11, 2019","46.56","46.67","47.30","46.46","25.17M","0.89%"
"Oct 10, 2019","46.15","46.05","46.23","45.55","25.02M","-1.47%"
"Oct 09, 2019","46.84","46.92","47.17","46.66","16.82M","0.97%"
"Oct 08, 2019","46.39","47.50","47.54","46.35","23.71M","-2.89%"
"Oct 07, 2019","47.77","47.47","48.13","47.32","14.94M","0.53%"
"Oct 04, 2019","47.52","47.25","47.63","46.95","16.78M","0.98%"
"Oct 03, 2019","47.06","46.32","47.08","45.70","16.53M","1.07%"
"Oct 02, 2019","46.56","47.35","47.38","46.01","32.06M","-2.47%"
"Oct 01, 2019","47.74","49.65","49.87","47.36","24.27M","-3.38%"
"Sep 30, 2019","49.41","48.95","49.66","48.95","15.11M","1.17%"
"Sep 27, 2019","48.84","49.00","49.47","48.60","16.07M","0.02%"
"Sep 26, 2019","48.83","49.43","49.49","48.26","20.26M","-1.55%"
"Sep 25, 2019","49.60","49.05","49.77","48.58","15.69M","0.98%"
"Sep 24, 2019","49.12","49.75","50.20","48.93","27.13M","-0.61%"
"Sep 23, 2019","49.42","49.66","49.75","49.28","19.67M","-0.36%"
"Sep 20, 2019","49.60","49.29","49.87","48.87","49.14M","0.83%"
"Sep 19, 2019","49.19","49.35","49.92","49.04","15.43M","-0.30%"
"Sep 18, 2019","49.34","49.47","49.74","48.78","12.67M","-0.14%"
"Sep 17, 2019","49.41","49.98","50.02","49.18","16.13M","-1.10%"
"Sep 16, 2019","49.96","49.80","50.18","49.79","13.03M","-0.14%"
"Sep 13, 2019","50.03","50.01","50.22","49.76","15.87M","0.20%"
"Sep 12, 2019","49.93","50.28","50.30","49.41","16.55M","-0.20%"
"Sep 11, 2019","50.03","49.95","50.07","49.33","18.66M","1.67%"
"Sep 10, 2019","49.21","48.57","49.34","47.95","16.12M","1.30%"
"Sep 09, 2019","48.58","48.97","49.01","48.46","21.18M","-0.53%"
"Sep 06, 2019","48.84","48.65","48.99","48.27","17.94M","0.87%"
"Sep 05, 2019","48.42","48.02","48.71","47.78","18.44M","2.32%"
"Sep 04, 2019","47.32","47.02","47.41","46.89","13.71M","1.76%"
"Sep 03, 2019","46.50","46.63","46.97","46.20","17.01M","-0.66%"
"Aug 30, 2019","46.81","47.52","47.57","46.55","19.25M","-0.97%"
"Aug 29, 2019","47.27","47.59","47.91","47.11","14.73M","0.85%"
"Aug 28, 2019","46.87","46.53","46.96","46.24","11.19M","0.17%"
"Aug 27, 2019","46.79","47.54","47.65","46.69","20.86M","-0.66%"
"Aug 26, 2019","47.10","47.05","47.27","46.67","14.82M","1.05%"
"Aug 23, 2019","46.61","47.90","48.52","46.43","25.88M","-3.26%"
"Aug 22, 2019","48.18","49.24","49.33","47.94","21.52M","-1.21%"
"Aug 21, 2019","48.77","48.50","48.92","48.36","18.37M","1.75%"
"Aug 20, 2019","47.93","48.54","48.59","47.92","18.20M","-1.18%"
"Aug 19, 2019","48.50","47.90","48.60","47.49","26.41M","3.28%"
"Aug 16, 2019","46.96","46.42","47.36","46.40","25.00M","1.54%"
"Aug 15, 2019","46.25","47.36","47.94","46.00","61.39M","-8.61%"
"Aug 14, 2019","50.61","52.12","52.12","50.13","30.21M","-4.00%"
"Aug 13, 2019","52.72","51.47","53.07","51.20","21.68M","2.29%"
"Aug 12, 2019","51.54","52.27","52.35","51.34","16.39M","-1.70%"
"Aug 09, 2019","52.43","52.78","52.87","52.04","17.43M","-1.37%"
"Aug 08, 2019","53.16","52.79","53.36","52.59","26.09M","1.57%"
