"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","72.26","72.00","72.43","71.55","7.01M","-0.04%"
"Oct 22, 2019","72.29","70.76","72.31","69.98","7.64M","2.18%"
"Oct 21, 2019","70.75","68.91","70.81","68.91","8.70M","3.03%"
"Oct 18, 2019","68.67","68.55","69.20","68.30","20.27M","-1.59%"
"Oct 17, 2019","69.78","70.96","72.12","69.54","11.55M","1.13%"
"Oct 16, 2019","69.00","69.92","69.92","68.53","4.67M","-0.25%"
"Oct 15, 2019","69.17","68.56","69.60","68.40","4.22M","0.89%"
"Oct 14, 2019","68.56","68.61","68.94","68.01","3.96M","-0.71%"
"Oct 11, 2019","69.05","68.00","69.64","67.56","4.40M","3.15%"
"Oct 10, 2019","66.94","66.25","67.03","66.22","6.26M","1.09%"
"Oct 09, 2019","66.22","66.18","66.87","66.04","4.04M","0.55%"
"Oct 08, 2019","65.86","66.05","66.80","65.63","4.06M","-1.39%"
"Oct 07, 2019","66.79","66.58","67.42","66.23","3.52M","0.12%"
"Oct 04, 2019","66.71","66.34","67.03","65.93","6.54M","-0.36%"
"Oct 03, 2019","66.95","66.13","67.23","65.37","4.97M","1.03%"
"Oct 02, 2019","66.27","66.61","67.31","66.10","6.95M","-1.12%"
"Oct 01, 2019","67.02","69.61","70.00","66.70","5.34M","-3.25%"
"Sep 30, 2019","69.27","68.95","69.92","68.95","3.14M","0.52%"
"Sep 27, 2019","68.91","69.68","70.00","68.55","2.60M","-0.73%"
"Sep 26, 2019","69.42","68.89","69.76","68.68","2.96M","0.80%"
"Sep 25, 2019","68.87","68.85","69.19","68.21","3.11M","0.35%"
"Sep 24, 2019","68.63","69.22","70.39","68.35","5.40M","-0.33%"
"Sep 23, 2019","68.86","68.61","69.06","67.97","4.14M","0.35%"
"Sep 20, 2019","68.62","70.72","71.00","68.42","13.40M","-3.07%"
"Sep 19, 2019","70.79","71.34","71.44","70.57","2.86M","-0.51%"
"Sep 18, 2019","71.15","70.92","71.24","70.08","3.68M","-0.04%"
"Sep 17, 2019","71.18","72.36","72.36","70.75","3.12M","-1.67%"
"Sep 16, 2019","72.39","71.71","72.85","71.55","5.19M","-0.11%"
"Sep 13, 2019","72.47","71.98","72.75","71.98","5.51M","1.29%"
"Sep 12, 2019","71.55","71.04","71.81","70.47","6.67M","0.82%"
"Sep 11, 2019","70.97","70.69","71.23","69.76","8.12M","0.40%"
"Sep 10, 2019","70.69","69.04","70.81","69.03","6.61M","2.38%"
"Sep 09, 2019","69.05","67.91","69.07","67.52","4.89M","2.27%"
"Sep 06, 2019","67.52","68.44","68.59","67.14","5.42M","-0.79%"
"Sep 05, 2019","68.06","68.01","68.78","67.96","5.77M","0.83%"
"Sep 04, 2019","67.50","66.55","67.55","66.55","6.07M","1.73%"
"Sep 03, 2019","66.35","66.34","66.72","65.44","3.79M","-1.00%"
"Aug 30, 2019","67.02","67.14","67.67","66.91","3.90M","0.77%"
"Aug 29, 2019","66.51","65.90","67.00","65.85","4.67M","1.71%"
"Aug 28, 2019","65.39","64.25","65.41","64.07","3.70M","1.52%"
"Aug 27, 2019","64.41","65.53","65.65","64.41","3.53M","-0.95%"
"Aug 26, 2019","65.03","65.24","65.65","64.53","3.95M","0.63%"
"Aug 23, 2019","64.62","65.70","66.25","64.27","5.33M","-2.30%"
"Aug 22, 2019","66.14","65.74","66.76","65.39","5.54M","1.22%"
"Aug 21, 2019","65.34","65.23","65.57","64.86","3.42M","0.85%"
"Aug 20, 2019","64.79","65.06","65.33","64.73","3.31M","-0.77%"
"Aug 19, 2019","65.29","66.13","66.42","65.17","3.57M","0.31%"
"Aug 16, 2019","65.09","65.04","65.50","64.64","3.87M","1.06%"
"Aug 15, 2019","64.41","64.58","64.90","63.97","3.05M","-0.26%"
"Aug 14, 2019","64.58","65.43","65.89","64.46","4.46M","-2.67%"
"Aug 13, 2019","66.35","65.42","67.20","65.17","5.07M","0.79%"
"Aug 12, 2019","65.83","66.04","66.24","65.26","4.53M","-1.11%"
"Aug 09, 2019","66.57","66.21","66.85","65.97","3.96M","-0.25%"
"Aug 08, 2019","66.74","65.81","66.95","65.72","3.61M","1.29%"
"Aug 07, 2019","65.89","65.22","66.29","64.80","7.40M","-0.90%"
"Aug 06, 2019","66.49","65.68","66.84","65.24","5.50M","2.12%"
"Aug 05, 2019","65.11","65.94","65.95","64.62","8.10M","-2.99%"
"Aug 02, 2019","67.12","67.65","67.75","66.43","6.32M","-0.97%"
"Aug 01, 2019","67.78","69.97","70.41","67.30","7.85M","-3.72%"
"Jul 31, 2019","70.40","70.47","71.25","69.71","6.60M","0.27%"
"Jul 30, 2019","70.21","69.05","70.36","68.92","4.52M","0.85%"
"Jul 29, 2019","69.62","68.80","69.92","68.77","4.18M","0.96%"
"Jul 26, 2019","68.96","69.52","69.74","68.84","5.81M","-0.78%"
"Jul 25, 2019","69.50","69.01","70.14","68.68","6.22M","0.40%"
"Jul 24, 2019","69.22","69.19","70.35","68.28","7.69M","-1.03%"
"Jul 23, 2019","69.94","71.35","71.35","69.71","6.83M","-1.38%"
"Jul 22, 2019","70.92","70.20","71.14","70.00","5.71M","0.87%"
"Jul 19, 2019","70.31","72.00","72.67","70.21","7.97M","-2.12%"
"Jul 18, 2019","71.83","71.43","71.93","69.50","13.67M","0.63%"
"Jul 17, 2019","71.38","73.34","73.65","70.06","34.59M","-10.27%"
"Jul 16, 2019","79.55","78.40","80.23","78.40","8.63M","1.34%"
"Jul 15, 2019","78.50","78.53","78.59","77.95","3.43M","-0.10%"
"Jul 12, 2019","78.58","77.48","78.76","77.33","3.42M","1.72%"
"Jul 11, 2019","77.25","76.64","77.78","76.37","2.73M","0.87%"
"Jul 10, 2019","76.58","76.90","77.12","76.30","3.04M","-0.16%"
"Jul 09, 2019","76.70","76.98","77.05","76.33","3.39M","-0.67%"
"Jul 08, 2019","77.22","78.10","78.25","76.88","2.89M","-1.51%"
"Jul 05, 2019","78.40","78.25","78.55","77.41","2.49M","-0.36%"
"Jul 03, 2019","78.68","78.37","78.92","78.32","1.31M","0.51%"
"Jul 02, 2019","78.28","78.50","78.60","77.73","2.99M","-0.45%"
"Jul 01, 2019","78.63","78.56","79.40","78.05","3.49M","1.63%"
"Jun 28, 2019","77.37","76.80","77.68","76.42","4.62M","1.20%"
"Jun 27, 2019","76.45","76.21","77.15","76.21","2.28M","0.35%"
"Jun 26, 2019","76.18","76.37","76.78","76.17","2.70M","0.12%"
"Jun 25, 2019","76.09","77.64","77.83","75.88","4.53M","-1.84%"
"Jun 24, 2019","77.52","78.67","78.81","77.34","2.69M","-1.46%"
"Jun 21, 2019","78.67","78.90","79.72","78.62","5.05M","-0.48%"
"Jun 20, 2019","79.05","78.48","79.28","78.22","5.10M","2.14%"
"Jun 19, 2019","77.39","77.65","77.85","76.62","2.55M","-0.45%"
"Jun 18, 2019","77.74","77.39","78.36","76.97","3.47M","1.36%"
"Jun 17, 2019","76.70","77.09","77.40","76.59","2.98M","-0.61%"
"Jun 14, 2019","77.17","77.69","77.94","76.76","2.80M","-0.61%"
"Jun 13, 2019","77.64","78.30","78.30","77.35","3.79M","-0.75%"
"Jun 12, 2019","78.23","78.54","78.91","78.11","2.77M","-0.47%"
"Jun 11, 2019","78.60","79.13","79.71","78.07","2.65M","-0.09%"
"Jun 10, 2019","78.67","78.38","79.38","78.01","2.55M","0.77%"
"Jun 07, 2019","78.07","77.93","78.45","77.66","2.61M","0.72%"
"Jun 06, 2019","77.51","78.19","78.38","77.10","3.32M","-0.67%"
"Jun 05, 2019","78.03","76.74","78.40","76.72","4.70M","1.79%"
"Jun 04, 2019","76.66","75.15","76.72","75.09","4.39M","2.87%"
"Jun 03, 2019","74.52","74.51","75.55","74.21","4.40M","0.07%"
