"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","268.13","265.88","268.17","264.69","282.20K","0.75%"
"Oct 22, 2019","266.13","270.32","270.64","265.91","269.57K","-1.43%"
"Oct 21, 2019","269.99","270.04","271.96","268.44","304.71K","0.25%"
"Oct 18, 2019","269.31","268.58","270.00","266.79","456.11K","0.37%"
"Oct 17, 2019","268.33","268.76","269.65","266.16","377.39K","0.51%"
"Oct 16, 2019","266.97","269.18","269.18","265.77","421.05K","-0.92%"
"Oct 15, 2019","269.45","266.62","269.50","266.00","473.24K","1.32%"
"Oct 14, 2019","265.94","267.70","268.28","265.79","519.09K","-0.62%"
"Oct 11, 2019","267.61","270.30","271.78","267.31","444.42K","0.58%"
"Oct 10, 2019","266.07","263.37","266.70","262.10","394.53K","0.95%"
"Oct 09, 2019","263.57","261.15","264.43","260.90","276.07K","1.24%"
"Oct 08, 2019","260.33","258.87","262.79","257.26","703.73K","-0.25%"
"Oct 07, 2019","260.97","262.37","262.96","259.78","308.71K","-0.72%"
"Oct 04, 2019","262.86","260.11","263.19","259.48","445.39K","1.64%"
"Oct 03, 2019","258.63","258.07","259.40","253.86","461.81K","-0.12%"
"Oct 02, 2019","258.95","261.93","261.98","256.75","686.08K","-1.31%"
"Oct 01, 2019","262.39","268.53","268.81","262.36","520.21K","-2.13%"
"Sep 30, 2019","268.10","267.18","269.55","265.46","566.44K","0.74%"
"Sep 27, 2019","266.13","268.17","270.11","264.21","897.46K","-0.71%"
"Sep 26, 2019","268.02","266.33","268.68","265.06","706.74K","0.53%"
"Sep 25, 2019","266.62","262.00","267.89","260.17","1.73M","5.74%"
"Sep 24, 2019","252.14","256.26","257.90","251.24","624.49K","-0.99%"
"Sep 23, 2019","254.65","254.44","255.36","252.37","705.05K","0.34%"
"Sep 20, 2019","253.78","252.72","256.88","251.92","1.14M","0.94%"
"Sep 19, 2019","251.42","248.87","252.96","248.87","494.76K","0.70%"
"Sep 18, 2019","249.67","250.12","250.12","246.89","547.08K","-0.11%"
"Sep 17, 2019","249.95","247.98","250.34","247.98","386.42K","1.01%"
"Sep 16, 2019","247.46","245.50","249.01","244.00","770.59K","0.32%"
"Sep 13, 2019","246.68","246.60","247.62","244.59","858.67K","0.07%"
"Sep 12, 2019","246.51","247.79","249.75","246.38","715.42K","0.20%"
"Sep 11, 2019","246.02","249.99","250.00","244.78","878.72K","-1.18%"
"Sep 10, 2019","248.97","253.55","254.17","246.96","1.05M","-2.62%"
"Sep 09, 2019","255.66","267.56","267.56","255.23","930.06K","-3.96%"
"Sep 06, 2019","266.19","267.19","269.27","265.95","288.42K","-0.39%"
"Sep 05, 2019","267.24","266.92","270.24","266.37","380.78K","1.22%"
"Sep 04, 2019","264.01","262.15","265.33","260.00","648.04K","1.57%"
"Sep 03, 2019","259.93","262.60","264.00","258.53","392.22K","-1.47%"
"Aug 30, 2019","263.80","263.42","266.67","262.79","392.14K","-0.30%"
"Aug 29, 2019","264.60","264.00","266.00","263.74","365.41K","0.92%"
"Aug 28, 2019","262.18","259.81","262.56","258.25","387.63K","0.39%"
"Aug 27, 2019","261.15","263.24","263.46","260.85","532.00K","0.31%"
"Aug 26, 2019","260.34","259.73","260.45","257.52","567.42K","1.68%"
"Aug 23, 2019","256.04","263.53","264.15","254.67","537.82K","-3.21%"
"Aug 22, 2019","264.52","268.68","268.68","263.47","323.53K","-1.17%"
"Aug 21, 2019","267.65","267.90","269.03","266.39","659.72K","-0.07%"
"Aug 20, 2019","267.84","269.25","270.36","266.58","355.75K","0.01%"
"Aug 19, 2019","267.82","267.79","268.96","265.00","469.75K","1.29%"
"Aug 16, 2019","264.40","262.70","265.24","261.41","491.87K","1.68%"
"Aug 15, 2019","260.02","257.20","261.15","256.17","460.68K","1.29%"
"Aug 14, 2019","256.72","262.46","265.67","256.61","445.88K","-3.55%"
"Aug 13, 2019","266.17","260.54","266.73","260.37","488.96K","1.82%"
"Aug 12, 2019","261.40","263.30","264.01","260.79","395.64K","-0.77%"
"Aug 09, 2019","263.42","266.56","266.56","260.75","391.64K","-0.33%"
"Aug 08, 2019","264.29","259.43","264.47","258.64","492.38K","2.26%"
"Aug 07, 2019","258.45","253.39","259.51","251.97","718.89K","0.49%"
"Aug 06, 2019","257.19","252.00","257.80","252.00","485.38K","2.42%"
"Aug 05, 2019","251.12","253.61","257.01","248.75","618.27K","-2.82%"
"Aug 02, 2019","258.41","258.58","260.65","256.13","479.00K","-0.24%"
"Aug 01, 2019","259.03","261.07","264.00","258.15","559.72K","-0.54%"
"Jul 31, 2019","260.44","262.78","264.29","256.51","878.67K","-0.92%"
"Jul 30, 2019","262.85","260.17","263.05","258.64","407.85K","0.83%"
"Jul 29, 2019","260.69","261.06","262.55","257.66","381.96K","-0.38%"
"Jul 26, 2019","261.69","260.57","262.61","258.51","777.14K","0.36%"
"Jul 25, 2019","260.76","259.96","262.62","259.60","424.14K","-0.44%"
"Jul 24, 2019","261.91","258.92","261.96","258.25","565.46K","0.43%"
"Jul 23, 2019","260.79","260.07","261.00","256.41","539.34K","0.68%"
"Jul 22, 2019","259.03","258.41","261.49","258.15","687.81K","0.46%"
"Jul 19, 2019","257.85","262.50","263.81","257.68","648.12K","-1.07%"
"Jul 18, 2019","260.65","260.00","262.54","257.89","1.03M","0.11%"
"Jul 17, 2019","260.37","253.92","262.00","251.50","2.13M","8.74%"
"Jul 16, 2019","239.44","244.22","244.59","239.13","885.66K","-1.57%"
"Jul 15, 2019","243.26","242.00","243.77","240.01","367.01K","0.34%"
"Jul 12, 2019","242.44","240.66","242.71","240.03","405.81K","1.02%"
"Jul 11, 2019","239.99","239.24","240.60","237.46","450.87K","0.54%"
"Jul 10, 2019","238.69","239.34","240.15","238.43","310.23K","0.11%"
"Jul 09, 2019","238.42","237.15","238.58","236.92","362.14K","0.07%"
"Jul 08, 2019","238.26","238.61","239.53","237.31","298.95K","-0.53%"
"Jul 05, 2019","239.53","238.32","239.80","236.40","580.20K","0.00%"
"Jul 03, 2019","239.53","238.42","240.17","238.30","283.58K","0.64%"
"Jul 02, 2019","238.00","238.87","239.18","237.76","444.55K","-0.36%"
"Jul 01, 2019","238.87","240.00","240.00","235.90","555.82K","0.67%"
"Jun 28, 2019","237.29","236.10","237.50","235.16","655.59K","0.68%"
"Jun 27, 2019","235.68","233.03","235.94","232.50","379.91K","1.25%"
"Jun 26, 2019","232.77","233.07","234.39","232.22","544.93K","0.57%"
"Jun 25, 2019","231.45","233.85","233.88","230.69","536.66K","-0.71%"
"Jun 24, 2019","233.11","232.48","233.72","231.27","441.56K","0.31%"
"Jun 21, 2019","232.38","232.68","234.13","230.87","924.44K","-0.11%"
"Jun 20, 2019","232.63","236.88","237.55","230.03","813.73K","-1.05%"
"Jun 19, 2019","235.10","231.15","236.50","230.67","814.08K","1.58%"
"Jun 18, 2019","231.44","233.83","235.00","230.51","803.42K","-0.36%"
"Jun 17, 2019","232.27","235.95","236.58","232.08","677.64K","-1.73%"
"Jun 14, 2019","236.37","236.14","237.45","235.15","336.14K","0.17%"
"Jun 13, 2019","235.96","234.49","236.63","233.64","486.35K","0.54%"
"Jun 12, 2019","234.70","232.42","235.23","232.42","361.79K","1.04%"
"Jun 11, 2019","232.28","235.24","236.39","231.25","443.80K","-0.96%"
"Jun 10, 2019","234.54","233.54","235.29","233.01","616.68K","0.83%"
"Jun 07, 2019","232.62","233.16","233.47","231.88","684.83K","0.47%"
"Jun 06, 2019","231.54","230.16","231.90","229.64","373.86K","0.45%"
"Jun 05, 2019","230.51","227.50","231.05","227.12","545.28K","1.77%"
"Jun 04, 2019","226.50","225.00","226.87","223.93","521.04K","1.39%"
"Jun 03, 2019","223.39","222.16","224.63","221.88","431.60K","0.70%"
"May 31, 2019","221.83","221.45","222.96","221.00","341.80K","-0.79%"
"May 30, 2019","223.60","222.09","224.75","221.95","345.79K","0.75%"
"May 29, 2019","221.94","220.97","222.44","219.71","392.65K","0.57%"
"May 28, 2019","220.69","222.90","223.91","220.61","686.67K","-0.81%"
"May 24, 2019","222.50","224.87","225.72","222.38","434.79K","-0.76%"
"May 23, 2019","224.20","224.61","225.05","223.20","362.84K","-0.92%"
"May 22, 2019","226.29","226.61","227.35","225.88","337.76K","-0.32%"
"May 21, 2019","227.01","225.05","227.64","224.55","570.01K","1.63%"
"May 20, 2019","223.38","221.46","224.02","221.28","271.66K","-0.02%"
"May 17, 2019","223.42","222.47","225.33","221.82","350.89K","-0.13%"
"May 16, 2019","223.72","221.93","224.87","221.63","354.25K","0.98%"
"May 15, 2019","221.55","218.44","222.45","217.99","423.79K","0.67%"
"May 14, 2019","220.07","217.21","221.54","216.38","365.68K","1.65%"
"May 13, 2019","216.50","217.96","220.17","215.88","581.60K","-2.84%"
"May 10, 2019","222.83","219.80","223.60","217.75","401.03K","0.60%"
"May 09, 2019","221.51","218.18","221.92","216.39","351.53K","0.72%"
"May 08, 2019","219.92","219.59","222.21","218.59","537.93K","0.49%"
