"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","60.35","59.97","60.37","59.59","2.79M","0.75%"
"Oct 22, 2019","59.90","60.93","61.23","59.70","2.69M","-1.45%"
"Oct 21, 2019","60.78","61.32","61.59","60.30","3.31M","0.23%"
"Oct 18, 2019","60.64","61.43","61.43","60.60","3.26M","-1.21%"
"Oct 17, 2019","61.38","61.52","61.77","60.97","2.70M","-0.02%"
"Oct 16, 2019","61.39","61.40","61.98","61.22","2.67M","0.08%"
"Oct 15, 2019","61.34","60.40","61.67","60.37","2.25M","1.59%"
"Oct 14, 2019","60.38","60.60","60.70","60.02","1.78M","-0.38%"
"Oct 11, 2019","60.61","60.45","61.43","60.31","2.59M","1.35%"
"Oct 10, 2019","59.80","59.05","60.31","58.97","2.39M","0.61%"
"Oct 09, 2019","59.44","59.74","59.75","59.14","1.96M","0.92%"
"Oct 08, 2019","58.90","59.71","59.88","58.89","4.18M","-2.29%"
"Oct 07, 2019","60.28","60.28","60.60","60.08","2.13M","-0.38%"
"Oct 04, 2019","60.51","60.37","60.85","60.26","2.38M","0.55%"
"Oct 03, 2019","60.18","59.99","60.32","59.63","2.63M","0.40%"
"Oct 02, 2019","59.94","60.03","60.61","59.49","3.77M","-1.12%"
"Oct 01, 2019","60.62","60.40","61.79","60.40","3.24M","0.58%"
"Sep 30, 2019","60.27","59.05","60.41","58.87","4.42M","2.59%"
"Sep 27, 2019","58.75","60.02","60.12","58.66","2.92M","-1.53%"
"Sep 26, 2019","59.66","60.00","60.19","59.03","2.54M","-0.88%"
"Sep 25, 2019","60.19","59.97","60.48","59.42","3.89M","0.45%"
"Sep 24, 2019","59.92","61.03","61.49","59.49","5.00M","-1.50%"
"Sep 23, 2019","60.83","61.70","61.72","60.80","4.00M","-1.57%"
"Sep 20, 2019","61.80","63.11","63.33","61.46","8.18M","-2.63%"
"Sep 19, 2019","63.47","63.32","64.08","63.08","2.83M","-0.06%"
