"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","103.67","104.24","104.59","103.35","2.05M","-0.41%"
"Oct 22, 2019","104.10","103.29","104.36","103.22","1.63M","0.88%"
"Oct 21, 2019","103.19","101.65","103.96","101.65","2.01M","1.65%"
"Oct 18, 2019","101.52","100.79","101.95","100.51","2.33M","0.72%"
"Oct 17, 2019","100.79","99.91","100.86","99.09","963.34K","0.86%"
"Oct 16, 2019","99.93","99.04","99.94","98.34","1.18M","0.48%"
"Oct 15, 2019","99.45","98.76","99.77","98.45","1.05M","1.18%"
"Oct 14, 2019","98.29","98.13","98.88","97.68","1.00M","0.07%"
"Oct 11, 2019","98.22","98.00","99.46","97.45","1.16M","1.30%"
"Oct 10, 2019","96.96","96.29","97.33","96.29","1.20M","0.38%"
"Oct 09, 2019","96.59","96.63","96.92","95.99","1.02M","0.85%"
"Oct 08, 2019","95.78","96.07","96.54","94.20","1.59M","-1.05%"
"Oct 07, 2019","96.80","96.23","97.58","95.58","2.57M","0.30%"
"Oct 04, 2019","96.51","96.11","96.74","95.67","1.31M","0.86%"
"Oct 03, 2019","95.69","95.04","95.92","94.17","1.44M","0.54%"
"Oct 02, 2019","95.18","95.30","95.70","94.75","1.91M","-0.89%"
"Oct 01, 2019","96.03","96.95","97.39","95.71","1.68M","-0.51%"
"Sep 30, 2019","96.52","95.89","96.94","95.76","1.45M","0.74%"
"Sep 27, 2019","95.81","96.42","96.64","94.99","1.57M","-0.03%"
"Sep 26, 2019","95.84","96.13","96.59","95.62","1.70M","-0.14%"
"Sep 25, 2019","95.97","95.42","96.15","94.36","1.47M","0.85%"
"Sep 24, 2019","95.16","96.51","96.84","94.68","2.33M","-1.13%"
"Sep 23, 2019","96.25","96.76","97.17","96.23","1.31M","-0.74%"
"Sep 20, 2019","96.97","96.22","97.12","96.12","3.27M","0.54%"
"Sep 19, 2019","96.45","96.64","97.22","95.97","1.51M","-0.28%"
"Sep 18, 2019","96.72","95.73","96.91","95.37","1.57M","1.04%"
"Sep 17, 2019","95.72","96.53","96.77","95.39","2.06M","-0.95%"
"Sep 16, 2019","96.64","95.66","96.78","95.12","1.48M","0.72%"
"Sep 13, 2019","95.95","96.37","96.68","95.57","1.51M","-0.60%"
"Sep 12, 2019","96.53","96.94","97.35","96.48","1.60M","0.03%"
"Sep 11, 2019","96.50","96.04","96.75","95.59","1.58M","0.77%"
"Sep 10, 2019","95.76","94.58","95.79","94.23","1.54M","0.83%"
"Sep 09, 2019","94.97","94.74","95.14","94.24","2.11M","0.59%"
"Sep 06, 2019","94.41","94.51","95.17","94.27","1.45M","0.06%"
"Sep 05, 2019","94.35","93.65","94.97","93.36","2.17M","1.27%"
"Sep 04, 2019","93.17","93.71","93.71","92.87","1.08M","0.29%"
"Sep 03, 2019","92.90","92.34","92.90","92.11","1.41M","-0.09%"
"Aug 30, 2019","92.98","93.49","93.63","92.63","1.25M","0.24%"
"Aug 29, 2019","92.76","92.85","93.31","92.59","1.23M","0.69%"
"Aug 28, 2019","92.12","92.04","92.78","91.19","1.28M","-0.31%"
"Aug 27, 2019","92.41","92.77","92.79","92.11","1.80M","0.24%"
"Aug 26, 2019","92.19","92.15","92.60","91.72","1.37M","0.80%"
"Aug 23, 2019","91.46","92.76","93.29","91.38","2.28M","-1.65%"
"Aug 22, 2019","92.99","92.71","93.22","92.35","1.21M","0.30%"
"Aug 21, 2019","92.71","92.58","93.00","92.34","1.39M","0.89%"
"Aug 20, 2019","91.89","92.31","92.93","91.88","1.94M","-0.67%"
"Aug 19, 2019","92.51","93.37","93.50","91.75","3.09M","0.08%"
"Aug 16, 2019","92.44","92.35","92.88","92.10","1.99M","1.02%"
"Aug 15, 2019","91.51","91.35","92.14","91.07","1.96M","0.24%"
"Aug 14, 2019","91.29","91.40","92.06","90.98","2.04M","-1.09%"
"Aug 13, 2019","92.30","91.13","92.61","90.57","2.30M","1.18%"
"Aug 12, 2019","91.22","91.49","91.81","91.17","2.84M","-0.83%"
"Aug 09, 2019","91.98","92.06","92.50","91.07","1.92M","-0.48%"
"Aug 08, 2019","92.42","92.04","92.54","91.65","2.88M","1.12%"
