"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","116.63","117.86","118.10","115.51","1.36M","-1.53%"
"Oct 22, 2019","118.44","117.45","119.71","117.44","2.01M","1.50%"
"Oct 21, 2019","116.69","117.26","117.50","115.95","1.35M","-0.25%"
"Oct 18, 2019","116.98","117.20","118.04","116.86","1.35M","-0.33%"
"Oct 17, 2019","117.37","117.27","117.62","116.71","1.12M","0.40%"
"Oct 16, 2019","116.90","116.66","116.99","115.80","1.65M","0.33%"
"Oct 15, 2019","116.51","115.00","116.63","115.00","1.24M","1.30%"
"Oct 14, 2019","115.02","115.35","115.98","114.93","1.16M","-0.15%"
"Oct 11, 2019","115.19","115.00","116.59","114.80","2.20M","1.12%"
"Oct 10, 2019","113.91","113.25","114.03","112.30","1.12M","0.81%"
"Oct 09, 2019","112.99","113.16","114.69","112.92","1.55M","0.45%"
"Oct 08, 2019","112.48","111.11","114.10","110.81","1.75M","0.29%"
"Oct 07, 2019","112.16","115.13","115.66","111.83","1.78M","-3.08%"
"Oct 04, 2019","115.72","113.21","116.59","113.15","2.60M","2.48%"
"Oct 03, 2019","112.92","112.77","113.14","110.65","1.95M","-0.13%"
"Oct 02, 2019","113.07","112.25","113.37","111.01","2.46M","-0.16%"
"Oct 01, 2019","113.25","115.09","115.09","113.00","1.66M","-0.80%"
"Sep 30, 2019","114.16","114.46","115.79","113.86","2.03M","-0.12%"
"Sep 27, 2019","114.30","113.29","114.42","112.60","1.84M","1.64%"
"Sep 26, 2019","112.46","113.51","113.58","111.33","1.39M","-0.43%"
"Sep 25, 2019","112.95","113.37","114.16","111.85","1.35M","-0.37%"
"Sep 24, 2019","113.37","113.67","114.51","111.82","1.69M","-0.04%"
"Sep 23, 2019","113.42","111.10","113.94","111.10","1.99M","2.12%"
"Sep 20, 2019","111.07","111.96","113.67","111.04","2.57M","-0.60%"
"Sep 19, 2019","111.74","112.46","112.92","111.68","1.58M","-0.46%"
"Sep 18, 2019","112.26","111.36","112.27","110.38","1.75M","1.10%"
"Sep 17, 2019","111.04","109.74","111.10","109.25","1.25M","1.35%"
"Sep 16, 2019","109.56","112.10","112.14","109.51","1.75M","-2.92%"
"Sep 13, 2019","112.86","111.89","113.12","111.51","1.80M","0.82%"
"Sep 12, 2019","111.94","111.83","112.91","111.01","1.55M","0.52%"
"Sep 11, 2019","111.36","111.02","112.65","110.42","3.24M","1.30%"
"Sep 10, 2019","109.93","108.55","110.02","106.81","1.83M","0.95%"
"Sep 09, 2019","108.90","109.87","110.72","107.70","2.69M","-0.66%"
"Sep 06, 2019","109.62","107.68","109.72","107.17","2.53M","1.85%"
"Sep 05, 2019","107.63","106.43","108.29","106.19","2.45M","2.50%"
"Sep 04, 2019","105.00","102.86","105.18","102.51","2.57M","2.95%"
"Sep 03, 2019","101.99","101.19","102.15","99.88","2.11M","0.45%"
"Aug 30, 2019","101.53","98.25","101.93","97.91","3.98M","3.95%"
"Aug 29, 2019","97.67","102.50","104.24","96.68","6.13M","-1.94%"
"Aug 28, 2019","99.60","96.45","99.87","96.28","2.97M","2.95%"
"Aug 27, 2019","96.75","96.37","97.97","95.88","2.29M","0.92%"
"Aug 26, 2019","95.87","96.35","96.59","94.52","2.60M","0.75%"
"Aug 23, 2019","95.16","96.92","98.09","94.83","2.53M","-2.11%"
"Aug 22, 2019","97.21","96.03","97.43","95.95","1.36M","1.18%"
"Aug 21, 2019","96.08","95.84","96.23","94.88","1.56M","2.62%"
"Aug 20, 2019","93.63","95.81","95.99","93.49","1.51M","-2.67%"
"Aug 19, 2019","96.20","95.17","96.40","94.64","2.30M","2.66%"
