"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","95.71","94.43","96.25","94.36","2.13M","1.50%"
"Oct 22, 2019","94.30","94.17","95.77","93.21","3.38M","-1.58%"
"Oct 21, 2019","95.81","95.48","96.83","95.00","2.00M","0.71%"
"Oct 18, 2019","95.13","96.05","96.10","94.05","3.15M","-1.68%"
"Oct 17, 2019","96.76","96.71","98.00","96.52","2.43M","0.56%"
"Oct 16, 2019","96.22","94.41","96.36","94.40","2.99M","1.12%"
"Oct 15, 2019","95.15","94.14","95.28","93.22","2.19M","1.35%"
"Oct 14, 2019","93.88","94.00","94.66","92.71","2.38M","-0.33%"
"Oct 11, 2019","94.19","93.93","95.87","93.75","3.14M","1.79%"
"Oct 10, 2019","92.53","92.66","93.56","92.21","2.06M","-0.38%"
"Oct 09, 2019","92.88","93.02","94.50","92.80","1.59M","0.37%"
"Oct 08, 2019","92.54","93.03","93.83","92.16","2.96M","-1.10%"
"Oct 07, 2019","93.57","95.12","95.81","93.32","2.95M","-2.13%"
"Oct 04, 2019","95.61","94.34","95.77","94.34","2.25M","1.35%"
"Oct 03, 2019","94.34","93.53","95.03","92.88","3.93M","0.10%"
"Oct 02, 2019","94.25","96.00","96.00","92.44","4.12M","-2.58%"
"Oct 01, 2019","96.75","97.81","98.00","95.13","3.73M","-1.09%"
"Sep 30, 2019","97.82","95.85","97.99","95.68","2.55M","2.25%"
"Sep 27, 2019","95.67","97.02","97.75","95.05","1.97M","-0.98%"
"Sep 26, 2019","96.62","97.61","97.97","95.66","1.97M","-1.03%"
"Sep 25, 2019","97.63","97.10","97.82","95.83","1.98M","0.28%"
"Sep 24, 2019","97.36","98.08","98.38","96.72","2.87M","-0.84%"
"Sep 23, 2019","98.18","98.23","99.41","97.86","2.08M","-0.53%"
"Sep 20, 2019","98.70","100.20","100.52","98.27","3.54M","-0.99%"
"Sep 19, 2019","99.69","98.28","99.90","98.28","2.69M","1.43%"
"Sep 18, 2019","98.28","97.73","98.34","96.53","1.82M","-0.14%"
"Sep 17, 2019","98.42","99.48","99.55","97.54","1.82M","-0.71%"
"Sep 16, 2019","99.12","98.03","99.24","97.52","1.82M","0.65%"
"Sep 13, 2019","98.48","98.57","99.35","98.16","1.72M","0.14%"
"Sep 12, 2019","98.34","99.89","101.78","98.05","4.12M","-0.78%"
