"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","39.20","38.67","39.33","38.36","6.82M","0.67%"
"Oct 22, 2019","38.94","39.23","39.36","38.88","5.33M","-0.82%"
"Oct 21, 2019","39.26","38.96","39.30","38.91","5.14M","1.13%"
"Oct 18, 2019","38.82","39.21","39.35","38.74","6.27M","-0.69%"
"Oct 17, 2019","39.09","39.16","39.38","38.99","5.69M","0.44%"
"Oct 16, 2019","38.92","38.64","39.19","38.59","5.32M","0.10%"
"Oct 15, 2019","38.88","38.37","39.04","38.35","4.81M","1.36%"
"Oct 14, 2019","38.36","38.54","38.63","38.34","6.92M","-0.49%"
"Oct 11, 2019","38.55","38.43","38.99","38.43","5.07M","1.63%"
"Oct 10, 2019","37.93","37.77","38.26","37.76","7.76M","0.21%"
"Oct 09, 2019","37.85","37.62","38.00","37.52","6.81M","1.42%"
"Oct 08, 2019","37.32","37.47","37.73","37.23","7.17M","-1.32%"
"Oct 07, 2019","37.82","38.04","38.19","37.76","6.11M","-1.28%"
"Oct 04, 2019","38.31","38.09","38.38","37.96","4.62M","0.95%"
"Oct 03, 2019","37.95","38.05","38.05","37.45","7.24M","-0.58%"
"Oct 02, 2019","38.17","38.35","38.57","37.99","6.43M","-0.96%"
"Oct 01, 2019","38.54","38.99","39.47","38.47","6.83M","-1.13%"
"Sep 30, 2019","38.98","38.57","39.05","38.41","6.21M","1.59%"
"Sep 27, 2019","38.37","38.71","38.89","38.10","10.70M","-1.41%"
"Sep 26, 2019","38.92","39.09","39.48","38.85","7.38M","-0.82%"
"Sep 25, 2019","39.24","38.92","39.50","38.35","12.30M","-0.78%"
"Sep 24, 2019","39.55","40.38","40.67","39.46","7.45M","-1.71%"
"Sep 23, 2019","40.24","40.37","40.48","40.02","5.66M","-0.30%"
"Sep 20, 2019","40.36","40.55","40.87","40.14","12.84M","-0.10%"
"Sep 19, 2019","40.40","40.40","40.80","40.33","4.01M","0.10%"
"Sep 18, 2019","40.36","40.53","40.62","39.78","4.33M","-0.42%"
"Sep 17, 2019","40.53","40.18","40.66","39.83","6.38M","0.57%"
"Sep 16, 2019","40.30","39.75","40.39","39.67","5.75M","-0.17%"
"Sep 13, 2019","40.37","40.41","40.80","40.21","5.44M","0.20%"
"Sep 12, 2019","40.29","40.16","40.54","39.95","4.93M","0.98%"
"Sep 11, 2019","39.90","40.18","40.26","39.67","6.20M","-0.92%"
"Sep 10, 2019","40.27","41.05","41.19","40.03","6.71M","-2.73%"
"Sep 09, 2019","41.40","40.53","41.41","40.40","9.03M","2.55%"
"Sep 06, 2019","40.37","40.94","41.08","40.34","5.72M","-1.05%"
"Sep 05, 2019","40.80","40.02","40.86","39.94","7.08M","2.93%"
"Sep 04, 2019","39.64","39.67","39.88","39.02","7.49M","-0.25%"
"Sep 03, 2019","39.74","40.05","40.38","39.60","5.51M","-1.37%"
"Aug 30, 2019","40.29","40.73","40.74","40.18","4.47M","-0.59%"
"Aug 29, 2019","40.53","40.51","40.81","40.28","7.19M","1.10%"
"Aug 28, 2019","40.09","38.87","40.26","38.78","10.72M","2.79%"
"Aug 27, 2019","39.00","39.51","39.76","38.71","9.12M","-1.02%"
"Aug 26, 2019","39.40","39.14","39.42","38.90","6.57M","1.81%"
"Aug 23, 2019","38.70","39.78","39.79","38.55","7.53M","-3.25%"
"Aug 22, 2019","40.00","40.56","40.57","39.80","4.95M","-0.94%"
"Aug 21, 2019","40.38","40.47","40.53","40.23","5.56M","0.87%"
"Aug 20, 2019","40.03","40.24","40.35","39.98","5.35M","-0.89%"
"Aug 19, 2019","40.39","40.56","40.79","40.32","6.55M","0.92%"
"Aug 16, 2019","40.02","39.81","40.07","39.63","4.21M","1.47%"
"Aug 15, 2019","39.44","39.90","39.96","39.05","6.71M","-0.50%"
"Aug 14, 2019","39.64","40.09","40.38","39.55","7.42M","-3.27%"
"Aug 13, 2019","40.98","39.91","41.02","39.83","5.65M","3.12%"
"Aug 12, 2019","39.74","39.97","40.05","39.42","4.21M","-1.41%"
"Aug 09, 2019","40.31","41.00","41.08","40.19","6.29M","-2.28%"
"Aug 08, 2019","41.25","40.00","41.26","39.96","6.92M","3.85%"
"Aug 07, 2019","39.72","39.22","39.81","38.85","5.58M","0.08%"
"Aug 06, 2019","39.69","39.21","39.73","38.88","8.46M","2.27%"
