"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","138.31","136.22","138.31","136.22","1.12M","1.21%"
"Oct 22, 2019","136.65","136.77","137.75","136.42","973.15K","0.29%"
"Oct 21, 2019","136.26","136.91","137.75","136.15","1.02M","0.17%"
"Oct 18, 2019","136.03","138.22","138.34","135.46","1.06M","-1.77%"
"Oct 17, 2019","138.48","138.67","138.67","137.02","718.64K","0.16%"
"Oct 16, 2019","138.26","136.88","139.21","136.88","1.01M","0.74%"
"Oct 15, 2019","137.25","137.30","137.93","136.33","984.87K","0.39%"
"Oct 14, 2019","136.71","138.11","138.67","136.55","948.53K","-1.13%"
"Oct 11, 2019","138.27","137.86","139.88","137.62","1.31M","1.68%"
"Oct 10, 2019","135.99","133.38","136.41","133.38","1.31M","1.83%"
"Oct 09, 2019","133.55","132.72","133.97","132.44","798.88K","1.52%"
"Oct 08, 2019","131.55","131.40","132.83","130.39","743.44K","-0.60%"
"Oct 07, 2019","132.35","132.54","133.07","131.30","816.30K","-0.65%"
"Oct 04, 2019","133.22","133.23","133.75","132.63","899.45K","-0.02%"
"Oct 03, 2019","133.25","132.62","133.29","131.31","1.21M","0.44%"
"Oct 02, 2019","132.67","133.77","134.42","131.74","1.52M","-0.93%"
"Oct 01, 2019","133.91","134.46","135.28","133.85","993.73K","-0.37%"
"Sep 30, 2019","134.41","132.56","135.05","132.56","1.24M","1.69%"
"Sep 27, 2019","132.17","133.46","134.00","131.01","1.30M","-0.53%"
"Sep 26, 2019","132.87","133.03","133.74","131.88","1.30M","-0.55%"
"Sep 25, 2019","133.60","132.63","134.32","131.57","1.42M","0.75%"
"Sep 24, 2019","132.60","133.17","133.77","131.39","1.84M","0.17%"
"Sep 23, 2019","132.37","133.79","134.54","131.73","1.44M","-1.35%"
"Sep 20, 2019","134.18","135.42","135.80","133.35","2.26M","-0.22%"
"Sep 19, 2019","134.48","134.34","135.98","133.78","2.02M","0.50%"
"Sep 18, 2019","133.81","132.28","134.08","132.20","1.77M","0.84%"
"Sep 17, 2019","132.69","131.38","132.90","130.23","1.41M","1.07%"
"Sep 16, 2019","131.28","131.54","132.03","129.85","1.27M","-0.77%"
"Sep 13, 2019","132.30","132.67","133.02","131.74","1.07M","0.49%"
"Sep 12, 2019","131.65","130.90","132.28","130.58","1.22M","0.84%"
"Sep 11, 2019","130.55","129.60","130.61","128.95","1.25M","0.29%"
"Sep 10, 2019","130.17","131.21","131.21","128.23","1.79M","-0.79%"
"Sep 09, 2019","131.21","130.49","131.52","129.77","1.77M","-0.38%"
"Sep 06, 2019","131.71","131.52","133.81","131.36","1.41M","0.12%"
"Sep 05, 2019","131.55","130.47","131.99","129.54","1.39M","2.21%"
"Sep 04, 2019","128.70","129.72","130.07","127.98","1.05M","-0.06%"
"Sep 03, 2019","128.78","129.06","130.38","128.10","1.05M","-1.01%"
"Aug 30, 2019","130.10","130.83","131.37","129.54","760.75K","0.07%"
"Aug 29, 2019","130.01","130.69","131.74","129.66","1.35M","0.49%"
"Aug 28, 2019","129.38","127.57","129.91","127.04","993.60K","0.72%"
"Aug 27, 2019","128.46","128.91","129.69","127.46","1.36M","-0.03%"
"Aug 26, 2019","128.50","128.65","128.66","127.44","1.04M","0.77%"
"Aug 23, 2019","127.52","129.74","130.54","127.00","1.36M","-2.49%"
"Aug 22, 2019","130.77","131.06","131.65","129.19","1.05M","-0.09%"
"Aug 21, 2019","130.89","131.39","131.54","130.16","1.01M","0.21%"
"Aug 20, 2019","130.62","130.20","131.17","129.98","1.10M","-0.14%"
"Aug 19, 2019","130.80","129.98","131.11","129.13","2.58M","1.71%"
"Aug 16, 2019","128.60","127.51","128.66","126.89","1.07M","1.42%"
"Aug 15, 2019","126.80","127.16","127.70","126.00","1.39M","0.12%"
"Aug 14, 2019","126.65","127.94","128.30","125.46","2.12M","-1.94%"
"Aug 13, 2019","129.15","128.29","130.50","128.01","1.36M","0.88%"
"Aug 12, 2019","128.02","128.17","128.56","127.23","1.39M","-0.70%"
"Aug 09, 2019","128.92","129.92","130.70","128.01","1.63M","-1.19%"
"Aug 08, 2019","130.47","128.35","131.34","127.31","1.96M","2.59%"
"Aug 07, 2019","127.17","125.54","127.45","124.70","1.74M","0.09%"
"Aug 06, 2019","127.06","127.32","128.14","125.92","1.47M","0.44%"
"Aug 05, 2019","126.50","126.90","128.28","125.47","1.72M","-2.07%"
"Aug 02, 2019","129.17","130.59","132.03","128.89","2.43M","-1.70%"
"Aug 01, 2019","131.41","132.91","133.48","130.57","2.84M","-1.00%"
"Jul 31, 2019","132.74","137.29","137.29","131.30","2.54M","-1.86%"
"Jul 30, 2019","135.25","136.54","137.08","133.69","2.85M","-2.49%"
"Jul 29, 2019","138.71","138.90","139.98","137.27","2.16M","-0.51%"
"Jul 26, 2019","139.42","140.98","144.00","138.73","9.14M","0.88%"
"Jul 25, 2019","138.21","138.41","139.49","137.77","2.32M","0.28%"
"Jul 24, 2019","137.82","136.81","138.44","136.02","1.83M","0.37%"
"Jul 23, 2019","137.31","136.50","137.63","135.99","1.24M","0.95%"
"Jul 22, 2019","136.02","134.82","136.74","134.50","1.72M","0.68%"
"Jul 19, 2019","135.10","136.50","137.38","135.06","1.55M","-1.00%"
"Jul 18, 2019","136.47","134.13","137.14","134.12","1.46M","0.98%"
"Jul 17, 2019","135.14","136.14","137.16","135.11","1.23M","-0.90%"
"Jul 16, 2019","136.37","135.00","136.54","134.60","1.31M","1.21%"
"Jul 15, 2019","134.74","135.00","135.20","133.90","1.47M","0.12%"
"Jul 12, 2019","134.58","134.11","134.76","133.71","1.04M","0.48%"
"Jul 11, 2019","133.94","133.33","133.99","132.87","994.86K","0.48%"
"Jul 10, 2019","133.30","133.83","134.49","132.77","1.14M","-0.11%"
"Jul 09, 2019","133.45","132.16","133.71","132.16","827.15K","0.73%"
"Jul 08, 2019","132.48","134.58","135.03","132.13","1.13M","-1.95%"
"Jul 05, 2019","135.12","134.16","135.17","132.92","736.36K","0.18%"
"Jul 03, 2019","134.88","134.09","135.00","133.06","733.55K","0.65%"
