"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","37.66","37.15","37.80","36.85","5.55M","0.78%"
"Oct 22, 2019","37.37","36.82","37.63","36.57","4.90M","1.58%"
"Oct 21, 2019","36.79","36.10","36.96","35.98","6.19M","2.68%"
"Oct 18, 2019","35.83","36.00","36.16","35.81","3.83M","-0.53%"
"Oct 17, 2019","36.02","35.55","36.30","35.55","4.50M","1.15%"
"Oct 16, 2019","35.61","35.71","35.88","35.41","5.11M","-0.53%"
"Oct 15, 2019","35.80","35.64","36.12","35.42","5.95M","1.07%"
"Oct 14, 2019","35.42","35.35","36.24","35.32","11.78M","-2.53%"
"Oct 11, 2019","36.34","34.10","36.58","34.04","28.84M","17.15%"
"Oct 10, 2019","31.02","30.64","31.14","30.64","5.81M","1.21%"
"Oct 09, 2019","30.65","30.72","30.90","30.45","3.57M","0.13%"
"Oct 08, 2019","30.61","30.57","31.07","30.14","4.92M","-1.35%"
"Oct 07, 2019","31.03","31.41","31.47","30.90","5.09M","-2.36%"
"Oct 04, 2019","31.78","31.21","31.85","31.09","3.63M","2.48%"
"Oct 03, 2019","31.01","30.91","31.03","30.38","4.22M","0.16%"
"Oct 02, 2019","30.96","30.87","31.12","30.55","4.68M","-0.67%"
"Oct 01, 2019","31.17","33.00","33.16","30.98","6.48M","-4.59%"
"Sep 30, 2019","32.67","32.33","32.85","32.31","3.39M","1.37%"
"Sep 27, 2019","32.23","32.24","32.29","31.88","4.71M","0.75%"
"Sep 26, 2019","31.99","32.01","32.12","31.83","3.34M","-0.34%"
"Sep 25, 2019","32.10","31.74","32.26","31.70","3.17M","1.26%"
"Sep 24, 2019","31.70","32.54","32.64","31.48","4.99M","-1.80%"
"Sep 23, 2019","32.28","31.87","32.41","31.70","3.38M","1.32%"
"Sep 20, 2019","31.86","32.41","32.63","31.85","5.46M","-1.67%"
"Sep 19, 2019","32.40","32.78","32.91","32.36","3.38M","-1.43%"
"Sep 18, 2019","32.87","33.46","33.46","32.41","5.09M","-2.09%"
