"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","101.10","100.60","101.54","100.34","3.53M","0.31%"
"Oct 22, 2019","100.79","104.25","104.66","100.03","4.32M","-3.49%"
"Oct 21, 2019","104.44","106.73","106.83","103.21","2.73M","-1.16%"
"Oct 18, 2019","105.67","107.16","107.23","104.59","4.54M","-0.49%"
"Oct 17, 2019","106.19","106.53","107.11","105.91","2.01M","-0.34%"
"Oct 16, 2019","106.55","106.02","106.71","105.02","2.35M","-0.32%"
"Oct 15, 2019","106.89","106.85","107.10","105.92","2.77M","0.82%"
"Oct 14, 2019","106.02","105.81","106.66","105.60","3.34M","0.32%"
"Oct 11, 2019","105.68","106.09","106.76","105.43","1.93M","0.51%"
"Oct 10, 2019","105.14","104.04","105.56","103.64","2.16M","0.42%"
"Oct 09, 2019","104.70","103.52","105.09","103.22","1.97M","1.54%"
"Oct 08, 2019","103.11","103.74","104.50","102.17","2.40M","-1.42%"
"Oct 07, 2019","104.59","105.00","105.31","104.02","2.54M","-1.05%"
"Oct 04, 2019","105.70","103.66","105.86","103.64","3.38M","2.57%"
"Oct 03, 2019","103.05","101.03","103.23","100.18","2.65M","2.07%"
"Oct 02, 2019","100.96","102.27","102.34","99.75","3.67M","-2.12%"
"Oct 01, 2019","103.15","103.93","104.58","102.72","1.98M","-0.42%"
"Sep 30, 2019","103.59","102.70","103.81","102.67","2.25M","0.96%"
"Sep 27, 2019","102.61","105.71","105.78","102.12","3.02M","-2.34%"
"Sep 26, 2019","105.07","104.19","105.33","103.81","3.64M","1.09%"
"Sep 25, 2019","103.94","104.18","104.58","102.33","3.43M","0.17%"
"Sep 24, 2019","103.76","105.34","106.76","103.54","6.84M","-1.22%"
"Sep 23, 2019","105.04","103.38","105.24","103.38","4.16M","0.92%"
"Sep 20, 2019","104.08","105.06","106.09","103.88","6.64M","-0.79%"
"Sep 19, 2019","104.91","104.02","105.84","104.01","4.91M","0.55%"
"Sep 18, 2019","104.34","105.00","105.00","102.67","4.57M","-0.46%"
"Sep 17, 2019","104.82","104.55","105.25","104.06","2.51M","1.16%"
"Sep 16, 2019","103.62","101.78","104.32","101.50","2.49M","0.99%"
"Sep 13, 2019","102.60","103.76","103.96","102.06","2.86M","-1.24%"
"Sep 12, 2019","103.89","103.29","104.81","102.93","4.47M","1.85%"
"Sep 11, 2019","102.00","103.30","103.72","101.34","4.68M","-1.63%"
"Sep 10, 2019","103.69","105.72","106.19","101.90","4.91M","-2.80%"
"Sep 09, 2019","106.68","108.81","109.20","105.92","4.54M","-1.79%"
"Sep 06, 2019","108.62","108.67","109.92","108.56","4.05M","-0.07%"
"Sep 05, 2019","108.70","107.63","108.82","106.88","4.91M","2.27%"
"Sep 04, 2019","106.29","106.36","106.66","105.76","3.61M","0.43%"
"Sep 03, 2019","105.84","107.09","107.21","105.62","2.53M","-1.03%"
"Aug 30, 2019","106.94","108.05","108.32","106.32","4.35M","-0.65%"
"Aug 29, 2019","107.64","107.85","108.28","107.32","1.99M","0.83%"
