"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","32.61","32.85","33.01","32.50","905.06K","-0.49%"
"Oct 22, 2019","32.77","32.16","32.86","31.93","1.52M","2.12%"
"Oct 21, 2019","32.09","31.71","32.16","31.57","1.64M","1.81%"
"Oct 18, 2019","31.52","31.63","32.07","31.48","2.45M","0.10%"
"Oct 17, 2019","31.49","31.50","31.72","31.15","2.05M","-0.32%"
"Oct 16, 2019","31.59","31.35","31.59","31.26","1.16M","0.48%"
"Oct 15, 2019","31.44","31.02","31.51","30.80","1.15M","1.39%"
"Oct 14, 2019","31.01","31.06","31.13","30.75","1.18M","-0.48%"
"Oct 11, 2019","31.16","30.65","31.48","30.63","1.57M","2.40%"
"Oct 10, 2019","30.43","30.22","30.53","30.05","1.17M","0.56%"
"Oct 09, 2019","30.26","30.21","30.41","29.94","1.15M","0.73%"
"Oct 08, 2019","30.04","30.21","30.21","29.61","1.23M","-1.48%"
"Oct 07, 2019","30.49","30.51","31.04","30.48","962.56K","0.03%"
"Oct 04, 2019","30.48","30.50","30.78","30.34","998.98K","0.30%"
"Oct 03, 2019","30.39","30.25","30.43","29.67","1.07M","0.26%"
"Oct 02, 2019","30.31","30.99","31.20","30.26","1.12M","-2.79%"
"Oct 01, 2019","31.18","31.70","32.01","31.13","880.72K","-1.14%"
"Sep 30, 2019","31.54","31.68","31.85","31.34","712.09K","0.19%"
"Sep 27, 2019","31.48","31.51","31.71","31.13","870.75K","0.03%"
"Sep 26, 2019","31.47","32.06","32.06","31.35","1.32M","-1.66%"
"Sep 25, 2019","32.00","31.48","32.17","31.48","1.46M","1.49%"
"Sep 24, 2019","31.53","32.32","32.35","31.40","1.21M","-2.02%"
"Sep 23, 2019","32.18","32.16","32.34","31.88","855.05K","0.31%"
"Sep 20, 2019","32.08","31.89","32.30","31.63","1.60M","0.34%"
"Sep 19, 2019","31.97","32.57","32.66","31.90","635.23K","-1.63%"
"Sep 18, 2019","32.50","32.68","32.84","32.03","1.21M","-0.98%"
"Sep 17, 2019","32.82","33.46","33.46","32.72","890.64K","-2.00%"
"Sep 16, 2019","33.49","33.52","33.66","33.35","653.06K","-0.65%"
"Sep 13, 2019","33.71","33.68","34.08","33.45","938.78K","0.03%"
"Sep 12, 2019","33.70","34.12","34.12","33.59","1.16M","-0.79%"
"Sep 11, 2019","33.97","34.10","34.23","33.62","1.07M","-0.73%"
"Sep 10, 2019","34.22","33.76","34.42","33.76","1.42M","0.68%"
"Sep 09, 2019","33.99","33.68","34.02","33.31","792.53K","0.35%"
"Sep 06, 2019","33.87","33.95","34.35","33.73","875.15K","-0.12%"
"Sep 05, 2019","33.91","33.52","34.03","33.23","965.30K","2.11%"
"Sep 04, 2019","33.21","32.65","33.26","32.53","971.06K","2.41%"
"Sep 03, 2019","32.43","32.40","32.73","32.16","986.43K","-1.13%"
"Aug 30, 2019","32.80","33.27","33.31","32.47","1.30M","1.08%"
"Aug 29, 2019","32.45","31.78","32.80","31.66","1.73M","2.82%"
"Aug 28, 2019","31.56","31.67","31.94","31.33","1.00M","-0.19%"
"Aug 27, 2019","31.62","31.90","32.05","31.61","1.76M","-0.28%"
"Aug 26, 2019","31.71","31.67","31.82","31.28","1.51M","0.86%"
"Aug 23, 2019","31.44","32.66","32.72","31.33","1.48M","-4.20%"
"Aug 22, 2019","32.82","33.19","33.34","32.73","1.44M","-1.00%"
"Aug 21, 2019","33.15","33.47","33.51","32.87","1.41M","-0.63%"
"Aug 20, 2019","33.36","33.50","33.82","33.25","1.71M","-0.71%"
"Aug 19, 2019","33.60","33.31","33.90","33.30","1.63M","1.79%"
"Aug 16, 2019","33.01","33.09","33.29","32.71","1.41M","0.61%"
"Aug 15, 2019","32.81","33.65","34.03","32.71","2.02M","-2.53%"
"Aug 14, 2019","33.66","34.78","34.78","33.37","1.37M","-3.83%"
"Aug 13, 2019","35.00","34.67","35.53","34.67","1.72M","0.55%"
"Aug 12, 2019","34.81","35.28","35.28","34.67","1.34M","-1.58%"
"Aug 09, 2019","35.37","34.95","35.56","34.88","1.34M","1.06%"
"Aug 08, 2019","35.00","37.34","37.34","34.89","3.36M","-4.87%"
"Aug 07, 2019","36.79","36.05","36.93","35.76","1.78M","1.07%"
"Aug 06, 2019","36.40","35.93","36.51","35.85","1.54M","1.11%"
"Aug 05, 2019","36.00","36.28","36.48","35.75","2.04M","-1.53%"
"Aug 02, 2019","36.56","36.84","36.85","36.29","1.11M","-0.76%"
"Aug 01, 2019","36.84","37.16","37.45","36.69","1.76M","-0.97%"
"Jul 31, 2019","37.20","37.70","37.70","36.77","1.83M","-1.72%"
"Jul 30, 2019","37.85","37.50","38.06","37.50","1.83M","0.42%"
"Jul 29, 2019","37.69","37.44","37.84","37.34","885.76K","0.53%"
"Jul 26, 2019","37.49","37.37","38.03","37.33","915.59K","0.16%"
"Jul 25, 2019","37.43","36.91","37.54","36.90","1.41M","1.46%"
"Jul 24, 2019","36.89","36.46","37.08","36.44","1.23M","1.04%"
"Jul 23, 2019","36.51","36.35","36.75","35.99","2.00M","0.52%"
"Jul 22, 2019","36.32","36.47","36.64","36.28","1.56M","-0.36%"
"Jul 19, 2019","36.45","36.71","36.76","36.20","1.93M","-0.44%"
"Jul 18, 2019","36.61","36.10","36.76","36.00","3.02M","1.22%"
"Jul 17, 2019","36.17","36.62","36.72","36.09","1.89M","-1.42%"
"Jul 16, 2019","36.69","37.08","37.11","36.61","1.61M","-0.94%"
"Jul 15, 2019","37.04","37.12","37.21","36.61","1.34M","0.22%"
