"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","33.2400","33.4300","33.6600","33.1600","7.09M","-0.63%"
"Oct 22, 2019","33.4500","32.7300","33.5650","32.5500","5.53M","2.17%"
"Oct 21, 2019","32.7400","32.3600","32.8100","32.2000","5.16M","1.65%"
"Oct 18, 2019","32.2100","32.0400","32.5700","31.9600","8.89M","0.72%"
"Oct 17, 2019","31.9800","32.1000","32.1400","31.5400","9.07M","-0.03%"
"Oct 16, 2019","31.9900","31.6100","32.0100","31.5450","4.39M","0.91%"
"Oct 15, 2019","31.7000","31.3300","31.8050","31.1500","3.76M","0.99%"
"Oct 14, 2019","31.3900","31.2700","31.4300","31.0400","3.00M","-0.22%"
"Oct 11, 2019","31.4600","30.9900","31.7550","30.7600","4.44M","3.08%"
"Oct 10, 2019","30.5200","30.2400","30.5500","30.0500","3.50M","0.96%"
"Oct 09, 2019","30.2300","30.3600","30.4500","29.9600","3.54M","0.58%"
"Oct 08, 2019","30.0550","30.2700","30.2800","29.6950","3.83M","-1.78%"
"Oct 07, 2019","30.6000","30.7500","31.1400","30.5800","4.87M","0.10%"
"Oct 04, 2019","30.5700","30.6000","30.8100","30.3700","2.86M","0.36%"
"Oct 03, 2019","30.4600","30.3400","30.5500","29.7050","7.19M","0.13%"
"Oct 02, 2019","30.4200","31.1700","31.2900","30.3650","4.88M","-2.62%"
"Oct 01, 2019","31.2400","31.7300","32.0700","31.2000","2.70M","-0.94%"
"Sep 30, 2019","31.5350","31.6300","31.8700","31.3500","3.17M","0.30%"
"Sep 27, 2019","31.4400","31.6500","31.7200","31.1500","4.27M","-0.03%"
"Sep 26, 2019","31.4500","32.1800","32.1900","31.3900","5.97M","-1.75%"
"Sep 25, 2019","32.0100","31.6100","32.1800","31.5600","4.39M","1.33%"
"Sep 24, 2019","31.5900","32.2800","32.4450","31.4750","5.84M","-2.11%"
"Sep 23, 2019","32.2700","32.3700","32.4900","31.9950","3.49M","0.00%"
"Sep 20, 2019","32.2700","31.9900","32.4250","31.7200","8.19M","0.72%"
"Sep 19, 2019","32.0400","32.4800","32.7800","31.9600","4.93M","-1.84%"
"Sep 18, 2019","32.6400","32.8800","32.9600","32.1300","5.60M","-0.67%"
"Sep 17, 2019","32.8600","33.5900","33.5900","32.7900","6.70M","-2.20%"
"Sep 16, 2019","33.6000","33.6800","33.8300","33.4700","2.18M","-0.68%"
"Sep 13, 2019","33.8300","33.9600","34.2100","33.5100","4.61M","0.12%"
"Sep 12, 2019","33.7900","34.1900","34.1900","33.6700","4.29M","-0.62%"
"Sep 11, 2019","34.0000","34.2800","34.4300","33.8000","3.29M","-0.87%"
"Sep 10, 2019","34.3000","33.8500","34.7200","33.8500","3.20M","0.00%"
"Sep 09, 2019","34.3000","33.3900","34.3400","33.3900","2.66M","0.20%"
"Sep 06, 2019","34.2300","34.3200","34.7400","34.0600","2.51M","-0.06%"
"Sep 05, 2019","34.2500","33.6400","34.4050","33.5600","3.95M","2.06%"
"Sep 04, 2019","33.5600","32.9900","33.6100","32.9000","2.28M","2.41%"
