"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","66.58","65.59","66.65","65.53","6.09M","1.09%"
"Oct 22, 2019","65.86","65.71","66.59","65.67","6.08M","1.00%"
"Oct 21, 2019","65.21","64.94","65.37","64.80","3.90M","0.46%"
"Oct 18, 2019","64.91","65.40","65.45","64.20","8.81M","-0.49%"
"Oct 17, 2019","65.23","65.30","65.69","64.78","4.69M","-0.18%"
"Oct 16, 2019","65.35","65.06","65.88","65.00","4.86M","0.08%"
"Oct 15, 2019","65.30","64.83","65.74","64.61","5.73M","1.22%"
"Oct 14, 2019","64.51","63.83","65.02","63.83","4.56M","0.81%"
"Oct 11, 2019","63.99","63.95","64.49","63.67","5.65M","1.15%"
"Oct 10, 2019","63.26","62.12","63.41","62.00","5.85M","2.07%"
"Oct 09, 2019","61.98","62.29","62.43","61.76","3.66M","0.47%"
"Oct 08, 2019","61.69","62.33","62.49","61.37","4.64M","-1.66%"
"Oct 07, 2019","62.73","62.55","63.58","62.28","6.05M","0.27%"
"Oct 04, 2019","62.56","62.45","62.72","61.92","5.20M","0.53%"
"Oct 03, 2019","62.23","61.74","62.34","60.89","6.54M","0.99%"
"Oct 02, 2019","61.62","62.94","62.94","61.52","6.66M","-2.53%"
"Oct 01, 2019","63.22","63.60","64.33","62.96","4.90M","-0.25%"
"Sep 30, 2019","63.38","63.00","63.80","62.86","8.66M","0.76%"
"Sep 27, 2019","62.90","63.57","63.92","62.57","7.41M","-0.63%"
"Sep 26, 2019","63.30","64.42","64.42","63.09","6.51M","-1.40%"
"Sep 25, 2019","64.20","64.50","64.84","64.02","4.95M","-0.56%"
"Sep 24, 2019","64.56","65.99","66.03","64.24","5.88M","-1.78%"
"Sep 23, 2019","65.73","66.25","66.33","64.88","5.57M","-1.04%"
"Sep 20, 2019","66.42","65.89","67.02","65.89","9.78M","0.70%"
"Sep 19, 2019","65.96","65.85","66.44","65.64","4.20M","0.37%"
"Sep 18, 2019","65.72","66.01","66.15","65.11","4.35M","-0.68%"
"Sep 17, 2019","66.17","65.90","66.24","65.28","4.83M","0.44%"
"Sep 16, 2019","65.88","66.29","66.43","65.66","4.64M","-0.96%"
"Sep 13, 2019","66.52","66.75","67.49","65.96","4.81M","0.24%"
"Sep 12, 2019","66.36","67.50","67.54","66.26","6.50M","-2.53%"
"Sep 11, 2019","68.08","66.99","68.16","66.99","8.85M","1.49%"
"Sep 10, 2019","67.08","66.08","67.18","65.77","7.42M","1.13%"
"Sep 09, 2019","66.33","64.65","66.57","64.63","8.70M","2.33%"
"Sep 06, 2019","64.82","64.30","65.00","63.91","6.83M","1.19%"
"Sep 05, 2019","64.06","63.44","64.50","63.33","6.01M","1.25%"
"Sep 04, 2019","63.27","63.36","63.67","62.39","5.90M","0.48%"
"Sep 03, 2019","62.97","63.15","63.34","62.27","4.91M","-0.90%"
"Aug 30, 2019","63.54","63.99","64.01","62.85","5.30M","-0.33%"
"Aug 29, 2019","63.75","64.27","64.42","63.28","4.76M","0.17%"
"Aug 28, 2019","63.64","63.04","64.19","62.73","5.44M","0.52%"
"Aug 27, 2019","63.31","63.51","63.89","62.94","5.23M","0.49%"
"Aug 26, 2019","63.00","63.30","63.33","62.33","4.05M","0.78%"
"Aug 23, 2019","62.51","64.07","64.67","62.19","7.49M","-2.66%"
"Aug 22, 2019","64.22","64.31","64.70","63.54","5.08M","0.14%"
"Aug 21, 2019","64.13","64.04","64.26","63.67","4.49M","1.09%"
"Aug 20, 2019","63.44","64.04","64.31","63.38","5.29M","-1.05%"
"Aug 19, 2019","64.11","63.69","64.42","63.69","6.16M","1.54%"
"Aug 16, 2019","63.14","63.41","63.51","62.84","7.59M","0.43%"
"Aug 15, 2019","62.87","63.28","63.81","62.84","4.76M","-0.40%"
"Aug 14, 2019","63.12","63.69","63.80","62.92","6.38M","-1.84%"
"Aug 13, 2019","64.30","63.72","64.99","63.72","4.82M","0.50%"
"Aug 12, 2019","63.98","64.93","65.47","63.49","5.70M","-1.93%"
"Aug 09, 2019","65.24","64.70","65.72","64.36","5.23M","0.65%"
"Aug 08, 2019","64.82","63.72","64.90","63.61","5.19M","1.47%"
"Aug 07, 2019","63.88","63.34","64.20","62.54","5.45M","-0.16%"
