"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","1,259.13","1,243.95","1,259.85","1,243.95","907.72K","1.31%"
"Oct 22, 2019","1,242.80","1,247.17","1,250.43","1,241.76","1.05M","-0.27%"
"Oct 21, 2019","1,246.15","1,251.97","1,254.00","1,241.05","1.04M","0.05%"
"Oct 18, 2019","1,245.49","1,253.46","1,258.42","1,241.24","1.35M","-0.60%"
"Oct 17, 2019","1,253.07","1,251.58","1,263.00","1,250.34","980.51K","0.76%"
"Oct 16, 2019","1,243.64","1,241.17","1,254.40","1,240.62","1.17M","0.05%"
"Oct 15, 2019","1,243.01","1,223.30","1,246.94","1,223.29","1.40M","2.13%"
"Oct 14, 2019","1,217.14","1,212.34","1,226.33","1,211.76","882.04K","0.14%"
"Oct 11, 2019","1,215.45","1,222.21","1,228.39","1,213.74","1.28M","0.56%"
"Oct 10, 2019","1,208.67","1,198.58","1,215.00","1,197.34","932.53K","0.53%"
"Oct 09, 2019","1,202.31","1,199.35","1,208.35","1,197.63","876.63K","1.11%"
"Oct 08, 2019","1,189.13","1,197.59","1,206.08","1,189.01","1.14M","-1.54%"
"Oct 07, 2019","1,207.68","1,204.40","1,218.20","1,203.75","867.15K","-0.11%"
"Oct 04, 2019","1,209.00","1,191.89","1,211.44","1,189.17","1.18M","1.78%"
"Oct 03, 2019","1,187.83","1,180.00","1,189.06","1,162.43","1.66M","0.95%"
"Oct 02, 2019","1,176.63","1,196.98","1,196.99","1,171.29","1.64M","-2.36%"
"Oct 01, 2019","1,205.10","1,219.00","1,231.23","1,203.58","1.36M","-1.14%"
"Sep 30, 2019","1,219.00","1,220.97","1,226.00","1,212.30","1.42M","-0.50%"
"Sep 27, 2019","1,225.09","1,243.01","1,244.02","1,214.45","1.35M","-1.31%"
"Sep 26, 2019","1,241.39","1,241.96","1,245.00","1,232.27","1.56M","-0.41%"
"Sep 25, 2019","1,246.52","1,215.82","1,248.30","1,210.09","1.59M","2.28%"
"Sep 24, 2019","1,218.76","1,240.00","1,246.74","1,210.68","1.59M","-1.24%"
"Sep 23, 2019","1,234.03","1,226.00","1,239.09","1,224.17","1.08M","0.33%"
"Sep 20, 2019","1,229.93","1,233.12","1,243.32","1,223.08","2.34M","-0.71%"
"Sep 19, 2019","1,238.71","1,232.06","1,244.44","1,232.02","1.00M","0.51%"
"Sep 18, 2019","1,232.41","1,227.51","1,235.61","1,216.53","1.14M","0.27%"
"Sep 17, 2019","1,229.15","1,230.40","1,235.00","1,223.69","958.11K","-0.17%"
"Sep 16, 2019","1,231.30","1,229.52","1,239.56","1,225.61","1.05M","-0.67%"
"Sep 13, 2019","1,239.56","1,231.35","1,240.88","1,227.01","1.30M","0.43%"
"Sep 12, 2019","1,234.25","1,224.30","1,241.86","1,223.02","1.73M","1.15%"
"Sep 11, 2019","1,220.17","1,203.41","1,222.60","1,202.20","1.31M","1.17%"
"Sep 10, 2019","1,206.00","1,195.15","1,210.00","1,194.58","1.26M","0.13%"
"Sep 09, 2019","1,204.41","1,204.00","1,220.00","1,192.62","1.47M","-0.04%"
"Sep 06, 2019","1,204.93","1,208.13","1,212.02","1,202.52","1.07M","-0.53%"
"Sep 05, 2019","1,211.38","1,191.53","1,213.04","1,191.53","1.41M","2.54%"
"Sep 04, 2019","1,181.41","1,176.71","1,183.48","1,171.00","1.07M","1.11%"
"Sep 03, 2019","1,168.39","1,177.03","1,186.89","1,163.20","1.48M","-1.66%"
"Aug 30, 2019","1,188.10","1,198.50","1,198.50","1,183.80","1.13M","-0.40%"
"Aug 29, 2019","1,192.85","1,181.12","1,196.06","1,181.12","1.09M","1.86%"
"Aug 28, 2019","1,171.02","1,161.71","1,176.42","1,157.30","802.24K","0.27%"
"Aug 27, 2019","1,167.84","1,180.53","1,182.40","1,161.45","1.08M","-0.09%"
"Aug 26, 2019","1,168.89","1,157.26","1,169.47","1,152.96","1.23M","1.53%"
"Aug 23, 2019","1,151.29","1,181.99","1,194.08","1,147.75","1.69M","-3.21%"
"Aug 22, 2019","1,189.53","1,194.07","1,198.01","1,178.58","947.91K","-0.14%"
"Aug 21, 2019","1,191.25","1,193.15","1,199.00","1,187.43","741.05K","0.72%"
"Aug 20, 2019","1,182.69","1,195.25","1,196.06","1,182.11","915.61K","-1.32%"
"Aug 19, 2019","1,198.45","1,190.09","1,206.99","1,190.09","1.23M","1.77%"
"Aug 16, 2019","1,177.60","1,179.55","1,182.72","1,171.81","1.35M","0.89%"
"Aug 15, 2019","1,167.26","1,163.50","1,175.84","1,162.11","1.22M","0.26%"
"Aug 14, 2019","1,164.29","1,176.31","1,182.30","1,160.54","1.58M","-2.75%"
"Aug 13, 2019","1,197.27","1,171.46","1,204.78","1,171.46","1.32M","1.92%"
"Aug 12, 2019","1,174.71","1,179.21","1,184.96","1,167.67","1.00M","-1.12%"
"Aug 09, 2019","1,188.01","1,197.99","1,203.88","1,183.60","1.07M","-1.39%"
"Aug 08, 2019","1,204.80","1,182.83","1,205.01","1,173.02","1.47M","2.62%"
"Aug 07, 2019","1,173.99","1,156.00","1,178.45","1,149.62","1.44M","0.35%"
"Aug 06, 2019","1,169.95","1,163.31","1,179.96","1,160.00","1.71M","1.53%"
"Aug 05, 2019","1,152.32","1,170.04","1,175.24","1,140.14","2.60M","-3.49%"
"Aug 02, 2019","1,193.99","1,200.74","1,206.90","1,188.94","1.65M","-1.24%"
"Aug 01, 2019","1,209.01","1,214.03","1,234.11","1,205.72","1.70M","-0.63%"
"Jul 31, 2019","1,216.68","1,223.00","1,234.00","1,207.76","1.73M","-0.69%"
"Jul 30, 2019","1,225.14","1,225.41","1,234.87","1,223.30","1.45M","-1.15%"
"Jul 29, 2019","1,239.41","1,241.05","1,247.37","1,228.23","2.22M","-0.88%"
"Jul 26, 2019","1,250.41","1,224.04","1,265.55","1,224.00","4.81M","10.45%"
"Jul 25, 2019","1,132.12","1,137.82","1,141.70","1,120.92","2.21M","-0.50%"
"Jul 24, 2019","1,137.81","1,131.90","1,144.00","1,126.99","1.59M","-0.73%"
"Jul 23, 2019","1,146.21","1,144.00","1,146.90","1,131.80","1.09M","0.72%"
"Jul 22, 2019","1,138.07","1,133.45","1,139.25","1,124.24","1.30M","0.71%"
"Jul 19, 2019","1,130.10","1,148.19","1,151.14","1,129.62","1.65M","-1.42%"
"Jul 18, 2019","1,146.33","1,141.74","1,147.61","1,132.73","1.29M","-0.00%"
"Jul 17, 2019","1,146.35","1,150.97","1,158.36","1,145.77","1.17M","-0.63%"
"Jul 16, 2019","1,153.58","1,146.00","1,158.58","1,145.00","1.24M","0.28%"
"Jul 15, 2019","1,150.34","1,146.86","1,150.82","1,139.40","903.78K","0.48%"
"Jul 12, 2019","1,144.90","1,143.99","1,147.34","1,138.78","863.97K","0.06%"
"Jul 11, 2019","1,144.21","1,143.25","1,153.07","1,139.58","1.20M","0.33%"
"Jul 10, 2019","1,140.48","1,131.22","1,142.05","1,130.97","1.21M","1.39%"
"Jul 09, 2019","1,124.83","1,111.80","1,128.03","1,107.17","1.33M","0.76%"
"Jul 08, 2019","1,116.35","1,125.17","1,125.98","1,111.21","1.24M","-1.35%"
"Jul 05, 2019","1,131.59","1,117.80","1,132.88","1,116.14","1.26M","0.89%"
"Jul 03, 2019","1,121.58","1,117.41","1,126.76","1,113.86","767.01K","0.93%"
"Jul 02, 2019","1,111.25","1,102.24","1,111.77","1,098.17","991.76K","1.21%"
"Jul 01, 2019","1,097.95","1,098.00","1,107.58","1,093.70","1.44M","1.58%"
"Jun 28, 2019","1,080.91","1,076.39","1,081.00","1,073.37","1.69M","0.46%"
