"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","1259.13","1243.95","1259.85","1243.95","907.72K","1.31%"
"Oct 22, 2019","1242.80","1247.17","1250.43","1241.76","1.05M","-0.27%"
"Oct 21, 2019","1246.15","1251.97","1254.00","1241.05","1.04M","0.05%"
"Oct 18, 2019","1245.49","1253.46","1258.42","1241.24","1.35M","-0.60%"
"Oct 17, 2019","1253.07","1251.58","1263.00","1250.34","980.51K","0.76%"
"Oct 16, 2019","1243.64","1241.17","1254.40","1240.62","1.17M","0.05%"
"Oct 15, 2019","1243.01","1223.30","1246.94","1223.29","1.40M","2.13%"
"Oct 14, 2019","1217.14","1212.34","1226.33","1211.76","882.04K","0.14%"
"Oct 11, 2019","1215.45","1222.21","1228.39","1213.74","1.28M","0.56%"
"Oct 10, 2019","1208.67","1198.58","1215.00","1197.34","932.53K","0.53%"
"Oct 09, 2019","1202.31","1199.35","1208.35","1197.63","876.63K","1.11%"
"Oct 08, 2019","1189.13","1197.59","1206.08","1189.01","1.14M","-1.54%"
"Oct 07, 2019","1207.68","1204.40","1218.20","1203.75","867.15K","-0.11%"
"Oct 04, 2019","1209.00","1191.89","1211.44","1189.17","1.18M","1.78%"
"Oct 03, 2019","1187.83","1180.00","1189.06","1162.43","1.66M","0.95%"
"Oct 02, 2019","1176.63","1196.98","1196.99","1171.29","1.64M","-2.36%"
"Oct 01, 2019","1205.10","1219.00","1231.23","1203.58","1.36M","-1.14%"
"Sep 30, 2019","1219.00","1220.97","1226.00","1212.30","1.42M","-0.50%"
"Sep 27, 2019","1225.09","1243.01","1244.02","1214.45","1.35M","-1.31%"
"Sep 26, 2019","1241.39","1241.96","1245.00","1232.27","1.56M","-0.41%"
"Sep 25, 2019","1246.52","1215.82","1248.30","1210.09","1.59M","2.28%"
"Sep 24, 2019","1218.76","1240.00","1246.74","1210.68","1.59M","-1.24%"
"Sep 23, 2019","1234.03","1226.00","1239.09","1224.17","1.08M","0.33%"
"Sep 20, 2019","1229.93","1233.12","1243.32","1223.08","2.34M","-0.71%"
"Sep 19, 2019","1238.71","1232.06","1244.44","1232.02","1.00M","0.51%"
"Sep 18, 2019","1232.41","1227.51","1235.61","1216.53","1.14M","0.27%"
"Sep 17, 2019","1229.15","1230.40","1235.00","1223.69","958.11K","-0.17%"
"Sep 16, 2019","1231.30","1229.52","1239.56","1225.61","1.05M","-0.67%"
"Sep 13, 2019","1239.56","1231.35","1240.88","1227.01","1.30M","0.43%"
"Sep 12, 2019","1234.25","1224.30","1241.86","1223.02","1.73M","1.15%"
"Sep 11, 2019","1220.17","1203.41","1222.60","1202.20","1.31M","1.17%"
"Sep 10, 2019","1206.00","1195.15","1210.00","1194.58","1.26M","0.13%"
"Sep 09, 2019","1204.41","1204.00","1220.00","1192.62","1.47M","-0.04%"
"Sep 06, 2019","1204.93","1208.13","1212.02","1202.52","1.07M","-0.53%"
"Sep 05, 2019","1211.38","1191.53","1213.04","1191.53","1.41M","2.54%"
"Sep 04, 2019","1181.41","1176.71","1183.48","1171.00","1.07M","1.11%"
"Sep 03, 2019","1168.39","1177.03","1186.89","1163.20","1.48M","-1.66%"
"Aug 30, 2019","1188.10","1198.50","1198.50","1183.80","1.13M","-0.40%"
"Aug 29, 2019","1192.85","1181.12","1196.06","1181.12","1.09M","1.86%"
"Aug 28, 2019","1171.02","1161.71","1176.42","1157.30","802.24K","0.27%"
"Aug 27, 2019","1167.84","1180.53","1182.40","1161.45","1.08M","-0.09%"
"Aug 26, 2019","1168.89","1157.26","1169.47","1152.96","1.23M","1.53%"
"Aug 23, 2019","1151.29","1181.99","1194.08","1147.75","1.69M","-3.21%"
"Aug 22, 2019","1189.53","1194.07","1198.01","1178.58","947.91K","-0.14%"
"Aug 21, 2019","1191.25","1193.15","1199.00","1187.43","741.05K","0.72%"
"Aug 20, 2019","1182.69","1195.25","1196.06","1182.11","915.61K","-1.32%"
"Aug 19, 2019","1198.45","1190.09","1206.99","1190.09","1.23M","1.77%"
"Aug 16, 2019","1177.60","1179.55","1182.72","1171.81","1.35M","0.89%"
"Aug 15, 2019","1167.26","1163.50","1175.84","1162.11","1.22M","0.26%"
"Aug 14, 2019","1164.29","1176.31","1182.30","1160.54","1.58M","-2.75%"
"Aug 13, 2019","1197.27","1171.46","1204.78","1171.46","1.32M","1.92%"
"Aug 12, 2019","1174.71","1179.21","1184.96","1167.67","1.00M","-1.12%"
"Aug 09, 2019","1188.01","1197.99","1203.88","1183.60","1.07M","-1.39%"
"Aug 08, 2019","1204.80","1182.83","1205.01","1173.02","1.47M","2.62%"
"Aug 07, 2019","1173.99","1156.00","1178.45","1149.62","1.44M","0.35%"
"Aug 06, 2019","1169.95","1163.31","1179.96","1160.00","1.71M","1.53%"
"Aug 05, 2019","1152.32","1170.04","1175.24","1140.14","2.60M","-3.49%"
"Aug 02, 2019","1193.99","1200.74","1206.90","1188.94","1.65M","-1.24%"
"Aug 01, 2019","1209.01","1214.03","1234.11","1205.72","1.70M","-0.63%"
"Jul 31, 2019","1216.68","1223.00","1234.00","1207.76","1.73M","-0.69%"
"Jul 30, 2019","1225.14","1225.41","1234.87","1223.30","1.45M","-1.15%"
"Jul 29, 2019","1239.41","1241.05","1247.37","1228.23","2.22M","-0.88%"
"Jul 26, 2019","1250.41","1224.04","1265.55","1224.00","4.81M","10.45%"
"Jul 25, 2019","1132.12","1137.82","1141.70","1120.92","2.21M","-0.50%"
"Jul 24, 2019","1137.81","1131.90","1144.00","1126.99","1.59M","-0.73%"
"Jul 23, 2019","1146.21","1144.00","1146.90","1131.80","1.09M","0.72%"
"Jul 22, 2019","1138.07","1133.45","1139.25","1124.24","1.30M","0.71%"
"Jul 19, 2019","1130.10","1148.19","1151.14","1129.62","1.65M","-1.42%"
"Jul 18, 2019","1146.33","1141.74","1147.61","1132.73","1.29M","-0.00%"
"Jul 17, 2019","1146.35","1150.97","1158.36","1145.77","1.17M","-0.63%"
"Jul 16, 2019","1153.58","1146.00","1158.58","1145.00","1.24M","0.28%"
"Jul 15, 2019","1150.34","1146.86","1150.82","1139.40","903.78K","0.48%"
"Jul 12, 2019","1144.90","1143.99","1147.34","1138.78","863.97K","0.06%"
"Jul 11, 2019","1144.21","1143.25","1153.07","1139.58","1.20M","0.33%"
"Jul 10, 2019","1140.48","1131.22","1142.05","1130.97","1.21M","1.39%"
"Jul 09, 2019","1124.83","1111.80","1128.03","1107.17","1.33M","0.76%"
"Jul 08, 2019","1116.35","1125.17","1125.98","1111.21","1.24M","-1.35%"
"Jul 05, 2019","1131.59","1117.80","1132.88","1116.14","1.26M","0.89%"
"Jul 03, 2019","1121.58","1117.41","1126.76","1113.86","767.01K","0.93%"
"Jul 02, 2019","1111.25","1102.24","1111.77","1098.17","991.76K","1.21%"
"Jul 01, 2019","1097.95","1098.00","1107.58","1093.70","1.44M","1.58%"
"Jun 28, 2019","1080.91","1076.39","1081.00","1073.37","1.69M","0.46%"
"Jun 27, 2019","1076.01","1084.00","1087.10","1075.29","1.00M","-0.35%"
"Jun 26, 2019","1079.80","1086.50","1092.97","1072.24","1.81M","-0.60%"
"Jun 25, 2019","1086.35","1112.66","1114.35","1083.80","1.55M","-2.61%"
"Jun 24, 2019","1115.52","1119.61","1122.00","1111.01","1.40M","-0.57%"
"Jun 21, 2019","1121.88","1109.24","1124.11","1108.08","1.95M","0.94%"
"Jun 20, 2019","1111.42","1119.99","1120.12","1104.74","1.26M","0.82%"
"Jun 19, 2019","1102.33","1105.60","1107.00","1093.48","1.34M","-0.12%"
"Jun 18, 2019","1103.60","1109.69","1116.39","1098.99","1.39M","1.02%"
