"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","99.40","100.43","101.70","98.06","3.21M","-0.62%"
"Oct 22, 2019","100.02","101.01","104.95","98.85","6.95M","-16.76%"
"Oct 21, 2019","120.16","122.93","122.93","119.40","2.07M","-1.48%"
"Oct 18, 2019","121.96","122.30","123.05","121.53","911.32K","-0.35%"
"Oct 17, 2019","122.39","122.34","122.97","121.58","802.44K","0.33%"
"Oct 16, 2019","121.99","121.49","122.58","121.11","647.36K","0.02%"
"Oct 15, 2019","121.96","121.60","122.48","121.35","546.76K","0.88%"
"Oct 14, 2019","120.90","120.67","121.64","120.21","509.11K","-0.32%"
"Oct 11, 2019","121.29","120.47","122.10","120.03","611.87K","1.54%"
"Oct 10, 2019","119.45","118.17","119.70","117.54","625.80K","1.09%"
"Oct 09, 2019","118.16","117.35","118.89","117.02","545.11K","1.26%"
"Oct 08, 2019","116.69","117.02","118.10","116.65","604.03K","-0.82%"
"Oct 07, 2019","117.66","117.80","118.20","116.50","435.94K","-0.49%"
"Oct 04, 2019","118.24","116.43","118.47","116.43","513.07K","1.41%"
"Oct 03, 2019","116.60","115.01","116.60","113.94","497.81K","1.12%"
"Oct 02, 2019","115.31","116.51","117.59","113.95","664.46K","-1.53%"
"Oct 01, 2019","117.10","118.95","119.93","116.58","653.02K","-1.34%"
"Sep 30, 2019","118.69","119.07","119.92","118.63","679.87K","-0.11%"
"Sep 27, 2019","118.82","118.44","119.53","117.82","541.88K","1.21%"
"Sep 26, 2019","117.40","118.55","118.62","117.25","501.73K","-1.19%"
"Sep 25, 2019","118.81","117.08","119.41","116.61","531.67K","1.55%"
"Sep 24, 2019","117.00","119.10","119.45","116.41","601.12K","-0.91%"
"Sep 23, 2019","118.08","117.73","119.37","117.28","538.52K","0.38%"
"Sep 20, 2019","117.63","120.10","121.14","117.41","2.51M","-2.72%"
"Sep 19, 2019","120.92","120.33","121.37","119.72","1.04M","1.06%"
"Sep 18, 2019","119.65","119.31","119.79","118.23","817.50K","0.29%"
"Sep 17, 2019","119.30","120.01","120.01","118.52","738.01K","0.19%"
"Sep 16, 2019","119.07","118.58","120.38","118.13","433.74K","-0.59%"
"Sep 13, 2019","119.78","119.68","121.47","119.64","601.39K","0.12%"
"Sep 12, 2019","119.64","117.66","120.99","117.66","850.59K","1.83%"
"Sep 11, 2019","117.49","116.22","117.61","115.01","755.54K","0.81%"
"Sep 10, 2019","116.55","114.73","118.68","114.22","1.09M","2.29%"
"Sep 09, 2019","113.94","112.70","114.40","111.79","580.57K","1.37%"
"Sep 06, 2019","112.40","110.77","112.49","110.52","677.61K","1.27%"
"Sep 05, 2019","110.99","111.31","112.43","110.05","683.75K","1.30%"
"Sep 04, 2019","109.57","110.29","110.96","108.79","620.28K","0.16%"
"Sep 03, 2019","109.39","109.82","110.27","108.09","721.60K","-0.98%"
"Aug 30, 2019","110.47","111.04","111.34","109.86","679.41K","0.30%"
"Aug 29, 2019","110.14","109.48","110.73","108.93","505.30K","1.73%"
"Aug 28, 2019","108.27","106.78","108.63","103.04","557.50K","0.94%"
"Aug 27, 2019","107.26","107.85","108.55","106.87","858.70K","0.06%"
"Aug 26, 2019","107.20","105.49","107.86","104.79","1.03M","2.95%"
"Aug 23, 2019","104.13","106.95","108.69","103.76","2.05M","-8.94%"
"Aug 22, 2019","114.35","115.39","115.67","112.92","517.64K","-1.00%"
"Aug 21, 2019","115.50","115.95","116.61","114.56","375.12K","0.97%"
"Aug 20, 2019","114.39","114.43","115.02","114.21","422.83K","-0.49%"
"Aug 19, 2019","114.95","115.63","116.23","114.16","580.95K","0.51%"
"Aug 16, 2019","114.37","114.44","114.92","113.56","614.99K","1.09%"
"Aug 15, 2019","113.14","115.06","115.06","112.22","609.60K","-1.11%"
"Aug 14, 2019","114.41","114.20","115.04","113.33","975.57K","-1.58%"
"Aug 13, 2019","116.25","112.98","120.97","112.11","1.63M","2.75%"
"Aug 12, 2019","113.14","113.93","114.36","112.55","512.98K","-1.21%"
"Aug 09, 2019","114.53","115.11","116.17","113.69","720.20K","-1.81%"
"Aug 08, 2019","116.64","114.95","116.70","114.26","867.78K","2.53%"
"Aug 07, 2019","113.76","111.14","113.94","109.79","830.25K","0.69%"
"Aug 06, 2019","112.98","111.66","113.08","110.90","1.10M","1.41%"
"Aug 05, 2019","111.41","111.90","111.96","109.83","1.50M","-1.85%"
