"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","63.25","62.67","63.62","62.46","1.06M","1.22%"
"Oct 22, 2019","62.49","63.20","63.20","62.26","975.25K","-0.65%"
"Oct 21, 2019","62.90","62.97","63.48","62.63","1.01M","0.14%"
"Oct 18, 2019","62.81","63.63","64.26","62.77","1.26M","-1.16%"
"Oct 17, 2019","63.55","62.90","63.83","62.66","1.22M","1.76%"
"Oct 16, 2019","62.45","61.82","63.46","61.64","1.63M","0.99%"
"Oct 15, 2019","61.84","61.57","62.07","61.12","907.37K","0.78%"
"Oct 14, 2019","61.36","63.00","63.00","61.33","923.78K","-2.51%"
"Oct 11, 2019","62.94","63.17","63.73","62.84","926.27K","0.90%"
"Oct 10, 2019","62.38","62.26","62.91","61.91","828.92K","0.43%"
"Oct 09, 2019","62.11","62.52","62.53","61.43","779.25K","-0.03%"
"Oct 08, 2019","62.13","62.51","62.69","61.89","991.13K","-1.19%"
"Oct 07, 2019","62.88","62.72","63.16","62.45","592.01K","-0.08%"
"Oct 04, 2019","62.93","62.27","62.95","61.95","869.49K","1.75%"
"Oct 03, 2019","61.85","61.78","62.33","60.94","798.86K","0.11%"
"Oct 02, 2019","61.78","62.93","63.03","61.01","945.52K","-2.01%"
"Oct 01, 2019","63.05","63.32","63.96","62.73","871.01K","-0.71%"
"Sep 30, 2019","63.50","62.92","63.77","62.54","975.07K","1.47%"
"Sep 27, 2019","62.58","61.97","62.81","61.60","810.00K","1.56%"
"Sep 26, 2019","61.62","62.59","62.59","61.04","757.16K","-0.98%"
"Sep 25, 2019","62.23","60.93","62.29","60.86","674.10K","1.92%"
"Sep 24, 2019","61.06","62.48","62.72","60.84","952.15K","-2.04%"
"Sep 23, 2019","62.33","62.65","62.97","61.86","684.99K","-0.83%"
"Sep 20, 2019","62.85","62.75","63.41","62.40","2.00M","-0.48%"
"Sep 19, 2019","63.15","63.02","63.78","63.02","662.42K","0.45%"
"Sep 18, 2019","62.87","62.77","63.25","62.51","941.38K","0.18%"
"Sep 17, 2019","62.76","65.24","65.75","62.72","1.36M","-3.62%"
"Sep 16, 2019","65.12","63.81","65.24","63.69","1.01M","1.24%"
"Sep 13, 2019","64.32","65.21","65.61","64.09","1.32M","-1.09%"
"Sep 12, 2019","65.03","66.02","66.57","65.00","1.47M","-1.23%"
"Sep 11, 2019","65.84","63.90","65.85","63.51","1.48M","3.04%"
"Sep 10, 2019","63.90","62.42","64.24","62.37","1.52M","2.06%"
"Sep 09, 2019","62.61","61.79","62.75","61.69","909.62K","1.71%"
"Sep 06, 2019","61.56","62.00","62.00","60.51","1.46M","-0.44%"
"Sep 05, 2019","61.83","61.45","62.04","61.25","928.18K","1.26%"
