"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","267.93","272.22","273.36","266.93","376.70K","-1.07%"
"Oct 22, 2019","270.84","279.07","280.02","270.72","235.28K","-2.88%"
"Oct 21, 2019","278.88","285.44","285.45","278.10","247.18K","-1.40%"
"Oct 18, 2019","282.83","282.45","283.44","280.48","294.93K","0.25%"
"Oct 17, 2019","282.13","281.05","282.82","278.61","188.19K","0.92%"
"Oct 16, 2019","279.57","280.06","281.46","277.05","302.27K","-0.95%"
"Oct 15, 2019","282.26","277.58","282.60","276.82","236.49K","2.39%"
"Oct 14, 2019","275.68","277.35","279.20","275.02","167.97K","-0.40%"
"Oct 11, 2019","276.80","276.38","279.04","275.00","262.31K","1.67%"
"Oct 10, 2019","272.24","270.28","274.07","268.45","179.91K","0.12%"
"Oct 09, 2019","271.91","268.91","273.08","268.91","214.23K","1.57%"
"Oct 08, 2019","267.72","270.69","271.60","265.90","272.78K","-1.59%"
"Oct 07, 2019","272.05","274.92","276.42","271.40","363.39K","-1.64%"
"Oct 04, 2019","276.60","272.09","277.18","272.09","293.08K","2.43%"
"Oct 03, 2019","270.03","267.53","271.49","265.18","332.36K","0.49%"
"Oct 02, 2019","268.71","266.84","270.08","264.07","726.42K","-0.10%"
"Oct 01, 2019","268.98","273.40","275.45","265.79","390.84K","-1.08%"
"Sep 30, 2019","271.93","272.48","274.79","270.21","463.20K","-0.20%"
"Sep 27, 2019","272.48","276.38","276.38","270.57","266.92K","-0.94%"
"Sep 26, 2019","275.06","274.63","277.24","272.02","282.76K","0.09%"
"Sep 25, 2019","274.80","272.50","275.70","270.42","324.63K","0.98%"
"Sep 24, 2019","272.13","277.76","279.44","271.34","670.49K","-1.33%"
"Sep 23, 2019","275.79","272.40","277.06","271.21","478.37K","0.59%"
"Sep 20, 2019","274.17","272.42","276.54","272.23","536.89K","0.14%"
"Sep 19, 2019","273.79","273.63","276.37","273.23","239.56K","0.39%"
"Sep 18, 2019","272.73","271.58","275.35","269.01","364.31K","0.32%"
"Sep 17, 2019","271.86","266.27","272.47","266.27","379.73K","2.34%"
"Sep 16, 2019","265.64","262.91","267.35","261.86","308.92K","0.06%"
"Sep 13, 2019","265.47","270.59","271.69","264.94","465.07K","-2.06%"
"Sep 12, 2019","271.05","272.60","274.47","270.87","382.76K","0.02%"
"Sep 11, 2019","270.99","270.04","274.55","268.42","439.04K","1.26%"
"Sep 10, 2019","267.63","265.04","267.76","257.01","531.58K","0.16%"
"Sep 09, 2019","267.20","289.05","289.05","266.30","648.59K","-7.37%"
"Sep 06, 2019","288.47","289.95","290.98","288.21","273.15K","-0.50%"
"Sep 05, 2019","289.93","291.21","291.64","287.76","353.66K","0.36%"
"Sep 04, 2019","288.90","288.21","289.24","284.73","408.93K","0.99%"
"Sep 03, 2019","286.08","288.89","290.42","283.53","326.48K","-1.26%"
"Aug 30, 2019","289.74","291.05","291.05","287.22","303.28K","0.16%"
"Aug 29, 2019","289.29","288.10","290.85","286.34","331.98K","1.31%"
"Aug 28, 2019","285.56","282.62","287.07","281.01","456.37K","0.28%"
"Aug 27, 2019","284.77","279.04","285.14","277.07","612.87K","2.76%"
"Aug 26, 2019","277.13","273.84","277.28","272.50","529.39K","2.47%"
"Aug 23, 2019","270.44","279.25","281.93","269.23","428.27K","-3.37%"
"Aug 22, 2019","279.88","282.26","282.26","276.09","190.57K","-0.38%"
"Aug 21, 2019","280.96","282.88","284.15","280.13","180.83K","-0.16%"
"Aug 20, 2019","281.41","279.92","283.41","277.31","337.62K","0.67%"
"Aug 19, 2019","279.53","278.77","280.22","276.26","247.18K","1.50%"
"Aug 16, 2019","275.41","276.29","279.24","274.23","403.48K","0.86%"
"Aug 15, 2019","273.07","272.36","276.56","270.51","321.86K","1.21%"
"Aug 14, 2019","269.81","276.97","278.38","269.76","426.44K","-3.95%"
"Aug 13, 2019","280.91","274.29","281.13","274.08","381.93K","1.86%"
"Aug 12, 2019","275.78","278.12","279.48","274.11","296.18K","-1.10%"
"Aug 09, 2019","278.86","274.44","280.55","274.13","430.19K","1.19%"
"Aug 08, 2019","275.57","269.89","276.03","269.89","384.19K","2.87%"
"Aug 07, 2019","267.87","267.34","269.75","262.91","390.81K","-0.93%"
"Aug 06, 2019","270.38","262.21","270.90","262.20","625.03K","3.96%"
"Aug 05, 2019","260.07","264.13","266.21","256.27","624.43K","-3.22%"
"Aug 02, 2019","268.71","268.89","272.51","266.08","452.70K","0.15%"
"Aug 01, 2019","268.30","268.51","281.28","259.73","1.09M","-4.88%"
"Jul 31, 2019","282.05","286.49","286.88","278.68","448.78K","-1.40%"
"Jul 30, 2019","286.05","283.44","286.41","283.19","285.47K","0.40%"
"Jul 29, 2019","284.91","284.33","285.07","281.04","335.88K","0.34%"
"Jul 26, 2019","283.94","285.22","285.65","282.68","238.96K","0.13%"
"Jul 25, 2019","283.56","284.21","285.15","282.20","285.30K","-0.64%"
"Jul 24, 2019","285.40","288.64","289.47","283.65","388.66K","-0.50%"
"Jul 23, 2019","286.82","288.06","288.70","284.94","208.52K","-0.09%"
"Jul 22, 2019","287.07","285.88","289.83","285.52","274.82K","0.84%"
"Jul 19, 2019","284.69","291.16","292.17","284.27","384.36K","-1.78%"
