"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","312.59","310.29","315.63","308.57","661.13K","1.15%"
"Oct 22, 2019","309.05","314.38","317.71","308.36","721.45K","-1.52%"
"Oct 21, 2019","313.83","309.75","314.97","309.75","634.68K","1.42%"
"Oct 18, 2019","309.44","311.26","312.48","307.18","598.07K","-0.36%"
"Oct 17, 2019","310.55","311.84","312.70","309.20","595.21K","0.28%"
"Oct 16, 2019","309.67","311.98","312.86","307.64","657.47K","-0.80%"
"Oct 15, 2019","312.17","309.97","313.24","308.84","624.77K","0.60%"
"Oct 14, 2019","310.31","302.62","310.42","302.49","766.85K","2.55%"
"Oct 11, 2019","302.58","302.34","307.50","302.10","681.42K","1.48%"
"Oct 10, 2019","298.18","296.80","299.69","295.00","525.42K","0.41%"
"Oct 09, 2019","296.96","291.42","299.10","291.40","879.85K","2.98%"
"Oct 08, 2019","288.36","297.66","300.75","286.00","1.11M","-4.40%"
"Oct 07, 2019","301.63","300.68","305.50","299.03","540.98K","-0.23%"
"Oct 04, 2019","302.34","296.58","302.55","296.51","681.47K","1.80%"
"Oct 03, 2019","297.00","288.00","297.00","286.05","856.35K","3.02%"
"Oct 02, 2019","288.29","294.90","295.32","285.67","1.34M","-2.61%"
"Oct 01, 2019","296.02","304.22","308.33","295.48","766.59K","-2.70%"
"Sep 30, 2019","304.22","300.82","306.06","300.01","649.99K","0.98%"
"Sep 27, 2019","301.28","301.62","304.13","298.38","644.09K","0.87%"
"Sep 26, 2019","298.68","299.88","302.31","297.42","625.48K","-0.49%"
"Sep 25, 2019","300.15","295.72","301.51","292.51","707.45K","1.65%"
"Sep 24, 2019","295.28","307.05","307.37","293.84","1.36M","-3.45%"
"Sep 23, 2019","305.83","307.73","309.48","304.80","737.66K","-1.21%"
"Sep 20, 2019","309.57","303.47","310.43","302.82","1.79M","1.43%"
"Sep 19, 2019","305.20","301.20","306.74","301.20","794.83K","0.72%"
"Sep 18, 2019","303.01","298.69","303.13","297.78","958.24K","1.59%"
"Sep 17, 2019","298.27","301.17","303.75","297.24","973.88K","-0.87%"
"Sep 16, 2019","300.89","299.19","303.18","296.80","1.00M","-0.01%"
"Sep 13, 2019","300.91","297.86","303.68","297.81","1.26M","1.14%"
"Sep 12, 2019","297.52","292.20","300.29","291.95","1.96M","2.71%"
"Sep 11, 2019","289.66","278.39","289.87","277.82","1.82M","4.93%"
"Sep 10, 2019","276.04","264.56","277.46","263.30","1.30M","3.45%"
"Sep 09, 2019","266.84","271.50","272.25","265.41","1.57M","-1.17%"
"Sep 06, 2019","270.00","271.26","272.96","269.63","1.35M","-0.65%"
"Sep 05, 2019","271.78","274.62","274.62","271.16","1.73M","0.03%"
"Sep 04, 2019","271.71","274.00","274.69","268.00","1.35M","-0.17%"
"Sep 03, 2019","272.18","279.88","280.36","269.86","1.40M","-3.26%"
"Aug 30, 2019","281.34","285.42","286.29","280.08","665.77K","-1.30%"
"Aug 29, 2019","285.06","285.69","286.71","283.38","591.19K","1.22%"
"Aug 28, 2019","281.62","283.41","284.48","281.07","620.31K","-1.19%"
"Aug 27, 2019","285.02","284.56","289.00","283.25","659.44K","0.97%"
"Aug 26, 2019","282.28","281.93","282.78","279.20","809.56K","1.02%"
"Aug 23, 2019","279.44","288.94","289.44","278.12","1.22M","-3.17%"
"Aug 22, 2019","288.58","290.27","291.36","285.71","449.72K","-0.66%"
"Aug 21, 2019","290.50","285.54","290.63","284.71","505.61K","2.06%"
"Aug 20, 2019","284.65","288.65","290.00","284.51","621.61K","-1.39%"
"Aug 19, 2019","288.65","290.00","290.00","286.59","715.46K","0.87%"
"Aug 16, 2019","286.17","288.17","291.36","285.49","926.67K","0.49%"
"Aug 15, 2019","284.77","286.81","287.42","282.41","715.62K","-0.11%"
"Aug 14, 2019","285.07","288.36","289.45","284.14","1.03M","-3.03%"
"Aug 13, 2019","293.99","289.53","297.88","288.01","821.69K","1.26%"
"Aug 12, 2019","290.34","292.09","294.10","288.73","746.94K","-1.24%"
"Aug 09, 2019","294.00","298.54","299.40","292.36","829.64K","-1.49%"
"Aug 08, 2019","298.44","293.09","298.72","291.40","824.83K","1.90%"
"Aug 07, 2019","292.87","290.07","293.77","285.59","839.73K","0.32%"
"Aug 06, 2019","291.94","291.34","292.45","285.37","991.79K","1.00%"
"Aug 05, 2019","289.06","292.75","294.66","286.76","1.30M","-2.80%"
"Aug 02, 2019","297.38","301.00","301.00","292.58","1.05M","-1.42%"
"Aug 01, 2019","301.66","300.00","306.07","298.63","1.24M","0.76%"
"Jul 31, 2019","299.38","300.76","303.94","296.40","1.75M","-0.19%"
"Jul 30, 2019","299.96","298.86","304.00","294.83","2.35M","-1.46%"
"Jul 29, 2019","304.41","301.34","305.30","298.88","1.12M","1.17%"
"Jul 26, 2019","300.90","300.00","302.98","296.08","909.60K","0.77%"
"Jul 25, 2019","298.60","304.73","304.73","297.92","834.38K","-1.78%"
"Jul 24, 2019","304.01","304.00","306.93","301.97","929.07K","-0.21%"
"Jul 23, 2019","304.64","300.00","305.77","297.07","1.44M","2.13%"
"Jul 22, 2019","298.28","294.56","299.36","293.87","1.23M","1.73%"
"Jul 19, 2019","293.20","297.79","298.20","291.00","1.73M","-1.79%"
"Jul 18, 2019","298.55","303.00","304.93","295.95","1.62M","-1.44%"
"Jul 17, 2019","302.90","302.30","305.11","302.09","1.27M","0.20%"
"Jul 16, 2019","302.30","303.10","306.00","301.46","1.84M","0.00%"
"Jul 15, 2019","302.29","305.17","306.90","300.52","3.52M","-0.90%"
"Jul 12, 2019","305.05","310.25","312.47","303.92","8.48M","-16.12%"
"Jul 11, 2019","363.66","371.31","371.31","359.03","1.84M","-2.43%"
"Jul 10, 2019","372.70","376.50","380.76","371.38","1.23M","-1.20%"
"Jul 09, 2019","377.24","372.65","377.66","368.79","940.50K","0.57%"
"Jul 08, 2019","375.12","377.59","378.00","372.10","754.78K","-0.82%"
"Jul 05, 2019","378.23","378.83","379.54","373.64","599.63K","0.11%"
"Jul 03, 2019","377.82","372.15","378.17","371.62","540.95K","1.74%"
"Jul 02, 2019","371.37","372.00","372.48","365.31","487.20K","0.19%"
"Jul 01, 2019","370.67","371.29","371.61","367.99","993.46K","0.68%"
"Jun 28, 2019","368.15","357.24","369.00","354.64","1.23M","3.27%"
"Jun 27, 2019","356.50","358.94","359.17","352.53","681.22K","0.04%"
"Jun 26, 2019","356.37","358.15","359.00","354.48","738.04K","-0.48%"
"Jun 25, 2019","358.08","358.21","362.16","354.88","753.90K","0.10%"
"Jun 24, 2019","357.74","361.60","363.28","357.61","754.65K","-1.06%"
"Jun 21, 2019","361.56","356.90","363.57","355.84","1.58M","0.83%"
"Jun 20, 2019","358.57","355.32","359.79","352.25","981.39K","1.88%"
"Jun 19, 2019","351.94","346.48","352.82","346.33","909.70K","1.18%"
"Jun 18, 2019","347.85","353.72","354.10","347.40","950.45K","-0.93%"
"Jun 17, 2019","351.11","344.92","352.61","344.69","911.77K","2.07%"
"Jun 14, 2019","344.00","341.30","344.36","340.43","741.37K","0.80%"
"Jun 13, 2019","341.28","340.00","342.71","338.54","578.45K","0.63%"
"Jun 12, 2019","339.15","334.53","340.00","333.89","543.31K","0.97%"
"Jun 11, 2019","335.89","340.25","344.59","333.55","795.77K","-0.36%"
"Jun 10, 2019","337.12","335.03","341.24","334.57","1.07M","0.49%"
