"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","78.10","78.56","79.30","77.94","653.76K","-0.52%"
"Oct 22, 2019","78.51","78.76","80.37","78.36","868.21K","-0.10%"
"Oct 21, 2019","78.59","77.89","78.69","77.01","864.12K","1.07%"
"Oct 18, 2019","77.76","77.64","79.38","77.25","863.04K","0.43%"
"Oct 17, 2019","77.43","78.35","78.68","77.38","799.74K","-0.88%"
"Oct 16, 2019","78.12","78.06","79.06","77.51","1.04M","-0.51%"
"Oct 15, 2019","78.52","77.42","79.06","77.36","803.58K","1.37%"
"Oct 14, 2019","77.46","76.39","78.30","76.25","668.68K","1.76%"
"Oct 11, 2019","76.12","76.28","77.22","76.01","768.40K","0.46%"
"Oct 10, 2019","75.77","74.55","75.90","74.13","641.50K","1.46%"
"Oct 09, 2019","74.68","75.13","75.73","74.06","606.60K","0.32%"
"Oct 08, 2019","74.44","74.44","75.48","73.52","660.41K","-0.43%"
"Oct 07, 2019","74.76","73.01","75.22","73.01","682.81K","-0.15%"
"Oct 04, 2019","74.87","74.91","75.82","73.38","790.71K","-0.01%"
"Oct 03, 2019","74.88","73.64","74.93","72.25","1.20M","2.52%"
"Oct 02, 2019","73.04","73.97","73.97","72.91","1.08M","-1.24%"
"Oct 01, 2019","73.96","73.53","74.75","73.30","1.26M","-0.36%"
"Sep 30, 2019","74.23","72.93","74.88","72.78","1.24M","1.94%"
"Sep 27, 2019","72.82","74.27","74.27","72.00","1.07M","-1.27%"
"Sep 26, 2019","73.76","75.19","75.47","72.85","1.49M","-1.75%"
"Sep 25, 2019","75.07","76.62","77.50","75.02","1.22M","-2.44%"
"Sep 24, 2019","76.95","78.38","78.38","75.49","1.38M","-0.89%"
"Sep 23, 2019","77.64","81.01","81.97","76.63","1.82M","-4.40%"
"Sep 20, 2019","81.21","78.52","81.64","78.37","2.21M","3.96%"
"Sep 19, 2019","78.12","78.50","79.22","77.91","1.13M","-0.53%"
"Sep 18, 2019","78.54","79.52","80.21","77.39","730.60K","-0.71%"
"Sep 17, 2019","79.10","77.71","79.37","77.57","970.78K","0.97%"
"Sep 16, 2019","78.34","76.19","79.04","75.60","1.13M","2.50%"
"Sep 13, 2019","76.43","76.40","78.17","75.54","1.65M","0.47%"
"Sep 12, 2019","76.07","78.75","78.95","75.00","2.31M","-3.07%"
"Sep 11, 2019","78.48","77.85","79.79","77.84","871.03K","0.73%"
"Sep 10, 2019","77.91","78.37","78.91","76.83","1.25M","-1.34%"
"Sep 09, 2019","78.97","78.53","79.53","77.35","934.57K","-0.34%"
"Sep 06, 2019","79.24","79.45","80.11","79.08","676.09K","-0.04%"
"Sep 05, 2019","79.27","79.92","80.13","78.21","1.68M","2.13%"
"Sep 04, 2019","77.62","81.00","81.06","76.75","1.64M","-3.05%"
"Sep 03, 2019","80.06","81.73","81.95","79.56","899.94K","-2.15%"
"Aug 30, 2019","81.82","82.77","82.82","80.69","887.65K","-0.75%"
"Aug 29, 2019","82.44","82.06","82.49","81.41","1.20M","1.34%"
"Aug 28, 2019","81.35","79.87","82.61","79.26","1.04M","1.36%"
"Aug 27, 2019","80.26","83.51","84.08","79.43","1.51M","-3.08%"
"Aug 26, 2019","82.81","82.29","83.19","81.09","1.07M","1.10%"
"Aug 23, 2019","81.91","85.56","85.82","81.58","1.21M","-4.27%"
"Aug 22, 2019","85.56","86.32","86.32","84.63","858.43K","-0.59%"
"Aug 21, 2019","86.07","84.75","86.11","84.48","705.17K","2.34%"
