"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","51.72","51.34","51.95","51.21","15.96M","-0.56%"
"Oct 22, 2019","52.01","51.90","52.32","51.89","13.35M","-0.23%"
"Oct 21, 2019","52.13","51.52","52.17","51.34","13.12M","1.50%"
"Oct 18, 2019","51.36","51.75","51.82","51.03","16.98M","-0.96%"
"Oct 17, 2019","51.86","52.63","52.84","51.38","16.92M","-1.12%"
"Oct 16, 2019","52.45","52.35","52.56","52.12","15.17M","-0.38%"
"Oct 15, 2019","52.65","51.93","53.07","51.83","18.97M","1.96%"
"Oct 14, 2019","51.64","51.90","51.95","51.44","16.43M","-0.86%"
"Oct 11, 2019","52.09","52.00","52.79","51.82","24.17M","1.92%"
"Oct 10, 2019","51.11","50.41","51.77","50.40","14.61M","1.25%"
"Oct 09, 2019","50.48","50.47","50.79","50.15","12.19M","1.51%"
"Oct 08, 2019","49.73","50.16","50.48","49.61","17.88M","-1.76%"
"Oct 07, 2019","50.62","50.70","51.23","50.56","12.72M","-0.59%"
"Oct 04, 2019","50.92","50.35","50.97","50.03","12.75M","1.78%"
"Oct 03, 2019","50.03","49.50","50.07","48.53","17.24M","1.30%"
"Oct 02, 2019","49.39","50.31","50.37","48.98","21.44M","-2.70%"
"Oct 01, 2019","50.76","51.97","52.24","50.43","18.49M","-1.49%"
"Sep 30, 2019","51.53","51.19","51.59","50.94","14.06M","1.48%"
"Sep 27, 2019","50.78","50.63","51.22","50.34","14.85M","-0.27%"
"Sep 26, 2019","50.92","50.98","51.15","50.34","11.48M","-0.20%"
"Sep 25, 2019","51.02","49.75","51.21","49.42","20.12M","2.41%"
"Sep 24, 2019","49.82","51.10","51.18","49.64","28.47M","-2.12%"
"Sep 23, 2019","50.90","50.83","51.23","50.39","21.57M","0.35%"
"Sep 20, 2019","50.72","51.60","51.88","50.56","38.63M","-1.65%"
"Sep 19, 2019","51.57","51.70","51.99","51.50","11.85M","-0.33%"
"Sep 18, 2019","51.74","52.13","52.13","51.16","15.03M","-0.40%"
"Sep 17, 2019","51.95","52.05","52.14","51.35","19.89M","-0.48%"
"Sep 16, 2019","52.20","51.90","52.28","51.70","13.35M","-0.65%"
"Sep 13, 2019","52.54","52.76","53.00","52.23","18.01M","-0.89%"
"Sep 12, 2019","53.01","53.00","53.33","52.06","23.31M","0.42%"
"Sep 11, 2019","52.79","51.60","52.79","51.38","18.97M","1.87%"
"Sep 10, 2019","51.82","51.33","51.84","50.83","18.53M","0.45%"
"Sep 09, 2019","51.59","51.06","52.03","51.02","20.75M","1.32%"
"Sep 06, 2019","50.92","50.25","50.99","50.07","17.07M","1.64%"
"Sep 05, 2019","50.10","49.92","51.17","49.87","30.02M","2.41%"
"Sep 04, 2019","48.92","47.56","48.95","47.54","23.47M","4.13%"
"Sep 03, 2019","46.98","47.12","47.22","46.49","15.01M","-0.91%"
"Aug 30, 2019","47.41","47.24","47.79","47.16","16.92M","1.15%"
"Aug 29, 2019","46.87","46.46","47.22","46.40","17.81M","2.36%"
"Aug 28, 2019","45.79","45.70","45.91","45.37","14.90M","0.00%"
"Aug 27, 2019","45.79","45.87","46.12","45.50","16.93M","0.50%"
"Aug 26, 2019","45.56","45.82","45.82","45.25","22.09M","1.33%"
"Aug 23, 2019","44.96","46.35","46.63","44.80","32.82M","-3.89%"
"Aug 22, 2019","46.78","47.28","47.43","46.69","19.79M","-0.78%"
"Aug 21, 2019","47.15","47.11","47.29","46.89","15.92M","1.18%"
"Aug 20, 2019","46.60","47.03","47.12","46.46","23.12M","-1.33%"
"Aug 19, 2019","47.23","47.46","47.60","47.04","21.40M","1.57%"
"Aug 16, 2019","46.50","46.34","46.68","46.06","23.34M","1.75%"
"Aug 15, 2019","45.70","46.10","46.18","45.44","21.99M","-0.37%"
"Aug 14, 2019","45.87","46.06","46.62","45.65","25.65M","-2.07%"
"Aug 13, 2019","46.84","45.49","47.05","45.36","29.37M","2.72%"
"Aug 12, 2019","45.60","45.76","46.07","45.44","18.49M","-0.83%"
"Aug 09, 2019","45.98","46.94","47.00","45.78","24.98M","-2.52%"
"Aug 08, 2019","47.17","46.16","47.37","45.91","30.64M","0.94%"
"Aug 07, 2019","46.73","46.30","46.88","45.97","29.44M","-0.49%"
"Aug 06, 2019","46.96","47.15","47.56","46.77","26.12M","-0.02%"
"Aug 05, 2019","46.97","47.76","47.96","46.57","38.94M","-3.51%"
"Aug 02, 2019","48.68","49.09","49.36","48.50","27.88M","-1.66%"
"Aug 01, 2019","49.50","50.52","51.89","49.47","34.02M","-2.08%"
"Jul 31, 2019","50.55","51.51","51.72","50.05","24.17M","-2.22%"
"Jul 30, 2019","51.70","51.71","52.31","51.56","16.49M","-1.54%"
"Jul 29, 2019","52.51","51.53","52.56","50.78","21.90M","1.78%"
"Jul 26, 2019","51.59","52.69","53.50","51.53","36.40M","-1.09%"
"Jul 25, 2019","52.16","52.51","52.60","51.88","27.77M","-1.44%"
"Jul 24, 2019","52.92","51.98","52.97","51.80","20.90M","2.26%"
"Jul 23, 2019","51.75","52.00","52.00","51.30","18.41M","0.78%"
"Jul 22, 2019","51.35","50.01","51.52","49.89","21.69M","2.15%"
"Jul 19, 2019","50.27","49.96","50.66","49.91","29.14M","0.66%"
"Jul 18, 2019","49.94","49.28","49.99","48.89","15.68M","1.11%"
"Jul 17, 2019","49.39","49.50","49.70","49.24","11.93M","0.45%"
"Jul 16, 2019","49.17","49.91","50.00","48.96","17.13M","-1.90%"
"Jul 15, 2019","50.12","50.00","50.25","49.77","14.35M","0.40%"
"Jul 12, 2019","49.92","49.00","49.93","48.81","20.15M","2.72%"
"Jul 11, 2019","48.60","48.56","48.78","48.31","16.62M","0.81%"
"Jul 10, 2019","48.21","47.92","48.61","47.90","16.03M","0.96%"
"Jul 09, 2019","47.75","47.36","47.80","47.13","17.85M","-0.15%"
"Jul 08, 2019","47.82","47.62","47.95","47.07","16.56M","-0.54%"
"Jul 05, 2019","48.08","48.03","48.17","47.44","14.34M","-0.91%"
"Jul 03, 2019","48.52","48.18","48.56","47.99","10.74M","0.83%"
"Jul 02, 2019","48.12","47.91","48.22","47.69","15.38M","0.15%"
"Jul 01, 2019","48.05","49.29","49.45","47.74","27.51M","0.38%"
"Jun 28, 2019","47.87","47.77","48.20","47.68","26.65M","0.86%"
"Jun 27, 2019","47.46","48.15","48.42","47.24","23.06M","-1.51%"
"Jun 26, 2019","48.19","47.65","48.48","47.56","21.89M","2.86%"
"Jun 25, 2019","46.85","47.56","47.68","46.80","16.67M","-1.64%"
"Jun 24, 2019","47.63","47.40","47.85","47.17","14.48M","0.36%"
"Jun 21, 2019","47.46","46.95","47.73","46.80","31.10M","0.57%"
"Jun 20, 2019","47.19","47.87","48.05","46.87","20.13M","0.25%"
"Jun 19, 2019","47.07","47.48","47.58","47.00","17.44M","-0.63%"
"Jun 18, 2019","47.37","46.75","48.00","46.60","25.73M","2.69%"
"Jun 17, 2019","46.13","46.14","46.53","45.80","12.64M","-0.13%"
"Jun 14, 2019","46.19","45.83","46.42","45.55","15.38M","-1.09%"
"Jun 13, 2019","46.70","46.60","46.95","46.53","12.27M","0.82%"
"Jun 12, 2019","46.32","46.67","46.67","46.25","15.90M","-1.13%"
"Jun 11, 2019","46.85","47.26","47.32","46.52","18.42M","0.11%"
"Jun 10, 2019","46.80","46.23","47.19","46.20","20.81M","1.67%"
