"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","255.97","253.33","258.59","252.95","1.24M","1.04%"
"Oct 22, 2019","253.33","260.74","263.55","253.18","1.50M","-3.38%"
"Oct 21, 2019","262.20","264.48","264.50","258.57","1.05M","-0.10%"
"Oct 18, 2019","262.47","267.67","267.67","260.54","1.55M","-1.52%"
"Oct 17, 2019","266.53","269.85","270.79","263.73","888.72K","-0.97%"
"Oct 16, 2019","269.15","271.52","271.69","265.81","1.07M","-1.59%"
"Oct 15, 2019","273.50","270.06","274.11","269.10","1.05M","1.65%"
"Oct 14, 2019","269.06","269.99","271.66","268.90","1.03M","-0.37%"
"Oct 11, 2019","270.07","270.40","273.81","269.42","1.07M","0.95%"
"Oct 10, 2019","267.53","262.36","268.94","262.36","1.26M","1.34%"
"Oct 09, 2019","264.00","262.87","265.12","262.37","868.97K","1.15%"
"Oct 08, 2019","260.99","265.33","266.20","260.99","1.35M","-2.16%"
"Oct 07, 2019","266.76","264.90","268.10","264.86","1.56M","-0.12%"
"Oct 04, 2019","267.09","264.05","267.83","262.01","1.32M","1.56%"
"Oct 03, 2019","263.00","259.43","263.54","255.41","1.29M","0.98%"
"Oct 02, 2019","260.45","263.21","263.21","255.47","1.40M","-1.46%"
"Oct 01, 2019","264.30","267.69","268.27","263.38","1.40M","-0.62%"
"Sep 30, 2019","265.94","263.50","267.27","262.41","1.15M","1.04%"
"Sep 27, 2019","263.19","271.32","271.32","259.26","1.02M","-2.42%"
"Sep 26, 2019","269.72","267.08","270.63","266.42","1.19M","1.23%"
"Sep 25, 2019","266.43","264.33","267.10","260.35","988.92K","0.60%"
"Sep 24, 2019","264.85","270.76","271.67","264.01","1.24M","-1.54%"
"Sep 23, 2019","269.00","268.39","270.99","268.21","829.94K","-0.07%"
"Sep 20, 2019","269.18","269.98","272.91","267.46","1.66M","-0.31%"
"Sep 19, 2019","270.02","268.76","272.42","268.61","907.22K","0.65%"
"Sep 18, 2019","268.27","269.39","269.39","263.82","853.07K","-0.10%"
"Sep 17, 2019","268.54","265.83","268.70","265.52","941.79K","1.02%"
"Sep 16, 2019","265.82","262.81","267.23","261.69","803.00K","0.23%"
"Sep 13, 2019","265.22","267.31","270.01","264.70","1.03M","-1.13%"
"Sep 12, 2019","268.25","268.50","271.20","267.33","1.33M","0.80%"
"Sep 11, 2019","266.13","267.70","269.82","265.02","1.31M","-0.53%"
"Sep 10, 2019","267.56","273.80","274.51","263.88","2.10M","-3.02%"
"Sep 09, 2019","275.90","288.78","288.78","273.58","2.14M","-4.13%"
"Sep 06, 2019","287.80","293.39","293.46","287.23","1.30M","-1.54%"
"Sep 05, 2019","292.31","289.35","292.93","287.16","1.09M","2.10%"
"Sep 04, 2019","286.31","285.62","286.40","281.62","945.63K","0.74%"
"Sep 03, 2019","284.20","285.31","289.00","282.14","1.40M","-1.44%"
"Aug 30, 2019","288.36","287.25","288.99","283.97","1.08M","0.49%"
"Aug 29, 2019","286.94","284.77","288.60","283.35","1.21M","1.77%"
"Aug 28, 2019","281.94","281.08","282.98","273.80","1.48M","-0.45%"
"Aug 27, 2019","283.21","283.10","284.99","281.36","1.78M","0.16%"
"Aug 26, 2019","282.77","280.00","282.90","275.61","2.00M","1.45%"
"Aug 23, 2019","278.74","290.37","295.77","277.99","3.38M","1.10%"
"Aug 22, 2019","275.71","277.00","278.00","271.60","1.56M","-0.19%"
"Aug 21, 2019","276.24","275.37","277.83","274.54","925.41K","1.25%"
"Aug 20, 2019","272.84","273.22","274.61","271.22","1.06M","-0.51%"
"Aug 19, 2019","274.23","274.98","275.96","271.65","1.22M","1.21%"
"Aug 16, 2019","270.96","271.27","274.44","269.16","1.06M","0.94%"
"Aug 15, 2019","268.44","269.60","270.69","265.88","1.25M","0.21%"
"Aug 14, 2019","267.89","274.91","276.33","267.32","1.24M","-4.03%"
"Aug 13, 2019","279.15","272.38","279.54","271.87","1.26M","2.38%"
"Aug 12, 2019","272.65","274.73","276.22","271.49","968.16K","-1.42%"
"Aug 09, 2019","276.57","276.08","278.82","274.51","1.28M","-0.05%"
"Aug 08, 2019","276.70","270.86","276.83","270.63","1.11M","3.03%"
"Aug 07, 2019","268.57","265.87","269.49","263.80","1.22M","-0.56%"
"Aug 06, 2019","270.09","266.74","270.64","264.87","1.20M","2.49%"
"Aug 05, 2019","263.53","268.98","269.74","261.94","1.77M","-4.05%"
"Aug 02, 2019","274.64","278.05","278.65","273.18","1.49M","-1.19%"
"Aug 01, 2019","277.96","278.61","283.51","277.07","1.27M","0.23%"
"Jul 31, 2019","277.31","278.77","281.34","275.15","1.15M","-0.83%"
"Jul 30, 2019","279.62","279.48","281.84","278.37","767.10K","-0.61%"
"Jul 29, 2019","281.35","284.29","284.88","279.52","1.27M","-0.85%"
"Jul 26, 2019","283.77","282.16","284.97","281.45","788.66K","0.77%"
"Jul 25, 2019","281.60","279.98","282.43","279.16","868.39K","0.09%"
"Jul 24, 2019","281.36","281.17","282.64","279.71","1.41M","-0.19%"
"Jul 23, 2019","281.90","282.30","283.08","278.28","1.25M","0.27%"
"Jul 22, 2019","281.15","280.41","282.49","279.17","723.52K","0.66%"
"Jul 19, 2019","279.32","284.55","284.55","278.64","1.60M","-1.26%"
"Jul 18, 2019","282.88","279.98","283.03","279.03","1.22M","0.80%"
"Jul 17, 2019","280.63","280.90","282.37","280.11","797.08K","-0.09%"
"Jul 16, 2019","280.88","281.50","282.95","280.65","1.16M","-0.59%"
"Jul 15, 2019","282.55","282.00","282.76","280.00","990.79K","0.32%"
"Jul 12, 2019","281.65","278.41","281.84","278.23","1.20M","1.23%"
"Jul 11, 2019","278.22","275.95","278.80","274.17","1.87M","1.24%"
"Jul 10, 2019","274.81","273.06","275.92","272.70","1.13M","1.53%"
"Jul 09, 2019","270.68","269.92","270.87","268.86","1.14M","-0.17%"
"Jul 08, 2019","271.13","269.46","271.31","267.79","863.84K","0.22%"
"Jul 05, 2019","270.54","269.00","270.83","265.20","895.22K","0.14%"
"Jul 03, 2019","270.17","267.90","270.77","265.77","774.66K","1.44%"
"Jul 02, 2019","266.33","265.16","266.36","262.70","720.17K","0.81%"
"Jul 01, 2019","264.20","266.03","266.98","263.37","978.04K","1.10%"
"Jun 28, 2019","261.33","258.10","262.01","257.75","1.48M","1.29%"
"Jun 27, 2019","257.99","257.66","259.20","256.11","1.46M","0.58%"
"Jun 26, 2019","256.50","259.29","260.49","256.38","1.29M","-0.38%"
"Jun 25, 2019","257.49","262.70","262.70","256.65","1.02M","-1.85%"
"Jun 24, 2019","262.34","263.07","264.12","261.37","1.19M","0.32%"
"Jun 21, 2019","261.51","267.84","268.07","261.47","1.86M","-1.93%"
"Jun 20, 2019","266.66","265.80","268.43","263.99","1.75M","1.53%"
"Jun 19, 2019","262.65","259.29","263.38","258.05","1.03M","1.72%"
"Jun 18, 2019","258.22","257.31","259.35","256.14","1.22M","1.37%"
"Jun 17, 2019","254.74","254.03","256.24","253.35","1.28M","0.24%"
"Jun 14, 2019","254.13","256.37","257.34","253.95","1.23M","-1.19%"
"Jun 13, 2019","257.19","258.81","259.39","255.98","1.76M","-0.08%"
"Jun 12, 2019","257.39","256.72","258.80","255.64","825.86K","0.26%"
"Jun 11, 2019","256.73","262.80","264.00","254.95","1.21M","-1.45%"
"Jun 10, 2019","260.52","259.86","263.97","259.23","1.16M","1.18%"
"Jun 07, 2019","257.47","254.03","260.60","253.81","1.22M","1.69%"
"Jun 06, 2019","253.20","252.84","254.38","250.11","1.06M","0.43%"
"Jun 05, 2019","252.12","249.41","252.48","248.31","1.13M","2.03%"
"Jun 04, 2019","247.10","241.05","247.31","237.78","1.66M","3.79%"
"Jun 03, 2019","238.07","245.20","248.56","236.75","1.64M","-2.77%"
"May 31, 2019","244.85","245.20","246.66","243.59","1.36M","-1.30%"
"May 30, 2019","248.08","250.00","251.49","245.86","1.15M","-0.62%"
"May 29, 2019","249.62","253.96","255.57","248.58","1.68M","-2.38%"
"May 28, 2019","255.70","256.40","259.26","254.17","3.06M","-0.69%"
"May 24, 2019","257.48","251.24","258.40","248.65","2.70M","6.70%"
"May 23, 2019","241.31","245.08","246.64","240.14","1.55M","-2.51%"
"May 22, 2019","247.53","244.82","248.10","244.82","865.70K","0.59%"
"May 21, 2019","246.08","245.76","247.13","244.05","979.64K","0.98%"
"May 20, 2019","243.69","242.67","245.32","240.63","957.41K","-0.72%"
"May 17, 2019","245.45","245.60","249.76","245.13","1.29M","-0.85%"
"May 16, 2019","247.55","244.00","249.41","244.00","1.04M","1.81%"
"May 15, 2019","243.14","239.56","244.39","239.04","985.62K","0.89%"
"May 14, 2019","240.99","238.41","243.35","238.10","1.70M","1.71%"
"May 13, 2019","236.93","237.94","241.11","236.03","1.26M","-3.15%"
"May 10, 2019","244.63","240.56","245.60","237.66","1.41M","1.38%"
"May 09, 2019","241.30","241.79","243.12","237.72","1.65M","-1.16%"
"May 08, 2019","244.12","243.42","245.95","241.92","2.09M","-0.12%"
"May 07, 2019","244.41","245.00","247.03","241.61","1.44M","-1.64%"
"May 06, 2019","248.48","244.01","248.94","243.53","854.92K","-0.15%"
"May 03, 2019","248.86","246.11","250.18","246.04","1.20M","1.18%"
"May 02, 2019","245.95","243.60","247.90","243.11","1.46M","0.86%"
"May 01, 2019","243.85","252.49","252.67","243.57","1.37M","-2.87%"
"Apr 30, 2019","251.06","248.38","251.71","247.68","1.48M","1.34%"
"Apr 29, 2019","247.73","252.77","255.20","246.09","2.42M","-2.31%"
"Apr 26, 2019","253.58","246.42","253.86","238.29","5.42M","-3.89%"
"Apr 25, 2019","263.84","264.01","264.39","260.44","987.21K","-0.08%"
"Apr 24, 2019","264.04","266.41","267.34","263.86","1.03M","-0.62%"
"Apr 23, 2019","265.68","262.02","266.42","262.02","1.52M","1.56%"
"Apr 22, 2019","261.59","256.11","261.76","255.83","1.07M","1.48%"
"Apr 18, 2019","257.77","258.22","258.22","254.60","1.37M","0.59%"
"Apr 17, 2019","256.27","259.72","260.05","255.15","1.80M","-0.67%"
"Apr 16, 2019","257.99","261.80","262.11","256.14","1.04M","-1.11%"
"Apr 15, 2019","260.88","260.49","261.55","259.69","1.60M","0.32%"
"Apr 12, 2019","260.06","260.93","261.84","258.29","2.12M","0.18%"
"Apr 11, 2019","259.59","260.74","260.74","258.71","1.33M","0.19%"
"Apr 10, 2019","259.09","259.92","261.00","257.73","2.06M","0.07%"
"Apr 09, 2019","258.90","258.42","261.21","258.42","1.02M","-0.71%"
"Apr 08, 2019","260.76","261.80","262.27","257.62","1.63M","-0.36%"
"Apr 05, 2019","261.70","263.42","264.66","260.99","1.12M","-0.35%"
"Apr 04, 2019","262.63","269.35","269.93","258.61","1.95M","-2.40%"
"Apr 03, 2019","269.08","270.23","272.14","268.42","1.96M","0.31%"
"Apr 02, 2019","268.26","269.13","269.18","264.82","1.26M","0.94%"
"Apr 01, 2019","265.75","264.52","266.32","261.32","1.25M","1.66%"
"Mar 29, 2019","261.41","260.24","261.63","258.98","1.42M","0.84%"
"Mar 28, 2019","259.22","256.55","259.74","255.18","1.29M","1.50%"
"Mar 27, 2019","255.38","257.72","258.26","253.13","966.81K","-0.24%"
"Mar 26, 2019","255.99","255.66","257.51","254.28","916.90K","0.85%"
"Mar 25, 2019","253.83","252.36","254.11","250.72","1.53M","0.46%"
"Mar 22, 2019","252.68","258.36","259.64","252.47","1.54M","-3.05%"
"Mar 21, 2019","260.62","254.63","260.71","254.63","1.18M","1.81%"
"Mar 20, 2019","255.99","256.18","257.67","253.93","1.13M","-0.03%"
"Mar 19, 2019","256.06","258.62","259.25","254.58","1.48M","-0.64%"
"Mar 18, 2019","257.72","258.25","259.75","256.42","1.43M","-0.16%"
"Mar 15, 2019","258.13","256.50","259.86","256.26","3.50M","0.53%"
"Mar 14, 2019","256.77","252.96","256.91","252.89","1.50M","1.23%"
"Mar 13, 2019","253.65","251.09","255.76","251.09","1.37M","1.34%"
"Mar 12, 2019","250.30","249.75","251.88","248.40","1.33M","-0.10%"
"Mar 11, 2019","250.54","247.46","250.74","246.53","1.47M","1.90%"
"Mar 08, 2019","245.88","242.82","246.07","240.01","1.08M","0.18%"
"Mar 07, 2019","245.43","246.17","247.47","244.26","960.65K","-0.60%"
"Mar 06, 2019","246.91","247.34","249.04","244.72","800.42K","-0.07%"
"Mar 05, 2019","247.09","248.19","248.84","245.89","1.36M","-0.77%"
"Mar 04, 2019","249.00","250.68","252.20","245.03","1.45M","-0.56%"
"Mar 01, 2019","250.41","250.00","252.02","248.63","1.94M","1.33%"
"Feb 28, 2019","247.13","249.35","250.41","246.88","1.68M","-1.09%"
"Feb 27, 2019","249.85","247.55","249.87","246.48","1.52M","0.38%"
