"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","539.85","536.25","544.07","536.25","586.52K","0.77%"
"Oct 22, 2019","535.75","557.15","559.43","534.91","993.80K","-4.79%"
"Oct 21, 2019","562.70","564.21","565.84","559.03","888.80K","-0.63%"
"Oct 18, 2019","566.25","547.00","569.98","545.56","2.33M","6.96%"
"Oct 17, 2019","529.40","534.69","536.99","528.46","754.66K","-0.16%"
"Oct 16, 2019","530.24","526.92","533.70","525.00","408.05K","0.38%"
"Oct 15, 2019","528.21","521.89","530.34","521.49","427.97K","1.80%"
"Oct 14, 2019","518.88","518.64","523.80","518.06","293.40K","0.16%"
"Oct 11, 2019","518.03","518.00","527.88","517.28","631.54K","1.33%"
"Oct 10, 2019","511.23","511.42","516.67","508.73","391.57K","-0.56%"
"Oct 09, 2019","514.12","514.76","516.77","511.10","379.22K","1.01%"
"Oct 08, 2019","509.00","522.25","524.20","508.54","571.55K","-3.34%"
"Oct 07, 2019","526.60","528.44","530.61","525.63","308.97K","-0.49%"
"Oct 04, 2019","529.18","522.34","529.54","520.97","450.23K","1.95%"
"Oct 03, 2019","519.07","512.28","519.23","502.01","595.73K","1.40%"
"Oct 02, 2019","511.89","528.00","528.27","506.30","949.44K","-3.16%"
"Oct 01, 2019","528.60","539.94","542.94","528.20","464.41K","-2.10%"
"Sep 30, 2019","539.93","535.93","544.06","535.33","480.27K","1.16%"
"Sep 27, 2019","533.73","547.07","549.00","531.37","483.04K","-1.76%"
"Sep 26, 2019","543.29","545.00","547.43","536.54","651.33K","-0.32%"
"Sep 25, 2019","545.01","540.02","545.42","532.70","795.65K","0.66%"
"Sep 24, 2019","541.46","532.00","546.25","528.08","1.25M","2.56%"
"Sep 23, 2019","527.96","529.46","534.35","526.42","501.18K","-0.60%"
"Sep 20, 2019","531.16","527.04","536.88","525.99","699.87K","0.32%"
"Sep 19, 2019","529.45","529.36","538.00","528.25","456.82K","-0.25%"
"Sep 18, 2019","530.77","528.31","531.18","523.53","572.07K","0.11%"
"Sep 17, 2019","530.17","525.00","532.48","521.24","618.87K","1.25%"
"Sep 16, 2019","523.64","518.78","524.37","514.04","422.02K","0.08%"
"Sep 13, 2019","523.22","523.64","526.97","519.34","383.59K","0.02%"
"Sep 12, 2019","523.12","523.62","527.98","521.26","615.76K","0.06%"
"Sep 11, 2019","522.82","504.53","525.01","502.30","988.04K","4.09%"
"Sep 10, 2019","502.30","495.00","502.80","488.00","803.48K","1.13%"
"Sep 09, 2019","496.69","504.08","506.00","495.93","528.72K","-1.70%"
"Sep 06, 2019","505.26","509.45","510.14","502.00","625.21K","-0.57%"
"Sep 05, 2019","508.17","501.68","513.00","498.98","626.02K","2.41%"
"Sep 04, 2019","496.22","497.34","499.05","489.34","484.04K","0.46%"
"Sep 03, 2019","493.94","505.23","509.81","490.09","894.09K","-3.40%"
"Aug 30, 2019","511.34","510.39","513.65","508.05","583.44K","0.63%"
"Aug 29, 2019","508.16","505.68","510.50","502.95","438.51K","1.38%"
"Aug 28, 2019","501.25","492.00","502.91","492.00","601.33K","1.26%"
"Aug 27, 2019","495.02","495.00","499.89","492.24","546.08K","0.80%"
"Aug 26, 2019","491.09","489.86","491.23","482.60","480.74K","1.34%"
"Aug 23, 2019","484.58","498.98","501.98","482.00","698.42K","-3.14%"
"Aug 22, 2019","500.27","502.00","503.81","495.60","369.29K","-0.20%"
"Aug 21, 2019","501.28","501.50","504.82","500.00","406.05K","0.69%"
"Aug 20, 2019","497.83","497.64","500.00","492.38","695.18K","0.47%"
"Aug 19, 2019","495.50","503.50","503.50","488.69","1.02M","0.01%"
"Aug 16, 2019","495.45","504.95","505.00","493.41","970.96K","-0.88%"
"Aug 15, 2019","499.87","503.34","507.50","495.08","497.05K","-0.12%"
"Aug 14, 2019","500.46","510.50","513.24","500.00","622.47K","-3.39%"
"Aug 13, 2019","518.00","507.91","520.97","503.00","507.93K","1.59%"
"Aug 12, 2019","509.88","513.00","516.76","508.01","363.32K","-1.09%"
"Aug 09, 2019","515.50","516.09","518.64","508.04","384.99K","-0.75%"
"Aug 08, 2019","519.41","509.60","519.64","507.41","461.81K","2.78%"
"Aug 07, 2019","505.36","499.23","507.33","493.39","491.71K","0.32%"
"Aug 06, 2019","503.77","494.37","504.48","492.76","653.48K","2.50%"
"Aug 05, 2019","491.46","501.25","502.99","486.86","870.40K","-4.31%"
"Aug 02, 2019","513.60","520.29","521.88","509.42","734.93K","-1.98%"
"Aug 01, 2019","523.95","520.49","532.90","516.65","617.05K","0.85%"
"Jul 31, 2019","519.51","531.02","531.17","515.01","593.28K","-2.28%"
"Jul 30, 2019","531.64","526.19","535.09","525.55","407.60K","0.38%"
"Jul 29, 2019","529.61","528.59","530.59","523.00","359.62K","0.38%"
"Jul 26, 2019","527.63","533.42","534.00","523.96","459.14K","-0.76%"
"Jul 25, 2019","531.69","538.29","540.00","530.09","583.81K","-2.09%"
"Jul 24, 2019","543.04","535.73","543.81","532.91","634.70K","0.98%"
"Jul 23, 2019","537.79","532.14","540.00","529.12","672.53K","0.43%"
"Jul 22, 2019","535.50","534.00","538.91","528.11","654.29K","1.27%"
"Jul 19, 2019","528.81","533.25","544.85","525.37","1.42M","-1.46%"
"Jul 18, 2019","536.63","522.50","537.22","521.39","852.67K","2.51%"
"Jul 17, 2019","523.50","516.52","526.83","516.52","683.54K","1.54%"
"Jul 16, 2019","515.56","527.12","530.35","514.26","902.68K","-2.31%"
"Jul 15, 2019","527.75","529.03","534.23","526.60","425.55K","0.29%"
"Jul 12, 2019","526.25","531.21","531.21","520.51","732.87K","-1.82%"
"Jul 11, 2019","536.00","534.09","537.82","532.64","402.50K","0.70%"
"Jul 10, 2019","532.28","530.00","537.57","529.07","825.63K","0.76%"
"Jul 09, 2019","528.27","529.01","532.64","526.31","637.62K","-0.92%"
"Jul 08, 2019","533.16","534.63","534.63","529.22","465.35K","-0.76%"
"Jul 05, 2019","537.25","532.02","539.00","526.83","432.09K","0.01%"
"Jul 03, 2019","537.18","530.00","540.46","528.52","486.58K","1.45%"
"Jul 02, 2019","529.52","529.02","531.51","523.21","610.26K","0.04%"
"Jul 01, 2019","529.31","532.00","535.00","525.97","401.48K","0.91%"
"Jun 28, 2019","524.55","517.94","524.99","513.00","611.73K","1.31%"
"Jun 27, 2019","517.76","517.13","520.00","509.53","415.33K","0.79%"
"Jun 26, 2019","513.72","523.54","523.54","510.79","465.69K","-1.31%"
"Jun 25, 2019","520.53","526.00","527.07","519.16","676.82K","-1.00%"
"Jun 24, 2019","525.80","528.00","530.87","525.18","651.74K","-0.27%"
"Jun 21, 2019","527.23","530.11","530.22","521.52","1.10M","-1.09%"
"Jun 20, 2019","533.05","525.00","533.82","524.01","894.29K","2.13%"
"Jun 19, 2019","521.94","516.23","522.60","512.80","532.71K","0.90%"
"Jun 18, 2019","517.28","510.00","518.93","507.56","830.08K","2.00%"
"Jun 17, 2019","507.15","498.50","507.34","498.00","613.57K","2.14%"
"Jun 14, 2019","496.54","502.48","505.00","491.00","641.67K","-1.79%"
"Jun 13, 2019","505.60","503.89","507.76","500.89","432.01K","0.73%"
"Jun 12, 2019","501.92","505.78","509.85","499.73","570.85K","-0.92%"
"Jun 11, 2019","506.56","512.72","516.51","502.58","756.93K","-0.62%"
"Jun 10, 2019","509.72","500.60","516.07","500.60","1.47M","2.14%"
"Jun 07, 2019","499.04","486.46","499.88","485.36","844.72K","2.84%"
"Jun 06, 2019","485.24","485.06","488.81","480.46","588.82K","0.04%"
"Jun 05, 2019","485.06","479.37","485.76","477.54","1.08M","2.24%"
