"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","116.85","116.38","117.33","115.10","827.09K","-0.42%"
"Oct 22, 2019","117.34","115.08","117.55","114.53","1.07M","1.70%"
"Oct 21, 2019","115.38","116.16","117.15","115.00","772.86K","-0.17%"
"Oct 18, 2019","115.58","116.55","117.25","115.04","863.68K","-0.52%"
"Oct 17, 2019","116.18","115.61","117.15","115.61","1.01M","0.46%"
"Oct 16, 2019","115.65","113.63","117.18","110.69","2.45M","3.63%"
"Oct 15, 2019","111.60","109.00","112.00","108.56","1.42M","1.84%"
"Oct 14, 2019","109.58","109.93","110.24","109.09","905.58K","-0.70%"
"Oct 11, 2019","110.35","109.50","111.16","108.99","787.60K","2.57%"
"Oct 10, 2019","107.58","105.68","108.01","105.41","592.15K","1.46%"
"Oct 09, 2019","106.03","106.57","107.45","105.89","710.05K","0.05%"
"Oct 08, 2019","105.98","104.91","107.50","104.91","743.98K","-1.97%"
"Oct 07, 2019","108.11","108.38","109.12","106.87","736.43K","-0.43%"
"Oct 04, 2019","108.58","108.49","109.26","107.32","535.19K","-0.18%"
"Oct 03, 2019","108.78","106.96","108.83","105.23","759.83K","1.97%"
"Oct 02, 2019","106.68","107.97","109.23","106.25","875.69K","-1.60%"
"Oct 01, 2019","108.41","111.11","112.11","107.52","827.74K","-2.02%"
"Sep 30, 2019","110.65","111.44","112.39","110.17","963.13K","-0.35%"
"Sep 27, 2019","111.04","114.10","114.29","110.40","1.02M","-2.34%"
"Sep 26, 2019","113.70","113.84","114.24","112.97","542.96K","-0.18%"
"Sep 25, 2019","113.90","112.44","114.46","112.06","916.70K","1.24%"
"Sep 24, 2019","112.51","114.36","114.48","111.70","576.68K","-0.83%"
"Sep 23, 2019","113.45","113.92","115.00","113.00","853.13K","-0.61%"
"Sep 20, 2019","114.15","112.98","114.72","112.42","1.25M","0.93%"
"Sep 19, 2019","113.10","114.91","115.19","112.88","721.37K","-1.34%"
"Sep 18, 2019","114.64","113.95","114.86","112.42","750.24K","-0.24%"
"Sep 17, 2019","114.92","114.38","115.12","113.21","583.92K","-0.07%"
"Sep 16, 2019","115.00","114.38","116.07","113.71","517.18K","0.03%"
"Sep 13, 2019","114.96","115.25","115.82","113.68","508.50K","0.40%"
"Sep 12, 2019","114.50","115.40","115.42","113.42","835.28K","-1.08%"
"Sep 11, 2019","115.75","115.70","115.96","112.82","1.06M","-0.42%"
"Sep 10, 2019","116.24","113.25","116.25","111.78","1.25M","2.08%"
"Sep 09, 2019","113.87","111.55","114.05","111.24","1.01M","2.83%"
"Sep 06, 2019","110.74","112.67","113.23","110.53","989.41K","-1.51%"
"Sep 05, 2019","112.44","110.43","112.97","110.08","1.16M","3.32%"
"Sep 04, 2019","108.83","107.74","109.12","107.27","933.41K","2.04%"
"Sep 03, 2019","106.65","106.93","107.87","105.55","933.38K","-1.29%"
"Aug 30, 2019","108.04","107.22","109.00","107.22","1.00M","1.07%"
"Aug 29, 2019","106.90","105.60","107.91","105.27","1.06M","2.82%"
"Aug 28, 2019","103.97","100.22","104.37","99.33","1.07M","3.29%"
"Aug 27, 2019","100.66","101.40","102.47","100.03","1.25M","-0.09%"
"Aug 26, 2019","100.75","99.77","101.08","98.65","800.66K","1.62%"
"Aug 23, 2019","99.14","101.55","101.62","98.34","1.16M","-2.60%"
"Aug 22, 2019","101.79","102.55","102.55","100.94","547.33K","-0.14%"
"Aug 21, 2019","101.93","101.12","102.35","100.53","619.68K","1.75%"
"Aug 20, 2019","100.18","99.55","100.62","99.16","658.43K","0.67%"
"Aug 19, 2019","99.51","99.12","100.41","99.12","419.05K","1.52%"
"Aug 16, 2019","98.02","96.44","98.28","95.74","783.90K","2.79%"
"Aug 15, 2019","95.36","97.88","97.88","93.65","1.70M","-2.19%"
"Aug 14, 2019","97.50","99.63","100.75","97.50","978.01K","-3.55%"
"Aug 13, 2019","101.09","98.66","102.20","97.82","899.62K","2.71%"
"Aug 12, 2019","98.42","98.55","98.88","97.27","775.47K","-0.29%"
"Aug 09, 2019","98.71","99.06","99.49","96.37","571.88K","-0.57%"
"Aug 08, 2019","99.28","98.03","99.35","97.56","934.48K","1.92%"
"Aug 07, 2019","97.41","96.71","97.57","95.37","840.32K","-0.53%"
"Aug 06, 2019","97.93","97.50","98.22","95.79","923.80K","1.06%"
"Aug 05, 2019","96.90","100.58","100.58","96.17","1.14M","-4.69%"
"Aug 02, 2019","101.67","100.65","102.45","99.85","1.47M","0.44%"
"Aug 01, 2019","101.22","102.03","103.43","101.10","1.34M","-1.12%"
"Jul 31, 2019","102.37","102.50","103.33","100.80","703.03K","-0.26%"
"Jul 30, 2019","102.64","100.85","102.70","99.82","639.82K","0.78%"
"Jul 29, 2019","101.85","102.41","102.89","101.14","710.70K","-1.06%"
"Jul 26, 2019","102.94","102.35","103.11","101.61","540.71K","0.78%"
"Jul 25, 2019","102.14","102.50","102.84","101.32","1.23M","-0.59%"
"Jul 24, 2019","102.75","104.30","106.62","102.45","1.60M","-1.38%"
"Jul 23, 2019","104.19","103.50","104.55","103.31","967.96K","1.07%"
"Jul 22, 2019","103.09","103.78","104.00","102.06","1.70M","-0.63%"
"Jul 19, 2019","103.74","99.64","103.87","99.05","2.52M","4.54%"
"Jul 18, 2019","99.23","97.75","99.30","97.24","2.03M","1.49%"
"Jul 17, 2019","97.77","97.23","98.18","93.88","3.21M","0.04%"
"Jul 16, 2019","97.73","99.63","101.17","97.33","5.99M","5.56%"
"Jul 15, 2019","92.58","93.00","93.55","91.62","2.02M","-0.39%"
"Jul 12, 2019","92.94","87.79","93.52","87.79","1.49M","5.90%"
"Jul 11, 2019","87.76","85.38","88.79","85.16","1.46M","0.15%"
"Jul 10, 2019","87.63","89.70","89.94","87.28","945.66K","-1.38%"
"Jul 09, 2019","88.86","88.98","89.11","88.02","1.34M","-0.40%"
"Jul 08, 2019","89.22","90.39","90.75","88.94","858.54K","-1.80%"
"Jul 05, 2019","90.86","90.86","91.45","89.97","449.41K","-0.60%"
"Jul 03, 2019","91.41","90.55","91.70","90.55","337.36K","1.26%"
"Jul 02, 2019","90.27","91.24","91.86","89.88","635.64K","-1.06%"
"Jul 01, 2019","91.24","92.18","93.19","90.49","843.64K","-0.19%"
"Jun 28, 2019","91.41","90.07","92.23","90.07","1.91M","1.92%"
"Jun 27, 2019","89.69","88.78","90.36","88.68","650.24K","1.52%"
"Jun 26, 2019","88.35","88.19","88.57","87.43","484.71K","0.61%"
"Jun 25, 2019","87.81","87.14","88.60","86.77","765.08K","0.55%"
"Jun 24, 2019","87.33","89.00","89.26","87.28","872.29K","-1.78%"
"Jun 21, 2019","88.91","89.75","90.58","88.24","1.53M","-2.16%"
"Jun 20, 2019","90.87","90.59","91.33","90.29","730.50K","1.53%"
"Jun 19, 2019","89.50","90.32","90.94","88.86","759.88K","-0.42%"
"Jun 18, 2019","89.88","85.10","91.80","85.05","1.39M","-0.21%"
"Jun 17, 2019","90.07","90.88","90.94","89.39","728.87K","-0.86%"
"Jun 14, 2019","90.85","90.07","91.21","88.73","1.08M","0.88%"
"Jun 13, 2019","90.06","89.11","90.63","88.76","963.33K","1.52%"
"Jun 12, 2019","88.71","87.90","88.85","87.51","702.41K","0.91%"
"Jun 11, 2019","87.91","89.24","89.28","87.84","549.20K","-0.82%"
"Jun 10, 2019","88.64","88.01","89.43","87.88","856.56K","1.43%"
"Jun 07, 2019","87.39","87.91","89.04","87.33","898.17K","-0.40%"
"Jun 06, 2019","87.74","88.27","88.27","86.18","704.94K","-0.83%"
"Jun 05, 2019","88.47","88.86","89.65","88.20","913.94K","-0.02%"
"Jun 04, 2019","88.49","86.37","88.62","86.02","1.09M","3.75%"
"Jun 03, 2019","85.29","85.19","87.03","84.93","1.20M","0.18%"
"May 31, 2019","85.14","84.61","85.92","84.11","853.54K","-0.42%"
"May 30, 2019","85.50","84.95","85.53","83.64","756.75K","0.78%"
"May 29, 2019","84.84","85.47","86.01","84.46","1.21M","-1.07%"
"May 28, 2019","85.76","86.28","87.89","85.71","2.30M","-3.92%"
"May 24, 2019","89.26","91.38","91.57","88.71","1.46M","-1.94%"
"May 23, 2019","91.03","92.28","92.34","89.75","1.73M","-2.04%"
"May 22, 2019","92.93","95.54","95.64","92.17","1.71M","-2.95%"
"May 21, 2019","95.75","97.63","98.19","95.56","1.37M","-1.77%"
"May 20, 2019","97.48","95.71","98.70","95.32","1.13M","1.52%"
"May 17, 2019","96.02","96.07","97.94","95.66","1.60M","-0.55%"
"May 16, 2019","96.55","95.62","96.81","95.24","846.12K","1.06%"
"May 15, 2019","95.54","95.06","95.91","94.48","831.67K","-0.09%"
"May 14, 2019","95.63","93.76","96.19","93.63","1.14M","2.23%"
"May 13, 2019","93.54","93.10","93.98","91.49","2.06M","-1.60%"
"May 10, 2019","95.06","95.18","95.21","93.51","792.37K","-0.36%"
"May 09, 2019","95.40","94.60","95.80","94.55","1.00M","0.13%"
"May 08, 2019","95.28","95.72","96.86","95.16","952.61K","-0.74%"
"May 07, 2019","95.99","95.65","96.39","94.73","1.08M","-0.70%"
"May 06, 2019","96.67","94.31","97.04","94.00","983.92K","0.74%"
"May 03, 2019","95.96","95.13","96.24","94.67","1.04M","1.57%"
"May 02, 2019","94.48","91.81","94.85","91.42","1.80M","2.91%"
"May 01, 2019","91.81","94.36","94.36","91.50","1.35M","-2.83%"
"Apr 30, 2019","94.48","95.30","95.61","93.22","1.48M","-1.18%"
