"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","28.61","28.44","28.61","28.07","6.90M","0.39%"
"Oct 22, 2019","28.50","27.83","28.57","27.53","6.06M","2.48%"
"Oct 21, 2019","27.81","27.61","28.02","27.41","5.12M","0.72%"
"Oct 18, 2019","27.61","27.83","28.16","27.60","5.44M","-0.58%"
"Oct 17, 2019","27.77","27.50","27.82","27.28","4.35M","1.20%"
"Oct 16, 2019","27.44","27.52","27.82","27.39","4.09M","-0.18%"
"Oct 15, 2019","27.49","27.30","27.62","27.10","5.06M","0.62%"
"Oct 14, 2019","27.32","27.08","27.39","26.79","4.05M","0.89%"
"Oct 11, 2019","27.08","27.03","27.32","26.97","9.31M","0.52%"
"Oct 10, 2019","26.94","26.79","27.07","26.71","3.68M","0.79%"
"Oct 09, 2019","26.73","26.87","26.92","26.54","3.81M","0.07%"
"Oct 08, 2019","26.71","26.88","27.00","26.53","5.64M","-0.85%"
"Oct 07, 2019","26.94","27.03","27.18","26.72","4.21M","-0.15%"
"Oct 04, 2019","26.98","26.53","27.00","26.41","3.58M","1.66%"
"Oct 03, 2019","26.54","26.49","26.56","25.97","5.50M","-0.04%"
"Oct 02, 2019","26.55","27.21","27.24","26.27","7.18M","-2.89%"
"Oct 01, 2019","27.34","27.93","28.00","27.22","4.79M","-2.11%"
"Sep 30, 2019","27.93","27.89","28.02","27.62","4.89M","0.32%"
"Sep 27, 2019","27.84","28.10","28.23","27.70","5.19M","-0.61%"
"Sep 26, 2019","28.01","28.20","28.29","27.89","6.81M","-0.46%"
"Sep 25, 2019","28.14","27.98","28.20","27.87","5.96M","0.75%"
"Sep 24, 2019","27.93","28.21","28.26","27.68","7.38M","-0.96%"
"Sep 23, 2019","28.20","28.20","28.28","27.93","8.76M","0.21%"
"Sep 20, 2019","28.14","28.11","28.47","28.02","8.95M","-0.04%"
"Sep 19, 2019","28.15","28.40","28.50","28.04","8.21M","-0.92%"
"Sep 18, 2019","28.41","28.30","28.56","28.10","9.37M","0.18%"
"Sep 17, 2019","28.36","28.49","28.72","28.24","25.41M","-4.25%"
"Sep 16, 2019","29.62","29.13","29.76","29.07","6.11M","1.26%"
"Sep 13, 2019","29.25","29.19","29.48","29.07","5.37M","0.76%"
"Sep 12, 2019","29.03","29.57","29.71","28.98","7.02M","-0.85%"
"Sep 11, 2019","29.28","29.11","29.68","28.78","10.30M","1.10%"
"Sep 10, 2019","28.96","28.10","28.97","28.08","8.60M","3.13%"
"Sep 09, 2019","28.08","27.32","28.16","27.25","9.06M","2.93%"
"Sep 06, 2019","27.28","26.67","27.46","26.46","10.22M","2.59%"
"Sep 05, 2019","26.59","26.36","27.00","26.36","7.32M","1.26%"
"Sep 04, 2019","26.26","26.26","26.36","25.91","6.44M","0.77%"
"Sep 03, 2019","26.06","25.42","26.14","25.22","8.20M","2.12%"
"Aug 30, 2019","25.52","25.53","25.81","25.41","6.65M","0.75%"
