"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","158.72","161.21","162.17","158.30","1.14M","-2.52%"
"Oct 22, 2019","162.82","163.88","164.85","162.34","1.24M","-0.72%"
"Oct 21, 2019","164.00","160.31","164.29","159.87","1.82M","2.70%"
"Oct 18, 2019","159.69","160.63","162.02","158.32","1.22M","-1.13%"
"Oct 17, 2019","161.51","162.71","167.95","161.04","1.61M","1.17%"
"Oct 16, 2019","159.64","160.80","161.97","159.08","1.30M","-1.80%"
"Oct 15, 2019","162.56","160.08","163.54","159.58","885.63K","2.24%"
"Oct 14, 2019","159.00","159.62","160.95","158.31","1.14M","-0.76%"
"Oct 11, 2019","160.22","160.97","162.49","158.93","1.18M","1.79%"
"Oct 10, 2019","157.40","158.02","159.26","156.60","894.80K","-0.05%"
"Oct 09, 2019","157.48","157.17","158.81","156.11","1.03M","1.92%"
"Oct 08, 2019","154.52","158.76","159.03","154.33","1.49M","-4.05%"
"Oct 07, 2019","161.05","160.70","162.68","160.20","975.60K","-0.04%"
"Oct 04, 2019","161.11","157.64","161.29","157.47","1.19M","2.64%"
"Oct 03, 2019","156.96","155.47","157.69","153.69","1.30M","1.23%"
"Oct 02, 2019","155.05","156.28","157.50","153.63","1.59M","-2.05%"
"Oct 01, 2019","158.29","160.79","162.41","157.73","919.70K","-0.73%"
"Sep 30, 2019","159.45","159.46","160.30","157.65","1.14M","0.61%"
"Sep 27, 2019","158.48","160.16","161.32","157.48","1.46M","-2.14%"
"Sep 26, 2019","161.95","160.88","162.68","159.94","1.28M","0.85%"
"Sep 25, 2019","160.59","156.35","160.93","156.17","1.23M","2.61%"
"Sep 24, 2019","156.50","159.31","160.55","155.53","1.73M","-0.69%"
"Sep 23, 2019","157.58","155.20","158.63","155.20","1.12M","1.34%"
"Sep 20, 2019","155.50","158.01","158.54","154.37","3.19M","-1.09%"
"Sep 19, 2019","157.22","158.61","159.30","156.46","1.39M","-0.48%"
"Sep 18, 2019","157.98","152.59","158.09","151.70","2.74M","3.53%"
"Sep 17, 2019","152.60","153.21","155.78","150.16","2.14M","0.93%"
"Sep 16, 2019","151.19","148.76","151.92","148.06","1.19M","0.58%"
"Sep 13, 2019","150.32","149.58","151.65","147.80","1.88M","0.47%"
"Sep 12, 2019","149.61","152.43","152.77","149.39","2.28M","-0.69%"
"Sep 11, 2019","150.65","150.00","150.77","148.63","2.79M","1.28%"
"Sep 10, 2019","148.75","149.77","149.77","146.06","1.89M","-1.17%"
"Sep 09, 2019","150.51","151.99","152.76","148.53","2.25M","-0.31%"
"Sep 06, 2019","150.98","150.85","152.52","150.59","1.99M","-0.01%"
"Sep 05, 2019","151.00","153.68","155.33","150.92","2.58M","0.23%"
"Sep 04, 2019","150.65","151.58","152.00","149.97","1.98M","0.48%"
"Sep 03, 2019","149.93","149.46","150.39","147.41","2.22M","1.37%"
"Aug 30, 2019","147.90","147.98","148.78","147.09","1.82M","1.05%"
"Aug 29, 2019","146.37","145.66","147.47","145.10","1.16M","1.96%"
"Aug 28, 2019","143.56","141.16","144.05","140.05","996.59K","0.80%"
"Aug 27, 2019","142.42","142.46","142.93","140.61","1.23M","0.80%"
"Aug 26, 2019","141.29","141.00","141.92","139.89","1.02M","1.53%"
"Aug 23, 2019","139.16","142.26","144.32","138.56","1.89M","-3.07%"
"Aug 22, 2019","143.57","142.65","144.52","141.28","1.33M","1.18%"
"Aug 21, 2019","141.90","141.62","142.75","140.38","836.25K","1.09%"
"Aug 20, 2019","140.37","140.26","142.13","139.21","1.16M","0.01%"
"Aug 19, 2019","140.36","138.00","141.80","137.20","1.71M","3.11%"
"Aug 16, 2019","136.12","132.94","136.59","132.13","1.38M","3.09%"
"Aug 15, 2019","132.04","131.32","133.09","130.93","815.45K","0.71%"
"Aug 14, 2019","131.11","131.90","134.03","130.43","1.15M","-3.04%"
"Aug 13, 2019","135.22","132.55","137.13","132.28","1.96M","0.76%"
"Aug 12, 2019","134.20","135.00","135.90","133.43","941.90K","-1.39%"
"Aug 09, 2019","136.09","136.35","137.26","134.03","1.03M","-0.90%"
"Aug 08, 2019","137.33","135.94","137.64","134.74","1.55M","2.38%"
"Aug 07, 2019","134.14","134.16","135.62","133.46","1.43M","-1.11%"
"Aug 06, 2019","135.64","131.87","140.77","131.11","3.34M","7.26%"
"Aug 05, 2019","126.46","130.10","130.96","125.19","3.48M","-5.09%"
"Aug 02, 2019","133.24","135.12","135.40","131.49","2.27M","-2.58%"
"Aug 01, 2019","136.77","136.51","143.95","135.37","2.81M","0.33%"
"Jul 31, 2019","136.32","139.58","139.70","134.37","1.33M","-2.63%"
"Jul 30, 2019","140.00","138.13","140.83","138.00","615.13K","0.35%"
