"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","233.18","232.99","235.48","231.15","2.06M","-0.74%"
"Oct 22, 2019","234.91","239.59","240.04","234.84","1.05M","-1.49%"
"Oct 21, 2019","238.46","236.98","239.87","235.25","1.28M","2.04%"
"Oct 18, 2019","233.70","235.70","235.70","230.23","1.52M","-1.02%"
"Oct 17, 2019","236.10","238.89","240.29","235.28","1.28M","0.57%"
"Oct 16, 2019","234.76","238.00","239.89","233.76","2.00M","-3.01%"
"Oct 15, 2019","242.05","237.76","243.57","236.80","1.80M","2.44%"
"Oct 14, 2019","236.28","236.42","238.30","235.64","782.29K","-0.34%"
"Oct 11, 2019","237.09","239.81","240.28","236.61","1.21M","1.05%"
"Oct 10, 2019","234.62","232.59","237.41","232.17","1.31M","0.64%"
"Oct 09, 2019","233.13","232.00","234.74","231.07","1.60M","2.38%"
"Oct 08, 2019","227.70","229.87","231.25","225.00","1.51M","-1.91%"
"Oct 07, 2019","232.14","233.17","234.50","231.92","1.19M","-0.48%"
"Oct 04, 2019","233.27","230.17","233.41","229.43","1.08M","1.84%"
"Oct 03, 2019","229.05","229.32","230.12","225.17","1.41M","0.46%"
"Oct 02, 2019","228.00","227.18","229.58","225.95","1.48M","-1.04%"
"Oct 01, 2019","230.39","233.00","235.53","228.21","1.51M","-0.31%"
"Sep 30, 2019","231.11","229.73","233.31","227.29","1.56M","0.45%"
"Sep 27, 2019","230.08","238.81","238.81","227.46","2.94M","-5.25%"
"Sep 26, 2019","242.83","241.85","244.98","241.10","1.70M","0.51%"
"Sep 25, 2019","241.60","232.99","241.96","232.77","1.74M","2.43%"
"Sep 24, 2019","235.86","239.20","240.00","234.32","1.82M","-1.00%"
"Sep 23, 2019","238.24","235.00","240.09","234.38","1.26M","1.25%"
"Sep 20, 2019","235.31","237.21","239.40","233.31","3.48M","-0.65%"
"Sep 19, 2019","236.86","238.80","238.90","235.35","1.27M","-0.33%"
"Sep 18, 2019","237.64","235.01","238.69","234.32","1.50M","0.36%"
"Sep 17, 2019","236.78","234.19","236.80","232.40","1.44M","0.78%"
"Sep 16, 2019","234.94","232.79","237.08","230.62","1.16M","-0.26%"
"Sep 13, 2019","235.56","236.63","237.90","233.94","1.60M","0.29%"
"Sep 12, 2019","234.87","235.00","236.34","231.69","1.23M","0.37%"
"Sep 11, 2019","234.01","232.18","234.75","230.56","1.83M","0.89%"
"Sep 10, 2019","231.94","229.65","232.00","226.49","1.73M","0.69%"
"Sep 09, 2019","230.34","229.72","232.64","228.17","2.19M","1.06%"
"Sep 06, 2019","227.92","227.11","229.94","225.10","1.68M","0.52%"
"Sep 05, 2019","226.74","227.17","232.25","225.53","2.84M","2.32%"
"Sep 04, 2019","221.60","215.28","222.22","215.23","2.40M","4.07%"
"Sep 03, 2019","212.94","211.00","214.01","209.02","1.85M","1.15%"
"Aug 30, 2019","210.51","211.38","213.05","209.34","1.19M","1.37%"
"Aug 29, 2019","207.66","207.00","210.00","206.28","1.82M","2.15%"
"Aug 28, 2019","203.28","199.66","203.81","197.16","1.20M","1.76%"
"Aug 27, 2019","199.77","203.43","203.43","198.14","1.29M","-0.78%"
"Aug 26, 2019","201.34","204.32","205.53","200.04","1.25M","0.47%"
"Aug 23, 2019","200.39","207.65","209.50","199.75","2.03M","-4.78%"
"Aug 22, 2019","210.46","208.18","211.52","206.06","990.65K","1.19%"
"Aug 21, 2019","207.99","209.11","209.58","206.92","928.28K","0.59%"
"Aug 20, 2019","206.76","208.21","208.73","205.33","854.91K","-0.62%"
"Aug 19, 2019","208.05","210.00","211.22","207.15","1.40M","1.43%"
"Aug 16, 2019","205.11","198.93","206.33","198.37","2.00M","3.11%"
"Aug 15, 2019","198.93","199.73","200.94","196.45","1.04M","0.22%"
"Aug 14, 2019","198.50","199.35","201.54","197.25","1.92M","-3.50%"
"Aug 13, 2019","205.69","196.31","206.55","195.09","2.33M","4.78%"
"Aug 12, 2019","196.31","194.39","197.18","193.80","1.31M","0.51%"
"Aug 09, 2019","195.32","199.34","200.28","194.42","1.88M","-3.06%"
"Aug 08, 2019","201.48","201.01","202.39","198.37","1.73M","2.57%"
"Aug 07, 2019","196.43","192.45","197.35","190.71","2.14M","0.98%"
"Aug 06, 2019","194.52","197.23","199.66","193.12","2.00M","0.51%"
"Aug 05, 2019","193.53","197.76","198.76","191.62","2.28M","-5.17%"
"Aug 02, 2019","204.09","204.32","205.91","200.47","2.42M","-0.81%"
"Aug 01, 2019","205.76","207.89","217.70","204.04","2.97M","-1.37%"
"Jul 31, 2019","208.61","210.70","212.36","206.16","2.65M","-1.28%"
"Jul 30, 2019","211.32","208.63","212.73","207.56","956.00K","0.24%"
"Jul 29, 2019","210.82","210.31","211.17","207.85","1.09M","0.03%"
"Jul 26, 2019","210.75","211.45","212.90","209.55","1.12M","0.00%"
"Jul 25, 2019","210.75","213.68","214.27","210.07","2.08M","-2.87%"
"Jul 24, 2019","216.98","210.00","218.49","209.01","3.14M","3.44%"
"Jul 23, 2019","209.76","207.60","210.00","206.36","1.95M","1.23%"
"Jul 22, 2019","207.21","202.88","207.87","202.87","2.36M","4.40%"
"Jul 19, 2019","198.47","200.29","200.80","196.93","1.53M","0.12%"
"Jul 18, 2019","198.23","193.08","200.10","192.16","2.11M","3.40%"
"Jul 17, 2019","191.72","190.45","192.50","188.11","1.58M","1.01%"
"Jul 16, 2019","189.81","191.07","192.56","189.40","1.11M","-1.53%"
"Jul 15, 2019","192.75","192.36","193.74","191.09","1.01M","0.79%"
"Jul 12, 2019","191.24","186.47","192.81","185.47","1.98M","3.43%"
"Jul 11, 2019","184.89","185.74","185.74","182.32","1.61M","0.36%"
"Jul 10, 2019","184.22","185.35","189.58","183.72","1.78M","0.62%"
"Jul 09, 2019","183.08","180.09","184.04","179.91","1.74M","0.93%"
"Jul 08, 2019","181.40","179.20","182.42","178.92","1.50M","-1.22%"
"Jul 05, 2019","183.64","183.18","184.17","181.10","1.95M","-0.66%"
"Jul 03, 2019","184.86","187.39","187.89","184.59","1.05M","-1.24%"
"Jul 02, 2019","187.19","190.97","190.97","185.52","1.53M","-2.17%"
"Jul 01, 2019","191.34","194.57","197.95","189.12","2.37M","1.86%"
"Jun 28, 2019","187.84","189.69","189.74","187.09","2.34M","0.92%"
"Jun 27, 2019","186.13","182.89","186.79","182.75","1.89M","2.68%"
"Jun 26, 2019","181.28","179.37","182.54","178.59","1.99M","3.11%"
"Jun 25, 2019","175.82","181.23","181.62","175.58","2.08M","-3.01%"
"Jun 24, 2019","181.27","182.09","182.97","180.61","1.68M","-0.96%"
"Jun 21, 2019","183.03","182.69","185.00","182.43","1.99M","-0.51%"
"Jun 20, 2019","183.96","185.08","186.49","182.35","1.13M","1.40%"
"Jun 19, 2019","181.42","181.66","183.37","179.42","1.23M","0.54%"
"Jun 18, 2019","180.44","174.98","184.05","174.43","2.37M","4.60%"
"Jun 17, 2019","172.51","176.79","176.79","172.38","1.97M","-2.43%"
"Jun 14, 2019","176.80","176.32","177.46","173.50","2.19M","-1.88%"
"Jun 13, 2019","180.19","180.84","182.21","178.75","1.65M","0.17%"
"Jun 12, 2019","179.88","183.37","184.22","178.82","2.69M","-5.29%"
