"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","205.46","204.05","206.32","203.62","1.07M","0.52%"
"Oct 22, 2019","204.40","206.33","207.15","204.00","1.05M","-0.43%"
"Oct 21, 2019","205.28","206.92","207.43","203.00","1.57M","-0.88%"
"Oct 18, 2019","207.11","203.70","208.89","203.67","2.36M","1.05%"
"Oct 17, 2019","204.96","204.79","205.58","204.30","1.31M","0.93%"
"Oct 16, 2019","203.08","202.40","203.92","201.80","1.45M","-0.40%"
"Oct 15, 2019","203.89","203.42","205.40","202.41","2.07M","0.42%"
"Oct 14, 2019","203.04","201.89","205.11","201.24","1.85M","0.70%"
"Oct 11, 2019","201.62","199.55","202.98","199.55","2.29M","1.76%"
"Oct 10, 2019","198.13","192.28","198.22","191.61","2.47M","3.11%"
"Oct 09, 2019","192.16","193.85","194.50","192.00","922.94K","0.41%"
"Oct 08, 2019","191.37","190.06","194.24","188.94","1.16M","-0.15%"
"Oct 07, 2019","191.66","191.92","193.40","190.81","1.17M","-0.76%"
"Oct 04, 2019","193.12","190.45","193.43","189.94","1.20M","1.56%"
"Oct 03, 2019","190.15","188.76","190.30","185.36","1.40M","0.54%"
"Oct 02, 2019","189.13","190.92","191.75","187.12","1.35M","-1.85%"
"Oct 01, 2019","192.69","193.41","194.07","191.32","1.32M","0.08%"
"Sep 30, 2019","192.53","190.32","193.41","190.05","1.24M","1.48%"
"Sep 27, 2019","189.72","192.68","192.96","188.55","1.16M","-0.95%"
"Sep 26, 2019","191.54","192.36","193.93","189.64","965.83K","-0.77%"
"Sep 25, 2019","193.02","193.94","195.10","190.57","1.38M","-0.43%"
"Sep 24, 2019","193.85","196.45","196.79","190.74","2.03M","-0.68%"
"Sep 23, 2019","195.18","190.70","195.87","190.70","2.38M","3.11%"
"Sep 20, 2019","189.30","194.08","196.04","189.18","2.45M","-2.23%"
"Sep 19, 2019","193.61","195.70","196.06","193.17","1.34M","-0.90%"
"Sep 18, 2019","195.36","195.46","197.16","192.65","1.42M","-0.06%"
"Sep 17, 2019","195.47","193.50","197.33","193.38","1.22M","0.91%"
"Sep 16, 2019","193.70","194.16","194.91","192.12","1.31M","-0.76%"
"Sep 13, 2019","195.18","198.80","199.42","194.86","1.51M","-1.79%"
"Sep 12, 2019","198.73","198.17","201.55","196.88","2.32M","1.18%"
"Sep 11, 2019","196.41","193.02","198.78","192.00","2.17M","1.63%"
"Sep 10, 2019","193.26","194.29","194.29","190.90","2.54M","-0.58%"
"Sep 09, 2019","194.39","203.51","203.76","194.06","3.88M","-4.31%"
"Sep 06, 2019","203.14","197.79","204.44","197.75","10.97M","7.82%"
"Sep 05, 2019","188.41","184.00","188.95","183.88","5.92M","4.27%"
"Sep 04, 2019","180.70","180.65","181.86","179.99","2.11M","0.65%"
"Sep 03, 2019","179.54","183.53","184.26","178.26","2.56M","-2.78%"
"Aug 30, 2019","184.67","187.48","187.74","182.59","1.24M","-0.75%"
"Aug 29, 2019","186.06","184.83","187.20","184.16","1.42M","1.84%"
"Aug 28, 2019","182.70","179.25","183.08","178.53","895.11K","1.44%"
"Aug 27, 2019","180.11","182.95","183.80","179.80","1.43M","-1.23%"
"Aug 26, 2019","182.35","182.98","182.98","180.16","805.45K","1.29%"
