"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","123.49","122.11","123.65","121.09","1.45M","1.18%"
"Oct 22, 2019","122.05","122.62","123.01","121.85","1.73M","-0.77%"
"Oct 21, 2019","123.00","122.26","123.40","121.91","1.84M","1.61%"
"Oct 18, 2019","121.05","120.40","121.40","118.96","1.44M","0.40%"
"Oct 17, 2019","120.57","120.81","121.73","120.35","985.74K","-0.43%"
"Oct 16, 2019","121.09","121.18","121.70","120.34","1.10M","-0.02%"
"Oct 15, 2019","121.11","120.33","121.71","120.29","956.42K","0.84%"
"Oct 14, 2019","120.10","120.79","121.21","119.37","1.07M","-0.89%"
"Oct 11, 2019","121.18","119.73","122.31","119.03","1.83M","2.53%"
"Oct 10, 2019","118.19","118.57","119.84","117.67","1.71M","-0.25%"
"Oct 09, 2019","118.49","118.59","119.06","117.25","1.46M","0.70%"
"Oct 08, 2019","117.67","118.20","118.92","116.85","1.72M","-1.28%"
"Oct 07, 2019","119.20","120.08","120.71","118.88","1.73M","-1.37%"
"Oct 04, 2019","120.86","119.96","121.02","119.60","1.91M","1.55%"
"Oct 03, 2019","119.02","120.29","120.68","118.53","2.37M","-1.09%"
"Oct 02, 2019","120.33","122.30","122.30","119.60","1.95M","-2.49%"
"Oct 01, 2019","123.40","125.05","126.41","123.31","1.85M","-0.78%"
"Sep 30, 2019","124.37","121.88","124.61","120.66","2.80M","2.98%"
"Sep 27, 2019","120.77","122.48","123.00","120.02","3.22M","-0.74%"
"Sep 26, 2019","121.67","122.36","122.89","121.35","2.72M","-1.11%"
"Sep 25, 2019","123.03","122.50","123.37","121.28","2.93M","0.62%"
"Sep 24, 2019","122.27","126.11","126.11","122.19","2.77M","-2.84%"
"Sep 23, 2019","125.85","126.25","126.80","125.40","3.09M","-0.88%"
"Sep 20, 2019","126.97","129.07","129.46","126.86","3.06M","-1.99%"
"Sep 19, 2019","129.55","130.49","131.35","129.41","1.09M","-0.49%"
"Sep 18, 2019","130.19","130.13","130.48","128.71","1.10M","-0.28%"
"Sep 17, 2019","130.56","130.68","131.43","129.78","879.72K","0.06%"
"Sep 16, 2019","130.48","132.80","132.80","130.18","1.31M","-2.62%"
"Sep 13, 2019","133.99","132.98","135.46","132.56","1.17M","1.12%"
"Sep 12, 2019","132.51","133.50","134.37","132.39","1.08M","-0.44%"
"Sep 11, 2019","133.09","131.39","133.59","130.83","1.61M","1.06%"
