"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","92.99","93.86","94.10","91.73","3.31M","-3.51%"
"Oct 22, 2019","96.37","97.33","97.83","96.26","1.63M","-1.44%"
"Oct 21, 2019","97.78","96.41","97.86","95.72","1.51M","2.93%"
"Oct 18, 2019","95.00","95.57","95.67","93.17","1.40M","-0.72%"
"Oct 17, 2019","95.69","97.13","97.56","95.25","1.07M","-0.41%"
"Oct 16, 2019","96.08","96.60","97.36","95.93","1.33M","-0.75%"
"Oct 15, 2019","96.81","96.21","97.33","95.15","1.61M","1.18%"
"Oct 14, 2019","95.68","94.98","95.79","94.32","1.09M","0.17%"
"Oct 11, 2019","95.52","94.15","96.86","93.68","2.89M","3.37%"
"Oct 10, 2019","92.41","91.54","93.17","91.17","1.77M","1.34%"
"Oct 09, 2019","91.19","90.62","91.66","90.22","1.49M","2.13%"
"Oct 08, 2019","89.29","91.19","91.39","89.09","2.05M","-3.30%"
"Oct 07, 2019","92.34","93.50","94.00","92.24","2.33M","-1.49%"
"Oct 04, 2019","93.74","92.52","93.79","92.00","1.64M","2.22%"
"Oct 03, 2019","91.70","90.65","92.21","89.38","2.38M","1.28%"
"Oct 02, 2019","90.54","91.90","92.16","90.22","1.64M","-2.56%"
"Oct 01, 2019","92.92","94.87","96.08","92.36","2.69M","0.01%"
"Sep 30, 2019","92.91","91.52","93.35","91.30","1.48M","1.77%"
"Sep 27, 2019","91.29","92.25","93.13","90.66","1.51M","-1.17%"
"Sep 26, 2019","92.37","93.13","93.13","91.36","2.88M","-0.69%"
"Sep 25, 2019","93.01","90.19","93.33","89.22","1.78M","2.61%"
"Sep 24, 2019","90.64","92.28","92.59","89.94","1.43M","-1.39%"
"Sep 23, 2019","91.92","90.29","92.69","90.06","2.01M","1.63%"
"Sep 20, 2019","90.45","92.44","93.25","90.32","2.76M","-2.21%"
"Sep 19, 2019","92.49","93.68","94.00","92.35","1.34M","-1.15%"
"Sep 18, 2019","93.57","93.73","93.98","92.20","1.95M","-0.20%"
"Sep 17, 2019","93.76","93.69","94.12","92.65","1.30M","-0.73%"
"Sep 16, 2019","94.45","93.81","95.00","93.22","1.16M","-0.58%"
"Sep 13, 2019","95.00","95.92","95.97","94.94","1.54M","-0.49%"
"Sep 12, 2019","95.47","96.43","96.74","94.45","2.78M","0.05%"
"Sep 11, 2019","95.42","92.91","95.44","91.81","2.75M","3.08%"
"Sep 10, 2019","92.57","91.22","92.62","90.80","1.91M","0.76%"
"Sep 09, 2019","91.87","91.09","93.50","90.92","2.81M","1.49%"
"Sep 06, 2019","90.52","89.16","90.93","88.67","3.01M","1.90%"
"Sep 05, 2019","88.83","87.83","90.06","87.83","3.81M","2.67%"
"Sep 04, 2019","86.52","86.39","86.93","82.59","7.52M","1.92%"
"Sep 03, 2019","84.89","85.25","86.15","84.09","2.11M","-1.67%"
"Aug 30, 2019","86.33","87.34","87.55","86.17","1.21M","-0.28%"
"Aug 29, 2019","86.57","86.51","87.37","86.14","1.35M","1.99%"
"Aug 28, 2019","84.88","83.97","85.18","83.16","1.62M","0.63%"
"Aug 27, 2019","84.35","85.40","86.36","84.09","1.85M","-0.45%"
"Aug 26, 2019","84.73","86.25","86.41","84.06","3.69M","0.18%"
