"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","52.65","52.72","52.94","52.50","6.61M","-0.11%"
"Oct 22, 2019","52.71","53.51","53.58","52.39","7.94M","-1.61%"
"Oct 21, 2019","53.57","54.60","54.68","53.52","5.86M","-1.67%"
"Oct 18, 2019","54.48","54.59","54.87","54.46","5.03M","-0.27%"
"Oct 17, 2019","54.63","54.61","54.86","54.44","4.72M","0.66%"
"Oct 16, 2019","54.27","54.01","54.39","53.78","4.98M","0.43%"
"Oct 15, 2019","54.04","54.47","54.54","54.01","3.85M","-0.33%"
"Oct 14, 2019","54.22","54.71","55.16","54.19","4.58M","-1.09%"
"Oct 11, 2019","54.82","55.67","55.69","54.80","4.81M","-1.06%"
"Oct 10, 2019","55.41","54.83","55.74","54.77","4.42M","0.84%"
"Oct 09, 2019","54.95","55.04","55.13","54.42","3.48M","0.71%"
"Oct 08, 2019","54.56","54.92","55.20","54.53","5.22M","-0.93%"
"Oct 07, 2019","55.07","55.68","55.81","54.98","6.13M","-1.63%"
"Oct 04, 2019","55.98","54.78","56.06","54.72","5.96M","2.68%"
"Oct 03, 2019","54.52","54.23","54.81","53.68","5.24M","1.00%"
"Oct 02, 2019","53.98","54.52","54.62","53.78","6.71M","-1.21%"
"Oct 01, 2019","54.64","55.33","55.58","54.61","5.42M","-1.23%"
"Sep 30, 2019","55.32","55.38","55.82","55.24","4.47M","-0.13%"
"Sep 27, 2019","55.39","55.45","55.62","55.03","6.60M","-0.54%"
"Sep 26, 2019","55.69","55.50","55.80","55.26","4.30M","0.91%"
"Sep 25, 2019","55.19","55.10","55.41","54.92","4.35M","0.25%"
"Sep 24, 2019","55.05","55.00","55.59","54.73","6.35M","0.81%"
"Sep 23, 2019","54.61","54.56","55.09","54.36","4.87M","-0.07%"
"Sep 20, 2019","54.65","55.02","55.18","54.60","11.54M","-0.71%"
"Sep 19, 2019","55.04","54.87","55.55","54.60","5.06M","0.58%"
"Sep 18, 2019","54.72","54.70","54.76","53.96","7.98M","0.04%"
"Sep 17, 2019","54.70","53.64","55.16","53.50","6.71M","1.20%"
"Sep 16, 2019","54.05","53.89","54.29","53.65","3.53M","-0.06%"
