"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","541.41","538.40","548.33","537.39","237.32K","0.84%"
"Oct 22, 2019","536.89","545.49","551.07","535.16","276.53K","-1.56%"
"Oct 21, 2019","545.38","537.10","546.94","536.92","253.78K","1.70%"
"Oct 18, 2019","536.27","549.91","549.91","534.15","306.75K","-2.36%"
"Oct 17, 2019","549.25","555.45","558.97","548.46","383.22K","0.05%"
"Oct 16, 2019","548.98","567.06","567.06","545.00","406.88K","-3.10%"
"Oct 15, 2019","566.55","559.77","572.93","556.65","419.38K","1.97%"
"Oct 14, 2019","555.58","552.98","558.59","551.48","216.45K","0.25%"
"Oct 11, 2019","554.21","552.45","560.98","548.50","492.94K","2.18%"
"Oct 10, 2019","542.41","530.00","547.41","530.00","408.31K","1.95%"
"Oct 09, 2019","532.03","530.00","537.57","522.69","432.33K","1.22%"
"Oct 08, 2019","525.63","544.30","545.47","523.78","340.95K","-4.23%"
"Oct 07, 2019","548.87","556.12","559.48","544.67","276.41K","-1.85%"
"Oct 04, 2019","559.22","560.56","568.09","549.60","242.00K","0.18%"
"Oct 03, 2019","558.19","542.88","559.18","531.01","313.15K","2.59%"
"Oct 02, 2019","544.09","551.45","551.79","538.89","273.23K","-1.15%"
"Oct 01, 2019","550.43","550.55","563.54","546.00","325.84K","-0.15%"
"Sep 30, 2019","551.23","545.84","551.98","536.06","374.30K","1.79%"
"Sep 27, 2019","541.52","554.83","554.83","534.37","339.73K","-1.52%"
"Sep 26, 2019","549.86","552.24","553.49","540.84","315.40K","-0.36%"
"Sep 25, 2019","551.87","534.53","553.89","531.95","368.98K","2.71%"
"Sep 24, 2019","537.29","542.54","554.98","534.10","479.83K","-0.52%"
"Sep 23, 2019","540.09","544.31","547.78","536.37","339.88K","-1.44%"
"Sep 20, 2019","547.97","549.00","558.18","543.12","494.56K","-0.24%"
"Sep 19, 2019","549.31","542.50","556.53","541.85","454.33K","1.25%"
"Sep 18, 2019","542.52","548.28","551.58","530.76","573.69K","-1.36%"
"Sep 17, 2019","549.98","553.12","559.06","546.99","433.25K","-0.73%"
"Sep 16, 2019","554.05","557.55","561.00","548.72","514.78K","-2.25%"
"Sep 13, 2019","566.83","571.01","573.97","563.19","415.63K","-0.86%"
"Sep 12, 2019","571.73","568.44","573.77","559.99","371.81K","1.93%"
"Sep 11, 2019","560.88","551.05","574.09","543.76","672.89K","2.13%"
"Sep 10, 2019","549.17","550.00","559.00","536.26","1.07M","-3.85%"
"Sep 09, 2019","571.13","608.40","608.40","555.93","583.89K","-4.46%"
"Sep 06, 2019","597.79","605.36","608.99","594.58","198.38K","-1.30%"
"Sep 05, 2019","605.69","602.02","612.83","597.16","306.88K","2.66%"
"Sep 04, 2019","590.00","586.00","594.79","581.29","379.24K","1.55%"
"Sep 03, 2019","581.00","587.19","592.94","573.92","420.91K","-2.29%"
"Aug 30, 2019","594.60","602.40","604.99","584.62","290.21K","0.19%"
"Aug 29, 2019","593.49","590.79","596.80","578.85","394.96K","0.91%"
"Aug 28, 2019","588.15","593.41","593.76","584.06","385.68K","-1.01%"
"Aug 27, 2019","594.13","609.75","614.79","591.75","507.73K","-1.41%"
"Aug 26, 2019","602.62","605.97","612.88","599.82","332.05K","0.74%"
"Aug 23, 2019","598.18","613.89","619.74","595.00","408.06K","-3.43%"
"Aug 22, 2019","619.40","626.06","630.88","608.49","278.05K","-1.66%"
"Aug 21, 2019","629.83","622.52","634.54","620.01","348.45K","2.86%"
"Aug 20, 2019","612.30","603.36","620.32","596.62","362.19K","1.48%"
"Aug 19, 2019","603.35","637.44","639.69","597.34","614.70K","-3.39%"
"Aug 16, 2019","624.53","623.00","631.38","619.01","354.19K","1.84%"
"Aug 15, 2019","613.25","620.99","628.50","604.54","414.13K","-1.09%"
"Aug 14, 2019","620.00","620.99","632.36","616.36","464.94K","-2.76%"
"Aug 13, 2019","637.57","644.89","656.14","627.03","801.83K","2.23%"
"Aug 12, 2019","623.65","612.56","633.04","585.74","1.76M","-9.63%"
