"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","56.20","55.91","56.50","55.85","1.53M","0.46%"
"Oct 22, 2019","55.94","56.38","56.66","55.94","1.86M","-0.62%"
"Oct 21, 2019","56.29","56.25","56.50","56.02","1.73M","0.43%"
"Oct 18, 2019","56.05","56.48","56.87","55.93","3.51M","-0.90%"
"Oct 17, 2019","56.56","55.83","57.28","55.83","4.18M","0.07%"
"Oct 16, 2019","56.52","56.37","56.69","55.98","1.83M","0.41%"
"Oct 15, 2019","56.29","56.06","56.54","55.85","2.09M","-0.46%"
"Oct 14, 2019","56.55","56.41","56.97","56.06","1.28M","0.44%"
"Oct 11, 2019","56.30","56.48","56.84","56.01","2.49M","0.32%"
"Oct 10, 2019","56.12","56.12","56.36","55.84","1.60M","-0.28%"
"Oct 09, 2019","56.28","56.73","56.73","55.94","1.37M","0.72%"
"Oct 08, 2019","55.88","55.40","56.83","55.36","2.80M","0.27%"
"Oct 07, 2019","55.73","56.16","56.48","55.58","4.04M","-1.50%"
"Oct 04, 2019","56.58","55.82","56.76","55.82","2.72M","1.73%"
"Oct 03, 2019","55.62","55.38","56.01","54.89","3.75M","0.91%"
"Oct 02, 2019","55.12","54.44","55.63","53.67","4.82M","-2.30%"
"Oct 01, 2019","56.42","58.09","58.48","56.05","3.44M","-2.82%"
"Sep 30, 2019","58.06","58.16","58.85","57.83","1.50M","0.43%"
"Sep 27, 2019","57.81","58.02","58.57","57.39","2.04M","0.07%"
"Sep 26, 2019","57.77","58.48","58.83","56.81","2.60M","-1.03%"
"Sep 25, 2019","58.37","58.29","58.97","56.92","3.28M","-0.75%"
"Sep 24, 2019","58.81","59.42","59.49","58.25","2.35M","-0.52%"
"Sep 23, 2019","59.12","58.61","59.52","58.46","2.19M","1.32%"
"Sep 20, 2019","58.35","58.72","59.12","58.32","4.24M","-0.75%"
"Sep 19, 2019","58.79","58.54","59.06","58.53","1.64M","0.74%"
"Sep 18, 2019","58.36","57.77","58.57","57.59","2.78M","0.64%"
"Sep 17, 2019","57.99","59.05","59.36","57.60","4.35M","-2.09%"
"Sep 16, 2019","59.23","58.57","59.42","58.37","3.22M","0.63%"
"Sep 13, 2019","58.86","57.37","59.56","57.37","4.55M","2.45%"
"Sep 12, 2019","57.45","57.44","58.13","57.32","2.01M","1.02%"
"Sep 11, 2019","56.87","57.37","57.97","55.99","3.88M","-1.54%"
"Sep 10, 2019","57.76","56.98","57.76","56.67","2.33M","0.93%"
"Sep 09, 2019","57.23","57.03","57.76","56.32","3.90M","0.10%"
"Sep 06, 2019","57.17","58.75","58.93","57.03","2.95M","-2.72%"
"Sep 05, 2019","58.77","58.44","59.02","58.06","2.02M","1.22%"
"Sep 04, 2019","58.06","57.98","58.37","57.65","1.86M","0.73%"
"Sep 03, 2019","57.64","58.12","58.22","57.35","2.54M","-1.76%"
"Aug 30, 2019","58.67","58.05","58.83","58.05","2.21M","1.84%"
"Aug 29, 2019","57.61","58.64","58.65","57.50","2.05M","-0.81%"
"Aug 28, 2019","58.08","57.07","58.46","56.73","3.20M","2.67%"
"Aug 27, 2019","56.57","56.86","57.13","56.05","2.27M","-0.14%"
"Aug 26, 2019","56.65","56.52","56.74","55.99","1.68M","1.02%"
"Aug 23, 2019","56.08","57.18","57.66","55.85","2.58M","-1.94%"
"Aug 22, 2019","57.19","57.99","58.06","56.72","2.38M","-1.45%"
"Aug 21, 2019","58.03","58.35","58.48","57.82","1.73M","0.33%"
"Aug 20, 2019","57.84","57.57","58.21","57.07","2.08M","0.07%"
"Aug 19, 2019","57.80","57.95","58.21","57.40","2.45M","1.08%"
"Aug 16, 2019","57.18","57.41","57.69","56.66","1.87M","0.40%"
"Aug 15, 2019","56.95","56.64","57.32","56.12","3.06M","1.50%"
"Aug 14, 2019","56.11","57.34","57.71","55.99","2.61M","-3.33%"
"Aug 13, 2019","58.04","56.02","58.30","56.00","3.50M","2.76%"
"Aug 12, 2019","56.48","59.02","59.05","56.31","5.28M","-4.64%"
"Aug 09, 2019","59.23","61.73","61.80","59.11","5.25M","-4.74%"
"Aug 08, 2019","62.18","54.90","62.37","53.81","12.25M","2.96%"
"Aug 07, 2019","60.39","59.59","60.63","58.97","5.49M","0.35%"
"Aug 06, 2019","60.18","59.00","60.57","58.57","6.56M","2.07%"
"Aug 05, 2019","58.96","63.14","63.14","58.84","5.39M","-5.50%"
"Aug 02, 2019","62.39","63.62","63.73","62.21","2.93M","-1.69%"
"Aug 01, 2019","63.46","64.79","65.33","63.29","2.88M","-1.57%"
"Jul 31, 2019","64.47","65.33","65.44","63.72","2.71M","-1.59%"
"Jul 30, 2019","65.51","65.16","65.68","65.05","2.10M","0.18%"
"Jul 29, 2019","65.39","65.23","65.71","65.15","2.19M","0.29%"
"Jul 26, 2019","65.20","64.47","65.43","63.99","1.71M","1.62%"
"Jul 25, 2019","64.16","64.63","65.07","64.03","1.35M","-0.90%"
"Jul 24, 2019","64.74","64.28","65.07","64.10","1.78M","1.00%"
"Jul 23, 2019","64.10","64.10","64.38","62.95","2.53M","0.90%"
"Jul 22, 2019","63.53","63.27","64.30","63.01","1.89M","0.43%"
"Jul 19, 2019","63.26","64.75","64.75","62.78","3.87M","-2.63%"
"Jul 18, 2019","64.97","65.87","65.94","64.90","2.02M","-1.17%"
"Jul 17, 2019","65.74","65.30","65.88","65.20","1.69M","-0.08%"
"Jul 16, 2019","65.79","65.10","65.86","65.03","2.15M","0.81%"
"Jul 15, 2019","65.26","65.22","65.70","65.03","1.37M","0.40%"
"Jul 12, 2019","65.00","64.88","65.24","64.39","1.61M","0.31%"
