"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","56.50","56.47","57.69","56.09","2.78M","-3.60%"
"Oct 22, 2019","58.61","58.81","59.02","58.32","1.18M","0.15%"
"Oct 21, 2019","58.52","58.33","58.60","57.96","1.42M","1.33%"
"Oct 18, 2019","57.75","58.01","58.37","57.40","1.01M","-0.67%"
"Oct 17, 2019","58.14","58.22","58.52","57.53","659.25K","0.69%"
"Oct 16, 2019","57.74","58.05","58.72","57.51","1.21M","-1.30%"
"Oct 15, 2019","58.50","57.78","58.70","57.75","1.02M","1.42%"
"Oct 14, 2019","57.68","57.71","57.77","57.26","984.27K","-0.10%"
"Oct 11, 2019","57.74","57.75","58.68","57.69","1.82M","1.46%"
"Oct 10, 2019","56.91","56.48","57.37","56.01","819.42K","1.10%"
"Oct 09, 2019","56.29","56.20","56.65","55.86","870.73K","1.48%"
"Oct 08, 2019","55.47","56.33","56.38","55.00","1.20M","-2.55%"
"Oct 07, 2019","56.92","57.41","57.53","56.90","992.77K","-1.08%"
"Oct 04, 2019","57.54","56.71","57.59","56.71","999.12K","1.77%"
"Oct 03, 2019","56.54","55.96","56.78","55.02","1.31M","1.33%"
"Oct 02, 2019","55.80","56.49","56.77","55.38","1.31M","-1.81%"
"Oct 01, 2019","56.83","58.04","59.06","56.63","1.44M","-1.86%"
"Sep 30, 2019","57.91","57.63","57.96","57.14","1.17M","1.21%"
"Sep 27, 2019","57.22","56.90","58.27","56.83","1.58M","-1.95%"
"Sep 26, 2019","58.36","58.70","58.99","58.15","940.25K","-0.65%"
"Sep 25, 2019","58.74","56.72","58.95","56.71","1.40M","2.78%"
"Sep 24, 2019","57.15","58.21","58.53","56.83","1.67M","-1.36%"
"Sep 23, 2019","57.94","57.05","58.36","56.62","1.47M","1.74%"
"Sep 20, 2019","56.95","58.00","58.32","56.76","3.18M","-2.62%"
"Sep 19, 2019","58.48","59.00","59.25","58.44","1.17M","-0.53%"
"Sep 18, 2019","58.79","58.67","58.91","58.08","1.46M","0.15%"
"Sep 17, 2019","58.70","58.95","58.95","58.29","1.44M","-0.51%"
"Sep 16, 2019","59.00","58.98","59.23","58.32","1.48M","-0.99%"
"Sep 13, 2019","59.59","60.23","60.35","59.55","1.48M","-0.32%"
"Sep 12, 2019","59.78","60.00","60.21","59.45","1.74M","0.02%"
"Sep 11, 2019","59.77","58.52","59.80","58.14","2.47M","2.45%"
"Sep 10, 2019","58.34","57.28","58.34","56.74","2.14M","1.32%"
"Sep 09, 2019","57.58","57.42","57.87","57.16","1.09M","1.16%"
"Sep 06, 2019","56.92","56.87","57.30","56.60","1.54M","0.48%"
"Sep 05, 2019","56.65","56.32","57.34","56.32","1.93M","2.20%"
"Sep 04, 2019","55.43","54.62","55.53","54.55","1.84M","3.13%"
"Sep 03, 2019","53.75","53.85","54.01","53.03","1.75M","-1.45%"
"Aug 30, 2019","54.54","54.61","54.85","54.27","1.98M","1.11%"
"Aug 29, 2019","53.94","53.57","54.16","53.44","2.23M","2.24%"
"Aug 28, 2019","52.76","52.05","52.91","51.68","1.25M","0.00%"
"Aug 27, 2019","52.76","53.11","53.31","52.35","1.78M","0.40%"
"Aug 26, 2019","52.55","53.07","53.07","52.27","1.72M","0.77%"
"Aug 23, 2019","52.15","54.26","54.37","51.91","3.20M","-4.50%"
"Aug 22, 2019","54.61","55.03","55.24","54.14","1.43M","-0.60%"
"Aug 21, 2019","54.94","54.92","55.10","54.57","1.11M","0.99%"
"Aug 20, 2019","54.40","54.50","54.77","54.14","1.18M","-0.53%"
"Aug 19, 2019","54.69","55.33","55.60","54.44","2.07M","1.07%"
"Aug 16, 2019","54.11","53.02","54.29","52.74","2.00M","3.15%"
"Aug 15, 2019","52.46","52.43","52.88","52.10","2.12M","0.46%"
"Aug 14, 2019","52.22","52.76","53.29","52.16","1.90M","-3.35%"
"Aug 13, 2019","54.03","52.98","55.10","52.52","2.00M","1.77%"
"Aug 12, 2019","53.09","53.48","53.99","52.91","1.23M","-1.50%"
"Aug 09, 2019","53.90","54.81","55.05","53.52","1.39M","-2.60%"
"Aug 08, 2019","55.34","54.54","55.40","53.83","1.68M","2.35%"
"Aug 07, 2019","54.07","53.41","54.19","53.09","1.68M","-0.06%"
"Aug 06, 2019","54.10","54.29","54.97","53.49","1.97M","0.93%"
"Aug 05, 2019","53.60","54.51","54.92","53.33","2.84M","-4.11%"
"Aug 02, 2019","55.90","56.68","57.08","55.73","2.53M","-1.95%"
"Aug 01, 2019","57.01","59.30","60.17","56.00","3.63M","-3.68%"
"Jul 31, 2019","59.19","62.15","62.92","59.17","4.02M","-7.70%"
"Jul 30, 2019","64.13","63.87","64.58","63.79","1.86M","-0.62%"
"Jul 29, 2019","64.53","64.35","64.84","63.97","1.30M","-0.06%"
"Jul 26, 2019","64.57","64.70","64.89","64.39","1.11M","0.70%"
"Jul 25, 2019","64.12","64.89","64.99","63.82","1.43M","-1.87%"
"Jul 24, 2019","65.34","64.17","65.73","64.00","2.20M","2.57%"
"Jul 23, 2019","63.70","63.00","63.71","62.76","1.31M","1.47%"
"Jul 22, 2019","62.78","62.21","63.00","62.15","968.46K","1.13%"
"Jul 19, 2019","62.08","62.36","62.72","62.02","1.04M","-0.13%"
"Jul 18, 2019","62.16","61.32","62.37","61.29","1.07M","1.64%"
"Jul 17, 2019","61.16","61.75","61.79","61.06","1.25M","-0.59%"
"Jul 16, 2019","61.52","62.04","62.06","61.03","1.26M","-1.17%"
"Jul 15, 2019","62.25","62.12","62.59","61.85","859.45K","0.34%"
"Jul 12, 2019","62.04","61.49","62.07","61.47","1.06M","1.12%"
"Jul 11, 2019","61.35","61.43","61.46","60.61","1.14M","0.38%"
"Jul 10, 2019","61.12","61.07","61.81","60.72","1.13M","0.91%"
