"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","270.85","272.76","274.36","268.98","892.54K","-1.24%"
"Oct 22, 2019","274.26","283.23","285.19","272.89","773.70K","-2.53%"
"Oct 21, 2019","281.38","290.11","291.00","280.98","562.33K","-1.63%"
"Oct 18, 2019","286.03","288.97","291.31","284.85","659.37K","-0.98%"
"Oct 17, 2019","288.85","294.07","295.00","286.51","707.88K","-2.01%"
"Oct 16, 2019","294.77","284.30","295.00","283.19","1.41M","2.96%"
"Oct 15, 2019","286.29","277.42","287.00","277.25","1.18M","3.51%"
"Oct 14, 2019","276.59","266.44","279.41","265.50","795.70K","2.90%"
"Oct 11, 2019","268.79","263.88","274.20","262.00","812.59K","3.80%"
"Oct 10, 2019","258.96","257.34","261.29","255.42","551.55K","0.99%"
"Oct 09, 2019","256.41","255.72","258.38","253.75","451.00K","0.70%"
"Oct 08, 2019","254.64","260.75","261.88","252.94","815.62K","-3.69%"
"Oct 07, 2019","264.39","263.49","266.44","262.18","545.66K","0.29%"
"Oct 04, 2019","263.63","263.37","265.67","262.02","548.69K","0.25%"
"Oct 03, 2019","262.97","261.48","265.37","259.35","649.57K","1.08%"
"Oct 02, 2019","260.15","262.00","263.97","257.19","594.22K","-0.99%"
"Oct 01, 2019","262.75","266.04","267.60","255.34","702.79K","-1.29%"
"Sep 30, 2019","266.18","263.37","275.67","263.01","1.23M","2.11%"
"Sep 27, 2019","260.69","273.35","277.90","255.60","1.63M","-4.63%"
"Sep 26, 2019","273.35","265.91","275.44","265.00","546.15K","3.03%"
"Sep 25, 2019","265.32","260.96","266.50","258.93","629.75K","0.84%"
"Sep 24, 2019","263.10","269.10","269.10","260.60","380.03K","-1.35%"
"Sep 23, 2019","266.70","267.15","268.44","265.34","571.70K","-1.02%"
"Sep 20, 2019","269.44","270.16","274.18","268.03","619.38K","-0.66%"
"Sep 19, 2019","271.23","269.48","275.33","269.15","643.44K","0.45%"
"Sep 18, 2019","270.02","271.11","271.93","266.42","472.76K","-0.05%"
"Sep 17, 2019","270.16","270.89","271.95","265.73","619.73K","-0.08%"
"Sep 16, 2019","270.38","272.16","274.42","269.23","489.81K","-1.78%"
"Sep 13, 2019","275.27","274.02","278.29","272.39","528.65K","0.63%"
"Sep 12, 2019","273.54","277.30","278.21","272.62","395.40K","-0.78%"
"Sep 11, 2019","275.68","273.17","277.71","270.43","542.23K","1.09%"
"Sep 10, 2019","272.72","278.17","279.98","269.90","733.70K","-2.72%"
"Sep 09, 2019","280.34","279.00","282.15","278.34","584.03K","0.55%"
"Sep 06, 2019","278.81","272.00","282.23","271.63","1.24M","2.86%"
"Sep 05, 2019","271.06","270.90","273.50","268.52","672.03K","1.00%"
"Sep 04, 2019","268.38","262.33","274.55","262.16","1.08M","3.85%"
"Sep 03, 2019","258.43","253.88","259.67","250.37","811.43K","1.35%"
"Aug 30, 2019","255.00","254.85","255.79","252.01","869.02K","0.52%"
"Aug 29, 2019","253.68","253.78","256.00","251.46","596.69K","1.27%"
"Aug 28, 2019","250.49","255.00","256.00","249.66","524.50K","-2.36%"
"Aug 27, 2019","256.54","251.69","257.26","251.29","845.20K","3.06%"
"Aug 26, 2019","248.93","249.71","250.39","245.81","913.83K","0.69%"
"Aug 23, 2019","247.23","245.80","248.71","243.90","590.40K","0.05%"
"Aug 22, 2019","247.11","253.51","253.51","246.67","539.03K","-2.47%"
"Aug 21, 2019","253.36","252.45","256.58","251.04","544.96K","1.71%"
"Aug 20, 2019","249.11","253.48","257.55","248.91","775.51K","-5.01%"
"Aug 19, 2019","262.25","262.11","262.88","257.35","576.83K","1.46%"
"Aug 16, 2019","258.48","257.62","259.58","252.11","787.32K","1.48%"
"Aug 15, 2019","254.72","262.23","262.23","250.17","1.01M","-2.83%"
"Aug 14, 2019","262.13","253.00","264.74","252.81","1.58M","0.49%"
"Aug 13, 2019","260.85","235.51","261.80","235.38","1.90M","10.93%"
"Aug 12, 2019","235.14","236.87","238.99","235.01","777.01K","-3.19%"
"Aug 09, 2019","242.90","235.65","246.11","235.34","1.31M","2.05%"
"Aug 08, 2019","238.02","230.00","244.97","227.15","2.04M","10.26%"
"Aug 07, 2019","215.87","211.00","217.36","209.47","773.60K","1.50%"
"Aug 06, 2019","212.67","216.37","217.61","212.16","919.09K","0.37%"
"Aug 05, 2019","211.88","212.71","215.22","209.01","1.01M","-3.56%"
"Aug 02, 2019","219.70","221.73","224.74","215.31","916.46K","-2.33%"
"Aug 01, 2019","224.94","232.49","235.96","222.02","703.65K","-2.55%"
"Jul 31, 2019","230.82","232.64","234.18","226.06","548.59K","-0.84%"
"Jul 30, 2019","232.78","230.50","236.38","228.00","585.55K","0.85%"
"Jul 29, 2019","230.82","238.36","238.76","230.36","913.21K","-3.41%"
"Jul 26, 2019","238.96","243.04","243.25","237.88","504.03K","-0.47%"
"Jul 25, 2019","240.08","245.48","245.48","235.31","528.95K","-2.07%"
"Jul 24, 2019","245.16","245.24","247.57","244.04","343.45K","0.04%"
"Jul 23, 2019","245.06","243.10","246.94","243.10","375.00K","0.86%"
"Jul 22, 2019","242.96","246.01","246.18","241.80","407.56K","-0.34%"
"Jul 19, 2019","243.78","250.79","252.50","243.43","642.36K","-1.70%"
"Jul 18, 2019","247.99","251.86","251.91","247.76","657.85K","-1.77%"
"Jul 17, 2019","252.47","257.07","257.24","250.54","416.86K","-2.66%"
"Jul 16, 2019","259.38","257.22","260.74","256.42","307.69K","1.23%"
"Jul 15, 2019","256.24","261.17","262.24","256.08","406.32K","-1.40%"
"Jul 12, 2019","259.87","264.79","267.10","259.34","361.87K","-1.34%"
"Jul 11, 2019","263.39","263.90","264.00","260.01","317.09K","0.29%"
"Jul 10, 2019","262.62","261.39","264.60","259.14","377.11K","1.97%"
"Jul 09, 2019","257.55","254.49","258.53","254.08","299.96K","-0.09%"
