"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","195.09","192.27","195.62","191.10","7.14M","-0.27%"
"Oct 22, 2019","195.61","198.30","202.53","195.30","8.43M","-0.20%"
"Oct 21, 2019","196.01","192.96","196.55","192.20","6.67M","2.90%"
"Oct 18, 2019","190.49","194.31","195.62","187.50","7.69M","-1.96%"
"Oct 17, 2019","194.29","196.00","197.81","192.10","6.61M","0.04%"
"Oct 16, 2019","194.21","195.00","199.22","193.75","10.82M","-1.10%"
"Oct 15, 2019","196.37","190.16","199.29","189.60","16.70M","5.28%"
"Oct 14, 2019","186.53","185.64","187.37","184.38","5.26M","0.29%"
"Oct 11, 2019","185.99","186.41","189.34","185.65","11.27M","1.62%"
"Oct 10, 2019","183.03","180.62","185.08","180.41","8.19M","1.28%"
"Oct 09, 2019","180.71","180.32","182.70","179.16","7.70M","1.96%"
"Oct 08, 2019","177.23","180.64","180.64","176.50","11.23M","-3.85%"
"Oct 07, 2019","184.33","184.58","188.34","184.23","12.21M","1.30%"
"Oct 04, 2019","181.97","181.40","183.15","178.78","6.70M","0.36%"
"Oct 03, 2019","181.31","173.22","181.56","172.00","11.57M","4.78%"
"Oct 02, 2019","173.04","173.12","173.60","170.13","7.39M","-0.55%"
"Oct 01, 2019","174.00","175.00","181.00","173.81","9.19M","-0.04%"
"Sep 30, 2019","174.07","172.80","174.48","171.54","4.83M","1.34%"
"Sep 27, 2019","171.76","175.66","177.70","169.32","9.15M","-3.15%"
"Sep 26, 2019","177.34","177.84","178.19","175.29","5.95M","-0.50%"
"Sep 25, 2019","178.23","172.51","179.02","170.71","7.83M","3.30%"
"Sep 24, 2019","172.53","176.10","177.29","171.10","8.03M","-1.32%"
"Sep 23, 2019","174.84","172.70","176.67","172.55","6.40M","1.25%"
"Sep 20, 2019","172.69","176.90","177.85","172.28","8.93M","-2.40%"
"Sep 19, 2019","176.94","180.22","180.96","176.51","6.41M","-1.69%"
"Sep 18, 2019","179.98","180.79","181.42","176.50","6.60M","-0.60%"
"Sep 17, 2019","181.07","180.48","181.24","178.61","5.71M","0.48%"
"Sep 16, 2019","180.21","178.92","181.60","178.50","5.80M","-0.95%"
"Sep 13, 2019","181.94","181.59","183.08","180.18","8.11M","-1.26%"
"Sep 12, 2019","184.27","186.20","188.40","183.95","8.20M","-0.03%"
"Sep 11, 2019","184.33","183.77","186.27","182.60","9.04M","0.63%"
"Sep 10, 2019","183.18","179.18","184.25","178.79","8.82M","1.48%"
"Sep 09, 2019","180.50","179.90","183.98","179.84","10.44M","1.04%"
"Sep 06, 2019","178.65","178.80","181.09","177.12","9.42M","-0.61%"
"Sep 05, 2019","179.74","172.87","179.99","172.80","17.41M","6.51%"
"Sep 04, 2019","168.76","166.61","169.06","166.61","5.70M","2.80%"
"Sep 03, 2019","164.17","164.58","165.91","163.25","7.41M","-1.99%"
"Aug 30, 2019","167.51","168.86","170.86","166.78","7.27M","0.31%"
"Aug 29, 2019","167.00","164.90","168.30","164.76","8.96M","3.59%"
"Aug 28, 2019","161.22","160.58","163.34","159.00","6.40M","-0.36%"
"Aug 27, 2019","161.80","166.99","167.10","160.62","7.29M","-2.21%"
"Aug 26, 2019","165.45","165.61","166.58","163.91","7.96M","1.85%"
"Aug 23, 2019","162.44","168.40","170.59","161.64","14.24M","-5.27%"
"Aug 22, 2019","171.48","171.62","173.33","169.90","7.59M","0.15%"
"Aug 21, 2019","171.23","170.53","173.45","169.66","10.70M","2.00%"
"Aug 20, 2019","167.87","170.56","170.58","167.02","11.59M","-1.70%"
"Aug 19, 2019","170.78","164.12","171.42","163.47","20.41M","7.03%"
"Aug 16, 2019","159.56","159.35","161.54","156.88","25.38M","7.25%"
"Aug 15, 2019","148.77","150.83","151.63","147.39","13.86M","-0.87%"
"Aug 14, 2019","150.07","152.50","152.95","148.31","10.50M","-3.83%"
"Aug 13, 2019","156.05","151.39","157.90","149.82","9.01M","3.04%"
"Aug 12, 2019","151.45","152.08","154.18","150.57","6.98M","-1.77%"
"Aug 09, 2019","154.18","156.61","156.75","152.15","8.55M","-2.58%"
"Aug 08, 2019","158.26","156.21","158.31","153.90","7.73M","2.84%"
"Aug 07, 2019","153.89","149.90","154.37","149.20","9.31M","1.01%"
"Aug 06, 2019","152.35","153.80","155.63","150.43","9.03M","1.03%"
"Aug 05, 2019","150.79","153.80","153.85","148.90","14.73M","-6.45%"
"Aug 02, 2019","161.19","161.19","163.98","159.28","10.71M","-2.26%"
"Aug 01, 2019","164.92","169.14","172.78","162.82","10.53M","-2.25%"
"Jul 31, 2019","168.72","174.18","174.22","167.02","8.99M","-3.84%"
"Jul 30, 2019","175.45","172.95","175.94","172.37","4.94M","0.36%"
"Jul 29, 2019","174.82","174.78","175.47","171.27","6.20M","-0.14%"
"Jul 26, 2019","175.07","174.47","176.95","174.47","6.85M","0.97%"
"Jul 25, 2019","173.38","176.99","177.50","172.44","9.82M","-2.96%"
"Jul 24, 2019","178.66","177.40","178.89","174.34","9.16M","1.71%"
"Jul 23, 2019","175.66","172.90","175.74","172.27","10.70M","2.53%"
"Jul 22, 2019","171.32","169.30","171.84","169.00","7.90M","1.71%"
"Jul 19, 2019","168.44","171.72","171.98","168.20","8.62M","-1.02%"
"Jul 18, 2019","170.18","170.12","172.71","167.85","11.08M","0.28%"
"Jul 17, 2019","169.71","167.15","169.99","165.97","8.71M","1.57%"
"Jul 16, 2019","167.08","166.67","168.17","164.84","8.54M","-0.11%"
"Jul 15, 2019","167.27","168.46","169.11","166.13","7.25M","-0.20%"
"Jul 12, 2019","167.61","167.40","170.47","167.40","12.66M","0.80%"
"Jul 11, 2019","166.28","163.00","167.92","161.50","17.06M","3.89%"
"Jul 10, 2019","160.06","159.06","162.37","158.50","11.30M","1.75%"
"Jul 09, 2019","157.31","155.51","158.44","155.00","8.57M","0.06%"
"Jul 08, 2019","157.21","157.83","158.59","156.00","8.24M","-1.88%"
"Jul 05, 2019","160.23","160.40","160.58","157.68","9.91M","-1.55%"
"Jul 03, 2019","162.75","163.17","163.40","160.34","6.17M","0.32%"
"Jul 02, 2019","162.23","165.50","166.35","161.70","10.01M","-2.37%"
"Jul 01, 2019","166.17","172.57","173.95","164.66","17.79M","1.18%"
"Jun 28, 2019","164.23","165.00","165.37","162.35","9.94M","0.61%"
"Jun 27, 2019","163.23","162.71","164.00","161.26","11.14M","2.49%"
"Jun 26, 2019","159.26","156.61","161.72","156.09","14.60M","5.14%"
"Jun 25, 2019","151.48","152.86","155.88","151.37","7.80M","-0.77%"
"Jun 24, 2019","152.66","152.62","153.85","150.72","7.07M","0.59%"
"Jun 21, 2019","151.76","153.50","155.48","151.50","10.86M","-1.52%"
"Jun 20, 2019","154.10","156.77","157.33","153.52","8.75M","0.64%"
"Jun 19, 2019","153.12","154.30","154.76","152.07","8.29M","0.16%"
"Jun 18, 2019","152.88","147.50","155.11","147.06","14.55M","5.41%"
"Jun 17, 2019","145.03","144.57","146.52","143.65","6.90M","0.27%"
"Jun 14, 2019","144.64","144.51","145.49","142.84","9.86M","-2.44%"
"Jun 13, 2019","148.26","147.09","149.00","146.38","7.70M","1.41%"
"Jun 12, 2019","146.20","149.00","149.25","145.59","8.97M","-3.02%"
"Jun 11, 2019","150.75","150.84","152.36","149.16","9.60M","1.56%"
"Jun 10, 2019","148.43","147.76","151.19","147.76","10.07M","2.01%"
