"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","103.21","105.02","105.02","101.90","5.87M","-4.24%"
"Oct 22, 2019","107.78","110.19","110.45","107.67","2.19M","-2.00%"
"Oct 21, 2019","109.98","109.77","110.34","108.67","1.81M","0.89%"
"Oct 18, 2019","109.01","109.70","110.42","108.48","1.93M","-0.73%"
"Oct 17, 2019","109.81","110.01","110.51","108.56","2.13M","1.10%"
"Oct 16, 2019","108.61","111.37","112.42","108.52","3.01M","-3.00%"
"Oct 15, 2019","111.97","111.17","112.47","110.60","1.90M","0.66%"
"Oct 14, 2019","111.24","109.86","111.55","109.44","2.18M","0.43%"
"Oct 11, 2019","110.76","108.81","112.24","108.81","4.08M","3.27%"
"Oct 10, 2019","107.25","106.37","108.29","105.85","2.45M","1.22%"
"Oct 09, 2019","105.96","106.21","106.62","104.75","2.10M","2.13%"
"Oct 08, 2019","103.75","106.67","107.42","103.63","3.64M","-3.93%"
"Oct 07, 2019","107.99","109.38","110.34","107.81","1.69M","-1.72%"
"Oct 04, 2019","109.88","107.56","109.98","107.16","1.72M","2.39%"
"Oct 03, 2019","107.32","107.08","107.41","104.64","3.06M","0.58%"
"Oct 02, 2019","106.70","108.40","109.23","106.39","2.97M","-2.08%"
"Oct 01, 2019","108.97","111.64","113.50","108.27","4.62M","-0.14%"
"Sep 30, 2019","109.12","107.59","109.38","106.61","2.60M","2.43%"
"Sep 27, 2019","106.53","108.17","108.73","105.42","2.81M","-1.73%"
"Sep 26, 2019","108.41","108.37","109.82","107.84","3.25M","0.18%"
"Sep 25, 2019","108.22","104.14","108.38","102.83","3.07M","4.16%"
"Sep 24, 2019","103.90","106.31","107.20","103.66","2.01M","-2.03%"
"Sep 23, 2019","106.05","104.80","107.01","104.31","1.75M","1.19%"
"Sep 20, 2019","104.80","108.46","108.94","104.49","3.35M","-3.29%"
"Sep 19, 2019","108.36","108.14","109.08","107.92","1.43M","0.50%"
"Sep 18, 2019","107.82","107.25","108.92","106.40","1.26M","0.06%"
"Sep 17, 2019","107.76","106.73","107.98","106.31","1.49M","0.18%"
"Sep 16, 2019","107.57","109.24","109.93","107.38","1.98M","-2.85%"
"Sep 13, 2019","110.73","109.62","111.42","108.83","1.75M","0.64%"
"Sep 12, 2019","110.03","110.40","112.06","109.77","3.03M","0.03%"
"Sep 11, 2019","110.00","107.63","110.53","107.60","3.42M","1.98%"
"Sep 10, 2019","107.86","106.56","108.96","105.91","3.37M","0.44%"
"Sep 09, 2019","107.39","106.50","108.49","104.80","2.93M","1.49%"
"Sep 06, 2019","105.81","105.64","105.99","104.54","1.42M","-0.18%"
"Sep 05, 2019","106.00","102.66","106.79","102.65","3.28M","4.07%"
"Sep 04, 2019","101.85","100.28","102.10","100.18","1.94M","2.70%"
