"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","400.53","400.40","401.74","397.45","657.89K","0.03%"
"Oct 22, 2019","400.40","402.90","405.06","400.15","436.80K","-0.51%"
"Oct 21, 2019","402.47","406.35","407.40","400.23","475.28K","-0.18%"
"Oct 18, 2019","403.20","404.97","404.97","401.36","466.97K","-0.98%"
"Oct 17, 2019","407.17","407.32","409.67","403.12","435.23K","-0.14%"
"Oct 16, 2019","407.75","402.49","410.10","401.41","461.84K","0.99%"
"Oct 15, 2019","403.75","401.66","405.32","400.00","451.07K","0.59%"
"Oct 14, 2019","401.39","401.21","402.78","399.73","271.83K","0.01%"
"Oct 11, 2019","401.35","401.65","405.75","400.19","291.54K","0.64%"
"Oct 10, 2019","398.80","393.73","399.49","390.98","257.85K","0.88%"
"Oct 09, 2019","395.33","391.35","396.84","389.85","341.97K","1.99%"
"Oct 08, 2019","387.63","385.40","390.43","383.77","403.98K","-0.34%"
"Oct 07, 2019","388.95","390.04","392.38","387.86","280.05K","-0.43%"
"Oct 04, 2019","390.62","387.41","390.88","385.51","325.31K","0.84%"
"Oct 03, 2019","387.35","391.00","391.80","385.01","334.39K","-0.79%"
"Oct 02, 2019","390.44","398.66","399.42","387.01","553.82K","-2.55%"
"Oct 01, 2019","400.67","400.04","402.57","398.72","399.59K","0.54%"
"Sep 30, 2019","398.51","394.77","400.24","394.77","405.45K","1.02%"
"Sep 27, 2019","394.48","397.69","399.50","392.14","269.35K","-0.42%"
"Sep 26, 2019","396.16","394.27","397.99","391.95","278.09K","0.35%"
"Sep 25, 2019","394.78","395.18","396.06","391.57","414.75K","0.03%"
"Sep 24, 2019","394.67","399.79","404.17","391.98","562.62K","-0.81%"
"Sep 23, 2019","397.88","397.14","403.65","397.14","669.82K","-0.25%"
"Sep 20, 2019","398.86","392.80","403.50","391.57","1.29M","2.29%"
"Sep 19, 2019","389.93","390.49","396.83","389.17","470.09K","-0.14%"
"Sep 18, 2019","390.49","392.23","395.59","385.80","439.75K","-0.28%"
"Sep 17, 2019","391.57","379.49","391.77","378.24","614.27K","2.93%"
"Sep 16, 2019","380.44","389.86","391.53","379.87","626.15K","-2.66%"
"Sep 13, 2019","390.85","391.00","394.65","389.56","636.46K","-0.77%"
"Sep 12, 2019","393.90","406.00","407.49","393.73","599.69K","-2.69%"
"Sep 11, 2019","404.77","407.72","408.85","402.27","440.72K","-0.71%"
"Sep 10, 2019","407.68","402.05","409.17","398.03","698.82K","1.26%"
"Sep 09, 2019","402.62","401.24","403.00","398.68","548.49K","0.72%"
"Sep 06, 2019","399.73","398.47","403.75","398.12","417.75K","0.79%"
