"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","84.07","83.18","84.08","83.09","1.51M","0.96%"
"Oct 22, 2019","83.27","84.81","85.26","83.17","1.13M","-1.67%"
"Oct 21, 2019","84.68","84.81","84.81","83.83","1.16M","0.51%"
"Oct 18, 2019","84.25","84.99","85.40","84.00","1.57M","-0.57%"
"Oct 17, 2019","84.73","84.85","85.41","84.51","1.09M","-0.02%"
"Oct 16, 2019","84.75","84.28","84.85","84.00","1.16M","-0.13%"
"Oct 15, 2019","84.86","84.72","85.00","84.32","1.02M","0.20%"
"Oct 14, 2019","84.69","84.56","85.00","84.51","1.13M","0.07%"
"Oct 11, 2019","84.63","84.89","85.42","84.56","1.37M","0.82%"
"Oct 10, 2019","83.94","82.99","84.22","82.81","1.07M","1.01%"
"Oct 09, 2019","83.10","82.17","83.43","82.17","1.33M","1.24%"
"Oct 08, 2019","82.08","82.62","83.08","81.78","1.35M","-1.02%"
"Oct 07, 2019","82.93","83.84","84.08","82.89","1.49M","-1.68%"
"Oct 04, 2019","84.35","83.01","84.49","82.68","1.80M","2.17%"
"Oct 03, 2019","82.56","83.14","83.35","80.00","2.21M","-0.95%"
"Oct 02, 2019","83.35","82.80","83.90","81.33","3.87M","1.78%"
"Oct 01, 2019","81.89","83.15","83.60","81.65","1.85M","-1.06%"
"Sep 30, 2019","82.77","81.95","82.89","81.55","1.65M","1.53%"
"Sep 27, 2019","81.52","83.00","83.50","80.95","1.54M","-1.27%"
"Sep 26, 2019","82.57","82.32","82.87","81.98","938.42K","0.38%"
"Sep 25, 2019","82.26","81.71","82.67","80.66","1.40M","0.72%"
"Sep 24, 2019","81.67","82.45","83.26","81.45","1.58M","-0.64%"
"Sep 23, 2019","82.20","82.66","82.86","82.07","1.40M","-0.41%"
"Sep 20, 2019","82.54","82.58","83.49","82.46","2.50M","0.05%"
"Sep 19, 2019","82.50","82.85","83.63","82.37","1.13M","-0.33%"
"Sep 18, 2019","82.77","82.56","82.87","81.56","1.35M","0.27%"
"Sep 17, 2019","82.55","81.51","82.57","81.50","1.31M","1.84%"
"Sep 16, 2019","81.06","81.41","81.99","80.87","1.47M","-0.69%"
"Sep 13, 2019","81.62","81.70","82.58","81.27","2.43M","-0.09%"
"Sep 12, 2019","81.69","81.72","82.72","81.54","1.80M","0.54%"
"Sep 11, 2019","81.25","80.74","81.44","80.10","1.88M","0.63%"
"Sep 10, 2019","80.74","81.21","81.50","78.81","3.05M","-1.31%"
"Sep 09, 2019","81.81","84.30","84.47","81.13","1.82M","-2.69%"
"Sep 06, 2019","84.07","83.88","84.49","83.85","1.26M","0.32%"
"Sep 05, 2019","83.80","83.21","83.91","82.90","1.79M","1.71%"
"Sep 04, 2019","82.39","81.75","82.49","81.67","1.37M","1.72%"
"Sep 03, 2019","81.00","81.09","82.05","80.70","1.45M","-0.86%"
"Aug 30, 2019","81.70","82.38","82.41","81.28","1.27M","-0.20%"
"Aug 29, 2019","81.86","81.96","82.31","81.61","794.95K","1.02%"
"Aug 28, 2019","81.03","80.27","81.14","79.95","973.98K","0.46%"
"Aug 27, 2019","80.66","80.92","81.22","80.46","947.93K","0.26%"
"Aug 26, 2019","80.45","80.58","80.75","79.66","1.31M","0.92%"
"Aug 23, 2019","79.72","82.10","82.43","79.37","1.71M","-3.06%"
"Aug 22, 2019","82.24","82.92","82.92","81.25","1.25M","-0.34%"
"Aug 21, 2019","82.52","82.37","82.78","82.20","998.05K","0.70%"
"Aug 20, 2019","81.95","82.34","82.67","81.79","790.75K","-0.41%"
"Aug 19, 2019","82.29","82.46","82.52","81.89","1.04M","1.01%"
"Aug 16, 2019","81.47","80.82","81.67","80.60","1.73M","1.72%"
"Aug 15, 2019","80.09","79.78","80.86","79.65","2.07M","-1.20%"
"Aug 14, 2019","81.06","82.68","82.95","80.97","1.69M","-3.19%"
"Aug 13, 2019","83.73","82.90","83.88","82.58","1.33M","1.12%"
"Aug 12, 2019","82.80","83.41","83.59","82.34","1.11M","-0.90%"
"Aug 09, 2019","83.55","84.21","84.28","82.71","1.35M","-1.02%"
"Aug 08, 2019","84.41","82.61","84.41","81.24","1.46M","2.63%"
"Aug 07, 2019","82.25","81.23","82.59","80.66","2.31M","-0.02%"
"Aug 06, 2019","82.27","81.05","82.60","80.64","2.22M","1.72%"
"Aug 05, 2019","80.88","82.73","83.06","80.36","2.56M","-3.63%"
"Aug 02, 2019","83.93","83.36","84.47","83.00","1.87M","0.06%"
"Aug 01, 2019","83.88","83.12","84.47","82.80","2.22M","1.00%"
"Jul 31, 2019","83.05","86.01","86.29","82.30","2.84M","-3.59%"
"Jul 30, 2019","86.14","85.83","86.74","85.75","2.18M","-0.10%"
"Jul 29, 2019","86.23","86.60","86.73","86.18","1.31M","-0.40%"
"Jul 26, 2019","86.58","85.81","86.65","85.59","1.11M","1.36%"
"Jul 25, 2019","85.42","85.10","85.58","84.56","1.73M","0.44%"
"Jul 24, 2019","85.05","84.50","85.08","83.75","1.62M","0.51%"
"Jul 23, 2019","84.62","84.44","84.96","83.65","2.01M","0.63%"
"Jul 22, 2019","84.09","84.65","85.05","84.06","1.73M","-0.56%"
