"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","75.11","75.60","75.97","74.31","2.96M","-1.65%"
"Oct 22, 2019","76.37","74.05","76.39","73.00","4.28M","4.62%"
"Oct 21, 2019","73.00","72.54","74.45","72.49","3.51M","1.35%"
"Oct 18, 2019","72.03","70.87","72.42","70.30","2.59M","1.77%"
"Oct 17, 2019","70.78","70.50","70.90","70.07","1.70M","1.01%"
"Oct 16, 2019","70.07","70.13","70.86","69.84","1.63M","-0.38%"
"Oct 15, 2019","70.34","69.09","70.71","68.79","1.42M","1.24%"
"Oct 14, 2019","69.48","68.66","69.59","68.28","1.50M","0.55%"
"Oct 11, 2019","69.10","68.51","69.87","68.51","2.57M","2.64%"
"Oct 10, 2019","67.32","67.47","68.09","66.99","1.12M","0.64%"
"Oct 09, 2019","66.89","67.28","67.28","66.18","1.28M","0.50%"
"Oct 08, 2019","66.56","66.82","67.39","66.31","1.48M","-1.73%"
"Oct 07, 2019","67.73","67.51","68.67","67.05","1.50M","-0.16%"
"Oct 04, 2019","67.84","66.94","67.94","66.84","1.12M","1.27%"
"Oct 03, 2019","66.99","66.19","67.00","65.17","1.50M","1.16%"
"Oct 02, 2019","66.22","67.18","67.21","65.59","1.95M","-1.95%"
"Oct 01, 2019","67.54","70.14","70.88","67.16","1.99M","-3.53%"
"Sep 30, 2019","70.01","69.44","70.22","69.02","1.52M","1.45%"
"Sep 27, 2019","69.01","68.85","69.47","68.29","1.37M","0.36%"
"Sep 26, 2019","68.76","67.78","68.80","67.78","1.41M","0.51%"
"Sep 25, 2019","68.41","68.19","68.66","67.34","3.30M","0.32%"
"Sep 24, 2019","68.19","70.42","70.70","67.81","2.88M","-3.11%"
"Sep 23, 2019","70.38","69.75","70.97","69.06","1.30M","0.09%"
"Sep 20, 2019","70.32","70.25","71.35","70.11","2.31M","-0.04%"
"Sep 19, 2019","70.35","71.94","71.94","70.29","1.20M","-0.57%"
"Sep 18, 2019","70.75","70.72","70.86","69.98","1.18M","-0.20%"
"Sep 17, 2019","70.89","70.91","71.04","69.89","1.45M","-0.08%"
"Sep 16, 2019","70.95","71.03","71.40","70.75","1.01M","-0.81%"
"Sep 13, 2019","71.53","71.80","72.06","70.38","1.12M","0.48%"
"Sep 12, 2019","71.19","72.00","72.00","70.70","1.89M","-1.56%"
"Sep 11, 2019","72.32","71.57","72.43","70.51","2.09M","0.57%"
"Sep 10, 2019","71.91","70.43","72.03","70.21","2.17M","2.04%"
"Sep 09, 2019","70.47","68.70","70.67","68.42","2.03M","3.12%"
"Sep 06, 2019","68.34","68.67","69.13","68.14","1.60M","0.21%"
"Sep 05, 2019","68.20","66.31","68.60","66.31","2.52M","4.19%"
"Sep 04, 2019","65.46","64.94","65.73","64.72","1.91M","1.90%"
"Sep 03, 2019","64.24","65.08","65.45","63.54","2.20M","-2.01%"
"Aug 30, 2019","65.56","65.81","66.33","65.26","1.75M","0.28%"
"Aug 29, 2019","65.38","64.75","65.49","64.38","2.22M","2.33%"
"Aug 28, 2019","63.89","63.15","64.28","62.57","2.41M","0.73%"
"Aug 27, 2019","63.43","63.69","64.18","63.23","1.32M","0.38%"
"Aug 26, 2019","63.19","63.32","63.55","62.41","1.28M","1.06%"
"Aug 23, 2019","62.53","64.09","64.39","62.13","1.75M","-2.96%"
"Aug 22, 2019","64.44","65.23","65.88","64.19","1.25M","-0.92%"
"Aug 21, 2019","65.04","65.04","65.46","64.71","1.10M","1.03%"
"Aug 20, 2019","64.38","64.81","65.08","64.17","1.78M","-0.77%"
"Aug 19, 2019","64.88","65.69","65.97","64.64","1.18M","0.62%"
"Aug 16, 2019","64.48","64.26","64.89","63.91","1.49M","1.22%"
"Aug 15, 2019","63.70","63.51","64.03","63.09","1.22M","0.57%"
"Aug 14, 2019","63.34","65.15","65.42","63.22","1.85M","-4.52%"
"Aug 13, 2019","66.34","64.27","67.45","64.07","1.84M","2.41%"
"Aug 12, 2019","64.78","64.69","65.14","64.32","1.56M","-0.66%"
"Aug 09, 2019","65.21","66.17","66.17","64.69","1.29M","-1.94%"
