"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","137.45","136.80","137.47","136.72","2.33M","0.58%"
"Oct 22, 2019","136.66","136.65","137.35","136.31","3.40M","0.40%"
"Oct 21, 2019","136.12","136.34","136.74","135.66","3.17M","-0.10%"
"Oct 18, 2019","136.25","137.27","137.37","136.23","3.63M","-0.52%"
"Oct 17, 2019","136.96","137.07","137.62","136.60","2.47M","0.40%"
"Oct 16, 2019","136.42","136.14","136.49","135.58","2.81M","0.07%"
"Oct 15, 2019","136.33","137.48","137.94","136.16","3.40M","-0.81%"
"Oct 14, 2019","137.45","137.84","138.30","137.24","2.39M","-0.14%"
"Oct 11, 2019","137.64","138.08","138.70","137.09","2.78M","-0.18%"
"Oct 10, 2019","137.89","137.11","138.25","136.64","2.30M","0.03%"
"Oct 09, 2019","137.85","137.32","138.17","136.83","3.09M","0.44%"
"Oct 08, 2019","137.24","137.65","138.45","137.08","4.85M","-0.80%"
"Oct 07, 2019","138.34","139.29","139.61","137.97","4.38M","-1.38%"
"Oct 04, 2019","140.28","137.84","140.45","137.62","5.32M","1.70%"
"Oct 03, 2019","137.93","138.44","139.75","136.50","9.74M","2.98%"
"Oct 02, 2019","133.94","136.89","137.38","133.49","5.80M","-2.50%"
"Oct 01, 2019","137.37","136.93","137.94","136.09","3.71M","0.20%"
"Sep 30, 2019","137.10","136.07","137.73","135.87","3.91M","1.11%"
"Sep 27, 2019","135.60","136.24","136.24","134.67","3.56M","-0.09%"
"Sep 26, 2019","135.72","135.87","136.33","135.01","4.48M","0.47%"
"Sep 25, 2019","135.09","135.21","135.66","134.51","3.60M","-0.20%"
"Sep 24, 2019","135.36","136.25","136.44","134.58","4.89M","-0.06%"
"Sep 23, 2019","135.44","134.96","135.75","134.96","3.50M","0.54%"
"Sep 20, 2019","134.71","135.00","135.76","134.48","6.77M","-0.57%"
"Sep 19, 2019","135.48","135.41","135.84","135.08","2.83M","-0.01%"
"Sep 18, 2019","135.50","135.81","136.00","134.10","2.70M","-0.15%"
"Sep 17, 2019","135.70","134.96","136.31","134.51","4.03M","0.61%"
"Sep 16, 2019","134.88","136.39","136.50","134.38","2.95M","-1.14%"
"Sep 13, 2019","136.44","136.08","136.95","135.68","4.01M","-0.62%"
"Sep 12, 2019","137.29","136.74","138.29","136.74","4.15M","0.68%"
"Sep 11, 2019","136.36","135.27","136.79","134.88","5.01M","0.37%"
"Sep 10, 2019","135.86","135.74","136.51","134.68","4.18M","-0.40%"
"Sep 09, 2019","136.40","136.40","136.68","135.43","4.06M","-0.71%"
"Sep 06, 2019","137.37","136.93","137.42","136.02","3.05M","1.02%"
"Sep 05, 2019","135.98","138.80","138.80","135.55","4.99M","-2.28%"
"Sep 04, 2019","139.15","137.81","139.18","137.25","3.20M","1.23%"
"Sep 03, 2019","137.46","136.35","137.67","135.88","2.99M","0.53%"
"Aug 30, 2019","136.73","136.11","137.11","135.76","3.74M","0.52%"
"Aug 29, 2019","136.02","135.61","136.44","134.52","3.05M","0.61%"
"Aug 28, 2019","135.19","134.50","135.34","134.28","3.97M","0.32%"
"Aug 27, 2019","134.76","134.20","135.36","133.68","7.19M","0.76%"
"Aug 26, 2019","133.74","130.82","133.75","130.59","3.95M","2.66%"
"Aug 23, 2019","130.27","132.45","133.35","129.54","4.24M","-1.80%"
"Aug 22, 2019","132.66","131.75","132.93","131.32","2.48M","0.24%"
"Aug 21, 2019","132.34","132.91","133.64","131.62","2.94M","0.21%"
"Aug 20, 2019","132.06","132.80","133.10","131.93","3.16M","-0.38%"
"Aug 19, 2019","132.57","132.07","132.85","131.94","3.10M","0.61%"
"Aug 16, 2019","131.76","131.42","132.32","130.64","3.61M","0.80%"
"Aug 15, 2019","130.72","129.66","131.22","129.40","3.78M","1.24%"
"Aug 14, 2019","129.12","129.52","130.53","128.80","6.23M","-0.62%"
"Aug 13, 2019","129.93","128.28","130.38","127.94","4.17M","1.23%"
"Aug 12, 2019","128.35","128.45","129.15","127.87","2.92M","-0.19%"
"Aug 09, 2019","128.60","129.71","129.74","127.32","2.93M","-0.67%"
"Aug 08, 2019","129.47","128.10","129.75","127.00","3.70M","1.32%"
"Aug 07, 2019","127.78","126.40","128.34","124.63","6.15M","1.05%"
"Aug 06, 2019","126.45","124.78","127.00","124.38","6.26M","1.65%"
"Aug 05, 2019","124.40","128.35","129.15","123.88","6.19M","-2.75%"
"Aug 02, 2019","127.92","127.10","128.82","126.50","5.57M","0.61%"
"Aug 01, 2019","127.14","128.96","129.40","126.77","6.20M","-0.52%"
"Jul 31, 2019","127.81","130.48","130.48","126.24","5.76M","-2.05%"
"Jul 30, 2019","130.48","131.34","132.08","130.23","3.37M","-0.80%"
"Jul 29, 2019","131.53","131.50","132.06","131.18","4.53M","0.24%"
"Jul 26, 2019","131.22","129.44","131.42","128.71","4.58M","1.73%"
"Jul 25, 2019","128.99","128.63","129.53","128.39","3.34M","-0.17%"
"Jul 24, 2019","129.21","131.20","131.20","128.62","4.67M","-1.17%"
"Jul 23, 2019","130.74","131.13","132.24","130.41","4.15M","0.35%"
"Jul 22, 2019","130.28","130.49","130.81","129.63","4.41M","0.15%"
"Jul 19, 2019","130.09","133.17","133.19","130.01","5.02M","-2.10%"
"Jul 18, 2019","132.88","132.61","133.20","131.52","3.70M","0.08%"
"Jul 17, 2019","132.78","133.92","134.28","132.47","4.11M","-0.76%"
"Jul 16, 2019","133.80","134.08","135.24","133.05","4.02M","-0.26%"
"Jul 15, 2019","134.15","133.60","134.16","132.55","3.08M","0.65%"
"Jul 12, 2019","133.28","134.00","134.43","132.61","4.48M","-0.80%"
"Jul 11, 2019","134.35","134.21","134.74","133.35","3.94M","-0.04%"
