"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","96.64","97.53","97.53","94.79","17.46M","-0.74%"
"Oct 22, 2019","97.36","101.36","101.95","97.11","11.38M","-4.02%"
"Oct 21, 2019","101.44","102.36","102.73","100.47","6.92M","0.22%"
"Oct 18, 2019","101.22","103.92","104.32","100.75","7.26M","-2.33%"
"Oct 17, 2019","103.63","103.89","104.34","102.84","4.02M","0.52%"
"Oct 16, 2019","103.09","103.00","103.23","101.90","4.36M","-0.48%"
"Oct 15, 2019","103.59","102.01","103.66","101.90","4.63M","1.81%"
"Oct 14, 2019","101.75","101.59","102.35","101.37","3.82M","0.17%"
"Oct 11, 2019","101.58","101.78","103.96","101.47","4.79M","1.03%"
"Oct 10, 2019","100.54","99.40","101.00","99.40","4.56M","0.65%"
"Oct 09, 2019","99.89","99.44","100.69","99.39","5.04M","0.56%"
"Oct 08, 2019","99.33","100.85","101.15","99.25","7.40M","-2.25%"
"Oct 07, 2019","101.62","102.11","102.61","101.52","3.83M","-1.14%"
"Oct 04, 2019","102.79","101.84","102.98","100.84","5.53M","1.74%"
"Oct 03, 2019","101.03","99.54","101.31","98.61","5.34M","1.30%"
"Oct 02, 2019","99.73","101.81","101.83","99.36","8.01M","-2.73%"
"Oct 01, 2019","102.53","104.00","104.64","102.23","5.75M","-1.02%"
"Sep 30, 2019","103.59","102.68","104.07","101.48","7.51M","1.36%"
"Sep 27, 2019","102.20","104.87","105.17","101.10","7.19M","-2.25%"
"Sep 26, 2019","104.55","104.43","104.87","103.22","4.78M","0.39%"
"Sep 25, 2019","104.14","103.34","104.46","101.54","5.52M","0.43%"
"Sep 24, 2019","103.69","105.41","106.10","102.73","6.44M","-1.35%"
"Sep 23, 2019","105.11","104.73","105.32","104.35","3.40M","0.45%"
"Sep 20, 2019","104.64","104.71","105.46","103.91","10.71M","-1.39%"
"Sep 19, 2019","106.12","105.64","107.02","105.60","5.25M","0.49%"
"Sep 18, 2019","105.60","107.78","107.80","103.73","6.69M","-1.77%"
"Sep 17, 2019","107.50","106.81","107.89","106.46","4.12M","0.92%"
"Sep 16, 2019","106.52","106.13","108.01","105.99","5.22M","-0.45%"
"Sep 13, 2019","107.00","106.66","107.29","105.25","8.39M","-0.09%"
"Sep 12, 2019","107.10","105.71","107.92","105.49","11.59M","2.96%"
"Sep 11, 2019","104.02","104.15","104.48","103.11","7.01M","0.94%"
"Sep 10, 2019","103.05","104.77","104.95","101.31","13.43M","-2.26%"
"Sep 09, 2019","105.43","110.62","110.77","103.90","10.96M","-4.20%"
"Sep 06, 2019","110.05","111.66","111.67","109.62","4.68M","-1.27%"
"Sep 05, 2019","111.46","110.00","111.63","109.51","5.35M","2.51%"
"Sep 04, 2019","108.73","107.75","109.23","107.29","3.69M","1.85%"
"Sep 03, 2019","106.75","107.92","108.86","106.46","4.04M","-2.11%"
"Aug 30, 2019","109.05","110.13","110.97","108.54","3.96M","-0.15%"
"Aug 29, 2019","109.21","108.96","109.76","108.78","3.93M","1.62%"
"Aug 28, 2019","107.47","106.71","107.63","105.35","3.26M","0.02%"
"Aug 27, 2019","107.45","108.39","108.72","106.95","4.94M","-0.20%"
"Aug 26, 2019","107.66","107.11","107.83","106.29","3.67M","1.53%"
"Aug 23, 2019","106.04","108.93","110.14","105.51","7.46M","-2.51%"
"Aug 22, 2019","108.77","110.08","110.29","107.65","3.86M","-0.96%"
"Aug 21, 2019","109.82","108.54","110.02","108.40","5.42M","2.28%"
"Aug 20, 2019","107.37","107.91","108.58","107.02","4.36M","-0.28%"
"Aug 19, 2019","107.67","108.00","108.44","106.83","5.72M","1.42%"
"Aug 16, 2019","106.16","106.08","106.61","105.55","5.99M","1.15%"
"Aug 15, 2019","104.95","103.90","105.79","103.13","7.05M","1.63%"
"Aug 14, 2019","103.27","104.17","105.13","102.44","9.54M","-2.61%"
"Aug 13, 2019","106.04","103.39","106.70","102.68","9.91M","3.23%"
"Aug 12, 2019","102.72","104.01","104.38","102.21","7.90M","-2.00%"
"Aug 09, 2019","104.82","106.40","106.52","104.45","7.78M","-1.84%"
"Aug 08, 2019","106.79","107.35","108.14","106.08","7.81M","0.15%"
"Aug 07, 2019","106.63","104.06","107.16","103.30","7.62M","1.52%"
"Aug 06, 2019","105.03","105.00","106.00","104.48","7.74M","1.38%"
"Aug 05, 2019","103.60","103.76","105.39","102.41","11.75M","-3.26%"
"Aug 02, 2019","107.09","109.47","109.65","105.83","10.47M","-3.35%"
"Aug 01, 2019","110.80","110.45","112.45","109.67","9.44M","0.36%"
"Jul 31, 2019","110.40","112.20","112.30","109.43","10.10M","-1.46%"
"Jul 30, 2019","112.04","110.79","112.29","108.77","8.46M","0.53%"
"Jul 29, 2019","111.45","113.50","114.28","111.22","13.82M","-3.50%"
"Jul 26, 2019","115.49","115.71","116.35","114.34","8.00M","0.32%"
"Jul 25, 2019","115.12","116.75","117.55","113.23","19.42M","-5.09%"
"Jul 24, 2019","121.30","120.00","121.33","118.93","8.97M","0.90%"
"Jul 23, 2019","120.22","119.42","120.27","118.69","5.02M","1.29%"
"Jul 22, 2019","118.69","118.99","119.21","118.12","5.68M","0.05%"
"Jul 19, 2019","118.63","120.74","121.36","118.60","4.92M","-1.03%"
"Jul 18, 2019","119.87","118.99","120.80","118.63","4.44M","0.89%"
"Jul 17, 2019","118.81","119.65","119.99","118.80","4.63M","-0.75%"
"Jul 16, 2019","119.71","121.10","121.48","119.53","4.01M","-0.98%"
