"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","77.24","77.21","78.12","76.87","5.94M","-1.57%"
"Oct 22, 2019","78.47","78.93","79.07","78.24","5.11M","-0.65%"
"Oct 21, 2019","78.98","78.38","79.09","78.01","5.31M","1.67%"
"Oct 18, 2019","77.68","78.62","79.22","77.67","6.11M","-1.63%"
"Oct 17, 2019","78.97","78.70","79.96","78.40","5.92M","0.95%"
"Oct 16, 2019","78.23","77.49","78.32","77.28","6.37M","0.53%"
"Oct 15, 2019","77.82","76.88","77.98","76.28","5.24M","1.99%"
"Oct 14, 2019","76.30","76.65","77.37","76.28","4.66M","-0.52%"
"Oct 11, 2019","76.70","76.19","77.82","76.01","7.40M","2.31%"
"Oct 10, 2019","74.97","74.35","75.97","74.17","6.20M","0.83%"
"Oct 09, 2019","74.35","73.91","74.80","73.56","5.27M","2.06%"
"Oct 08, 2019","72.85","75.52","75.82","72.81","9.19M","-4.57%"
"Oct 07, 2019","76.34","77.01","77.55","76.27","4.40M","-1.48%"
"Oct 04, 2019","77.49","76.32","77.56","75.84","4.92M","2.32%"
"Oct 03, 2019","75.73","73.93","75.83","73.16","5.63M","2.35%"
"Oct 02, 2019","73.99","75.26","75.71","73.77","6.29M","-1.96%"
"Oct 01, 2019","75.47","77.06","78.06","74.97","7.05M","-1.06%"
"Sep 30, 2019","76.28","76.89","76.95","76.02","5.29M","-0.46%"
"Sep 27, 2019","76.63","77.01","78.20","76.21","5.01M","-0.93%"
"Sep 26, 2019","77.35","77.16","77.69","75.94","3.80M","0.12%"
"Sep 25, 2019","77.26","75.03","77.49","74.88","5.70M","2.70%"
"Sep 24, 2019","75.23","78.08","78.30","74.63","10.45M","-2.60%"
"Sep 23, 2019","77.24","76.67","77.91","76.06","6.26M","1.05%"
"Sep 20, 2019","76.44","78.20","78.70","76.17","9.50M","-2.29%"
"Sep 19, 2019","78.23","79.24","80.00","78.21","5.45M","-0.85%"
"Sep 18, 2019","78.90","78.69","79.07","77.64","5.20M","0.27%"
"Sep 17, 2019","78.69","77.61","78.79","77.51","4.44M","0.83%"
"Sep 16, 2019","78.04","77.58","78.48","76.91","3.76M","-0.47%"
"Sep 13, 2019","78.41","79.18","79.53","78.37","5.34M","-0.85%"
"Sep 12, 2019","79.08","80.05","80.05","78.58","5.85M","-1.03%"
"Sep 11, 2019","79.90","78.17","79.91","78.12","6.58M","1.51%"
"Sep 10, 2019","78.71","78.03","78.88","77.34","9.37M","0.64%"
"Sep 09, 2019","78.21","79.04","79.45","77.97","6.89M","-0.80%"
"Sep 06, 2019","78.84","78.96","79.08","78.44","5.13M","-0.19%"
"Sep 05, 2019","78.99","77.89","80.44","77.89","13.48M","2.46%"
"Sep 04, 2019","77.09","75.99","77.12","75.63","4.92M","2.62%"
"Sep 03, 2019","75.12","76.77","76.99","74.70","7.58M","-3.41%"
"Aug 30, 2019","77.77","77.18","78.05","77.00","8.47M","1.73%"
"Aug 29, 2019","76.45","75.22","77.03","75.22","7.35M","2.82%"
"Aug 28, 2019","74.35","73.79","74.88","72.91","5.68M","0.51%"
"Aug 27, 2019","73.97","73.68","74.38","73.20","7.31M","1.45%"
"Aug 26, 2019","72.91","74.90","75.09","72.52","11.16M","-0.83%"
"Aug 23, 2019","73.52","76.12","79.10","73.22","16.48M","-4.71%"
"Aug 22, 2019","77.15","76.91","77.95","76.60","7.20M","0.59%"
"Aug 21, 2019","76.70","76.50","77.19","75.99","11.01M","0.83%"
"Aug 20, 2019","76.07","74.57","76.44","74.33","9.39M","1.60%"
"Aug 19, 2019","74.87","74.58","75.53","74.14","9.69M","2.17%"
"Aug 16, 2019","73.28","71.85","73.41","71.73","10.40M","2.98%"
"Aug 15, 2019","71.16","71.44","72.19","70.59","9.12M","0.40%"
"Aug 14, 2019","70.88","70.64","71.89","70.55","10.34M","-1.80%"
"Aug 13, 2019","72.18","69.89","72.47","69.31","10.32M","3.41%"
"Aug 12, 2019","69.80","71.00","71.48","69.73","7.36M","-2.38%"
"Aug 09, 2019","71.50","70.51","72.19","70.19","8.70M","0.34%"
"Aug 08, 2019","71.26","69.56","71.35","69.35","8.37M","2.68%"
"Aug 07, 2019","69.40","67.26","69.60","67.12","8.93M","1.80%"
"Aug 06, 2019","68.17","69.52","69.93","67.38","13.19M","-0.92%"
"Aug 05, 2019","68.80","69.97","70.84","68.56","13.07M","-3.30%"
"Aug 02, 2019","71.15","70.44","71.53","70.01","12.65M","-0.07%"
"Aug 01, 2019","71.20","68.88","73.71","68.25","29.73M","-2.68%"
"Jul 31, 2019","73.16","74.83","75.28","72.76","14.05M","-2.21%"
"Jul 30, 2019","74.81","74.58","75.07","74.36","7.40M","-0.21%"
"Jul 29, 2019","74.97","75.16","76.32","74.67","8.24M","-0.33%"
"Jul 26, 2019","75.22","75.11","75.85","74.85","8.26M","-0.17%"
"Jul 25, 2019","75.35","75.84","76.14","75.10","7.30M","-0.69%"
"Jul 24, 2019","75.87","74.01","76.42","73.68","14.01M","2.36%"
