"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","305.02","303.35","307.07","299.68","596.80K","1.23%"
"Oct 22, 2019","301.31","305.27","306.89","301.22","729.07K","1.11%"
"Oct 21, 2019","297.99","301.51","301.51","294.91","539.33K","-0.73%"
"Oct 18, 2019","300.19","302.32","302.70","298.74","530.05K","-0.46%"
"Oct 17, 2019","301.57","300.64","302.69","299.94","462.51K","0.72%"
"Oct 16, 2019","299.40","303.21","303.21","298.35","829.87K","-1.45%"
"Oct 15, 2019","303.82","304.74","306.32","303.00","786.46K","-0.53%"
"Oct 14, 2019","305.44","299.40","310.15","298.60","850.40K","1.55%"
"Oct 11, 2019","300.77","300.11","306.42","298.90","1.08M","0.81%"
"Oct 10, 2019","298.36","289.38","299.95","288.98","987.87K","2.59%"
"Oct 09, 2019","290.83","286.82","292.25","286.09","1.02M","2.01%"
"Oct 08, 2019","285.10","280.51","288.63","279.22","1.05M","0.45%"
"Oct 07, 2019","283.81","280.66","287.77","280.66","487.62K","0.31%"
"Oct 04, 2019","282.93","281.66","284.04","278.00","512.97K","0.79%"
"Oct 03, 2019","280.72","274.35","281.70","272.27","736.50K","2.40%"
"Oct 02, 2019","274.13","275.31","277.86","272.26","614.44K","-0.85%"
"Oct 01, 2019","276.47","277.27","279.41","273.40","589.67K","-0.34%"
"Sep 30, 2019","277.40","275.30","280.05","272.02","565.03K","1.44%"
"Sep 27, 2019","273.46","280.45","282.81","271.37","770.57K","-2.79%"
"Sep 26, 2019","281.31","287.70","287.70","277.86","861.82K","-1.86%"
"Sep 25, 2019","286.65","290.21","291.90","286.33","472.56K","-1.06%"
"Sep 24, 2019","289.71","295.02","296.00","287.62","672.08K","-1.69%"
"Sep 23, 2019","294.70","297.36","299.98","293.03","661.42K","-0.40%"
"Sep 20, 2019","295.87","288.75","297.64","286.68","1.70M","3.40%"
"Sep 19, 2019","286.15","284.66","287.95","284.66","421.07K","0.38%"
"Sep 18, 2019","285.06","288.55","288.55","281.40","562.34K","-1.06%"
"Sep 17, 2019","288.12","284.77","288.89","283.65","608.03K","0.78%"
"Sep 16, 2019","285.89","280.50","287.28","280.50","476.12K","1.52%"
"Sep 13, 2019","281.62","283.84","287.00","279.47","617.11K","-0.90%"
"Sep 12, 2019","284.18","284.64","288.88","281.01","539.77K","0.30%"
"Sep 11, 2019","283.33","284.00","287.48","282.55","517.56K","-0.14%"
"Sep 10, 2019","283.72","279.03","285.05","271.57","1.16M","1.69%"
"Sep 09, 2019","279.00","291.53","291.93","278.72","927.49K","-4.45%"
"Sep 06, 2019","292.00","290.45","293.20","287.67","570.07K","0.91%"
"Sep 05, 2019","289.37","287.94","293.64","287.94","494.06K","1.00%"
"Sep 04, 2019","286.50","288.21","288.99","282.31","628.64K","0.48%"
"Sep 03, 2019","285.12","289.20","290.39","281.25","565.98K","-1.70%"
"Aug 30, 2019","290.05","292.02","293.46","287.25","604.54K","-0.18%"
"Aug 29, 2019","290.57","289.79","292.70","287.09","509.26K","1.02%"
"Aug 28, 2019","287.64","280.04","290.29","279.39","713.58K","2.21%"
"Aug 27, 2019","281.41","285.87","291.13","281.11","801.50K","-1.17%"
"Aug 26, 2019","284.73","288.24","290.37","283.49","527.54K","-0.74%"
"Aug 23, 2019","286.85","293.96","296.26","285.55","815.83K","-2.77%"
"Aug 22, 2019","295.02","297.50","298.95","291.61","441.44K","-0.93%"
"Aug 21, 2019","297.78","297.98","300.51","295.02","451.66K","0.59%"
"Aug 20, 2019","296.03","299.21","301.00","294.99","571.45K","-0.79%"
"Aug 19, 2019","298.38","299.34","300.82","296.80","781.24K","0.52%"
"Aug 16, 2019","296.85","295.32","297.35","290.72","742.57K","1.28%"
"Aug 15, 2019","293.11","295.37","296.91","290.47","570.33K","-0.14%"
"Aug 14, 2019","293.53","301.83","304.30","292.42","676.40K","-3.72%"
"Aug 13, 2019","304.86","298.13","307.67","296.94","618.80K","3.04%"
"Aug 12, 2019","295.87","298.64","305.10","295.61","543.35K","-2.96%"
"Aug 09, 2019","304.89","308.84","310.18","299.98","537.19K","-1.61%"
"Aug 08, 2019","309.87","303.12","310.08","303.12","694.02K","2.53%"
"Aug 07, 2019","302.22","297.66","304.61","294.01","811.61K","0.65%"
"Aug 06, 2019","300.26","304.48","306.00","293.40","1.19M","0.23%"
"Aug 05, 2019","299.57","302.15","304.00","296.52","845.30K","-1.86%"
"Aug 02, 2019","305.24","308.95","311.11","303.06","506.50K","-1.35%"
"Aug 01, 2019","309.43","306.68","313.93","304.61","704.47K","1.53%"
"Jul 31, 2019","304.76","309.80","312.25","301.20","690.62K","-2.05%"
"Jul 30, 2019","311.13","304.31","311.27","303.52","516.74K","1.66%"
"Jul 29, 2019","306.04","314.50","314.95","302.81","691.62K","-1.02%"
"Jul 26, 2019","309.18","304.35","309.73","300.61","956.72K","1.90%"
"Jul 25, 2019","303.42","311.12","311.51","302.92","679.63K","-3.26%"
"Jul 24, 2019","313.63","310.87","314.29","303.59","1.14M","1.41%"
"Jul 23, 2019","309.26","298.34","310.87","296.91","992.06K","4.30%"
"Jul 22, 2019","296.52","298.20","300.32","294.69","608.97K","-0.53%"
"Jul 19, 2019","298.11","303.52","303.68","296.35","692.74K","-1.64%"
"Jul 18, 2019","303.09","299.79","304.20","297.20","548.04K","1.23%"
"Jul 17, 2019","299.42","297.26","303.30","297.08","646.33K","0.35%"
"Jul 16, 2019","298.37","299.19","299.69","295.78","492.49K","0.06%"
"Jul 15, 2019","298.20","292.98","300.34","289.53","875.95K","1.93%"
"Jul 12, 2019","292.56","292.12","295.49","287.66","648.40K","0.25%"
"Jul 11, 2019","291.82","296.99","296.99","288.00","1.41M","-3.19%"
"Jul 10, 2019","301.43","308.15","309.84","291.66","1.53M","-2.12%"
"Jul 09, 2019","307.97","300.92","308.39","300.00","789.78K","1.69%"
"Jul 08, 2019","302.84","305.10","305.86","296.81","928.91K","-1.36%"
"Jul 05, 2019","307.00","316.15","320.76","306.08","799.58K","-3.58%"
"Jul 03, 2019","318.39","317.42","320.36","312.53","545.04K","0.91%"
"Jul 02, 2019","315.53","317.62","320.43","313.00","758.25K","-0.33%"
"Jul 01, 2019","316.56","317.61","318.60","313.15","689.52K","1.14%"
"Jun 28, 2019","313.00","312.12","316.25","311.24","1.50M","0.75%"
"Jun 27, 2019","310.67","306.24","311.57","304.07","564.73K","1.83%"
"Jun 26, 2019","305.08","313.25","316.65","300.52","1.00M","-2.50%"
"Jun 25, 2019","312.90","313.13","317.42","311.84","702.21K","0.11%"
"Jun 24, 2019","312.55","318.76","320.32","311.26","780.73K","-2.41%"
"Jun 21, 2019","320.26","324.26","324.26","312.00","1.49M","-0.07%"
"Jun 20, 2019","320.48","315.70","327.83","315.25","1.62M","3.10%"
"Jun 19, 2019","310.83","306.34","311.90","303.77","971.18K","1.37%"
"Jun 18, 2019","306.63","311.10","317.84","305.76","1.00M","-1.40%"
"Jun 17, 2019","310.98","307.34","312.92","301.76","587.90K","1.88%"
"Jun 14, 2019","305.24","306.81","315.20","304.00","624.17K","-0.71%"
"Jun 13, 2019","307.42","307.18","308.19","302.32","653.91K","0.41%"
"Jun 12, 2019","306.16","306.83","309.47","305.25","556.03K","-0.22%"
"Jun 11, 2019","306.84","306.88","309.62","306.23","554.89K","0.85%"
"Jun 10, 2019","304.25","306.54","310.92","303.51","726.02K","-0.81%"
"Jun 07, 2019","306.72","302.08","307.00","297.86","775.52K","2.38%"
"Jun 06, 2019","299.60","300.12","304.53","298.73","767.62K","-0.13%"
"Jun 05, 2019","300.00","304.84","304.94","295.27","979.89K","-0.68%"
"Jun 04, 2019","302.06","306.03","309.42","300.58","844.64K","-0.62%"
"Jun 03, 2019","303.95","301.13","309.74","301.13","670.23K","0.74%"
"May 31, 2019","301.72","305.98","306.45","295.73","863.51K","-2.03%"
"May 30, 2019","307.96","308.61","310.36","302.88","627.85K","0.06%"
"May 29, 2019","307.78","307.09","310.67","302.78","627.11K","-0.05%"
"May 28, 2019","307.93","313.38","315.79","307.70","718.26K","-1.48%"
"May 24, 2019","312.56","316.66","318.81","308.47","401.12K","-0.86%"
"May 23, 2019","315.26","316.76","318.66","310.37","934.66K","-1.51%"
"May 22, 2019","320.09","308.01","321.49","302.73","1.25M","3.27%"
"May 21, 2019","309.95","304.88","314.29","304.88","999.93K","2.44%"
"May 20, 2019","302.57","301.52","304.57","297.27","738.58K","-0.78%"
"May 17, 2019","304.94","305.80","309.21","303.70","756.03K","-1.01%"
"May 16, 2019","308.04","306.22","314.06","304.00","1.05M","0.72%"
"May 15, 2019","305.85","301.95","306.26","297.32","784.14K","0.40%"
"May 14, 2019","304.62","306.35","309.19","303.59","836.90K","-0.17%"
"May 13, 2019","305.15","306.67","309.30","299.11","1.15M","-2.46%"
"May 10, 2019","312.86","323.56","323.81","311.35","1.41M","-3.49%"
"May 09, 2019","324.17","325.79","327.36","320.74","864.07K","-1.47%"
"May 08, 2019","329.00","319.33","329.75","319.33","1.18M","2.05%"
"May 07, 2019","322.40","333.00","336.50","318.70","1.97M","-6.34%"
"May 06, 2019","344.23","332.20","344.92","332.20","916.68K","2.18%"
"May 03, 2019","336.89","336.98","339.71","334.67","848.33K","0.44%"
"May 02, 2019","335.41","342.69","344.29","331.25","812.43K","-1.58%"
"May 01, 2019","340.79","343.04","345.44","338.91","503.40K","-0.68%"
"Apr 30, 2019","343.14","343.80","345.04","337.96","554.85K","-0.29%"
"Apr 29, 2019","344.15","343.13","345.98","338.62","598.06K","0.14%"
"Apr 26, 2019","343.66","351.25","351.67","339.61","846.01K","-1.81%"
"Apr 25, 2019","349.99","340.38","351.90","337.66","891.24K","2.80%"
"Apr 24, 2019","340.46","344.43","346.32","338.67","850.71K","-1.07%"
"Apr 23, 2019","344.14","335.51","346.64","334.46","972.69K","3.03%"
"Apr 22, 2019","334.03","332.50","336.00","329.00","921.75K","0.21%"
"Apr 18, 2019","333.34","346.40","347.55","332.22","1.92M","-2.81%"
"Apr 17, 2019","342.97","366.96","368.01","342.02","1.98M","-6.72%"
"Apr 16, 2019","367.69","377.90","383.00","366.36","1.06M","-2.08%"
"Apr 15, 2019","375.50","382.81","385.99","375.20","811.48K","-1.94%"
"Apr 12, 2019","382.94","393.17","394.50","381.18","1.25M","-2.68%"
"Apr 11, 2019","393.48","410.00","410.19","391.73","843.48K","-3.61%"
"Apr 10, 2019","408.23","397.18","408.48","394.33","579.70K","3.16%"
"Apr 09, 2019","395.73","400.00","400.34","395.14","577.65K","-1.38%"
"Apr 08, 2019","401.26","408.08","410.94","396.00","703.82K","-1.88%"
"Apr 05, 2019","408.94","408.17","412.63","406.55","657.38K","0.59%"
"Apr 04, 2019","406.53","408.00","410.80","400.83","517.28K","-0.12%"
"Apr 03, 2019","407.00","414.34","415.16","400.84","789.30K","-1.89%"
"Apr 02, 2019","414.82","411.35","415.89","407.56","512.96K","1.16%"
"Apr 01, 2019","410.05","412.51","412.90","408.00","496.51K","-0.14%"
"Mar 29, 2019","410.62","406.74","412.60","406.74","492.27K","1.43%"
"Mar 28, 2019","404.83","405.67","408.31","402.30","436.27K","0.49%"
"Mar 27, 2019","402.87","405.07","407.44","398.36","450.77K","-0.68%"
"Mar 26, 2019","405.62","398.78","406.23","398.52","674.82K","2.69%"
"Mar 25, 2019","395.00","391.42","397.61","388.49","431.59K","0.82%"
"Mar 22, 2019","391.80","401.48","402.59","391.43","552.58K","-2.68%"
"Mar 21, 2019","402.59","401.00","405.12","396.84","880.93K","-0.72%"
"Mar 20, 2019","405.50","407.79","409.68","402.82","479.46K","-0.37%"
"Mar 19, 2019","406.99","407.74","409.72","404.40","627.91K","-0.15%"
"Mar 18, 2019","407.60","410.00","413.76","404.84","545.67K","-1.66%"
"Mar 15, 2019","414.47","408.47","415.00","408.40","1.16M","1.71%"
"Mar 14, 2019","407.50","409.89","412.36","406.34","925.24K","-0.37%"
"Mar 13, 2019","409.01","419.38","419.60","408.53","988.81K","-2.06%"
"Mar 12, 2019","417.62","413.56","421.80","411.19","839.74K","1.35%"
"Mar 11, 2019","412.05","404.15","413.21","402.25","874.20K","2.34%"
"Mar 08, 2019","402.64","407.51","407.51","399.58","1.09M","-1.69%"
"Mar 07, 2019","409.58","422.90","422.90","409.19","1.02M","-3.33%"
"Mar 06, 2019","423.69","436.93","438.02","421.31","812.30K","-3.07%"
"Mar 05, 2019","437.13","432.12","439.65","430.49","478.27K","0.76%"
"Mar 04, 2019","433.83","441.18","442.00","428.36","769.29K","-1.31%"
"Mar 01, 2019","439.57","434.80","440.05","431.93","510.98K","2.05%"
"Feb 28, 2019","430.74","430.19","434.35","428.62","517.98K","-0.60%"
"Feb 27, 2019","433.33","424.00","433.74","424.00","598.82K","1.68%"
"Feb 26, 2019","426.15","418.57","428.06","415.83","611.11K","1.37%"
"Feb 25, 2019","420.38","424.94","426.53","415.76","660.43K","-0.51%"
"Feb 22, 2019","422.52","418.21","423.64","416.00","386.60K","0.93%"
"Feb 21, 2019","418.62","421.81","422.61","415.58","406.58K","-0.92%"
"Feb 20, 2019","422.51","420.00","423.40","417.08","411.14K","0.45%"
"Feb 19, 2019","420.60","423.74","426.41","420.35","397.80K","-0.79%"
"Feb 15, 2019","423.97","417.97","424.39","415.72","700.04K","2.17%"
"Feb 14, 2019","414.97","412.00","416.26","408.56","349.60K","0.70%"
"Feb 13, 2019","412.09","415.98","421.66","411.51","349.32K","-1.02%"
"Feb 12, 2019","416.34","411.56","418.10","408.02","637.19K","1.92%"
"Feb 11, 2019","408.51","409.37","413.35","403.00","587.00K","0.41%"
"Feb 08, 2019","406.86","405.44","408.00","399.29","692.10K","0.10%"
"Feb 07, 2019","406.46","408.29","414.22","404.27","738.39K","-0.02%"
"Feb 06, 2019","406.56","428.90","429.90","406.40","1.33M","-3.44%"
"Feb 05, 2019","421.04","426.11","427.50","419.63","629.62K","-1.02%"
"Feb 04, 2019","425.40","428.92","429.06","422.49","474.62K","-1.10%"
"Feb 01, 2019","430.15","428.52","431.32","425.32","702.51K","0.21%"
"Jan 31, 2019","429.27","419.68","430.58","419.45","1.44M","2.23%"
"Jan 30, 2019","419.91","416.35","420.44","412.63","867.85K","0.66%"
"Jan 29, 2019","417.15","415.72","418.51","413.00","724.75K","0.77%"
"Jan 28, 2019","413.95","415.11","416.49","408.81","761.03K","-1.04%"
"Jan 25, 2019","418.29","410.85","418.95","406.10","692.42K","2.54%"
"Jan 24, 2019","407.93","401.80","408.88","399.16","655.04K","1.67%"
"Jan 23, 2019","401.21","404.92","406.79","393.17","914.01K","-0.87%"
"Jan 22, 2019","404.75","415.77","421.99","404.00","899.71K","-3.36%"
"Jan 18, 2019","418.84","420.42","420.48","410.00","710.41K","0.35%"
"Jan 17, 2019","417.38","402.72","420.29","402.72","860.16K","3.17%"
"Jan 16, 2019","404.54","406.17","410.63","402.85","468.76K","-0.12%"
"Jan 15, 2019","405.02","401.42","405.16","399.63","475.08K","1.07%"
"Jan 14, 2019","400.73","408.16","408.16","399.11","693.33K","-1.93%"
