"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","109.89","111.97","112.22","109.68","1.55M","-1.80%"
"Oct 22, 2019","111.90","111.28","112.98","111.03","1.46M","0.83%"
"Oct 21, 2019","110.98","111.49","113.22","109.07","2.86M","-2.76%"
"Oct 18, 2019","114.13","112.81","114.83","112.50","1.60M","0.97%"
"Oct 17, 2019","113.03","112.98","113.69","112.59","1.03M","0.69%"
"Oct 16, 2019","112.25","111.95","112.67","111.50","1.86M","0.28%"
"Oct 15, 2019","111.94","111.65","112.50","111.64","1.63M","0.48%"
"Oct 14, 2019","111.40","112.43","112.84","111.33","1.36M","-0.94%"
"Oct 11, 2019","112.46","112.00","113.51","111.66","1.97M","1.31%"
"Oct 10, 2019","111.01","108.87","111.19","108.52","2.07M","1.69%"
"Oct 09, 2019","109.17","108.50","109.43","108.03","1.47M","1.20%"
"Oct 08, 2019","107.88","107.46","109.31","106.80","1.72M","-0.24%"
"Oct 07, 2019","108.14","108.21","108.97","107.75","1.64M","-0.73%"
"Oct 04, 2019","108.93","107.32","109.27","107.26","1.59M","1.87%"
"Oct 03, 2019","106.93","107.05","107.24","104.82","1.36M","-0.56%"
"Oct 02, 2019","107.53","108.87","108.89","106.94","1.72M","-1.62%"
"Oct 01, 2019","109.30","110.37","111.42","109.24","1.98M","-0.50%"
"Sep 30, 2019","109.85","109.14","110.39","109.14","1.62M","0.73%"
"Sep 27, 2019","109.05","108.61","109.43","108.14","1.94M","1.11%"
"Sep 26, 2019","107.85","108.71","109.00","106.99","1.40M","-0.36%"
"Sep 25, 2019","108.24","107.69","109.13","107.69","1.73M","0.56%"
"Sep 24, 2019","107.64","108.30","109.12","106.77","2.18M","0.57%"
"Sep 23, 2019","107.03","105.36","107.31","105.28","2.74M","2.18%"
"Sep 20, 2019","104.75","108.57","109.54","104.57","4.64M","-3.55%"
"Sep 19, 2019","108.61","108.81","109.64","108.39","1.21M","-0.09%"
"Sep 18, 2019","108.71","108.09","108.81","107.32","2.01M","0.53%"
"Sep 17, 2019","108.14","107.81","108.97","107.39","1.86M","0.51%"
"Sep 16, 2019","107.59","108.58","108.58","107.50","1.52M","-1.41%"
"Sep 13, 2019","109.13","109.61","110.25","109.02","1.58M","-0.21%"
"Sep 12, 2019","109.36","109.26","110.88","109.00","2.24M","0.97%"
"Sep 11, 2019","108.31","107.38","108.60","106.67","2.02M","0.14%"
"Sep 10, 2019","108.16","108.55","108.69","106.43","2.08M","-0.30%"
"Sep 09, 2019","108.49","109.31","109.69","107.68","1.44M","-0.63%"
"Sep 06, 2019","109.18","109.65","110.67","109.04","1.44M","-0.16%"
"Sep 05, 2019","109.36","107.00","109.48","106.74","2.44M","3.20%"
"Sep 04, 2019","105.97","105.48","106.00","104.81","1.61M","0.90%"
"Sep 03, 2019","105.02","105.17","106.09","104.07","2.10M","-0.93%"
"Aug 30, 2019","106.01","107.43","108.48","105.78","2.29M","-1.03%"
"Aug 29, 2019","107.11","105.99","107.56","105.99","1.93M","2.44%"
"Aug 28, 2019","104.56","102.30","104.82","102.00","2.10M","1.93%"
"Aug 27, 2019","102.58","105.11","105.13","102.54","2.36M","-1.89%"
"Aug 26, 2019","104.56","103.35","104.76","103.30","1.79M","1.56%"
"Aug 23, 2019","102.95","105.64","106.37","102.41","3.92M","-4.14%"
"Aug 22, 2019","107.40","106.87","107.94","105.70","3.93M","1.61%"
"Aug 21, 2019","105.70","105.71","106.62","104.26","1.69M","1.45%"
"Aug 20, 2019","104.19","103.02","105.08","102.60","2.31M","0.10%"
"Aug 19, 2019","104.09","104.89","105.40","103.33","1.72M","0.88%"
"Aug 16, 2019","103.18","102.58","103.65","102.27","1.95M","1.75%"
"Aug 15, 2019","101.41","103.19","103.45","100.68","1.98M","-0.74%"
"Aug 14, 2019","102.17","104.54","104.54","102.07","2.41M","-4.01%"
"Aug 13, 2019","106.44","103.24","108.04","102.26","1.67M","3.06%"
"Aug 12, 2019","103.28","105.18","105.45","102.92","1.74M","-2.10%"
"Aug 09, 2019","105.50","106.90","107.12","104.96","1.55M","-1.44%"
"Aug 08, 2019","107.04","104.68","107.23","104.47","1.86M","3.01%"
"Aug 07, 2019","103.91","102.07","104.22","101.55","1.77M","0.51%"
"Aug 06, 2019","103.38","101.56","103.61","101.06","1.66M","2.13%"
"Aug 05, 2019","101.22","102.32","103.07","100.16","2.18M","-2.19%"
"Aug 02, 2019","103.49","103.53","104.45","102.94","1.56M","-0.08%"
"Aug 01, 2019","103.57","106.69","107.08","102.49","1.59M","-2.32%"
"Jul 31, 2019","106.03","106.19","107.04","104.42","1.49M","-0.29%"
"Jul 30, 2019","106.34","106.15","106.48","105.47","1.22M","-0.16%"
"Jul 29, 2019","106.51","106.55","106.92","106.00","1.06M","-0.30%"
"Jul 26, 2019","106.83","105.85","107.06","105.09","1.26M","1.24%"
"Jul 25, 2019","105.52","104.28","105.99","104.28","1.71M","-0.41%"
"Jul 24, 2019","105.95","105.94","106.61","105.50","1.58M","-0.15%"
"Jul 23, 2019","106.11","106.11","106.63","105.32","1.30M","0.16%"
"Jul 22, 2019","105.94","107.06","107.48","105.66","1.91M","-0.63%"
"Jul 19, 2019","106.61","107.77","108.20","106.51","2.74M","-0.40%"
"Jul 18, 2019","107.04","107.38","107.63","106.37","2.22M","-0.23%"
"Jul 17, 2019","107.29","106.91","107.93","106.57","1.77M","0.45%"
"Jul 16, 2019","106.81","106.55","107.45","106.00","2.03M","0.43%"
"Jul 15, 2019","106.35","106.17","107.24","104.94","2.45M","0.31%"
"Jul 12, 2019","106.02","103.51","106.78","103.08","3.69M","3.03%"
"Jul 11, 2019","102.90","103.00","103.25","102.37","1.72M","0.28%"
"Jul 10, 2019","102.61","102.59","102.96","101.38","1.54M","0.62%"
"Jul 09, 2019","101.98","101.50","102.56","101.17","1.88M","0.39%"
"Jul 08, 2019","101.58","100.78","101.71","100.20","1.64M","0.69%"
"Jul 05, 2019","100.88","98.86","100.91","98.86","1.61M","0.88%"
"Jul 03, 2019","100.00","98.40","100.04","98.39","1.21M","1.85%"
"Jul 02, 2019","98.18","98.79","99.39","97.53","2.17M","-0.81%"
"Jul 01, 2019","98.98","100.53","101.92","98.56","2.74M","-0.14%"
"Jun 28, 2019","99.12","100.65","101.46","99.06","8.25M","-1.41%"
"Jun 27, 2019","100.54","99.60","100.63","98.84","3.68M","-1.82%"
"Jun 26, 2019","102.40","102.07","103.11","101.43","1.94M","0.88%"
"Jun 25, 2019","101.51","102.84","103.09","101.29","2.35M","-1.30%"
"Jun 24, 2019","102.85","103.00","104.26","101.90","2.06M","-1.07%"
"Jun 21, 2019","103.96","104.65","105.15","103.90","3.07M","-0.58%"
"Jun 20, 2019","104.57","104.07","105.31","103.63","1.92M","1.15%"
"Jun 19, 2019","103.38","102.83","103.58","101.71","1.79M","0.75%"
"Jun 18, 2019","102.61","102.33","103.85","102.05","2.49M","1.15%"
"Jun 17, 2019","101.44","100.98","102.13","100.41","2.36M","0.47%"
"Jun 14, 2019","100.97","100.77","101.69","100.43","2.56M","0.43%"
"Jun 13, 2019","100.54","98.98","100.57","97.59","2.22M","2.27%"
"Jun 12, 2019","98.31","98.79","99.50","98.24","1.91M","-0.16%"
"Jun 11, 2019","98.47","98.63","99.16","97.87","2.66M","0.48%"
"Jun 10, 2019","98.00","99.10","100.40","97.81","2.61M","-1.17%"
"Jun 07, 2019","99.16","96.85","99.55","96.75","3.20M","3.12%"
"Jun 06, 2019","96.16","95.25","96.46","94.79","2.24M","1.23%"
"Jun 05, 2019","94.99","94.93","95.65","94.44","1.76M","0.37%"
"Jun 04, 2019","94.64","92.80","94.74","92.79","2.34M","2.82%"
"Jun 03, 2019","92.04","92.93","93.75","91.54","2.40M","-1.02%"
"May 31, 2019","92.99","91.84","93.26","91.46","2.53M","0.10%"
"May 30, 2019","92.90","90.65","92.95","90.61","2.60M","2.88%"
"May 29, 2019","90.30","90.77","91.73","89.55","3.10M","-1.13%"
"May 28, 2019","91.33","93.69","95.65","91.28","5.08M","-1.56%"
"May 24, 2019","92.78","92.58","94.00","91.59","5.84M","-1.83%"
"May 23, 2019","94.51","93.94","94.94","92.78","3.20M","-0.02%"
"May 22, 2019","94.53","96.83","96.83","94.12","3.00M","-2.95%"
"May 21, 2019","97.40","96.44","97.80","95.31","2.85M","0.76%"
"May 20, 2019","96.67","96.77","97.52","96.44","2.58M","-0.55%"
"May 17, 2019","97.20","95.40","97.39","95.26","2.45M","1.38%"
"May 16, 2019","95.88","94.93","97.00","94.93","1.68M","1.46%"
"May 15, 2019","94.50","93.70","94.88","93.19","1.76M","0.04%"
"May 14, 2019","94.46","94.00","95.09","93.47","2.50M","1.08%"
"May 13, 2019","93.45","95.78","96.47","92.72","2.81M","-4.14%"
"May 10, 2019","97.49","96.49","98.11","95.05","1.93M","0.49%"
"May 09, 2019","97.01","95.92","97.52","95.60","1.45M","0.19%"
"May 08, 2019","96.83","95.57","97.48","94.60","1.88M","1.12%"
"May 07, 2019","95.76","96.75","96.76","95.12","1.65M","-1.67%"
"May 06, 2019","97.39","95.73","97.68","95.55","1.16M","0.27%"
"May 03, 2019","97.13","96.95","97.24","96.34","1.31M","0.80%"
"May 02, 2019","96.36","96.01","96.83","95.90","2.14M","0.50%"
"May 01, 2019","95.88","97.50","97.64","95.80","1.89M","-1.82%"
"Apr 30, 2019","97.66","98.27","98.43","97.09","2.31M","-0.62%"
"Apr 29, 2019","98.27","98.43","99.81","98.14","1.63M","-0.28%"
"Apr 26, 2019","98.55","98.32","98.63","97.50","1.45M","0.54%"
"Apr 25, 2019","98.02","97.57","98.72","97.19","1.49M","-0.55%"
"Apr 24, 2019","98.56","97.94","99.53","97.71","2.42M","0.72%"
"Apr 23, 2019","97.86","98.23","98.36","97.23","2.08M","0.08%"
"Apr 22, 2019","97.78","99.60","100.01","97.13","1.57M","-2.22%"
"Apr 18, 2019","100.00","100.45","100.77","99.82","2.39M","0.08%"
"Apr 17, 2019","99.92","99.32","100.12","99.18","1.55M","1.05%"
"Apr 16, 2019","98.88","98.46","99.16","98.06","1.33M","0.89%"
"Apr 15, 2019","98.01","97.28","98.35","97.00","1.45M","0.66%"
"Apr 12, 2019","97.37","97.82","98.38","97.00","1.91M","-0.27%"
"Apr 11, 2019","97.63","98.62","98.95","97.09","1.93M","-0.72%"
"Apr 10, 2019","98.34","98.06","98.75","97.68","1.57M","0.81%"
"Apr 09, 2019","97.55","97.97","98.43","97.34","1.29M","-1.14%"
"Apr 08, 2019","98.67","98.20","98.99","97.62","1.43M","0.26%"
"Apr 05, 2019","98.41","97.79","98.93","97.49","2.33M","0.95%"
"Apr 04, 2019","97.48","95.06","97.60","94.97","1.97M","2.63%"
"Apr 03, 2019","94.98","94.36","95.11","93.58","1.72M","1.30%"
"Apr 02, 2019","93.76","94.12","94.24","93.45","2.01M","-0.53%"
"Apr 01, 2019","94.26","93.77","94.34","92.94","2.56M","1.25%"
"Mar 29, 2019","93.10","92.46","93.51","92.07","2.15M","1.29%"
"Mar 28, 2019","91.91","92.09","93.00","91.46","1.92M","0.27%"
"Mar 27, 2019","91.66","91.00","92.34","90.75","2.33M","0.84%"
"Mar 26, 2019","90.90","90.26","91.17","90.04","1.84M","1.22%"
"Mar 25, 2019","89.80","89.24","90.66","89.03","1.61M","0.30%"
"Mar 22, 2019","89.53","91.07","91.46","89.46","2.32M","-2.15%"
"Mar 21, 2019","91.50","91.35","91.92","91.03","1.52M","-0.01%"
"Mar 20, 2019","91.51","91.70","92.02","91.15","2.18M","-0.23%"
"Mar 19, 2019","91.72","91.20","92.38","90.86","2.60M","0.65%"
"Mar 18, 2019","91.13","89.65","91.33","89.65","2.87M","1.37%"
"Mar 15, 2019","89.90","89.09","90.00","88.61","5.40M","0.74%"
"Mar 14, 2019","89.24","90.46","90.46","88.31","3.71M","-1.60%"
