"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","82.74","84.28","84.40","82.13","7.19M","-0.86%"
"Oct 22, 2019","83.46","85.23","85.35","83.39","5.81M","-2.21%"
"Oct 21, 2019","85.35","86.00","86.24","85.08","5.01M","-0.79%"
"Oct 18, 2019","86.03","86.35","86.75","85.52","4.63M","-0.30%"
"Oct 17, 2019","86.29","86.88","87.02","86.16","4.40M","-0.48%"
"Oct 16, 2019","86.71","86.53","86.83","86.05","3.71M","0.30%"
"Oct 15, 2019","86.45","87.00","87.25","85.76","4.72M","-0.20%"
"Oct 14, 2019","86.62","86.50","87.68","86.40","4.94M","0.30%"
"Oct 11, 2019","86.36","87.02","87.25","86.26","5.62M","0.47%"
"Oct 10, 2019","85.96","85.91","86.07","85.38","4.26M","0.13%"
"Oct 09, 2019","85.85","85.37","86.17","85.28","4.45M","1.11%"
"Oct 08, 2019","84.91","85.49","86.33","84.69","6.39M","-1.09%"
"Oct 07, 2019","85.85","85.71","86.16","85.49","4.45M","-0.08%"
"Oct 04, 2019","85.92","84.90","85.97","84.75","5.89M","1.48%"
"Oct 03, 2019","84.67","84.30","84.91","83.61","6.06M","0.42%"
"Oct 02, 2019","84.32","85.95","86.01","84.16","10.04M","-2.53%"
"Oct 01, 2019","86.51","88.63","88.89","86.45","6.81M","-2.16%"
"Sep 30, 2019","88.42","88.41","88.56","87.61","6.65M","0.06%"
"Sep 27, 2019","88.37","90.30","90.30","87.79","5.99M","-1.59%"
"Sep 26, 2019","89.80","90.84","91.15","89.50","5.53M","-0.61%"
"Sep 25, 2019","90.35","89.94","90.61","89.02","5.26M","0.48%"
"Sep 24, 2019","89.92","91.60","91.77","89.51","5.69M","-0.98%"
"Sep 23, 2019","90.81","90.32","91.16","89.93","4.94M","0.82%"
"Sep 20, 2019","90.07","91.61","92.08","90.06","11.24M","-1.63%"
"Sep 19, 2019","91.56","90.99","92.10","90.30","4.87M","0.66%"
"Sep 18, 2019","90.96","90.98","91.36","90.06","4.56M","0.23%"
"Sep 17, 2019","90.75","89.67","91.46","89.65","6.51M","1.49%"
"Sep 16, 2019","89.42","90.02","90.45","89.38","6.34M","-1.17%"
"Sep 13, 2019","90.48","92.14","92.14","90.31","6.97M","-1.72%"
"Sep 12, 2019","92.06","92.16","93.31","91.77","6.86M","1.19%"
"Sep 11, 2019","90.98","90.18","91.45","89.61","8.41M","0.70%"
"Sep 10, 2019","90.35","93.81","93.88","89.30","12.49M","-4.05%"
"Sep 09, 2019","94.16","95.80","95.93","93.74","6.52M","-1.65%"
"Sep 06, 2019","95.74","95.75","96.34","95.51","3.99M","0.19%"
"Sep 05, 2019","95.56","96.54","96.96","95.17","5.51M","-0.57%"
"Sep 04, 2019","96.11","94.48","96.33","93.03","12.94M","-0.68%"
"Sep 03, 2019","96.77","96.42","97.21","96.05","5.15M","0.22%"
"Aug 30, 2019","96.56","98.14","98.14","96.11","5.21M","-1.17%"
"Aug 29, 2019","97.70","97.85","98.07","97.06","4.51M","0.65%"
"Aug 28, 2019","97.07","96.23","97.21","96.00","4.95M","1.02%"
"Aug 27, 2019","96.09","96.70","97.10","96.03","6.54M","-0.42%"
"Aug 26, 2019","96.50","95.38","96.50","95.00","5.81M","1.90%"
"Aug 23, 2019","94.70","96.41","97.10","94.39","8.08M","-1.86%"
"Aug 22, 2019","96.49","96.59","96.85","95.70","5.15M","0.18%"
"Aug 21, 2019","96.32","96.27","96.65","95.73","4.74M","0.72%"
"Aug 20, 2019","95.63","96.35","97.12","95.59","6.81M","-1.07%"
"Aug 19, 2019","96.66","97.23","97.41","96.22","5.33M","0.15%"
"Aug 16, 2019","96.52","96.29","96.83","95.85","5.03M","1.04%"
"Aug 15, 2019","95.53","95.50","96.27","94.61","5.57M","0.64%"
"Aug 14, 2019","94.92","95.91","97.02","94.87","9.99M","-1.77%"
"Aug 13, 2019","96.63","94.52","96.67","94.21","8.94M","1.81%"
"Aug 12, 2019","94.91","95.78","96.02","94.30","5.51M","-1.44%"
"Aug 09, 2019","96.30","96.15","96.84","95.42","5.21M","0.03%"
"Aug 08, 2019","96.27","95.23","96.41","94.44","7.42M","1.10%"
"Aug 07, 2019","95.22","94.60","95.70","94.17","6.41M","-0.13%"
"Aug 06, 2019","95.34","94.31","95.71","93.80","7.44M","1.75%"
"Aug 05, 2019","93.70","94.51","95.52","93.03","8.92M","-1.90%"
"Aug 02, 2019","95.51","95.00","96.04","94.80","6.38M","0.14%"
"Aug 01, 2019","95.38","95.00","97.58","94.58","8.34M","0.73%"
"Jul 31, 2019","94.69","96.65","96.65","93.50","9.91M","-2.03%"
"Jul 30, 2019","96.65","97.50","98.28","96.52","7.25M","-1.40%"
"Jul 29, 2019","98.02","98.05","98.94","97.21","11.18M","-1.10%"
"Jul 26, 2019","99.11","96.40","99.72","95.21","20.85M","8.94%"
"Jul 25, 2019","90.98","91.49","91.55","90.47","8.11M","0.36%"
"Jul 24, 2019","90.65","89.90","90.75","89.68","5.39M","0.60%"
"Jul 23, 2019","90.11","91.25","91.36","89.17","7.61M","-0.89%"
"Jul 22, 2019","90.92","90.52","91.18","90.05","5.64M","0.69%"
"Jul 19, 2019","90.30","91.41","91.61","90.23","10.80M","-1.31%"
"Jul 18, 2019","91.50","90.33","91.54","89.95","6.47M","1.39%"
"Jul 17, 2019","90.25","90.08","90.38","89.73","4.64M","0.19%"
"Jul 16, 2019","90.08","90.22","90.48","89.59","5.59M","-0.09%"
"Jul 15, 2019","90.16","89.87","90.34","89.66","6.06M","0.43%"
"Jul 12, 2019","89.77","89.28","89.82","88.85","5.63M","0.79%"
"Jul 11, 2019","89.07","88.66","89.29","88.27","6.19M","0.78%"
"Jul 10, 2019","88.38","87.42","88.54","87.42","5.29M","1.32%"
"Jul 09, 2019","87.23","87.29","87.65","86.89","5.36M","-0.24%"
"Jul 08, 2019","87.44","87.60","87.95","87.18","6.36M","-0.40%"
"Jul 05, 2019","87.79","87.50","87.89","86.88","5.73M","0.00%"
"Jul 03, 2019","87.79","86.04","87.82","85.98","7.82M","2.67%"
"Jul 02, 2019","85.51","84.74","85.59","84.52","6.21M","1.14%"
"Jul 01, 2019","84.55","84.62","84.96","84.03","7.94M","0.86%"
