"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","6.450","6.410","6.470","6.400","12.63M","0.78%"
"Oct 22, 2019","6.400","6.420","6.430","6.380","16.27M","-0.31%"
"Oct 21, 2019","6.420","6.440","6.490","6.370","14.29M","-0.16%"
"Oct 18, 2019","6.430","6.500","6.500","6.410","13.51M","-0.77%"
"Oct 17, 2019","6.480","6.470","6.500","6.402","15.22M","0.78%"
"Oct 16, 2019","6.430","6.410","6.480","6.370","16.38M","-0.08%"
"Oct 15, 2019","6.435","6.340","6.465","6.340","17.85M","1.66%"
"Oct 14, 2019","6.330","6.310","6.360","6.250","10.82M","0.32%"
"Oct 11, 2019","6.310","6.310","6.375","6.300","14.01M","0.96%"
"Oct 10, 2019","6.250","6.230","6.310","6.220","13.88M","0.08%"
"Oct 09, 2019","6.245","6.260","6.280","6.190","11.39M","0.08%"
"Oct 08, 2019","6.240","6.310","6.320","6.230","17.50M","-1.42%"
"Oct 07, 2019","6.330","6.360","6.405","6.310","15.03M","-0.78%"
"Oct 04, 2019","6.380","6.350","6.450","6.350","14.73M","0.47%"
"Oct 03, 2019","6.350","6.230","6.370","6.180","21.98M","1.93%"
"Oct 02, 2019","6.230","6.180","6.255","6.165","17.83M","0.81%"
"Oct 01, 2019","6.180","6.280","6.340","6.170","15.15M","-1.20%"
"Sep 30, 2019","6.255","6.250","6.270","6.220","12.75M","0.81%"
"Sep 27, 2019","6.205","6.290","6.310","6.170","14.44M","-0.88%"
"Sep 26, 2019","6.260","6.300","6.330","6.220","10.51M","-0.87%"
"Sep 25, 2019","6.315","6.230","6.340","6.230","12.82M","1.36%"
"Sep 24, 2019","6.230","6.360","6.366","6.220","18.70M","-0.95%"
"Sep 23, 2019","6.290","6.290","6.330","6.280","13.62M","0.48%"
"Sep 20, 2019","6.260","6.360","6.370","6.230","44.97M","-1.26%"
"Sep 19, 2019","6.340","6.380","6.390","6.330","15.74M","-0.78%"
"Sep 18, 2019","6.390","6.470","6.470","6.320","22.18M","-1.24%"
"Sep 17, 2019","6.470","6.350","6.490","6.320","21.14M","1.57%"
"Sep 16, 2019","6.370","6.350","6.380","6.310","16.14M","-0.31%"
"Sep 13, 2019","6.390","6.470","6.480","6.350","15.61M","-0.93%"
"Sep 12, 2019","6.450","6.500","6.510","6.370","18.70M","-0.62%"
"Sep 11, 2019","6.490","6.390","6.500","6.370","24.89M","2.04%"
"Sep 10, 2019","6.360","6.270","6.360","6.260","15.74M","1.11%"
"Sep 09, 2019","6.290","6.260","6.310","6.205","20.18M","0.64%"
"Sep 06, 2019","6.250","6.280","6.310","6.235","23.69M","-0.48%"
"Sep 05, 2019","6.280","6.250","6.310","6.220","18.32M","1.13%"
"Sep 04, 2019","6.210","6.220","6.240","6.190","19.53M","0.81%"
"Sep 03, 2019","6.160","6.130","6.180","6.100","14.39M","-0.16%"
"Aug 30, 2019","6.170","6.230","6.240","6.160","12.19M","-0.64%"
"Aug 29, 2019","6.210","6.170","6.240","6.160","19.61M","1.31%"
"Aug 28, 2019","6.130","6.030","6.170","6.030","17.56M","1.16%"
"Aug 27, 2019","6.060","6.100","6.130","6.020","19.88M","-0.33%"
"Aug 26, 2019","6.080","6.050","6.080","6.020","13.40M","1.50%"
"Aug 23, 2019","5.990","6.140","6.180","5.960","20.29M","-2.76%"
"Aug 22, 2019","6.160","6.160","6.195","6.115","11.14M","0.00%"
"Aug 21, 2019","6.160","6.120","6.200","6.110","9.69M","1.15%"
"Aug 20, 2019","6.090","6.170","6.200","6.080","16.48M","-1.46%"
"Aug 19, 2019","6.180","6.140","6.220","6.120","19.81M","1.64%"
"Aug 16, 2019","6.080","6.030","6.150","6.010","13.51M","1.84%"
"Aug 15, 2019","5.970","6.030","6.050","5.960","17.53M","-0.50%"
"Aug 14, 2019","6.000","6.020","6.035","5.970","23.17M","-1.32%"
"Aug 13, 2019","6.080","6.040","6.150","6.010","15.74M","0.66%"
"Aug 12, 2019","6.040","6.080","6.115","6.040","13.22M","-1.31%"
"Aug 09, 2019","6.120","6.130","6.170","6.070","17.43M","-0.81%"
"Aug 08, 2019","6.170","6.130","6.190","6.120","18.62M","0.98%"
"Aug 07, 2019","6.110","6.040","6.125","5.940","20.93M","0.33%"
"Aug 06, 2019","6.090","6.090","6.140","6.040","18.47M","0.66%"
"Aug 05, 2019","6.050","6.270","6.280","5.980","36.81M","-4.57%"
"Aug 02, 2019","6.340","6.250","6.370","6.240","23.70M","1.12%"
"Aug 01, 2019","6.270","6.280","6.380","6.260","27.72M","0.16%"
"Jul 31, 2019","6.260","6.160","6.320","6.160","28.43M","1.29%"
"Jul 30, 2019","6.180","6.160","6.250","6.115","30.04M","0.32%"
"Jul 29, 2019","6.160","6.220","6.245","6.100","34.17M","-0.96%"
"Jul 26, 2019","6.220","6.160","6.230","6.140","19.64M","1.30%"
"Jul 25, 2019","6.140","6.090","6.230","6.080","33.17M","0.66%"
"Jul 24, 2019","6.100","6.030","6.100","6.025","14.32M","0.99%"
"Jul 23, 2019","6.040","6.090","6.105","6.010","16.11M","-0.66%"
"Jul 22, 2019","6.080","6.090","6.120","6.060","20.14M","0.33%"
"Jul 19, 2019","6.060","6.040","6.100","6.010","16.01M","0.33%"
"Jul 18, 2019","6.040","6.010","6.070","6.000","18.13M","0.00%"
"Jul 17, 2019","6.040","6.050","6.070","5.980","14.53M","-0.17%"
"Jul 16, 2019","6.050","6.030","6.090","6.020","18.37M","0.17%"
"Jul 15, 2019","6.040","6.060","6.070","5.970","23.07M","-0.49%"
"Jul 12, 2019","6.070","6.070","6.100","6.035","22.96M","0.66%"
"Jul 11, 2019","6.030","6.030","6.070","5.980","18.95M","0.00%"
"Jul 10, 2019","6.030","5.990","6.030","5.920","26.79M","1.17%"
"Jul 09, 2019","5.960","5.890","5.990","5.890","28.19M","0.51%"
"Jul 08, 2019","5.930","5.880","5.960","5.880","20.53M","0.34%"
"Jul 05, 2019","5.910","5.870","5.940","5.830","21.19M","0.51%"
"Jul 03, 2019","5.880","5.840","5.890","5.820","11.81M","0.86%"
"Jul 02, 2019","5.830","5.690","5.850","5.690","28.56M","2.10%"
"Jul 01, 2019","5.710","5.630","5.710","5.610","19.53M","2.33%"
"Jun 28, 2019","5.580","5.550","5.630","5.540","32.40M","0.18%"
"Jun 27, 2019","5.570","5.560","5.605","5.510","18.93M","0.72%"
"Jun 26, 2019","5.530","5.560","5.610","5.510","19.47M","-0.18%"
"Jun 25, 2019","5.540","5.580","5.600","5.500","25.30M","-0.89%"
"Jun 24, 2019","5.590","5.620","5.630","5.520","22.77M","-0.18%"
"Jun 21, 2019","5.600","5.710","5.740","5.590","50.36M","-2.44%"
"Jun 20, 2019","5.740","5.710","5.765","5.670","18.46M","1.06%"
"Jun 19, 2019","5.680","5.720","5.750","5.610","19.50M","-0.35%"
"Jun 18, 2019","5.700","5.690","5.780","5.670","25.91M","1.24%"
"Jun 17, 2019","5.630","5.550","5.715","5.515","27.25M","1.26%"
"Jun 14, 2019","5.560","5.570","5.600","5.530","18.20M","-0.36%"
"Jun 13, 2019","5.580","5.530","5.610","5.490","21.75M","1.45%"
"Jun 12, 2019","5.500","5.490","5.530","5.470","15.49M","0.18%"
"Jun 11, 2019","5.490","5.470","5.540","5.440","25.98M","1.10%"
"Jun 10, 2019","5.430","5.380","5.490","5.355","32.96M","2.26%"
"Jun 07, 2019","5.310","5.330","5.370","5.280","20.30M","0.00%"
"Jun 06, 2019","5.310","5.290","5.330","5.250","21.29M","0.76%"
"Jun 05, 2019","5.270","5.440","5.440","5.270","24.38M","-2.23%"
"Jun 04, 2019","5.390","5.310","5.400","5.310","27.63M","2.28%"
"Jun 03, 2019","5.270","5.310","5.330","5.230","22.52M","-0.75%"
"May 31, 2019","5.310","5.330","5.330","5.240","29.98M","-1.12%"
"May 30, 2019","5.370","5.350","5.435","5.350","23.93M","0.56%"
"May 29, 2019","5.340","5.330","5.380","5.280","28.29M","-0.19%"
"May 28, 2019","5.350","5.410","5.460","5.330","40.48M","-1.11%"
"May 24, 2019","5.410","5.460","5.520","5.380","23.96M","0.37%"
"May 23, 2019","5.390","5.530","5.550","5.330","35.18M","-3.06%"
"May 22, 2019","5.560","5.620","5.650","5.560","17.25M","-1.42%"
"May 21, 2019","5.640","5.610","5.690","5.600","16.50M","1.08%"
"May 20, 2019","5.580","5.620","5.670","5.570","20.59M","-1.41%"
"May 17, 2019","5.660","5.630","5.710","5.620","20.77M","0.18%"
"May 16, 2019","5.650","5.600","5.710","5.600","17.18M","0.71%"
"May 15, 2019","5.610","5.620","5.660","5.590","23.64M","-0.36%"
"May 14, 2019","5.630","5.590","5.745","5.570","29.31M","1.08%"
"May 13, 2019","5.570","5.660","5.690","5.570","25.83M","-2.96%"
