"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","133.96","132.12","134.74","131.70","668.61K","1.39%"
"Oct 22, 2019","132.12","137.72","138.02","131.62","1.36M","-3.34%"
"Oct 21, 2019","136.68","135.81","137.35","134.81","725.11K","1.28%"
"Oct 18, 2019","134.95","136.63","137.46","133.50","1.10M","-1.37%"
"Oct 17, 2019","136.83","139.74","139.74","136.58","796.36K","-1.38%"
"Oct 16, 2019","138.74","139.50","139.50","136.73","735.90K","-1.36%"
"Oct 15, 2019","140.66","140.37","141.90","140.17","772.72K","1.30%"
"Oct 14, 2019","138.85","138.41","139.76","138.07","427.36K","0.17%"
"Oct 11, 2019","138.61","139.49","141.06","138.51","770.89K","0.28%"
"Oct 10, 2019","138.22","136.35","138.38","135.19","1.04M","1.79%"
"Oct 09, 2019","135.79","135.09","136.62","134.97","887.25K","1.38%"
"Oct 08, 2019","133.94","137.00","137.60","133.79","873.08K","-2.86%"
"Oct 07, 2019","137.89","139.96","139.96","137.70","597.42K","-0.64%"
"Oct 04, 2019","138.78","136.51","139.20","136.28","819.96K","2.02%"
"Oct 03, 2019","136.03","133.71","136.07","131.58","794.03K","2.04%"
"Oct 02, 2019","133.31","134.90","135.35","131.59","1.07M","-1.97%"
"Oct 01, 2019","135.99","137.53","138.23","135.51","784.39K","-0.92%"
"Sep 30, 2019","137.25","136.54","138.27","136.11","950.59K","0.76%"
"Sep 27, 2019","136.21","141.00","141.15","134.44","1.08M","-3.22%"
"Sep 26, 2019","140.74","139.46","141.45","139.03","756.92K","0.97%"
"Sep 25, 2019","139.39","136.06","139.68","134.55","1.12M","2.13%"
"Sep 24, 2019","136.48","137.99","139.37","135.15","1.35M","-0.46%"
"Sep 23, 2019","137.11","134.92","137.41","133.12","895.85K","1.02%"
"Sep 20, 2019","135.72","137.11","137.99","135.63","1.23M","-1.03%"
"Sep 19, 2019","137.13","136.67","138.73","136.46","784.31K","0.46%"
"Sep 18, 2019","136.50","136.66","137.07","133.64","982.21K","-0.15%"
"Sep 17, 2019","136.70","133.05","136.88","132.51","1.03M","2.60%"
"Sep 16, 2019","133.24","133.62","134.15","132.53","1.15M","-1.04%"
"Sep 13, 2019","134.64","137.32","138.08","134.13","1.16M","-2.00%"
"Sep 12, 2019","137.39","135.13","138.62","135.13","1.23M","2.04%"
"Sep 11, 2019","134.64","134.82","136.77","133.75","1.74M","-0.45%"
"Sep 10, 2019","135.25","140.54","140.54","134.39","1.64M","-4.25%"
"Sep 09, 2019","141.26","146.20","146.50","140.63","1.52M","-2.92%"
"Sep 06, 2019","145.51","146.00","146.66","145.32","903.20K","-0.30%"
"Sep 05, 2019","145.95","143.40","146.27","143.23","1.23M","3.13%"
"Sep 04, 2019","141.52","141.17","143.00","140.49","874.24K","1.62%"
"Sep 03, 2019","139.27","140.08","141.29","138.47","879.21K","-1.79%"
"Aug 30, 2019","141.81","142.28","142.94","140.69","831.05K","0.35%"
"Aug 29, 2019","141.31","138.50","142.37","138.50","1.07M","3.33%"
"Aug 28, 2019","136.75","136.21","137.22","134.79","1.04M","0.04%"
"Aug 27, 2019","136.69","137.29","137.80","135.70","1.30M","0.05%"
"Aug 26, 2019","136.62","136.63","136.96","134.85","1.32M","1.16%"
"Aug 23, 2019","135.05","137.47","140.82","134.51","1.62M","-2.84%"
"Aug 22, 2019","139.00","135.00","142.00","134.25","2.89M","5.43%"
"Aug 21, 2019","131.84","131.32","132.43","130.57","1.24M","1.45%"
"Aug 20, 2019","129.96","129.81","130.98","128.62","737.63K","0.02%"
