"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","89.29","87.36","89.65","87.36","1.36M","0.37%"
"Oct 22, 2019","88.96","89.62","89.78","88.96","1.22M","-1.03%"
"Oct 21, 2019","89.89","88.31","89.92","88.31","1.72M","2.42%"
"Oct 18, 2019","87.77","87.00","88.26","86.79","2.05M","0.25%"
"Oct 17, 2019","87.55","86.68","87.62","85.88","2.01M","2.21%"
"Oct 16, 2019","85.66","86.42","86.62","85.25","1.37M","-1.13%"
"Oct 15, 2019","86.64","85.27","87.08","84.94","1.63M","1.95%"
"Oct 14, 2019","84.98","85.10","85.32","84.60","1.35M","-0.49%"
"Oct 11, 2019","85.40","86.05","86.47","83.61","2.58M","0.60%"
"Oct 10, 2019","84.89","83.11","85.49","83.05","2.91M","5.18%"
"Oct 09, 2019","80.71","80.10","81.13","79.58","1.32M","2.16%"
"Oct 08, 2019","79.00","80.21","80.60","78.93","1.83M","-2.32%"
"Oct 07, 2019","80.88","80.56","81.71","80.24","1.52M","0.30%"
"Oct 04, 2019","80.64","79.00","80.70","78.80","1.84M","4.36%"
"Oct 03, 2019","77.27","75.75","77.44","74.42","1.50M","2.44%"
"Oct 02, 2019","75.43","76.73","76.98","75.03","2.15M","-2.56%"
"Oct 01, 2019","77.41","79.81","81.00","77.35","1.98M","-2.32%"
"Sep 30, 2019","79.25","78.19","79.33","77.88","1.94M","2.30%"
"Sep 27, 2019","77.47","80.09","80.74","77.20","2.88M","-3.60%"
"Sep 26, 2019","80.36","79.70","80.73","79.39","2.31M","-0.78%"
"Sep 25, 2019","80.99","79.23","81.02","78.81","1.28M","1.59%"
"Sep 24, 2019","79.72","80.09","80.74","78.96","1.61M","-0.15%"
"Sep 23, 2019","79.84","79.68","80.97","79.40","1.01M","0.11%"
"Sep 20, 2019","79.75","79.85","80.96","79.32","2.07M","0.61%"
"Sep 19, 2019","79.27","80.30","81.48","79.23","1.57M","-1.21%"
"Sep 18, 2019","80.24","80.82","80.82","78.87","1.42M","-0.88%"
"Sep 17, 2019","80.95","81.16","81.61","79.62","1.71M","-1.26%"
"Sep 16, 2019","81.98","81.78","82.54","80.61","1.34M","-0.19%"
"Sep 13, 2019","82.14","82.15","83.11","82.07","1.68M","-0.23%"
"Sep 12, 2019","82.33","83.87","84.35","81.74","2.02M","-1.41%"
"Sep 11, 2019","83.51","81.00","83.59","80.65","2.37M","4.00%"
"Sep 10, 2019","80.30","79.50","80.30","78.59","1.34M","0.73%"
"Sep 09, 2019","79.72","80.18","80.83","79.08","1.34M","-0.19%"
